Kommune,År,Sektor,Utslippskilde,Utslipp
Porsgrunn,2019,Annen mobil forbrenning,Jordbruk  ,0.3
Porsgrunn,2019,Annen mobil forbrenning,Skogbruk  ,0.12
Porsgrunn,2019,Annen mobil forbrenning,Snøscooter,49.13
Porsgrunn,2019,Annen mobil forbrenning,Tjenester tilknyttet transport  ,11.81
Porsgrunn,2019,Avfall og avløp,Avfallsdeponigass,6223.28
Porsgrunn,2019,Avfall og avløp,Biologisk behandling av avfall,580.87
Porsgrunn,2019,Bruk av produkter med fluorgasser,Bruk av SF6,474.43
Porsgrunn,2019,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,240.52
Porsgrunn,2019,"Industri, olje og gass","Industri, olje og gass",154495.0
Porsgrunn,2019,Jordbruk,Gjødselhåndtering,0.0
Porsgrunn,2019,Jordbruk,Jordbruksarealer,590.02
Porsgrunn,2019,Luftfart,Innenriks luftfart,0.0
Porsgrunn,2019,Luftfart,Utenriks luftfart,0.0
Porsgrunn,2019,Oppvarming,Annet,0.16
Porsgrunn,2019,Oppvarming,Fossil olje,0.68
Porsgrunn,2019,Oppvarming,Fyringsparafin,1.05
Porsgrunn,2019,Oppvarming,LPG,0.39
Porsgrunn,2019,Oppvarming,Naturgass,0.09
Porsgrunn,2019,Sjøfart,Andre offshorefartøy,0.0
Porsgrunn,2019,Sjøfart,Fiskefartøy,0.76
Porsgrunn,2019,Sjøfart,Kjemikalie-/produkttanker,6877.79
Porsgrunn,2019,Veitrafikk,Tunge kjøretøy,1.07
Porsgrunn,2019,Veitrafikk,Varebiler,8760.52
Porsgrunn,2020,Annen mobil forbrenning,Andre næringer  ,128.24
Porsgrunn,2020,Annen mobil forbrenning,Bygg og anlegg  ,36.46
Porsgrunn,2020,Annen mobil forbrenning,Snøscooter,0.26
Porsgrunn,2020,Annen mobil forbrenning,Tjenester tilknyttet transport  ,2.72
Porsgrunn,2020,Avfall og avløp,Avløp,0.0
Porsgrunn,2020,Avfall og avløp,Avløp,1961.77
Porsgrunn,2020,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Porsgrunn,2020,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,0.01
Porsgrunn,2020,"Industri, olje og gass","Industri, olje og gass",4730.87
Porsgrunn,2020,Jordbruk,Fordøyelsesprosesser husdyr,0.0
Porsgrunn,2020,Jordbruk,Gjødselhåndtering,276.53
Porsgrunn,2020,Jordbruk,Jordbruksarealer,0.62
Porsgrunn,2020,Luftfart,Innenriks luftfart,0.0
Porsgrunn,2020,Luftfart,Utenriks luftfart,0.0
Porsgrunn,2020,Oppvarming,Bioenergi,0.0
Porsgrunn,2020,Oppvarming,Fossil olje,0.07
Porsgrunn,2020,Oppvarming,Fyringsparafin,0.0
Porsgrunn,2020,Oppvarming,LPG,1.78
Porsgrunn,2020,Oppvarming,Naturgass,0.3
Porsgrunn,2020,Oppvarming,Vedfyring,44.55
Porsgrunn,2020,Sjøfart,Gasstankskip,7143.11
Porsgrunn,2020,Sjøfart,Offshore,572.27
Porsgrunn,2020,Sjøfart,Oljetanker,10.29
Porsgrunn,2020,Sjøfart,Passasjer,392.26
Porsgrunn,2020,Sjøfart,Stykkgods,8745.02
Porsgrunn,2020,Veitrafikk,Busser,2233.52
Porsgrunn,2020,Veitrafikk,Personbiler,32818.63
Porsgrunn,2020,Veitrafikk,Tunge kjøretøy,19293.16
Porsgrunn,2020,Veitrafikk,Tunge kjøretøy,235.07
Porsgrunn,2020,Veitrafikk,Varebiler,99.12
Porsgrunn,2021,Annen mobil forbrenning,Andre næringer  ,28.65
Porsgrunn,2021,Annen mobil forbrenning,Behandling av avfall  ,590.47
Porsgrunn,2021,Annen mobil forbrenning,Bygg og anlegg  ,5.17
Porsgrunn,2021,Annen mobil forbrenning,Jordbruk  ,2.19
Porsgrunn,2021,Annen mobil forbrenning,Skogbruk  ,67.79
Porsgrunn,2021,Annen mobil forbrenning,Skogbruk  ,0.75
Porsgrunn,2021,Annen mobil forbrenning,Snøscooter,9.07
Porsgrunn,2021,Avfall og avløp,Biologisk behandling av avfall,20.94
Porsgrunn,2021,Bruk av produkter med fluorgasser,Bruk av HFK,6639.11
Porsgrunn,2021,Energiforsyning,Elektrisitetsproduksjon og annen energiforsyning,0.0
Porsgrunn,2021,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,0.54
Porsgrunn,2021,"Industri, olje og gass","Industri, olje og gass",1637128.22
Porsgrunn,2021,Jordbruk,Gjødselhåndtering,420.78
Porsgrunn,2021,Jordbruk,Jordbruksarealer,66.47
Porsgrunn,2021,Oppvarming,Annet,243.72
Porsgrunn,2021,Oppvarming,Annet,0.0
Porsgrunn,2021,Oppvarming,Fossil olje,59.6
Porsgrunn,2021,Oppvarming,Fyringsparafin,0.04
Porsgrunn,2021,Oppvarming,Naturgass,80.96
Porsgrunn,2021,Oppvarming,Vedfyring,1425.95
Porsgrunn,2021,Sjøfart,Andre aktiviteter,3.74
Porsgrunn,2021,Sjøfart,Container/RoRo,3342.62
Porsgrunn,2021,Sjøfart,Cruise,0.0
Porsgrunn,2021,Veitrafikk,Varebiler,27.59
Porsgrunn,2022,Annen mobil forbrenning,Behandling av avfall  ,6.12
Porsgrunn,2022,Annen mobil forbrenning,Bygg og anlegg  ,3054.46
Porsgrunn,2022,Annen mobil forbrenning,Jordbruk  ,0.3
Porsgrunn,2022,Annen mobil forbrenning,Snøscooter,44.69
Porsgrunn,2022,Annen mobil forbrenning,Tjenester tilknyttet transport  ,17.67
Porsgrunn,2022,Avfall og avløp,Biologisk behandling av avfall,501.49
Porsgrunn,2022,Bruk av produkter med fluorgasser,Bruk av SF6,398.31
Porsgrunn,2022,Energiforsyning,Fjernvarme unntatt avfallsforbrenning,25.51
Porsgrunn,2022,"Industri, olje og gass","Industri, olje og gass",217565.0
