Nivå;Geografisk enhet;Yrke utlyst stilling;Antall utlyste stillinger;Yrkespraksis;Antall søkere;Dato
Fylker;Agder;Jordbruk, skogbruk og fiske;4.0;Akademiske yrker;93.0;2025-08-01
Fylker;Agder;Jordbruk, skogbruk og fiske;4.0;Barne- og ungdomsarbeid;357.0;2025-08-01
Fylker;Agder;Jordbruk, skogbruk og fiske;4.0;Butikk- og salgsarbeid;576.0;2025-08-01
Fylker;Agder;Jordbruk, skogbruk og fiske;4.0;Bygg og anlegg;441.0;2025-08-01
Fylker;Agder;Jordbruk, skogbruk og fiske;4.0;Helse, pleie og omsorg;431.0;2025-08-01
Fylker;Agder;Jordbruk, skogbruk og fiske;4.0;Industriarbeid;530.0;2025-08-01
Fylker;Agder;Jordbruk, skogbruk og fiske;4.0;Ingen yrkesbakgrunn eller uoppgitt;836.0;2025-08-01
Fylker;Agder;Jordbruk, skogbruk og fiske;4.0;Ingeniør- og ikt-fag;289.0;2025-08-01
Fylker;Agder;Jordbruk, skogbruk og fiske;4.0;Jordbruk, skogbruk og fiske;60.0;2025-08-01
Fylker;Agder;Jordbruk, skogbruk og fiske;4.0;Kontorarbeid;321.0;2025-08-01
Fylker;Agder;Jordbruk, skogbruk og fiske;4.0;Ledere;154.0;2025-08-01
Fylker;Agder;Jordbruk, skogbruk og fiske;4.0;Meglere og konsulenter;139.0;2025-08-01
Fylker;Agder;Jordbruk, skogbruk og fiske;4.0;Reiseliv og transport;424.0;2025-08-01
Fylker;Agder;Jordbruk, skogbruk og fiske;4.0;Serviceyrker og annet arbeid;532.0;2025-08-01
Fylker;Agder;Jordbruk, skogbruk og fiske;4.0;Undervisning;253.0;2025-08-01
Fylker;Agder;Kontorarbeid;29.0;Akademiske yrker;93.0;2025-08-01
Fylker;Agder;Kontorarbeid;29.0;Barne- og ungdomsarbeid;357.0;2025-08-01
Fylker;Agder;Kontorarbeid;29.0;Butikk- og salgsarbeid;576.0;2025-08-01
Fylker;Agder;Kontorarbeid;29.0;Bygg og anlegg;441.0;2025-08-01
Fylker;Agder;Kontorarbeid;29.0;Helse, pleie og omsorg;431.0;2025-08-01
Fylker;Agder;Kontorarbeid;29.0;Industriarbeid;530.0;2025-08-01
Fylker;Agder;Kontorarbeid;29.0;Ingen yrkesbakgrunn eller uoppgitt;836.0;2025-08-01
Fylker;Agder;Kontorarbeid;29.0;Ingeniør- og ikt-fag;289.0;2025-08-01
Fylker;Agder;Kontorarbeid;29.0;Jordbruk, skogbruk og fiske;60.0;2025-08-01
Fylker;Agder;Kontorarbeid;29.0;Kontorarbeid;321.0;2025-08-01
Fylker;Agder;Kontorarbeid;29.0;Ledere;154.0;2025-08-01
Fylker;Agder;Kontorarbeid;29.0;Meglere og konsulenter;139.0;2025-08-01
Fylker;Agder;Kontorarbeid;29.0;Reiseliv og transport;424.0;2025-08-01
Fylker;Agder;Kontorarbeid;29.0;Serviceyrker og annet arbeid;532.0;2025-08-01
Fylker;Agder;Kontorarbeid;29.0;Undervisning;253.0;2025-08-01
Fylker;Agder;Ledere;32.0;Akademiske yrker;93.0;2025-08-01
Fylker;Agder;Ledere;32.0;Barne- og ungdomsarbeid;357.0;2025-08-01
Fylker;Agder;Ledere;32.0;Butikk- og salgsarbeid;576.0;2025-08-01
Fylker;Agder;Ledere;32.0;Bygg og anlegg;441.0;2025-08-01
Fylker;Agder;Ledere;32.0;Helse, pleie og omsorg;431.0;2025-08-01
Fylker;Agder;Ledere;32.0;Industriarbeid;530.0;2025-08-01
Fylker;Agder;Ledere;32.0;Ingen yrkesbakgrunn eller uoppgitt;836.0;2025-08-01
Fylker;Agder;Ledere;32.0;Ingeniør- og ikt-fag;289.0;2025-08-01
Fylker;Agder;Ledere;32.0;Jordbruk, skogbruk og fiske;60.0;2025-08-01
Fylker;Agder;Ledere;32.0;Kontorarbeid;321.0;2025-08-01
Fylker;Agder;Ledere;32.0;Ledere;154.0;2025-08-01
Fylker;Agder;Ledere;32.0;Meglere og konsulenter;139.0;2025-08-01
Fylker;Agder;Ledere;32.0;Reiseliv og transport;424.0;2025-08-01
Fylker;Agder;Ledere;32.0;Serviceyrker og annet arbeid;532.0;2025-08-01
Fylker;Agder;Ledere;32.0;Undervisning;253.0;2025-08-01
Fylker;Agder;Meglere og konsulenter;23.0;Akademiske yrker;93.0;2025-08-01
Fylker;Agder;Meglere og konsulenter;23.0;Barne- og ungdomsarbeid;357.0;2025-08-01
Fylker;Agder;Meglere og konsulenter;23.0;Butikk- og salgsarbeid;576.0;2025-08-01
Fylker;Agder;Meglere og konsulenter;23.0;Bygg og anlegg;441.0;2025-08-01
Fylker;Agder;Meglere og konsulenter;23.0;Helse, pleie og omsorg;431.0;2025-08-01
Fylker;Agder;Meglere og konsulenter;23.0;Industriarbeid;530.0;2025-08-01
Fylker;Agder;Meglere og konsulenter;23.0;Ingen yrkesbakgrunn eller uoppgitt;836.0;2025-08-01
Fylker;Agder;Meglere og konsulenter;23.0;Ingeniør- og ikt-fag;289.0;2025-08-01
Fylker;Agder;Meglere og konsulenter;23.0;Jordbruk, skogbruk og fiske;60.0;2025-08-01
Fylker;Agder;Meglere og konsulenter;23.0;Kontorarbeid;321.0;2025-08-01
Fylker;Agder;Meglere og konsulenter;23.0;Ledere;154.0;2025-08-01
Fylker;Agder;Meglere og konsulenter;23.0;Meglere og konsulenter;139.0;2025-08-01
Fylker;Agder;Meglere og konsulenter;23.0;Reiseliv og transport;424.0;2025-08-01
Fylker;Agder;Meglere og konsulenter;23.0;Serviceyrker og annet arbeid;532.0;2025-08-01
Fylker;Agder;Meglere og konsulenter;23.0;Undervisning;253.0;2025-08-01
Fylker;Agder;Reiseliv og transport;100.0;Akademiske yrker;93.0;2025-08-01
Fylker;Agder;Reiseliv og transport;100.0;Barne- og ungdomsarbeid;357.0;2025-08-01
Fylker;Agder;Reiseliv og transport;100.0;Butikk- og salgsarbeid;576.0;2025-08-01
Fylker;Agder;Reiseliv og transport;100.0;Bygg og anlegg;441.0;2025-08-01
Fylker;Agder;Reiseliv og transport;100.0;Helse, pleie og omsorg;431.0;2025-08-01
Fylker;Agder;Reiseliv og transport;100.0;Industriarbeid;530.0;2025-08-01
Fylker;Agder;Reiseliv og transport;100.0;Ingen yrkesbakgrunn eller uoppgitt;836.0;2025-08-01
Fylker;Agder;Reiseliv og transport;100.0;Ingeniør- og ikt-fag;289.0;2025-08-01
Fylker;Agder;Reiseliv og transport;100.0;Jordbruk, skogbruk og fiske;60.0;2025-08-01
Fylker;Agder;Reiseliv og transport;100.0;Kontorarbeid;321.0;2025-08-01
Fylker;Agder;Reiseliv og transport;100.0;Ledere;154.0;2025-08-01
Fylker;Agder;Reiseliv og transport;100.0;Meglere og konsulenter;139.0;2025-08-01
Fylker;Agder;Reiseliv og transport;100.0;Reiseliv og transport;424.0;2025-08-01
Fylker;Agder;Reiseliv og transport;100.0;Serviceyrker og annet arbeid;532.0;2025-08-01
Fylker;Agder;Reiseliv og transport;100.0;Undervisning;253.0;2025-08-01
Fylker;Agder;Serviceyrker og annet arbeid;71.0;Akademiske yrker;93.0;2025-08-01
Fylker;Agder;Serviceyrker og annet arbeid;71.0;Barne- og ungdomsarbeid;357.0;2025-08-01
Fylker;Agder;Serviceyrker og annet arbeid;71.0;Butikk- og salgsarbeid;576.0;2025-08-01
Fylker;Agder;Serviceyrker og annet arbeid;71.0;Bygg og anlegg;441.0;2025-08-01
Fylker;Agder;Serviceyrker og annet arbeid;71.0;Helse, pleie og omsorg;431.0;2025-08-01
Fylker;Agder;Serviceyrker og annet arbeid;71.0;Industriarbeid;530.0;2025-08-01
Fylker;Agder;Serviceyrker og annet arbeid;71.0;Ingen yrkesbakgrunn eller uoppgitt;836.0;2025-08-01
Fylker;Agder;Serviceyrker og annet arbeid;71.0;Ingeniør- og ikt-fag;289.0;2025-08-01
Fylker;Agder;Serviceyrker og annet arbeid;71.0;Jordbruk, skogbruk og fiske;60.0;2025-08-01
Fylker;Agder;Serviceyrker og annet arbeid;71.0;Kontorarbeid;321.0;2025-08-01
Fylker;Agder;Serviceyrker og annet arbeid;71.0;Ledere;154.0;2025-08-01
Fylker;Agder;Serviceyrker og annet arbeid;71.0;Meglere og konsulenter;139.0;2025-08-01
Fylker;Agder;Serviceyrker og annet arbeid;71.0;Reiseliv og transport;424.0;2025-08-01
Fylker;Agder;Serviceyrker og annet arbeid;71.0;Serviceyrker og annet arbeid;532.0;2025-08-01
Fylker;Agder;Serviceyrker og annet arbeid;71.0;Undervisning;253.0;2025-08-01
Fylker;Agder;Undervisning;31.0;Akademiske yrker;93.0;2025-08-01
Fylker;Agder;Undervisning;31.0;Barne- og ungdomsarbeid;357.0;2025-08-01
Fylker;Agder;Undervisning;31.0;Butikk- og salgsarbeid;576.0;2025-08-01
Fylker;Agder;Undervisning;31.0;Bygg og anlegg;441.0;2025-08-01
Fylker;Agder;Undervisning;31.0;Helse, pleie og omsorg;431.0;2025-08-01
Fylker;Agder;Undervisning;31.0;Industriarbeid;530.0;2025-08-01
Fylker;Agder;Undervisning;31.0;Ingen yrkesbakgrunn eller uoppgitt;836.0;2025-08-01
Fylker;Agder;Undervisning;31.0;Ingeniør- og ikt-fag;289.0;2025-08-01
Fylker;Agder;Undervisning;31.0;Jordbruk, skogbruk og fiske;60.0;2025-08-01
Fylker;Agder;Undervisning;31.0;Kontorarbeid;321.0;2025-08-01
Fylker;Agder;Undervisning;31.0;Ledere;154.0;2025-08-01
Fylker;Agder;Undervisning;31.0;Meglere og konsulenter;139.0;2025-08-01
Fylker;Agder;Undervisning;31.0;Reiseliv og transport;424.0;2025-08-01
Fylker;Agder;Undervisning;31.0;Serviceyrker og annet arbeid;532.0;2025-08-01
Fylker;Agder;Undervisning;31.0;Undervisning;253.0;2025-08-01
Fylker;Akershus;Akademiske yrker;70.0;Akademiske yrker;372.0;2025-08-01
Fylker;Akershus;Akademiske yrker;70.0;Barne- og ungdomsarbeid;771.0;2025-08-01
Fylker;Akershus;Akademiske yrker;70.0;Butikk- og salgsarbeid;1339.0;2025-08-01
Fylker;Akershus;Akademiske yrker;70.0;Bygg og anlegg;1473.0;2025-08-01
Fylker;Akershus;Akademiske yrker;70.0;Helse, pleie og omsorg;871.0;2025-08-01
Fylker;Akershus;Akademiske yrker;70.0;Industriarbeid;720.0;2025-08-01
Fylker;Akershus;Akademiske yrker;70.0;Ingen yrkesbakgrunn eller uoppgitt;1588.0;2025-08-01
Fylker;Akershus;Akademiske yrker;70.0;Ingeniør- og ikt-fag;913.0;2025-08-01
Fylker;Akershus;Akademiske yrker;70.0;Jordbruk, skogbruk og fiske;91.0;2025-08-01
Fylker;Akershus;Akademiske yrker;70.0;Kontorarbeid;1377.0;2025-08-01
Fylker;Akershus;Akademiske yrker;70.0;Ledere;800.0;2025-08-01
Fylker;Akershus;Akademiske yrker;70.0;Meglere og konsulenter;539.0;2025-08-01
Fylker;Akershus;Akademiske yrker;70.0;Reiseliv og transport;1184.0;2025-08-01
Fylker;Akershus;Akademiske yrker;70.0;Serviceyrker og annet arbeid;1422.0;2025-08-01
Fylker;Akershus;Akademiske yrker;70.0;Undervisning;448.0;2025-08-01
Fylker;Akershus;Barne- og ungdomsarbeid;238.0;Akademiske yrker;372.0;2025-08-01
Fylker;Akershus;Barne- og ungdomsarbeid;238.0;Barne- og ungdomsarbeid;771.0;2025-08-01
Fylker;Akershus;Barne- og ungdomsarbeid;238.0;Butikk- og salgsarbeid;1339.0;2025-08-01
Fylker;Akershus;Barne- og ungdomsarbeid;238.0;Bygg og anlegg;1473.0;2025-08-01
Fylker;Akershus;Barne- og ungdomsarbeid;238.0;Helse, pleie og omsorg;871.0;2025-08-01
Fylker;Akershus;Barne- og ungdomsarbeid;238.0;Industriarbeid;720.0;2025-08-01
Fylker;Akershus;Barne- og ungdomsarbeid;238.0;Ingen yrkesbakgrunn eller uoppgitt;1588.0;2025-08-01
Fylker;Akershus;Barne- og ungdomsarbeid;238.0;Ingeniør- og ikt-fag;913.0;2025-08-01
Fylker;Akershus;Barne- og ungdomsarbeid;238.0;Jordbruk, skogbruk og fiske;91.0;2025-08-01
Fylker;Akershus;Barne- og ungdomsarbeid;238.0;Kontorarbeid;1377.0;2025-08-01
Fylker;Akershus;Barne- og ungdomsarbeid;238.0;Ledere;800.0;2025-08-01
Fylker;Akershus;Barne- og ungdomsarbeid;238.0;Meglere og konsulenter;539.0;2025-08-01
Fylker;Akershus;Barne- og ungdomsarbeid;238.0;Reiseliv og transport;1184.0;2025-08-01
Fylker;Akershus;Barne- og ungdomsarbeid;238.0;Serviceyrker og annet arbeid;1422.0;2025-08-01
Fylker;Akershus;Barne- og ungdomsarbeid;238.0;Undervisning;448.0;2025-08-01
Fylker;Akershus;Butikk- og salgsarbeid;533.0;Akademiske yrker;372.0;2025-08-01
Fylker;Akershus;Butikk- og salgsarbeid;533.0;Barne- og ungdomsarbeid;771.0;2025-08-01
Fylker;Akershus;Butikk- og salgsarbeid;533.0;Butikk- og salgsarbeid;1339.0;2025-08-01
Fylker;Akershus;Butikk- og salgsarbeid;533.0;Bygg og anlegg;1473.0;2025-08-01
Fylker;Akershus;Butikk- og salgsarbeid;533.0;Helse, pleie og omsorg;871.0;2025-08-01
Fylker;Akershus;Butikk- og salgsarbeid;533.0;Industriarbeid;720.0;2025-08-01
Fylker;Akershus;Butikk- og salgsarbeid;533.0;Ingen yrkesbakgrunn eller uoppgitt;1588.0;2025-08-01
Fylker;Akershus;Butikk- og salgsarbeid;533.0;Ingeniør- og ikt-fag;913.0;2025-08-01
Fylker;Akershus;Butikk- og salgsarbeid;533.0;Jordbruk, skogbruk og fiske;91.0;2025-08-01
Fylker;Akershus;Butikk- og salgsarbeid;533.0;Kontorarbeid;1377.0;2025-08-01
Fylker;Akershus;Butikk- og salgsarbeid;533.0;Ledere;800.0;2025-08-01
Fylker;Akershus;Butikk- og salgsarbeid;533.0;Meglere og konsulenter;539.0;2025-08-01
Fylker;Akershus;Butikk- og salgsarbeid;533.0;Reiseliv og transport;1184.0;2025-08-01
