Enhet;År;Kommunenummer;Kommune;Bosetting;Antall
Personer;1995;0516;;Faktisk bosetting;.
Personer;1995;0516;;Vedtak om bosetting;.
Personer;1995;0517;;Anmodning om bosetting;.
Personer;1995;0517;;Faktisk bosetting;.
Personer;1995;0517;;Vedtak om bosetting;.
Personer;1995;0519;;Anmodning om bosetting;.
Personer;1995;0519;;Faktisk bosetting;.
Personer;1995;0519;;Vedtak om bosetting;.
Personer;1995;0520;;Anmodning om bosetting;.
Personer;1995;0520;;Faktisk bosetting;.
Personer;1995;0520;;Vedtak om bosetting;.
Personer;1995;0521;;Anmodning om bosetting;.
Personer;1995;0521;;Faktisk bosetting;.
Personer;1995;0521;;Vedtak om bosetting;.
Personer;1995;0522;;Anmodning om bosetting;.
Personer;1995;0522;;Faktisk bosetting;.
Personer;1995;0522;;Vedtak om bosetting;.
Personer;1995;0528;;Anmodning om bosetting;.
Personer;1995;0528;;Faktisk bosetting;.
Personer;1995;0528;;Vedtak om bosetting;.
Personer;1995;0529;;Anmodning om bosetting;.
Personer;1995;0529;;Faktisk bosetting;.
Personer;1995;0529;;Vedtak om bosetting;.
Personer;1995;0532;;Anmodning om bosetting;.
Personer;1995;0532;;Faktisk bosetting;.
Personer;1995;0532;;Vedtak om bosetting;.
Personer;1995;0533;;Anmodning om bosetting;.
Personer;1995;0533;;Faktisk bosetting;.
Personer;1995;0533;;Vedtak om bosetting;.
Personer;1995;0534;;Anmodning om bosetting;.
Personer;1995;0534;;Faktisk bosetting;.
Personer;1995;0534;;Vedtak om bosetting;.
Personer;1995;0536;;Anmodning om bosetting;.
Personer;1995;0536;;Faktisk bosetting;.
Personer;1995;0536;;Vedtak om bosetting;.
Personer;1995;0538;;Anmodning om bosetting;.
Personer;1995;0538;;Faktisk bosetting;.
Personer;1995;0538;;Vedtak om bosetting;.
Personer;1995;0540;;Anmodning om bosetting;.
Personer;1995;0540;;Faktisk bosetting;.
Personer;1995;0540;;Vedtak om bosetting;.
Personer;1995;0541;;Anmodning om bosetting;.
Personer;1995;0541;;Faktisk bosetting;.
Personer;1995;0541;;Vedtak om bosetting;.
Personer;1995;0542;;Anmodning om bosetting;.
Personer;1995;0542;;Faktisk bosetting;.
Personer;1995;0542;;Vedtak om bosetting;.
Personer;1995;0543;;Anmodning om bosetting;.
Personer;1995;0543;;Faktisk bosetting;.
Personer;1995;0543;;Vedtak om bosetting;.
Personer;1995;0544;;Anmodning om bosetting;.
Personer;1995;0544;;Faktisk bosetting;.
Personer;1995;0544;;Vedtak om bosetting;.
Personer;1995;0545;;Anmodning om bosetting;.
Personer;1995;0545;;Faktisk bosetting;.
Personer;1995;0545;;Vedtak om bosetting;.
Personer;1995;0602;Drammen (t.o.m. 2019);Anmodning om bosetting;50
Personer;1995;0602;Drammen (t.o.m. 2019);Faktisk bosetting;.
Personer;1995;0602;Drammen (t.o.m. 2019);Vedtak om bosetting;50
Personer;1995;0604;;Anmodning om bosetting;40
Personer;1995;0604;;Faktisk bosetting;.
Personer;1995;0604;;Vedtak om bosetting;40
Personer;1995;0605;;Anmodning om bosetting;20
Personer;1995;0605;;Faktisk bosetting;.
Personer;1995;0605;;Vedtak om bosetting;20
Personer;1995;0612;;Anmodning om bosetting;20
Personer;1995;0612;;Faktisk bosetting;.
Personer;1995;0612;;Vedtak om bosetting;10
Personer;1995;0615;;Anmodning om bosetting;.
Personer;1995;0615;;Faktisk bosetting;.
Personer;1995;0615;;Vedtak om bosetting;.
Personer;1995;0616;;Anmodning om bosetting;20
Personer;1995;0616;;Faktisk bosetting;.
Personer;1995;0616;;Vedtak om bosetting;.
Personer;1995;0617;;Anmodning om bosetting;.
