municipality_code,municipality_name,year,housing_demand,housing_supply,new_housing_demand
4022,Seljord,2029,1418,1682,-264
4022,Seljord,2030,1423,1682,-259
4022,Seljord,2031,1431,1682,-251
4022,Seljord,2032,1437,1682,-245
4022,Seljord,2033,1440,1682,-242
4022,Seljord,2034,1442,1682,-240
4022,Seljord,2035,1446,1682,-236
4022,Seljord,2036,1449,1682,-233
4022,Seljord,2037,1451,1682,-231
4022,Seljord,2038,1452,1682,-230
4022,Seljord,2039,1450,1682,-232
4022,Seljord,2040,1453,1682,-229
4022,Seljord,2041,1453,1682,-229
4022,Seljord,2042,1455,1682,-227
4022,Seljord,2043,1453,1682,-229
4022,Seljord,2044,1450,1682,-232
4022,Seljord,2045,1451,1682,-231
4022,Seljord,2046,1453,1682,-229
4022,Seljord,2047,1454,1682,-228
4022,Seljord,2048,1456,1682,-226
4022,Seljord,2049,1457,1682,-225
4022,Seljord,2050,1456,1682,-226
4024,Hjartdal,2026,784,946,-162
4024,Hjartdal,2027,788,946,-158
4024,Hjartdal,2028,793,946,-153
4024,Hjartdal,2029,799,946,-147
4024,Hjartdal,2030,801,946,-145
4024,Hjartdal,2031,803,946,-143
4024,Hjartdal,2032,806,946,-140
4024,Hjartdal,2033,806,946,-140
4024,Hjartdal,2034,808,946,-138
4024,Hjartdal,2035,808,946,-138
4024,Hjartdal,2036,807,946,-139
4024,Hjartdal,2037,809,946,-137
4024,Hjartdal,2038,813,946,-133
4024,Hjartdal,2039,813,946,-133
4024,Hjartdal,2040,814,946,-132
4024,Hjartdal,2041,813,946,-133
4024,Hjartdal,2042,813,946,-133
4024,Hjartdal,2043,816,946,-130
4024,Hjartdal,2044,816,946,-130
4024,Hjartdal,2045,815,946,-131
4024,Hjartdal,2046,814,946,-132
4024,Hjartdal,2047,816,946,-130
4024,Hjartdal,2048,817,946,-129
4024,Hjartdal,2049,815,946,-131
4024,Hjartdal,2050,815,946,-131
4026,Tinn,2026,2723,3380,-657
4026,Tinn,2027,2727,3380,-653
4026,Tinn,2028,2733,3380,-647
4026,Tinn,2029,2739,3380,-641
4026,Tinn,2030,2747,3380,-633
4026,Tinn,2031,2754,3380,-626
4026,Tinn,2032,2757,3380,-623
4026,Tinn,2033,2764,3380,-616
4026,Tinn,2034,2764,3380,-616
4026,Tinn,2035,2767,3380,-613
4026,Tinn,2036,2764,3380,-616
4026,Tinn,2037,2765,3380,-615
4026,Tinn,2038,2765,3380,-615
4026,Tinn,2039,2759,3380,-621
4026,Tinn,2040,2755,3380,-625
4026,Tinn,2041,2753,3380,-627
4026,Tinn,2042,2750,3380,-630
4026,Tinn,2043,2745,3380,-635
4026,Tinn,2044,2738,3380,-642
4026,Tinn,2045,2736,3380,-644
4026,Tinn,2046,2730,3380,-650
4026,Tinn,2047,2727,3380,-653
4026,Tinn,2048,2725,3380,-655
4026,Tinn,2049,2721,3380,-659
4026,Tinn,2050,2719,3380,-661
4028,Kviteseid,2026,1225,1333,-108
4028,Kviteseid,2027,1229,1333,-104
4028,Kviteseid,2028,1232,1333,-101
4028,Kviteseid,2029,1237,1333,-96
4028,Kviteseid,2030,1243,1333,-90
4028,Kviteseid,2031,1249,1333,-84
4028,Kviteseid,2032,1255,1333,-78
4028,Kviteseid,2033,1262,1333,-71
4028,Kviteseid,2034,1267,1333,-66
4028,Kviteseid,2035,1272,1333,-61
4028,Kviteseid,2036,1273,1333,-60
4028,Kviteseid,2037,1280,1333,-53
4028,Kviteseid,2038,1284,1333,-49
4028,Kviteseid,2039,1286,1333,-47
4028,Kviteseid,2040,1290,1333,-43
4028,Kviteseid,2041,1295,1333,-38
4028,Kviteseid,2042,1297,1333,-36
4028,Kviteseid,2043,1303,1333,-30
4028,Kviteseid,2044,1304,1333,-29
4028,Kviteseid,2045,1306,1333,-27
4028,Kviteseid,2046,1310,1333,-23
4028,Kviteseid,2047,1309,1333,-24
4028,Kviteseid,2048,1311,1333,-22
4028,Kviteseid,2049,1310,1333,-23
4028,Kviteseid,2050,1311,1333,-22
4030,Nissedal,2026,718,819,-101
4030,Nissedal,2027,722,819,-97
4030,Nissedal,2028,730,819,-89
4030,Nissedal,2029,738,819,-81
4030,Nissedal,2030,747,819,-72
4030,Nissedal,2031,753,819,-66
4030,Nissedal,2032,757,819,-62
4030,Nissedal,2033,761,819,-58
4030,Nissedal,2034,766,819,-53
4030,Nissedal,2035,769,819,-50
4030,Nissedal,2036,773,819,-46
4030,Nissedal,2037,776,819,-43
4030,Nissedal,2038,780,819,-39
4030,Nissedal,2039,784,819,-35
4030,Nissedal,2040,788,819,-31
4030,Nissedal,2041,789,819,-30
4030,Nissedal,2042,794,819,-25
4030,Nissedal,2043,794,819,-25
4030,Nissedal,2044,795,819,-24
4030,Nissedal,2045,795,819,-24
4030,Nissedal,2046,795,819,-24
4030,Nissedal,2047,798,819,-21
4030,Nissedal,2048,798,819,-21
4030,Nissedal,2049,797,819,-22
4030,Nissedal,2050,797,819,-22
4032,Fyresdal,2026,610,653,-43
4032,Fyresdal,2027,617,653,-36
4032,Fyresdal,2028,621,653,-32
4032,Fyresdal,2029,625,653,-28
4032,Fyresdal,2030,626,653,-27
4032,Fyresdal,2031,633,653,-20
4032,Fyresdal,2032,632,653,-21
4032,Fyresdal,2033,637,653,-16
4032,Fyresdal,2034,637,653,-16
4032,Fyresdal,2035,642,653,-11
4032,Fyresdal,2036,645,653,-8
4032,Fyresdal,2037,645,653,-8
4032,Fyresdal,2038,650,653,-3
4032,Fyresdal,2039,648,653,-5
4032,Fyresdal,2040,651,653,-2
4032,Fyresdal,2041,652,653,-1
4032,Fyresdal,2042,656,653,3
4032,Fyresdal,2043,656,653,3
4032,Fyresdal,2044,656,653,3
4032,Fyresdal,2045,658,653,5
4032,Fyresdal,2046,656,653,3
4032,Fyresdal,2047,659,653,6
4032,Fyresdal,2048,659,653,6
4032,Fyresdal,2049,657,653,4
4032,Fyresdal,2050,659,653,6
4034,Tokke,2026,1056,973,83
4034,Tokke,2027,1056,973,83
4034,Tokke,2028,1061,973,88
4034,Tokke,2029,1067,973,94
4034,Tokke,2030,1071,973,98
4034,Tokke,2031,1075,973,102
4034,Tokke,2032,1081,973,108
4034,Tokke,2033,1082,973,109
4034,Tokke,2034,1086,973,113
4034,Tokke,2035,1090,973,117
4034,Tokke,2036,1090,973,117
4034,Tokke,2037,1092,973,119
4034,Tokke,2038,1095,973,122
4034,Tokke,2039,1100,973,127
4034,Tokke,2040,1102,973,129
4034,Tokke,2041,1102,973,129
4034,Tokke,2042,1105,973,132
4034,Tokke,2043,1104,973,131
4034,Tokke,2044,1105,973,132
4034,Tokke,2045,1105,973,132
4034,Tokke,2046,1105,973,132
4034,Tokke,2047,1105,973,132
4034,Tokke,2048,1105,973,132
4034,Tokke,2049,1105,973,132
4034,Tokke,2050,1104,973,131
4036,Vinje,2026,1815,2015,-200
4036,Vinje,2027,1831,2015,-184
4036,Vinje,2028,1840,2015,-175
4036,Vinje,2029,1851,2015,-164
4036,Vinje,2030,1862,2015,-153
4036,Vinje,2031,1870,2015,-145
4036,Vinje,2032,1881,2015,-134
4036,Vinje,2033,1890,2015,-125
4036,Vinje,2034,1900,2015,-115
4036,Vinje,2035,1905,2015,-110
4036,Vinje,2036,1914,2015,-101
4036,Vinje,2037,1920,2015,-95
4036,Vinje,2038,1930,2015,-85
4036,Vinje,2039,1933,2015,-82
4036,Vinje,2040,1936,2015,-79
4036,Vinje,2041,1943,2015,-72
4036,Vinje,2042,1950,2015,-65
4036,Vinje,2043,1953,2015,-62
4036,Vinje,2044,1955,2015,-60
4036,Vinje,2045,1958,2015,-57
4036,Vinje,2046,1960,2015,-55
4036,Vinje,2047,1965,2015,-50
4036,Vinje,2048,1967,2015,-48
4036,Vinje,2049,1969,2015,-46
4036,Vinje,2050,1972,2015,-43
