Kommune,År,Kjønn,Alder,Dødsårsaker,Måltall,Antall,SortKommune
Drangedal,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",207.1,4
Drangedal,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",207.0,4
Drangedal,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",188.5,4
Drangedal,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",209.7,4
Drangedal,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",435.7,4
Drangedal,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",268.4,4
Drangedal,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",205.5,4
Drangedal,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",245.9,4
Drangedal,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",284.1,4
Nome,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",310.6,11
Nome,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",201.8,11
Nome,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",254.4,11
Nome,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",279.4,11
Nome,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",289.6,11
Nome,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",142.5,11
Nome,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",164.7,11
Nome,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",274.5,11
Nome,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",224.7,11
Nome,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",274.4,11
Midt-Telemark,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",242.5,9
Midt-Telemark,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100.000, standardisert",240.8,9
