Geografi,År,Kjønn,Alder,Plagegrad,Sosioøkonomiske ressurser (SØR),Måltall,value
Skien,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",7.09100520989166
Skien,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",20.7177585765263
Notodden,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.4107817851756
Notodden,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",7.73247301741851
Notodden,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",19.0066028418057
Notodden,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",14.080336468479
Notodden,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",7.59831355637124
Notodden,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",20.458262426144
Notodden,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",17.7737895601896
Notodden,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",9.87928782189994
Notodden,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",25.608317821608
Siljan,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.5734441652568
Siljan,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Siljan,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Siljan,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",13.3593195134251
Bamble,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",9.53481871892456
Bamble,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",17.1966198534416
Bamble,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Bamble,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
