Geografi,År,Kjønn,Alder,Svarkategori,sosial status,Måltall,value
Skien,2022,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Skien,2023,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Skien,2023,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Skien,2023,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Skien,2024,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",21.1863383310605
Skien,2024,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",10.80188302544
Skien,2024,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",31.4564326754381
Notodden,2018,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",18.1298420138356
Notodden,2018,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",9.73670774049634
Notodden,2018,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",26.4295453554654
Notodden,2019,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Notodden,2019,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Notodden,2019,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Notodden,2020,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Notodden,2020,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Notodden,2020,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Notodden,2021,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",11.2302892728253
Notodden,2021,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",7.48316465947999
Notodden,2021,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",14.9402233829904
Notodden,2022,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Notodden,2022,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Notodden,2022,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Notodden,2023,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Notodden,2023,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Notodden,2023,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Notodden,2024,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",20.4761212064223
Notodden,2024,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",9.50558273624487
Notodden,2024,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",31.36582789068
Siljan,2018,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",14.7584176485937
Siljan,2018,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",:
Siljan,2018,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",:
Siljan,2019,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Siljan,2019,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Siljan,2019,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Siljan,2020,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Siljan,2020,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Siljan,2020,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
