Geografi,År,Kjønn,Alder,Antallganger vises ikke,Sosial status,Måltall,value
Bamble,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Bamble,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",5.6786727648692
Bamble,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Bamble,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Bamble,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",16.2418452792708
Kragerø,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Kragerø,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Kragerø,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",8.73652405175179
Kragerø,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Kragerø,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Kragerø,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",14.1340836650067
Drangedal,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Drangedal,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Drangedal,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",21.8488356455048
Drangedal,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Drangedal,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Drangedal,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",12.9876738045649
Nome,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Nome,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Nome,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",12.3770051038473
Nome,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Nome,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Nome,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",14.1646923497865
Midt-Telemark,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Midt-Telemark,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Midt-Telemark,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",17.4826345064037
Midt-Telemark,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Midt-Telemark,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Midt-Telemark,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",:
Seljord,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Seljord,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Seljord,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",12.5233547650429
Seljord,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Seljord,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Seljord,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",12.9060424534808
Hjartdal,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Hjartdal,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Hjartdal,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Hjartdal,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Hjartdal,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Hjartdal,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Tinn,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Tinn,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Tinn,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",15.99981468614
Tinn,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Tinn,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Tinn,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",14.657004749341
Kviteseid,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Kviteseid,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Kviteseid,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Kviteseid,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Kviteseid,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Kviteseid,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Nissedal,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Nissedal,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Nissedal,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Nissedal,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Nissedal,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Nissedal,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Fyresdal,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Fyresdal,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Fyresdal,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Fyresdal,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Fyresdal,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Fyresdal,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Tokke,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Tokke,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Tokke,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Tokke,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Tokke,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Tokke,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",9.90797749369366
Vinje,2019,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Vinje,2020,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Vinje,2021,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",12.7311250984294
Vinje,2022,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Vinje,2023,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",..
Vinje,2024,kjønn samlet,8-10.trinn,engangellerflere,samlet,"andel (prosent, standardisert)",12.088631150194
