Geografi,År,Alder,Innvandringskategori,Lavinntektsgrense,Måltall,value
Kviteseid,2015-2017,alle aldre,totalt,EU 60,andel (prosent),8.77812086457874
Kviteseid,2015-2017,0-17 år,totalt,EU 60,andel (prosent),6.46067415730337
Kviteseid,2016-2018,alle aldre,totalt,EU 60,andel (prosent),8.61538461538462
Kviteseid,2016-2018,0-17 år,totalt,EU 60,andel (prosent),6.70391061452514
Kviteseid,2017-2019,alle aldre,totalt,EU 60,andel (prosent),8.88599913307326
Kviteseid,2017-2019,0-17 år,totalt,EU 60,andel (prosent),6.92520775623269
Kviteseid,2018-2020,alle aldre,totalt,EU 60,andel (prosent),9.23936398796734
Kviteseid,2018-2020,0-17 år,totalt,EU 60,andel (prosent),7.06214689265537
Kviteseid,2019-2021,alle aldre,totalt,EU 60,andel (prosent),9.81989708404803
Kviteseid,2019-2021,0-17 år,totalt,EU 60,andel (prosent),8.95953757225434
Kviteseid,2020-2022,alle aldre,totalt,EU 60,andel (prosent),10.100568430258
Kviteseid,2020-2022,0-17 år,totalt,EU 60,andel (prosent),7.71513353115727
Kviteseid,2021-2023,alle aldre,totalt,EU 60,andel (prosent),9.71428571428571
Kviteseid,2021-2023,0-17 år,totalt,EU 60,andel (prosent),8.25958702064897
Nissedal,2015-2017,alle aldre,totalt,EU 60,andel (prosent),9.87654320987654
Nissedal,2015-2017,0-17 år,totalt,EU 60,andel (prosent),6.53061224489796
Nissedal,2016-2018,alle aldre,totalt,EU 60,andel (prosent),11.6929698708752
Nissedal,2016-2018,0-17 år,totalt,EU 60,andel (prosent),13.8059701492537
Nissedal,2017-2019,alle aldre,totalt,EU 60,andel (prosent),12.129963898917
Nissedal,2017-2019,0-17 år,totalt,EU 60,andel (prosent),14.4404332129964
Nissedal,2018-2020,alle aldre,totalt,EU 60,andel (prosent),10.5567606652205
Nissedal,2018-2020,0-17 år,totalt,EU 60,andel (prosent),13.4057971014493
Nissedal,2019-2021,alle aldre,totalt,EU 60,andel (prosent),11.4222549742078
Nissedal,2019-2021,0-17 år,totalt,EU 60,andel (prosent),13.7404580152672
Nissedal,2020-2022,alle aldre,totalt,EU 60,andel (prosent),9.05743740795287
Nissedal,2020-2022,0-17 år,totalt,EU 60,andel (prosent),7.5098814229249
