Dato,Furulund NO2 µg/m³,Furulund PM10 µg/m³,Haukenes NO2 µg/m³,Knarrdalstranda NO2 µg/m³,Knarrdalstranda PM10 µg/m³,Lensmannsdalen NO2 µg/m³,Lensmannsdalen PM10 µg/m³,Sverresgate NO2 µg/m³,Sverresgate PM10 µg/m³,Datadekning (%),Datadekning (%).1,Datadekning (%).2,Datadekning (%).3,Datadekning (%).4,Datadekning (%).5,Datadekning (%).6,Datadekning (%).7,Datadekning (%).8
2014-04-19,,,2.2415364,,,12.76157054,18.73208333,16.39368272,16.69708333,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-20,,,2.16491909,,,17.59598396,28.97190476,20.15676255,22.00458333,0.88,1.0,1.0,1.0,1.0,,,,
2014-04-21,,,0.88417814,,,13.35768641,24.74541667,11.78702768,19.81833333,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-22,,,2.10146826,,,17.42134012,28.2173913,28.2952943,30.13083333,0.96,0.92,0.92,0.92,1.0,,,,
2014-04-23,,,2.17769244,,,14.66804732,26.4,22.89838535,23.83791667,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-24,,,1.72071334,,,18.7609312,38.84375,16.80093126,18.14083333,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-25,,,2.17941129,,,25.24365896,35.37416667,22.36748127,23.925,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-26,,,2.33139456,,,23.75974874,32.31708333,27.26227468,28.52208333,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-27,,,1.37148795,,,16.92616582,28.55416667,21.15037796,23.30166667,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-28,,,-0.11871006,,,23.65516443,39.87958333,24.53055012,26.36333333,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-29,,,-0.30460889,,,22.62942031,34.28333333,,15.89238095,1.0,1.0,1.0,,0.88,,,,
2014-04-30,,,0.9995101,,,19.0967111,29.54875,,20.6525,1.0,0.92,0.96,,1.0,,,,
2014-05-01,,,-0.95076405,,,9.81926864,12.7875,6.49975123,8.635,1.0,1.0,1.0,1.0,1.0,,,,
2014-05-02,,,-0.06308612,,,23.51534287,27.6375,18.61642625,15.76666667,1.0,1.0,1.0,1.0,1.0,,,,
2014-05-03,,,-0.70170539,,,12.84648523,20.64791667,6.0675542,11.30708333,1.0,1.0,1.0,1.0,1.0,,,,
2014-05-04,,,-0.35210008,,,13.19185547,13.53458333,10.09308025,9.49666667,1.0,1.0,1.0,1.0,1.0,,,,
2014-05-05,,,1.54146669,,,,,,,,,1.0,,,,,,
2014-05-06,,,3.40677397,,,,,19.43734391,,,,0.92,0.92,,,,,
2014-05-07,,,2.01402127,,,,6.105,10.82423394,4.2075,1.0,,0.96,1.0,1.0,,,,
2014-05-08,,,1.46198492,,,,12.25125,7.72477349,6.14166667,1.0,,1.0,1.0,1.0,,,,
2014-05-09,,,0.97640908,,,,17.34791667,14.22273672,11.20625,1.0,,1.0,1.0,1.0,,,,
2014-05-10,,,2.04115584,,,,13.93333333,17.26314372,13.14041667,1.0,,1.0,1.0,1.0,,,,
2014-05-11,,,0.42606904,,,,8.96958333,3.41814192,6.92083333,1.0,,1.0,1.0,1.0,,,,
2014-05-12,,,0.12458254,,,,13.95625,7.22753025,7.90166667,1.0,,1.0,1.0,1.0,,,,
2014-05-13,,,0.2556456,,,,13.10375,15.57974185,7.54875,1.0,,0.96,0.96,1.0,,,,
2014-05-14,,,-0.37162677,,,,16.49541667,9.33029402,11.49041667,1.0,,1.0,1.0,1.0,,,,
2014-05-15,,,1.10152603,,,24.71966412,24.14958333,23.68585471,18.26,1.0,1.0,1.0,1.0,1.0,,,,
2014-05-16,,,0.88233261,,,22.92255317,21.76166667,25.68703429,18.15916667,1.0,1.0,1.0,1.0,1.0,,,,
2014-05-17,,,3.01004692,,,11.90258057,21.92208333,15.20570871,22.5225,1.0,1.0,1.0,1.0,1.0,,,,
2014-05-18,,,3.55857388,,,16.45127661,21.98166667,16.46540444,19.61208333,1.0,1.0,1.0,1.0,1.0,,,,
2014-05-19,,,5.12675638,,,22.2018154,24.23208333,18.92817787,17.54041667,1.0,1.0,1.0,1.0,1.0,,,,
2014-05-20,,,3.89029905,,,22.42485964,24.02125,20.65164036,,1.0,1.0,0.96,0.92,,,,,
2014-05-21,,,6.1863495,,,28.84007367,,31.55755726,21.50041667,,0.92,1.0,1.0,1.0,,,,
2014-05-22,,,5.02699645,,,27.69960133,30.96041667,35.1259067,31.95041667,1.0,1.0,1.0,1.0,1.0,,,,
2014-05-23,,,2.11219336,,,29.73458664,33.77916667,30.53811167,32.5875,1.0,1.0,1.0,1.0,1.0,,,,
