Fra-tid;Til-tid;Lensmannsdalen PM10 µg/m³;Datadekning (%);Lensmannsdalen NO2 µg/m³;Datadekning (%).1;Haukenes NO2 µg/m³;Datadekning (%).2;Sverresgate NO2 µg/m³;Datadekning (%).3;Sverresgate PM10 µg/m³;Datadekning (%).4;Furulund NO2 µg/m³;Datadekning (%).5;Furulund PM10 µg/m³;Datadekning (%).6;Knarrdalstranda PM10 µg/m³;Datadekning (%).7;Knarrdalstranda NO2 µg/m³;Datadekning (%).8
11.06.2025 00:00;12.06.2025 00:00;13,20137331;100;7,28071702;100;1,97096177;100;4,03123569;100;8,85035308;100;10,73867117;100;9,56153416;100;7,68692721;100;7,86387097;100
12.06.2025 00:00;13.06.2025 00:00;13,19159372;96;6,87287261;100;4,19825096;100;5,20869797;100;20,30623379;100;12,91259489;100;14,76330751;100;10,07909386;100;9,11995674;100
13.06.2025 00:00;14.06.2025 00:00;16,18500023;100;6,60934443;100;0,33117472;100;6,24718667;100;9,48207909;100;18,62113564;100;14,28444961;100;19,28565749;100;2,65920552;100
14.06.2025 00:00;15.06.2025 00:00;7,18347826;100;4,93625819;96;3,16461731;96;8,96977808;96;11,62164597;100;7,24274668;96;8,26250847;100;9,97967626;100;5,95269723;96
15.06.2025 00:00;16.06.2025 00:00;7,86546079;100;6,01432311;100;2,14195779;100;5,82565872;100;16,8898376;100;4,54260997;100;15,78634476;100;16,22886798;100;1,7190385;100
16.06.2025 00:00;17.06.2025 00:00;12,78317217;100;6,3826485;100;1,60470623;100;5,97807427;100;7,40551621;100;3,82141141;100;16,80404235;100;15,10098922;100;2,28916576;100
17.06.2025 00:00;18.06.2025 00:00;10,87745602;96;8,53935445;100;2,14851761;100;5,36821737;100;14,17099303;96;4,21289766;100;19,42235268;100;10,49954582;100;5,21972387;100
18.06.2025 00:00;19.06.2025 00:00;16,49075269;100;7,5254806;100;0,33117472;100;2,47881849;100;19,17987161;100;8,13661517;100;19,27571599;100;28,95056799;100;1,7190385;100
19.06.2025 00:00;20.06.2025 00:00;11,32077045;100;4,53196395;100;1,71511321;100;5,45626559;100;5,90333333;100;10,3582075;100;7,08587788;100;18,98417089;100;12,37689195;100
20.06.2025 00:00;21.06.2025 00:00;9,18776081;100;7,49772275;100;2,51779369;100;5,61560917;100;13,97231375;100;10,01581613;100;9,29097521;100;4,610236;100;1,7190385;100
21.06.2025 00:00;22.06.2025 00:00;21,36096803;100;6,49001266;96;4,07752611;100;9,16269071;100;14,32140959;100;12,93980665;96;16,57468491;100;16,03083517;100;4,50788606;96
22.06.2025 00:00;23.06.2025 00:00;14,20655249;100;6,07531465;100;1,29956967;96;5,15161463;96;16,74280078;100;8,61520861;100;16,56842164;100;10,43231589;100;6,675127;100
23.06.2025 00:00;24.06.2025 00:00;15,44717636;100;7,90638529;100;0,89568111;100;6,05889398;100;7,37728013;100;16,26672581;100;16,57474717;100;20,42639887;100;11,65115094;100
24.06.2025 00:00;25.06.2025 00:00;9,13512293;96;8,50223465;100;1,32255019;100;5,44120656;100;6,98987846;96;7,14039914;100;21,81008414;100;9,56944962;100;1,7190385;100
25.06.2025 00:00;26.06.2025 00:00;12,85890618;100;8,3605355;100;3,29473579;100;3,3581799;100;15,53715605;100;22,51640387;100;16,85470727;100;14,04292997;100;10,59518362;100
26.06.2025 00:00;27.06.2025 00:00;15,63072659;96;5,84469618;100;2,47832454;100;7,60426556;100;14,49353311;96;11,86943668;100;19,68562618;100;18,1332016;100;6,21756628;100
27.06.2025 00:00;28.06.2025 00:00;10,29305435;100;6,59782217;100;1,28357967;100;6,88622494;100;14,27784764;100;3,99327788;100;18,77538136;100;20,51432519;100;2,45197504;100
28.06.2025 00:00;29.06.2025 00:00;16,75067773;100;7,50792461;96;2,73510617;100;6,95804726;96;14,72300499;100;2,85800537;96;17,25828635;100;6,87806765;100;7,93329453;96
29.06.2025 00:00;30.06.2025 00:00;12,62095384;100;8,42343514;100;2,15591668;100;3,83448084;100;9,96097842;100;11,10884383;100;12,41207066;100;12,59244861;100;6,9345311;100
30.06.2025 00:00;31.06.2025 00:00;13,92773386;100;6,35630999;100;3,36883108;100;8,0818173;100;14,19323232;100;7,35920506;100;17,79761329;100;11,66549617;100;3,8997199;100
