Nivå,Geografisk enhet,Yrke,Antall søkere,Antall utlyste stillinger,Dato
Fylker,Svalbard og øvrige områder,Ingeniør- og ikt-fag,2.0,0.0,2025-08-01
Fylker,Svalbard og øvrige områder,Kontorarbeid,3.0,0.0,2025-08-01
Fylker,Svalbard og øvrige områder,Ledere,2.0,0.0,2025-08-01
Fylker,Svalbard og øvrige områder,Reiseliv og transport,2.0,0.0,2025-08-01
Fylker,Svalbard og øvrige områder,Serviceyrker og annet arbeid,1.0,0.0,2025-08-01
Fylker,Svalbard og øvrige områder,Undervisning,2.0,0.0,2025-08-01
Fylker,Telemark,Akademiske yrker,45.0,19.0,2025-08-01
Fylker,Telemark,Barne- og ungdomsarbeid,181.0,17.0,2025-08-01
Fylker,Telemark,Butikk- og salgsarbeid,385.0,175.0,2025-08-01
Fylker,Telemark,Bygg og anlegg,326.0,93.0,2025-08-01
Fylker,Telemark,"Helse, pleie og omsorg",277.0,232.0,2025-08-01
Fylker,Telemark,Industriarbeid,329.0,70.0,2025-08-01
Fylker,Telemark,Ingen yrkesbakgrunn eller uoppgitt,495.0,0.0,2025-08-01
Fylker,Telemark,Ingeniør- og ikt-fag,149.0,38.0,2025-08-01
Fylker,Telemark,"Jordbruk, skogbruk og fiske",42.0,6.0,2025-08-01
Fylker,Telemark,Kontorarbeid,195.0,35.0,2025-08-01
Fylker,Telemark,Ledere,105.0,19.0,2025-08-01
Fylker,Telemark,Meglere og konsulenter,57.0,19.0,2025-08-01
Fylker,Telemark,Reiseliv og transport,281.0,67.0,2025-08-01
Fylker,Telemark,Serviceyrker og annet arbeid,352.0,122.0,2025-08-01
Fylker,Telemark,Undervisning,129.0,29.0,2025-08-01
Fylker,Troms,Akademiske yrker,42.0,44.0,2025-08-01
Fylker,Troms,Barne- og ungdomsarbeid,95.0,131.0,2025-08-01
Fylker,Troms,Butikk- og salgsarbeid,157.0,286.0,2025-08-01
Fylker,Troms,Bygg og anlegg,150.0,56.0,2025-08-01
Fylker,Troms,"Helse, pleie og omsorg",149.0,462.0,2025-08-01
Fylker,Troms,Industriarbeid,203.0,96.0,2025-08-01
Fylker,Troms,Ingen yrkesbakgrunn eller uoppgitt,251.0,2.0,2025-08-01
Fylker,Troms,Ingeniør- og ikt-fag,90.0,51.0,2025-08-01
Fylker,Troms,"Jordbruk, skogbruk og fiske",43.0,2.0,2025-08-01
Fylker,Troms,Kontorarbeid,107.0,69.0,2025-08-01
Fylker,Troms,Ledere,43.0,24.0,2025-08-01
Fylker,Troms,Meglere og konsulenter,32.0,28.0,2025-08-01
Fylker,Troms,Reiseliv og transport,184.0,143.0,2025-08-01
