Kommune;Stor grad av trivsel i nærmiljøet;Kulturtilbud -god eller svært god tilgang;Idrettstilbud -god eller svært god tilgang;Butikker, spisesteder og andre servicetilbud -god eller svært god tilgang;Offentlig transport -god eller svært god tilgang;Natur- og friluftsområder -god eller svært god tilgang;Kystlinje/strand/sjø -god eller svært god tilgang;Gang- og sykkelveier -godt eller svært godt utbygde;Ukentlig deltakelse i organisert aktivitet;Ukentlig deltakelse i annen aktivitet;God eller svært god helse;God eller svært god tannhelse;Mer enn 2 år siden du var hos tannlege/-pleier;Fedme KMI 30+;HSCL-5 >2;Søvnproblemer Insomni;I stor grad påvirket grunnet helseproblemer;Stor grad av funksjonsnedsettelse grunnet skade;Nakkesmerter siste 28 dager;Korsryggsmerter siste 28 dager;Høy sosial støtte;Ensomhet UCLA-3;Sammen med gode venner ukentlig eller oftere;Minst 30 minutter moderat fysisk aktivitet 4+ dager i uken;Sukkerholdig brus/leskedrikk 2-3 ganger i uken eller oftere;Frukt eller bær daglig eller oftere;Grønnsaker daglig eller oftere;Fisk 2-3 ganger i uken eller oftere;Daglig røyking;Daglig snusing;Drikker alkohol 2 ganger i uken eller oftere;Episodisk høyt alkoholforbruk månedlig eller oftere;Utsatt for skade selvrapport siste 12 måneder;Plaget av støy fra trafikk hjemme;Plaget av annen støy hjemme;Andel med økonomiske vansker
Midt-Telemark;0,755;0,863;0,858;0,89;0,382;0,957;0,417;0,473;0,255;0,475;0,697;0,731;0,116;0,157;0,14;0,13;0,135;0,064;0,399;0,46;0,396;0,138;0,563;0,229;0,287;0,387;0,532;0,489;0,097;0,122;0,185;0,129;0,168;0,095;0,07;0,219
Nissedal;0,72;0,389;0,66;0,517;0;0,956;0,875;0,46;0,296;0,409;0,715;0,663;0,14;0,208;0,134;0,173;0,151;0,071;0,41;0,45;0,41;0,157;0,556;0,14;0,314;0,381;0,441;0,475;0,138;0,13;0,147;0,134;0,193;0,063;0;0,168
Nome;0,741;0,614;0,74;0,743;0,231;0,943;0,696;0,206;0,282;0,416;0,706;0,724;0,105;0,208;0,112;0,1;0,13;0,07;0,395;0,409;0,394;0,09;0,54;0,176;0,289;0,36;0,435;0,445;0,147;0,115;0,149;0,147;0,167;0,112;0,077;0,208
Notodden;0,686;0,779;0,733;0,759;0,287;0,917;0,56;0,465;0,239;0,457;0,651;0,691;0,125;0,201;0,145;0,143;0,173;0,089;0,448;0,462;0,352;0,118;0,572;0,201;0,304;0,316;0,421;0,414;0,1;0,128;0,19;0,159;0,141;0,115;0,103;0,206
Porsgrunn;0,776;0,869;0,862;0,894;0,68;0,908;0,886;0,743;0,275;0,494;0,694;0,734;0,112;0,198;0,143;0,143;0,133;0,067;0,41;0,444;0,354;0,111;0,542;0,202;0,277;0,315;0,464;0,461;0,092;0,133;0,246;0,171;0,164;0,114;0,106;0,193
Sandefjord;0,767;0,843;0,875;0,893;0,487;0,919;0,847;0,585;0,256;0,471;0,71;0,726;0,119;0,18;0,15;0,126;0,129;0,063;0,415;0,424;0,349;0,125;0,505;0,197;0,262;0,324;0,483;0,49;0,093;0,127;0,264;0,17;0,17;0,123;0,103;0,19
Seljord;0,725;0,64;0,771;0,744;0,247;0,926;0,578;0,309;0,261;0,413;0,701;0,757;0,1;0,212;0,118;0,143;0,139;0,078;0,391;0,43;0,374;0,106;0,546;0,189;0,331;0,367;0,484;0,464;0,1;0,103;0,216;0,141;0,147;0,08;0,05;0,214
Siljan;0,775;0,474;0,743;0,694;0,484;0,963;0,58;0,445;0,211;0,35;0,681;0,756;0,113;0,239;0,138;0,15;0,15;0,059;0,412;0,472;0,405;0,113;0,492;0,211;0,27;0,33;0,451;0,439;0,101;0,125;0,17;0,103;0,172;0,084;0,053;0,2
Skien;0,774;0,877;0,888;0,889;0,621;0,922;0,674;0,604;0,262;0,485;0,709;0,729;0,11;0,191;0,135;0,136;0,133;0,059;0,414;0,432;0,355;0,108;0,53;0,194;0,269;0,317;0,441;0,466;0,099;0,129;0,222;0,157;0,155;0,113;0,085;0,195
Tinn;0,763;0,582;0,841;0,69;0,202;0,929;0,552;0,221;0,212;0,421;0,711;0,726;0,112;0,21;0,134;0,127;0,127;0,056;0,459;0,436;0,369;0,11;0,52;0,175;0,3;0,266;0,415;0,436;0,09;0,125;0,189;0,114;0,143;0,069;0,069;0,14
Tokke;0,73;0,548;0,829;0,66;0,092;0,962;0,577;0,378;0,219;0,393;0,722;0,754;0,132;0,233;0,105;0,121;0,12;0,048;0,371;0,425;0,412;0,099;0,541;0,159;0,328;0,294;0,42;0,458;0,1;0,129;0,155;0,162;0,149;0,079;0,048;0,183
Tønsberg;0,778;0,863;0,84;0,914;0,641;0,901;0,826;0,704;0,253;0,487;0,747;0,741;0,117;0,17;0,126;0,12;0,116;0,056;0,423;0,428;0,373;0,112;0,511;0,218;0,246;0,34;0,519;0,502;0,079;0,128;0,279;0,179;0,16;0,105;0,104;0,175
Vestfold og Telemark;0,766;0,785;0,825;0,849;0,525;0,925;0,828;0,605;0,259;0,47;0,711;0,731;0,117;0,189;0,139;0,13;0,13;0,063;0,419;0,438;0,363;0,115;0,517;0,204;0,266;0,33;0,482;0,488;0,092;0,125;0,25;0,165;0,164;0,107;0,09;0,187
Vinje;0,737;0,465;0,823;0,71;0,081;0,956;0,594;0,372;0,241;0,368;0,739;0,748;0,132;0,184;0,11;0,128;0,108;0,045;0,41;0,418;0,413;0,111;0,517;0,209;0,32;0,347;0,448;0,484;0,087;0,122;0,21;0,147;0,165;0,096;0,031;0,175
