ï»¿ogc_fid;ssbid250m;pop_tot
436;23420006648500;7
437;23420006648750;10
438;23417506648750;2
439;23467506647750;4
440;23455006648500;3
441;23452506648750;4
442;23452506649000;6
443;23455006649000;2
444;23462506648500;1
445;23445006649250;4
446;23465006649750;1
447;23400006649000;2
448;23390006649250;4
449;23392506649250;1
450;23390006649500;1
451;23400006649250;6
452;23400006649500;2
453;23397506650250;4
454;23395006650500;2
455;23400006650500;2
456;23392506650000;4
457;23390006650000;3
458;23392506650500;3
459;23390006650500;8
460;23385006651250;6
461;23385006651500;3
462;23395006650750;6
463;23395006651000;5
464;23400006651250;5
465;23395006651500;9
466;23410006649250;3
467;23410006650000;1
468;23412506650000;2
469;23410006650250;10
470;23412506650250;4
471;23410006650500;1
472;23407506650000;1
473;23407506650250;4
474;23405006650250;5
475;23402506650500;9
476;23407506650500;3
477;23422506650750;2
478;23422506651000;2
479;23410006651000;2
480;23402506650750;5
481;23407506650750;1
482;23405006650750;13
483;23407506651000;3
484;23405006651000;5
485;23402506651000;3
486;23402506651250;7
487;23422506651250;5
488;23420006651250;2
489;23420006651500;1
490;23417506651500;3
491;23417506651750;4
492;23407506651750;3
493;23405006652000;6
494;23402506652000;13
495;23405006652250;37
496;23410006651500;2
497;23410006651750;8
498;23412506651750;4
499;23410006652000;10
500;23415006652000;2
501;23437506649750;2
502;23437506650000;20
503;23440006650250;4
504;23440006650500;2
505;23442506650500;9
506;23435006650000;8
507;23432506650000;9
508;23430006650000;7
509;23435006650250;4
510;23432506650250;3
511;23427506650000;4
512;23427506650250;6
513;23440006650750;7
514;23442506650750;2
515;23437506651000;5
516;23440006651000;8
517;23442506651000;5
518;23440006651250;3
519;23437506651250;2
520;23442506651250;1
521;23435006651750;1
522;23442506651500;2
523;23435006653250;3
524;23452506650750;9
525;23457506650750;5
526;23455006650750;2
527;23457506651000;4
528;23452506651000;2
529;23452506651500;1
530;23450006650750;3
531;23447506650750;2
532;23445006650750;1
533;23447506651000;4
534;23450006651000;11
535;23445006651250;12
536;23450006651250;2
537;23462506651250;3
538;23460006651500;1
539;23445006651500;4
540;23450006651500;2
541;23452506652000;5
542;23455006652000;2
543;23452506652250;2
544;23462506652000;1
545;23445006652250;4
546;23392506650750;2
547;23390006650750;5
548;23387506650750;1
549;23390006651000;4
550;23387506651250;4
551;23400006651500;2
552;23397506651500;6
553;23395006651750;6
554;23397506651750;6
555;23392506651500;4
556;23390006651500;1
557;23387506651750;2
558;23392506651750;4
559;23390006652000;7
560;23387506652000;5
561;23392506652000;8
562;23392506652250;5
563;23382506652000;4
564;23382506652250;3
565;23385006652250;5
566;23385006652500;11
567;23382506652500;18
568;23382506652750;10
569;23385006652750;21
570;23382506653000;5
571;23390006652250;16
572;23387506652500;16
573;23392506652500;8
574;23387506652750;12
575;23392506652750;31
576;23390006652750;18
577;23392506653000;81
578;23390006653000;6
579;23400006652250;32
580;23400006652500;98
581;23397506652500;39
582;23400006652750;60
583;23395006652750;13
584;23397506652750;59
585;23400006653000;22
586;23395006653000;13
587;23397506653000;101
588;23400006653250;18
589;23395006653250;40
590;23397506653250;67
591;23395006653500;60
592;23397506653500;8
593;23397506653750;3
594;23395006653750;23
595;23382506653250;2
596;23382506654000;4
597;23390006653250;31
598;23392506653250;56
599;23390006653500;86
600;23392506653500;52
601;23392506653750;15
602;23390006653750;10
603;23395006654000;1
604;23395006654250;2
605;23395006654500;27
606;23395006654750;7
607;23417506652000;1
608;23420006652000;2
609;23422506652500;4
610;23420006652500;7
611;23422506652750;8
612;23402506652250;54
613;23405006652500;33
614;23402506652500;79
615;23402506652750;25
616;23407506653000;4
617;23412506652250;7
618;23415006652500;5
619;23415006652750;1
620;23410006652750;2
621;23415006653000;1
622;23410006653000;7
623;23420006652750;4
624;23422506653000;5
625;23417506653250;2
626;23405006653250;2
627;23402506653250;1
628;23407506653250;11
629;23402506653500;2
630;23407506653500;3
631;23405006653500;1
632;23405006653750;1
633;23402506653750;6
634;23402506654000;1
635;23410006653500;2
636;23415006653500;2
637;23412506653500;3
638;23415006653750;1
639;23420006653750;7
640;23420006654000;4
641;23420006654250;1
642;23405006654000;8
643;23422506654500;2
644;23462506653000;2
645;23460006653000;1
646;23452506652500;5
647;23455006652750;2
648;23457506653000;6
649;23455006653000;8
650;23457506653250;5
651;23452506653750;3
652;23455006654000;3
653;23445006653500;2
654;23450006653750;4
655;23445006653750;1
656;23450006654000;4
657;23447506654000;1
658;23445006654250;2
659;23450006654250;4
660;23450006654500;1
661;23452506654250;9
662;23455006654250;8
663;23452506654750;4
664;23425006653000;3
665;23425006653250;2
666;23432506653250;2
667;23432506653500;1
668;23437506653250;4
669;23437506653750;1
670;23425006653750;2
671;23425006654000;3
672;23425006654750;1
673;23442506654000;2
674;23442506654250;1
675;23442506654750;3
676;23437506654750;3
677;23442506655000;2
678;23437506655000;2
679;23440006655000;1
680;23440006655250;2
681;23392506654500;12
682;23392506654750;6
683;23385006654750;3
684;23382506654750;2
685;23382506655000;12
686;23382506655250;4
687;23382506655500;5
688;23397506655000;7
689;23395006655000;3
690;23400006655000;1
691;23395006655250;19
692;23397506655250;9
693;23395006655500;2
694;23400006655500;6
695;23392506655000;1
696;23392506655250;10
697;23382506655750;2
698;23392506655750;2
699;23392506656000;7
700;23400006655750;1
