Fra kommunenummer,Fra kommune,Til kommunenummer,Til kommune,År,Antall
4012,Bamble,4003,Skien,2025-01-01,118
4012,Bamble,4014,Kragerø,2025-01-01,17
4012,Bamble,4016,Drangedal,2025-01-01,1
4012,Bamble,4018,Nome,2025-01-01,4
4012,Bamble,4020,Midt-Telemark,2025-01-01,5
4012,Bamble,4022,Seljord,2025-01-01,2
4012,Bamble,4028,Kviteseid,2025-01-01,2
4014,Kragerø,4001,Porsgrunn,2025-01-01,25
4014,Kragerø,4003,Skien,2025-01-01,31
4014,Kragerø,4005,Notodden,2025-01-01,2
4014,Kragerø,4010,Siljan,2025-01-01,2
4014,Kragerø,4012,Bamble,2025-01-01,17
4014,Kragerø,4016,Drangedal,2025-01-01,22
4014,Kragerø,4018,Nome,2025-01-01,3
4014,Kragerø,4026,Tinn,2025-01-01,3
4016,Drangedal,4001,Porsgrunn,2025-01-01,14
4016,Drangedal,4003,Skien,2025-01-01,29
4016,Drangedal,4012,Bamble,2025-01-01,2
4016,Drangedal,4014,Kragerø,2025-01-01,20
4016,Drangedal,4018,Nome,2025-01-01,3
4016,Drangedal,4020,Midt-Telemark,2025-01-01,8
4016,Drangedal,4022,Seljord,2025-01-01,1
4016,Drangedal,4026,Tinn,2025-01-01,2
4016,Drangedal,4028,Kviteseid,2025-01-01,3
4016,Drangedal,4030,Nissedal,2025-01-01,3
4018,Nome,4001,Porsgrunn,2025-01-01,19
4018,Nome,4003,Skien,2025-01-01,66
4018,Nome,4005,Notodden,2025-01-01,12
4018,Nome,4012,Bamble,2025-01-01,3
4018,Nome,4014,Kragerø,2025-01-01,1
4018,Nome,4016,Drangedal,2025-01-01,5
4018,Nome,4020,Midt-Telemark,2025-01-01,58
4018,Nome,4022,Seljord,2025-01-01,3
4018,Nome,4024,Hjartdal,2025-01-01,4
4018,Nome,4026,Tinn,2025-01-01,9
4018,Nome,4028,Kviteseid,2025-01-01,2
4018,Nome,4030,Nissedal,2025-01-01,4
4018,Nome,4032,Fyresdal,2025-01-01,1
4018,Nome,4036,Vinje,2025-01-01,7
4020,Midt-Telemark,4001,Porsgrunn,2025-01-01,22
4020,Midt-Telemark,4003,Skien,2025-01-01,65
4020,Midt-Telemark,4005,Notodden,2025-01-01,45
4020,Midt-Telemark,4012,Bamble,2025-01-01,8
4020,Midt-Telemark,4014,Kragerø,2025-01-01,8
4020,Midt-Telemark,4016,Drangedal,2025-01-01,4
4020,Midt-Telemark,4018,Nome,2025-01-01,51
4020,Midt-Telemark,4022,Seljord,2025-01-01,16
4020,Midt-Telemark,4028,Kviteseid,2025-01-01,7
4020,Midt-Telemark,4032,Fyresdal,2025-01-01,2
4020,Midt-Telemark,4034,Tokke,2025-01-01,5
4020,Midt-Telemark,4036,Vinje,2025-01-01,14
4022,Seljord,4001,Porsgrunn,2025-01-01,9
4022,Seljord,4003,Skien,2025-01-01,11
4022,Seljord,4005,Notodden,2025-01-01,5
4022,Seljord,4012,Bamble,2025-01-01,2
4022,Seljord,4016,Drangedal,2025-01-01,1
4022,Seljord,4018,Nome,2025-01-01,2
4022,Seljord,4020,Midt-Telemark,2025-01-01,17
4022,Seljord,4024,Hjartdal,2025-01-01,5
4022,Seljord,4026,Tinn,2025-01-01,2
4022,Seljord,4028,Kviteseid,2025-01-01,7
4022,Seljord,4030,Nissedal,2025-01-01,1
4022,Seljord,4036,Vinje,2025-01-01,9
4024,Hjartdal,4003,Skien,2025-01-01,3
4024,Hjartdal,4005,Notodden,2025-01-01,29
4024,Hjartdal,4018,Nome,2025-01-01,1
4024,Hjartdal,4020,Midt-Telemark,2025-01-01,3
4024,Hjartdal,4022,Seljord,2025-01-01,3
