Fra kommunenummer,Fra kommune,Til kommunenummer,Til kommune,År,Antall
4003,Skien,4032,Fyresdal,2025-01-01,15
4003,Skien,4034,Tokke,2025-01-01,3
4003,Skien,4036,Vinje,2025-01-01,13
4003,Skien,4201,Risør,2025-01-01,5
4003,Skien,4202,Grimstad,2025-01-01,11
4003,Skien,4203,Arendal,2025-01-01,27
4003,Skien,4204,Kristiansand,2025-01-01,88
4003,Skien,4205,Lindesnes,2025-01-01,8
4003,Skien,4207,Flekkefjord,2025-01-01,1
4003,Skien,4211,Gjerstad,2025-01-01,3
4003,Skien,4212,Vegårshei,2025-01-01,2
4003,Skien,4213,Tvedestrand,2025-01-01,6
4003,Skien,4214,Froland,2025-01-01,3
4003,Skien,4215,Lillesand,2025-01-01,4
4003,Skien,4217,Åmli,2025-01-01,3
4003,Skien,4219,Evje og Hornnes,2025-01-01,1
4003,Skien,4221,Valle,2025-01-01,4
4003,Skien,4223,Vennesla,2025-01-01,3
4003,Skien,4225,Lyngdal,2025-01-01,4
4003,Skien,1101,Eigersund,2025-01-01,3
4003,Skien,1103,Stavanger,2025-01-01,23
4003,Skien,1106,Haugesund,2025-01-01,12
4003,Skien,1108,Sandnes,2025-01-01,10
4003,Skien,1112,Lund,2025-01-01,1
4003,Skien,1119,Hå,2025-01-01,2
4003,Skien,1120,Klepp,2025-01-01,4
4003,Skien,1122,Gjesdal,2025-01-01,4
4003,Skien,1124,Sola,2025-01-01,4
4003,Skien,1127,Randaberg,2025-01-01,2
4003,Skien,1146,Tysvær,2025-01-01,3
4003,Skien,1149,Karmøy,2025-01-01,3
4003,Skien,4601,Bergen,2025-01-01,41
4003,Skien,4613,Bømlo,2025-01-01,2
4003,Skien,4614,Stord,2025-01-01,1
4003,Skien,4617,Kvinnherad,2025-01-01,3
4003,Skien,4618,Ullensvang,2025-01-01,1
4003,Skien,4624,Bjørnafjorden,2025-01-01,1
4003,Skien,4626,Øygarden,2025-01-01,1
4003,Skien,4627,Askøy,2025-01-01,2
4003,Skien,4628,Vaksdal,2025-01-01,2
4003,Skien,4639,Vik,2025-01-01,2
4003,Skien,4640,Sogndal,2025-01-01,6
4003,Skien,4644,Luster,2025-01-01,2
4003,Skien,4647,Sunnfjord,2025-01-01,4
4003,Skien,4649,Stad,2025-01-01,4
4003,Skien,4650,Gloppen,2025-01-01,6
4003,Skien,4651,Stryn,2025-01-01,1
4003,Skien,1505,Kristiansund,2025-01-01,8
4003,Skien,1506,Molde,2025-01-01,9
4003,Skien,1508,Ålesund,2025-01-01,7
4003,Skien,1515,Herøy (Møre og Romsdal),2025-01-01,3
4003,Skien,1516,Ulstein,2025-01-01,3
4003,Skien,1520,Ørsta,2025-01-01,1
4003,Skien,1532,Giske,2025-01-01,2
4003,Skien,1539,Rauma,2025-01-01,1
4003,Skien,1577,Volda,2025-01-01,2
4003,Skien,1579,Hustadvika,2025-01-01,2
4003,Skien,1580,Haram,2025-01-01,4
4003,Skien,,Trondheim - Tråante,2025-01-01,50
4003,Skien,,Steinkjer - Stïentje,2025-01-01,6
4003,Skien,,Namsos - Nåavmesjenjaelmie,2025-01-01,2
4003,Skien,5027,Midtre Gauldal,2025-01-01,4
4003,Skien,5035,Stjørdal,2025-01-01,2
4003,Skien,5038,Verdal,2025-01-01,3
4003,Skien,5049,Flatanger,2025-01-01,3
4003,Skien,5053,Inderøy,2025-01-01,3
4003,Skien,1804,Bodø,2025-01-01,25
4003,Skien,1806,Narvik,2025-01-01,3
4003,Skien,,Rana - Raane,2025-01-01,2
4003,Skien,1836,Rødøy,2025-01-01,1
4003,Skien,,Fauske - Fuossko,2025-01-01,2
4003,Skien,1848,Steigen,2025-01-01,2
4003,Skien,1851,Lødingen,2025-01-01,3
4003,Skien,,Evenes - Evenássi,2025-01-01,2
4003,Skien,1860,Vestvågøy,2025-01-01,5
4003,Skien,1865,Vågan,2025-01-01,4
4003,Skien,1866,Hadsel,2025-01-01,2
4003,Skien,1868,Øksnes,2025-01-01,3
4003,Skien,5501,Tromsø,2025-01-01,12
4003,Skien,,Harstad - Hárstták,2025-01-01,6
4003,Skien,,Dielddanuorri - Tjeldsund,2025-01-01,3
4003,Skien,5520,Bardu,2025-01-01,2
4003,Skien,5530,Senja,2025-01-01,3
4003,Skien,5542,Skjervøy,2025-01-01,2
4003,Skien,,Nordreisa - Ráisa - Raisi,2025-01-01,5
4003,Skien,5601,Alta,2025-01-01,4
4003,Skien,,Hammerfest - Hámmerfeasta,2025-01-01,3
4003,Skien,5605,Sør-Varanger,2025-01-01,3
4003,Skien,5618,Måsøy,2025-01-01,1
4003,Skien,5624,Lebesby,2025-01-01,1
4003,Skien,,Deatnu - Tana,2025-01-01,4
4005,Notodden,3101,Halden,2025-01-01,2
4005,Notodden,3103,Moss,2025-01-01,8
4005,Notodden,3105,Sarpsborg,2025-01-01,3
4005,Notodden,3107,Fredrikstad,2025-01-01,1
4005,Notodden,3114,Våler (Østfold),2025-01-01,4
4005,Notodden,3118,Indre Østfold,2025-01-01,1
4005,Notodden,3201,Bærum,2025-01-01,14
4005,Notodden,3203,Asker,2025-01-01,10
4005,Notodden,3205,Lillestrøm,2025-01-01,4
4005,Notodden,3207,Nordre Follo,2025-01-01,2
4005,Notodden,3209,Ullensaker,2025-01-01,2
4005,Notodden,3212,Nesodden,2025-01-01,2
4005,Notodden,3216,Vestby,2025-01-01,2
4005,Notodden,3218,Ås,2025-01-01,2
4005,Notodden,3226,Aurskog-Høland,2025-01-01,1
4005,Notodden,3232,Nittedal,2025-01-01,1
4005,Notodden,3234,Lunner,2025-01-01,2
4005,Notodden,3238,Nannestad,2025-01-01,2
4005,Notodden,,Oslo - Oslove,2025-01-01,63
4005,Notodden,3301,Drammen,2025-01-01,25
4005,Notodden,3303,Kongsberg,2025-01-01,46
4005,Notodden,3305,Ringerike,2025-01-01,13
4005,Notodden,3312,Lier,2025-01-01,2
4005,Notodden,3314,Øvre Eiker,2025-01-01,4
4005,Notodden,3316,Modum,2025-01-01,2
4005,Notodden,3320,Flå,2025-01-01,4
4005,Notodden,3322,Nesbyen,2025-01-01,2
4005,Notodden,3330,Hol,2025-01-01,3
4005,Notodden,3332,Sigdal,2025-01-01,7
4005,Notodden,3334,Flesberg,2025-01-01,3
4005,Notodden,3336,Rollag,2025-01-01,3
4005,Notodden,3338,Nore og Uvdal,2025-01-01,4
4005,Notodden,3405,Lillehammer,2025-01-01,2
4005,Notodden,3407,Gjøvik,2025-01-01,1
4005,Notodden,3411,Ringsaker,2025-01-01,2
4005,Notodden,3413,Stange,2025-01-01,1
4005,Notodden,3417,Grue,2025-01-01,3
4005,Notodden,3418,Åsnes,2025-01-01,1
4005,Notodden,3423,Stor-Elvdal,2025-01-01,5
4005,Notodden,3442,Østre Toten,2025-01-01,3
4005,Notodden,3443,Vestre Toten,2025-01-01,2
4005,Notodden,3446,Gran,2025-01-01,2
4005,Notodden,3447,Søndre Land,2025-01-01,2
4005,Notodden,3448,Nordre Land,2025-01-01,5
4005,Notodden,3451,Nord-Aurdal,2025-01-01,2
4005,Notodden,3452,Vestre Slidre,2025-01-01,1
4005,Notodden,3901,Horten,2025-01-01,5
4005,Notodden,3903,Holmestrand,2025-01-01,3
