Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned,Prosent av arbeidsstyrken i fjor
Akershus,8047.0,2.6,657.0,9.0,2015,April,2.4
Aust-Agder,2069.0,3.6,96.0,5.0,2015,April,3.4
Buskerud,4074.0,2.8,-58.0,-1.0,2015,April,2.9
Finnmark,1318.0,3.4,-119.0,-8.0,2015,April,3.7
Hedmark,2600.0,2.7,-271.0,-9.0,2015,April,3.0
Hordaland,7175.0,2.7,1050.0,17.0,2015,April,2.3
Landet,79636.0,3.0,5011.0,7.0,2015,April,2.8
Møre og Romsdal,3396.0,2.5,451.0,15.0,2015,April,2.1
Nord-Trøndelag,1872.0,2.7,21.0,1.0,2015,April,2.7
Nordland,3275.0,2.7,-212.0,-6.0,2015,April,2.8
Oppland,2146.0,2.2,-137.0,-6.0,2015,April,2.4
Oslo,13029.0,3.6,270.0,2.0,2015,April,3.6
Rogaland,8010.0,3.2,2869.0,56.0,2015,April,2.0
Sogn og Fjordane,1219.0,2.1,16.0,1.0,2015,April,2.1
Sør-Trøndelag,4362.0,2.7,265.0,6.0,2015,April,2.5
Telemark,3102.0,3.6,188.0,6.0,2015,April,3.4
Troms,1914.0,2.2,-43.0,-2.0,2015,April,2.3
Ukjent,122.0,,17.0,16.0,2015,April,
Vest-Agder,3095.0,3.4,517.0,20.0,2015,April,2.8
Vestfold,3715.0,3.0,-202.0,-5.0,2015,April,3.2
Østfold,5077.0,3.6,-380.0,-7.0,2015,April,3.8
Øvrige områder,19.0,,,,2015,April,
Akershus,7585.0,2.4,259.0,4.0,2015,Mai,2.4
Aust-Agder,1887.0,3.3,-4.0,0.0,2015,Mai,3.3
Buskerud,3984.0,2.7,-92.0,-2.0,2015,Mai,2.8
Finnmark,1273.0,3.2,-33.0,-3.0,2015,Mai,3.3
Hedmark,2374.0,2.4,-323.0,-12.0,2015,Mai,2.8
Hordaland,7054.0,2.6,1140.0,19.0,2015,Mai,2.2
Landet,74994.0,2.7,2499.0,3.0,2015,Mai,2.7
Møre og Romsdal,3205.0,2.3,324.0,11.0,2015,Mai,2.1
Nord-Trøndelag,1711.0,2.5,-49.0,-3.0,2015,Mai,2.6
Nordland,3075.0,2.5,-262.0,-8.0,2015,Mai,2.7
Oppland,1911.0,2.0,-225.0,-11.0,2015,Mai,2.2
Oslo,12229.0,3.3,-414.0,-3.0,2015,Mai,3.5
Rogaland,7635.0,3.0,2515.0,49.0,2015,Mai,2.0
Sogn og Fjordane,1070.0,1.9,-6.0,-1.0,2015,Mai,1.9
Sør-Trøndelag,4089.0,2.5,141.0,4.0,2015,Mai,2.4
Telemark,2848.0,3.3,-51.0,-2.0,2015,Mai,3.3
Troms,1771.0,2.1,-90.0,-5.0,2015,Mai,2.2
Ukjent,92.0,,-21.0,-19.0,2015,Mai,
Vest-Agder,2895.0,3.1,406.0,16.0,2015,Mai,2.7
Vestfold,3448.0,2.8,-243.0,-7.0,2015,Mai,3.0
Østfold,4846.0,3.4,-482.0,-9.0,2015,Mai,3.7
Øvrige områder,12.0,,,,2015,Mai,
Akershus,7585.0,2.4,147.0,2.0,2015,Juni,2.4
Aust-Agder,2010.0,3.5,160.0,9.0,2015,Juni,3.2
Buskerud,4187.0,2.9,72.0,2.0,2015,Juni,2.9
Finnmark,1332.0,3.4,2.0,0.0,2015,Juni,3.4
Hedmark,2370.0,2.4,-374.0,-14.0,2015,Juni,2.8
Hordaland,7395.0,2.7,1225.0,20.0,2015,Juni,2.3
Landet,77310.0,2.8,3852.0,5.0,2015,Juni,2.7
Møre og Romsdal,3297.0,2.4,359.0,12.0,2015,Juni,2.1
Nord-Trøndelag,1840.0,2.7,63.0,4.0,2015,Juni,2.6
Nordland,3212.0,2.6,-183.0,-5.0,2015,Juni,2.8
Oppland,1928.0,2.0,-165.0,-8.0,2015,Juni,2.2
Oslo,12648.0,3.5,-15.0,0.0,2015,Juni,3.5
Rogaland,8041.0,3.1,2866.0,55.0,2015,Juni,2.1
Sogn og Fjordane,1044.0,1.8,60.0,6.0,2015,Juni,1.7
Sør-Trøndelag,4213.0,2.5,240.0,6.0,2015,Juni,2.4
Telemark,2898.0,3.3,-94.0,-3.0,2015,Juni,3.4
Troms,1940.0,2.3,2.0,0.0,2015,Juni,2.3
Ukjent,95.0,,-19.0,-17.0,2015,Juni,
Vest-Agder,2947.0,3.2,291.0,11.0,2015,Juni,2.9
Vestfold,3451.0,2.8,-428.0,-11.0,2015,Juni,3.2
Østfold,4872.0,3.4,-357.0,-7.0,2015,Juni,3.7
Øvrige områder,5.0,,0.0,0.0,2015,Juni,
Akershus,8550.0,2.8,389.0,5.0,2015,Juli,2.7
Aust-Agder,2225.0,3.9,209.0,10.0,2015,Juli,3.5
Buskerud,4517.0,3.1,-19.0,0.0,2015,Juli,3.2
Finnmark,1392.0,3.5,-43.0,-3.0,2015,Juli,3.7
Hedmark,2635.0,2.7,-436.0,-14.0,2015,Juli,3.2
Hordaland,8239.0,3.0,1687.0,26.0,2015,Juli,2.4
Landet,85362.0,3.1,5715.0,7.0,2015,Juli,3.0
Møre og Romsdal,3814.0,2.7,582.0,18.0,2015,Juli,2.3
Nord-Trøndelag,2149.0,3.2,151.0,8.0,2015,Juli,2.9
Nordland,3531.0,2.9,-161.0,-4.0,2015,Juli,3.0
Oppland,2096.0,2.2,-147.0,-7.0,2015,Juli,2.3
Oslo,13567.0,3.7,-90.0,-1.0,2015,Juli,3.8
Rogaland,8923.0,3.5,3527.0,65.0,2015,Juli,2.1
Sogn og Fjordane,1143.0,2.0,23.0,2.0,2015,Juli,2.0
Sør-Trøndelag,4744.0,2.9,267.0,6.0,2015,Juli,2.7
Telemark,3045.0,3.5,-167.0,-5.0,2015,Juli,3.7
Troms,2170.0,2.5,3.0,0.0,2015,Juli,2.5
Ukjent,80.0,,-47.0,-37.0,2015,Juli,
Vest-Agder,3300.0,3.6,414.0,14.0,2015,Juli,3.1
Vestfold,3888.0,3.1,-311.0,-7.0,2015,Juli,3.4
Østfold,5343.0,3.7,-123.0,-2.0,2015,Juli,3.8
Øvrige områder,11.0,,7.0,175.0,2015,Juli,
Akershus,8436.0,2.7,260.0,3.0,2015,August,2.7
Aust-Agder,2417.0,4.2,369.0,18.0,2015,August,3.6
Buskerud,4304.0,3.0,18.0,0.0,2015,August,3.0
Finnmark,1450.0,3.7,-23.0,-2.0,2015,August,3.8
Hedmark,2516.0,2.6,-386.0,-13.0,2015,August,3.0
Hordaland,8107.0,2.9,1388.0,21.0,2015,August,2.5
Landet,84702.0,3.1,5775.0,7.0,2015,August,2.9
Møre og Romsdal,3999.0,2.9,758.0,23.0,2015,August,2.4
Nord-Trøndelag,2116.0,3.1,122.0,6.0,2015,August,2.9
Nordland,3487.0,2.8,-185.0,-5.0,2015,August,3.0
Oppland,2029.0,2.1,-166.0,-8.0,2015,August,2.3
Oslo,13147.0,3.6,-139.0,-1.0,2015,August,3.7
Rogaland,9291.0,3.6,3649.0,65.0,2015,August,2.2
Sogn og Fjordane,1156.0,2.0,24.0,2.0,2015,August,2.0
Sør-Trøndelag,4651.0,2.8,248.0,6.0,2015,August,2.7
Telemark,3048.0,3.5,-183.0,-6.0,2015,August,3.7
Troms,2100.0,2.4,34.0,2.0,2015,August,2.4
Ukjent,66.0,,-64.0,-49.0,2015,August,
Vest-Agder,3427.0,3.7,545.0,19.0,2015,August,3.1
Vestfold,3783.0,3.0,-293.0,-7.0,2015,August,3.3
Østfold,5165.0,3.6,-205.0,-4.0,2015,August,3.8
Øvrige områder,7.0,,,,2015,August,
Akershus,7915.0,2.6,157.0,2.0,2015,September,2.5
Aust-Agder,2220.0,3.9,404.0,22.0,2015,September,3.2
Buskerud,4124.0,2.8,5.0,0.0,2015,September,2.9
Finnmark,1258.0,3.2,-41.0,-3.0,2015,September,3.3
Hedmark,2217.0,2.3,-473.0,-18.0,2015,September,2.8
Hordaland,7788.0,2.8,1403.0,22.0,2015,September,2.4
Landet,79623.0,2.9,5485.0,7.0,2015,September,2.7
Møre og Romsdal,3589.0,2.6,711.0,25.0,2015,September,2.1
Nord-Trøndelag,1806.0,2.6,61.0,3.0,2015,September,2.6
Nordland,3203.0,2.6,-102.0,-3.0,2015,September,2.7
Oppland,1844.0,1.9,-87.0,-5.0,2015,September,2.0
Oslo,12477.0,3.4,-352.0,-3.0,2015,September,3.6
Rogaland,9678.0,3.8,3973.0,70.0,2015,September,2.3
Sogn og Fjordane,1016.0,1.8,121.0,14.0,2015,September,1.6
Sør-Trøndelag,4248.0,2.6,276.0,7.0,2015,September,2.4
Telemark,2934.0,3.4,-101.0,-3.0,2015,September,3.5
Troms,1825.0,2.1,4.0,0.0,2015,September,2.1
Ukjent,68.0,,-78.0,-53.0,2015,September,
Vest-Agder,3219.0,3.5,429.0,15.0,2015,September,3.0
Vestfold,3546.0,2.9,-254.0,-7.0,2015,September,3.1
Østfold,4639.0,3.2,-576.0,-11.0,2015,September,3.7
Øvrige områder,9.0,,5.0,125.0,2015,September,
Akershus,7821.0,2.5,163.0,2.0,2015,Oktober,2.5
Aust-Agder,2280.0,4.0,475.0,26.0,2015,Oktober,3.1
Buskerud,4096.0,2.8,-28.0,-1.0,2015,Oktober,2.9
Finnmark,1157.0,2.9,-59.0,-5.0,2015,Oktober,3.1
Hedmark,2270.0,2.3,-315.0,-12.0,2015,Oktober,2.7
Hordaland,8039.0,2.9,1743.0,28.0,2015,Oktober,2.3
Landet,79974.0,2.9,7860.0,11.0,2015,Oktober,2.7
Møre og Romsdal,3782.0,2.7,988.0,35.0,2015,Oktober,2.0
Nord-Trøndelag,1752.0,2.6,46.0,3.0,2015,Oktober,2.5
Nordland,3269.0,2.7,-6.0,0.0,2015,Oktober,2.7
Oppland,1841.0,1.9,-36.0,-2.0,2015,Oktober,1.9
Oslo,12069.0,3.3,-98.0,-1.0,2015,Oktober,3.4
Rogaland,10273.0,4.0,4532.0,79.0,2015,Oktober,2.3
Sogn og Fjordane,1006.0,1.7,83.0,9.0,2015,Oktober,1.6
Sør-Trøndelag,4200.0,2.5,343.0,9.0,2015,Oktober,2.4
Telemark,2877.0,3.3,-68.0,-2.0,2015,Oktober,3.4
Troms,1757.0,2.0,32.0,2.0,2015,Oktober,2.0
Ukjent,34.0,,-108.0,-76.0,2015,Oktober,
Vest-Agder,3206.0,3.4,479.0,18.0,2015,Oktober,3.0
Vestfold,3582.0,2.9,-97.0,-3.0,2015,Oktober,3.0
Østfold,4649.0,3.2,-215.0,-4.0,2015,Oktober,3.4
Øvrige områder,14.0,,6.0,75.0,2015,Oktober,
Akershus,7547.0,2.4,26.0,0.0,2015,November,2.5
Aust-Agder,2149.0,3.7,309.0,17.0,2015,November,3.2
Buskerud,3952.0,2.7,-17.0,0.0,2015,November,2.8
Finnmark,1187.0,3.0,-102.0,-8.0,2015,November,3.3
Hedmark,2177.0,2.2,-293.0,-12.0,2015,November,2.6
Hordaland,8291.0,3.0,2222.0,37.0,2015,November,2.2
Landet,79159.0,2.9,8151.0,11.0,2015,November,2.6
Møre og Romsdal,3957.0,2.8,1134.0,40.0,2015,November,2.1
Nord-Trøndelag,1745.0,2.6,-2.0,0.0,2015,November,2.6
Nordland,3142.0,2.6,46.0,1.0,2015,November,2.5
Oppland,1871.0,1.9,-36.0,-2.0,2015,November,2.0
Oslo,11563.0,3.2,-494.0,-4.0,2015,November,3.4
Rogaland,10534.0,4.1,4728.0,81.0,2015,November,2.3
Sogn og Fjordane,1036.0,1.8,113.0,12.0,2015,November,1.6
Sør-Trøndelag,4127.0,2.5,287.0,7.0,2015,November,2.3
Telemark,2928.0,3.4,112.0,4.0,2015,November,3.2
Troms,1734.0,2.0,-20.0,-1.0,2015,November,2.1
Ukjent,28.0,,-104.0,-79.0,2015,November,
Vest-Agder,3188.0,3.4,525.0,20.0,2015,November,2.9
Vestfold,3446.0,2.8,-182.0,-5.0,2015,November,3.0
Østfold,4543.0,3.2,-107.0,-2.0,2015,November,3.3
Øvrige områder,14.0,,6.0,75.0,2015,November,
Akershus,7517.0,2.4,-61.0,-1.0,2015,Desember,
Aust-Agder,2299.0,4.0,388.0,20.0,2015,Desember,
Buskerud,3982.0,2.7,2.0,0.0,2015,Desember,
Finnmark,1337.0,3.4,28.0,2.0,2015,Desember,
Hedmark,2236.0,2.3,-327.0,-13.0,2015,Desember,
Hordaland,8294.0,3.0,2210.0,36.0,2015,Desember,
Landet,80846.0,3.0,9112.0,13.0,2015,Desember,
Møre og Romsdal,4076.0,2.9,1171.0,40.0,2015,Desember,
Nord-Trøndelag,1753.0,2.6,51.0,3.0,2015,Desember,
Nordland,3308.0,2.7,96.0,3.0,2015,Desember,
Oppland,1928.0,2.0,-55.0,-3.0,2015,Desember,
Oslo,11634.0,3.2,-292.0,-2.0,2015,Desember,
Rogaland,10955.0,4.3,4925.0,82.0,2015,Desember,
Sogn og Fjordane,1129.0,2.0,199.0,21.0,2015,Desember,
Sør-Trøndelag,4150.0,2.5,240.0,6.0,2015,Desember,
Telemark,2965.0,3.4,54.0,2.0,2015,Desember,
Troms,1774.0,2.1,13.0,1.0,2015,Desember,
Ukjent,28.0,,-105.0,-79.0,2015,Desember,
Vest-Agder,3225.0,3.5,541.0,20.0,2015,Desember,
Vestfold,3523.0,2.8,-8.0,0.0,2015,Desember,
Østfold,4723.0,3.3,41.0,1.0,2015,Desember,
Øvrige områder,10.0,,1.0,11.0,2015,Desember,
Akershus,8442.0,2.7,82.0,1.0,2016,Januar,2.7
Aust-Agder,2713.0,4.7,578.0,27.0,2016,Januar,3.7
Buskerud,4526.0,3.1,137.0,3.0,2016,Januar,3.0
Finnmark,1539.0,3.9,83.0,6.0,2016,Januar,3.7
Hedmark,2561.0,2.6,-275.0,-10.0,2016,Januar,2.9
Hordaland,9640.0,3.5,2519.0,35.0,2016,Januar,2.6
Landet,93284.0,3.4,10707.0,13.0,2016,Januar,3.0
Møre og Romsdal,4720.0,3.4,1173.0,33.0,2016,Januar,2.5
Nord-Trøndelag,2001.0,2.9,-35.0,-2.0,2016,Januar,3.0
Nordland,3661.0,3.0,-68.0,-2.0,2016,Januar,3.0
Oppland,2327.0,2.4,-34.0,-1.0,2016,Januar,2.4
Oslo,13245.0,3.6,-5.0,0.0,2016,Januar,3.6
Rogaland,12621.0,4.9,5556.0,79.0,2016,Januar,2.8
Sogn og Fjordane,1416.0,2.5,156.0,12.0,2016,Januar,2.2
Sør-Trøndelag,5076.0,3.1,353.0,7.0,2016,Januar,2.8
Telemark,3481.0,4.0,5.0,0.0,2016,Januar,4.0
Troms,2046.0,2.4,45.0,2.0,2016,Januar,2.3
Ukjent,17.0,,-144.0,-89.0,2016,Januar,
Vest-Agder,3946.0,4.2,813.0,26.0,2016,Januar,3.4
Vestfold,4120.0,3.3,7.0,0.0,2016,Januar,3.3
Østfold,5175.0,3.6,-237.0,-4.0,2016,Januar,3.8
Øvrige områder,11.0,,-2.0,-15.0,2016,Januar,
Akershus,8263.0,2.7,42.0,1.0,2016,Februar,2.7
Aust-Agder,2568.0,4.5,410.0,19.0,2016,Februar,3.8
Buskerud,4418.0,3.0,157.0,4.0,2016,Februar,2.9
Finnmark,1426.0,3.6,-31.0,-2.0,2016,Februar,3.7
Hedmark,2448.0,2.5,-328.0,-12.0,2016,Februar,2.9
Hordaland,9678.0,3.5,2485.0,35.0,2016,Februar,2.6
Landet,90903.0,3.3,9369.0,11.0,2016,Februar,3.0
Møre og Romsdal,4612.0,3.3,1175.0,34.0,2016,Februar,2.5
Nord-Trøndelag,1911.0,2.8,-87.0,-4.0,2016,Februar,2.9
Nordland,3496.0,2.8,-172.0,-5.0,2016,Februar,3.0
Oppland,2222.0,2.3,-54.0,-2.0,2016,Februar,2.3
Oslo,12909.0,3.5,-219.0,-2.0,2016,Februar,3.6
Rogaland,12450.0,4.9,5017.0,67.0,2016,Februar,2.9
Sogn og Fjordane,1326.0,2.3,127.0,11.0,2016,Februar,2.1
Sør-Trøndelag,4875.0,2.9,431.0,10.0,2016,Februar,2.7
Telemark,3338.0,3.8,-33.0,-1.0,2016,Februar,3.9
Troms,1997.0,2.3,52.0,3.0,2016,Februar,2.3
Ukjent,15.0,,-162.0,-92.0,2016,Februar,
Vest-Agder,3714.0,4.0,670.0,22.0,2016,Februar,3.3
Vestfold,4076.0,3.3,64.0,2.0,2016,Februar,3.2
Østfold,5148.0,3.6,-168.0,-3.0,2016,Februar,3.7
Øvrige områder,13.0,,-7.0,-35.0,2016,Februar,
Akershus,8267.0,2.7,-25.0,0.0,2016,Mars,2.7
Aust-Agder,2446.0,4.3,296.0,14.0,2016,Mars,3.7
Buskerud,4365.0,3.0,80.0,2.0,2016,Mars,2.9
Finnmark,1348.0,3.4,-16.0,-1.0,2016,Mars,3.5
Hedmark,2453.0,2.5,-203.0,-8.0,2016,Mars,2.7
Hordaland,9708.0,3.5,2494.0,35.0,2016,Mars,2.6
Landet,89334.0,3.3,8323.0,10.0,2016,Mars,3.0
Møre og Romsdal,4765.0,3.4,1367.0,40.0,2016,Mars,2.4
Nord-Trøndelag,1838.0,2.7,-140.0,-7.0,2016,Mars,2.9
Nordland,3325.0,2.7,-19.0,-1.0,2016,Mars,2.7
Oppland,2167.0,2.2,-129.0,-6.0,2016,Mars,2.4
Oslo,12652.0,3.5,-475.0,-4.0,2016,Mars,3.6
Rogaland,12101.0,4.7,4427.0,58.0,2016,Mars,3.0
Sogn og Fjordane,1317.0,2.3,71.0,6.0,2016,Mars,2.2
Sør-Trøndelag,4675.0,2.8,252.0,6.0,2016,Mars,2.7
Telemark,3226.0,3.7,-38.0,-1.0,2016,Mars,3.7
Troms,1924.0,2.2,34.0,2.0,2016,Mars,2.2
Ukjent,14.0,,-140.0,-91.0,2016,Mars,
Vest-Agder,3732.0,4.0,630.0,20.0,2016,Mars,3.3
Vestfold,3976.0,3.2,57.0,1.0,2016,Mars,3.2
Østfold,5027.0,3.5,-187.0,-4.0,2016,Mars,3.6
Øvrige områder,8.0,,-13.0,-62.0,2016,Mars,
Akershus,7753.0,2.5,-294.0,-4.0,2016,April,2.6
Aust-Agder,2172.0,3.8,103.0,5.0,2016,April,3.6
Buskerud,4135.0,2.8,61.0,1.0,2016,April,2.8
Finnmark,1330.0,3.4,12.0,1.0,2016,April,3.3
Hedmark,2358.0,2.4,-242.0,-9.0,2016,April,2.7
Hordaland,9410.0,3.4,2235.0,31.0,2016,April,2.6
Landet,85471.0,3.1,5835.0,7.0,2016,April,2.9
Møre og Romsdal,4610.0,3.3,1214.0,36.0,2016,April,2.4
Nord-Trøndelag,1708.0,2.5,-164.0,-9.0,2016,April,2.7
Nordland,3217.0,2.6,-58.0,-2.0,2016,April,2.7
Oppland,2019.0,2.1,-127.0,-6.0,2016,April,2.2
Oslo,12371.0,3.4,-658.0,-5.0,2016,April,3.6
Rogaland,11763.0,4.6,3753.0,47.0,2016,April,3.1
Sogn og Fjordane,1204.0,2.1,-15.0,-1.0,2016,April,2.1
Sør-Trøndelag,4445.0,2.7,83.0,2.0,2016,April,2.6
Telemark,2972.0,3.4,-130.0,-4.0,2016,April,3.6
Troms,1889.0,2.2,-25.0,-1.0,2016,April,2.2
Ukjent,9.0,,-113.0,-93.0,2016,April,
Vest-Agder,3552.0,3.8,457.0,15.0,2016,April,3.3
Vestfold,3863.0,3.1,148.0,4.0,2016,April,3.0
Østfold,4679.0,3.3,-398.0,-8.0,2016,April,3.5
Øvrige områder,12.0,,-7.0,-37.0,2016,April,
Akershus,7331.0,2.3,-254.0,-3.0,2016,Mai,2.4
Aust-Agder,2106.0,3.6,219.0,12.0,2016,Mai,3.3
Buskerud,3806.0,2.6,-178.0,-4.0,2016,Mai,2.7
Finnmark,1298.0,3.2,25.0,2.0,2016,Mai,3.2
Hedmark,2111.0,2.1,-263.0,-11.0,2016,Mai,2.4
Hordaland,8990.0,3.2,1936.0,27.0,2016,Mai,2.6
Landet,80342.0,2.9,5348.0,7.0,2016,Mai,2.7
Møre og Romsdal,4263.0,3.0,1058.0,33.0,2016,Mai,2.3
Nord-Trøndelag,1552.0,2.2,-159.0,-9.0,2016,Mai,2.5
Nordland,3045.0,2.4,-30.0,-1.0,2016,Mai,2.5
Oppland,1792.0,1.8,-119.0,-6.0,2016,Mai,2.0
Oslo,11669.0,3.1,-560.0,-5.0,2016,Mai,3.3
Rogaland,11099.0,4.3,3464.0,45.0,2016,Mai,3.0
Sogn og Fjordane,982.0,1.7,-88.0,-8.0,2016,Mai,1.9
Sør-Trøndelag,4056.0,2.4,-33.0,-1.0,2016,Mai,2.5
Telemark,2812.0,3.2,-36.0,-1.0,2016,Mai,3.3
Troms,1754.0,2.0,-17.0,-1.0,2016,Mai,2.1
Ukjent,6.0,,-86.0,-93.0,2016,Mai,
Vest-Agder,3426.0,3.6,531.0,18.0,2016,Mai,3.1
Vestfold,3742.0,3.0,294.0,9.0,2016,Mai,2.8
Østfold,4488.0,3.1,-358.0,-7.0,2016,Mai,3.4
Øvrige områder,14.0,,2.0,17.0,2016,Mai,
Akershus,7405.0,2.4,-180.0,-2.0,2016,Juni,2.4
Aust-Agder,2111.0,3.7,101.0,5.0,2016,Juni,3.5
Buskerud,3975.0,2.7,-212.0,-5.0,2016,Juni,2.9
Finnmark,1279.0,3.2,-53.0,-4.0,2016,Juni,3.4
Hedmark,2168.0,2.2,-202.0,-9.0,2016,Juni,2.4
Hordaland,9259.0,3.3,1864.0,25.0,2016,Juni,2.7
Landet,80965.0,2.9,3655.0,5.0,2016,Juni,2.8
Møre og Romsdal,4164.0,2.9,867.0,26.0,2016,Juni,2.4
Nord-Trøndelag,1544.0,2.2,-296.0,-16.0,2016,Juni,2.7
Nordland,3077.0,2.5,-135.0,-4.0,2016,Juni,2.6
Oppland,1775.0,1.8,-153.0,-8.0,2016,Juni,2.0
Oslo,11770.0,3.2,-878.0,-7.0,2016,Juni,3.5
Rogaland,11288.0,4.3,3247.0,40.0,2016,Juni,3.1
Sogn og Fjordane,910.0,1.6,-134.0,-13.0,2016,Juni,1.8
Sør-Trøndelag,3994.0,2.4,-219.0,-5.0,2016,Juni,2.5
Telemark,2659.0,3.0,-239.0,-8.0,2016,Juni,3.3
Troms,1789.0,2.0,-151.0,-8.0,2016,Juni,2.3
Ukjent,9.0,,-86.0,-91.0,2016,Juni,
Vest-Agder,3411.0,3.6,464.0,16.0,2016,Juni,3.2
Vestfold,3756.0,3.0,305.0,9.0,2016,Juni,2.8
Østfold,4603.0,3.2,-269.0,-6.0,2016,Juni,3.4
Øvrige områder,19.0,,14.0,280.0,2016,Juni,
Akershus,8035.0,2.6,-515.0,-6.0,2016,Juli,2.8
Aust-Agder,2425.0,4.2,200.0,9.0,2016,Juli,3.9
Buskerud,4345.0,3.0,-172.0,-4.0,2016,Juli,3.1
Finnmark,1431.0,3.6,39.0,3.0,2016,Juli,3.5
Hedmark,2359.0,2.4,-276.0,-10.0,2016,Juli,2.7
Hordaland,10102.0,3.6,1863.0,23.0,2016,Juli,3.0
Landet,87736.0,3.2,2374.0,3.0,2016,Juli,3.1
Møre og Romsdal,4642.0,3.3,828.0,22.0,2016,Juli,2.7
Nord-Trøndelag,1743.0,2.5,-406.0,-19.0,2016,Juli,3.2
Nordland,3345.0,2.7,-186.0,-5.0,2016,Juli,2.9
Oppland,1903.0,1.9,-193.0,-9.0,2016,Juli,2.2
Oslo,12607.0,3.4,-960.0,-7.0,2016,Juli,3.7
Rogaland,11950.0,4.6,3027.0,34.0,2016,Juli,3.5
Sogn og Fjordane,993.0,1.7,-150.0,-13.0,2016,Juli,2.0
Sør-Trøndelag,4442.0,2.6,-302.0,-6.0,2016,Juli,2.9
Telemark,2835.0,3.2,-210.0,-7.0,2016,Juli,3.5
Troms,2000.0,2.3,-170.0,-8.0,2016,Juli,2.5
Ukjent,6.0,,-74.0,-93.0,2016,Juli,
Vest-Agder,3664.0,3.9,364.0,11.0,2016,Juli,3.6
Vestfold,4119.0,3.3,231.0,6.0,2016,Juli,3.1
Østfold,4777.0,3.3,-566.0,-11.0,2016,Juli,3.7
Øvrige områder,13.0,,2.0,18.0,2016,Juli,
Akershus,7943.0,2.5,-493.0,-6.0,2016,August,2.7
Aust-Agder,2231.0,3.9,-186.0,-8.0,2016,August,4.2
Buskerud,4039.0,2.8,-265.0,-6.0,2016,August,3.0
Finnmark,1333.0,3.3,-117.0,-8.0,2016,August,3.7
Hedmark,2217.0,2.3,-299.0,-12.0,2016,August,2.6
Hordaland,9788.0,3.5,1681.0,21.0,2016,August,2.9
Landet,84669.0,3.1,-33.0,0.0,2016,August,3.1
Møre og Romsdal,4571.0,3.2,572.0,14.0,2016,August,2.9
Nord-Trøndelag,1659.0,2.4,-457.0,-22.0,2016,August,3.1
Nordland,3196.0,2.6,-291.0,-8.0,2016,August,2.8
Oppland,1882.0,1.9,-147.0,-7.0,2016,August,2.1
Oslo,12008.0,3.2,-1139.0,-9.0,2016,August,3.6
Rogaland,11748.0,4.5,2457.0,26.0,2016,August,3.6
Sogn og Fjordane,935.0,1.6,-221.0,-19.0,2016,August,2.0
Sør-Trøndelag,4387.0,2.6,-264.0,-6.0,2016,August,2.8
Telemark,2662.0,3.0,-386.0,-13.0,2016,August,3.5
Troms,1848.0,2.1,-252.0,-12.0,2016,August,2.4
Ukjent,6.0,,-60.0,-91.0,2016,August,
Vest-Agder,3540.0,3.7,113.0,3.0,2016,August,3.7
Vestfold,3948.0,3.2,165.0,4.0,2016,August,3.0
Østfold,4720.0,3.3,-445.0,-9.0,2016,August,3.6
Øvrige områder,8.0,,1.0,14.0,2016,August,
Akershus,7351.0,2.3,-564.0,-7.0,2016,September,2.6
Aust-Agder,2034.0,3.5,-186.0,-8.0,2016,September,3.9
Buskerud,3763.0,2.6,-361.0,-9.0,2016,September,2.8
Finnmark,1223.0,3.0,-35.0,-3.0,2016,September,3.2
Hedmark,1996.0,2.0,-221.0,-10.0,2016,September,2.3
Hordaland,9220.0,3.3,1432.0,18.0,2016,September,2.8
Landet,78513.0,2.8,-1110.0,-1.0,2016,September,2.9
Møre og Romsdal,4264.0,3.0,675.0,19.0,2016,September,2.6
Nord-Trøndelag,1445.0,2.1,-361.0,-20.0,2016,September,2.6
Nordland,2959.0,2.4,-244.0,-8.0,2016,September,2.6
Oppland,1678.0,1.7,-166.0,-9.0,2016,September,1.9
Oslo,11282.0,3.0,-1195.0,-10.0,2016,September,3.4
Rogaland,11263.0,4.3,1585.0,16.0,2016,September,3.8
Sogn og Fjordane,872.0,1.5,-144.0,-14.0,2016,September,1.8
Sør-Trøndelag,3953.0,2.3,-295.0,-7.0,2016,September,2.6
Telemark,2334.0,2.7,-600.0,-20.0,2016,September,3.4
Troms,1671.0,1.9,-154.0,-8.0,2016,September,2.1
Ukjent,4.0,,-64.0,-94.0,2016,September,
Vest-Agder,3203.0,3.4,-16.0,0.0,2016,September,3.5
Vestfold,3808.0,3.0,262.0,7.0,2016,September,2.9
Østfold,4173.0,2.9,-466.0,-10.0,2016,September,3.2
Øvrige områder,17.0,,8.0,89.0,2016,September,
Akershus,7265.0,2.3,-556.0,-7.0,2016,Oktober,2.5
Aust-Agder,1974.0,3.4,-306.0,-13.0,2016,Oktober,4.0
Buskerud,3771.0,2.6,-325.0,-8.0,2016,Oktober,2.8
Finnmark,1203.0,3.0,46.0,4.0,2016,Oktober,2.9
Hedmark,1906.0,1.9,-364.0,-16.0,2016,Oktober,2.3
Hordaland,9047.0,3.2,1008.0,13.0,2016,Oktober,2.9
Landet,77822.0,2.8,-2152.0,-3.0,2016,Oktober,2.9
Møre og Romsdal,4281.0,3.0,499.0,13.0,2016,Oktober,2.7
Nord-Trøndelag,1411.0,2.0,-341.0,-19.0,2016,Oktober,2.6
