Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned,Prosent av arbeidsstyrken i fjor
Telemark,2679.0,3.1,253.0,10.4,2010,November,
Troms,1827.0,2.2,-79.0,-4.1,2010,November,
Vest-Agder,2489.0,2.8,32.0,1.3,2010,November,
Vestfold,3580.0,3.0,125.0,3.6,2010,November,
Øvrige områder,27.0,,14.0,107.7,2010,November,
Akershus,6594.0,2.3,281.0,4.5,2010,Desember,
Aust-Agder,1793.0,3.2,190.0,11.9,2010,Desember,
Buskerud,3523.0,2.5,183.0,5.5,2010,Desember,
Finnmark,1114.0,2.9,-100.0,-8.2,2010,Desember,
Hedmark,2661.0,2.8,132.0,5.2,2010,Desember,
Hordaland,6419.0,2.5,580.0,9.9,2010,Desember,
Landet,69935.0,2.7,2585.0,3.8,2010,Desember,
Møre og Romsdal,2973.0,2.2,100.0,3.5,2010,Desember,
Nord-Trøndelag,1645.0,2.5,-162.0,-9.0,2010,Desember,
Nordland,3248.0,2.7,142.0,4.6,2010,Desember,
Oppland,2071.0,2.1,-61.0,-2.9,2010,Desember,
Oslo,11626.0,3.5,79.0,0.7,2010,Desember,
Rogaland,5244.0,2.2,233.0,4.6,2010,Desember,
Sogn og Fjordane,1062.0,1.9,77.0,7.8,2010,Desember,
Sør-Trøndelag,4393.0,2.8,266.0,6.4,2010,Desember,
Telemark,2703.0,3.1,106.0,4.1,2010,Desember,
Troms,1860.0,2.2,-98.0,-5.0,2010,Desember,
Vest-Agder,2535.0,2.9,80.0,3.3,2010,Desember,
Vestfold,3637.0,3.0,119.0,3.4,2010,Desember,
Øvrige områder,32.0,,13.0,68.4,2010,Desember,
Akershus,7338.0,2.5,-79.0,-1.1,2011,Januar,
Aust-Agder,2197.0,4.0,137.0,6.7,2011,Januar,
Buskerud,4180.0,3.0,61.0,1.5,2011,Januar,
Finnmark,1371.0,3.6,-199.0,-12.7,2011,Januar,
Hedmark,3131.0,3.2,57.0,1.9,2011,Januar,
Hordaland,7454.0,2.9,244.0,3.4,2011,Januar,
Landet,81281.0,3.1,-546.0,-0.7,2011,Januar,
Møre og Romsdal,3547.0,2.7,91.0,2.6,2011,Januar,
Nord-Trøndelag,1994.0,3.0,-199.0,-9.1,2011,Januar,
Nordland,3913.0,3.3,151.0,4.0,2011,Januar,
Oppland,2581.0,2.7,-211.0,-7.6,2011,Januar,
Oslo,13019.0,3.9,78.0,0.6,2011,Januar,
Rogaland,6063.0,2.6,-334.0,-5.2,2011,Januar,
Sogn og Fjordane,1341.0,2.4,-26.0,-1.9,2011,Januar,
Sør-Trøndelag,5131.0,3.3,-112.0,-2.1,2011,Januar,
Telemark,3229.0,3.7,60.0,1.9,2011,Januar,
Troms,2231.0,2.7,-190.0,-7.8,2011,Januar,
Vest-Agder,2877.0,3.3,-113.0,-3.8,2011,Januar,
Vestfold,4240.0,3.5,-81.0,-1.9,2011,Januar,
Øvrige områder,51.0,,19.0,59.4,2011,Januar,
Akershus,7176.0,2.5,-133.0,-1.8,2011,Februar,
Aust-Agder,2060.0,3.7,-50.0,-2.4,2011,Februar,
Buskerud,3959.0,2.9,-85.0,-2.1,2011,Februar,
