Kommunenummer,Kommune,Kilde,InstallertKapasitet,Dato,SistOppdatert,År,Måned
4018,Nome,solar,1855.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4020,Midt-Telemark,other,63.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4020,Midt-Telemark,solar,5197.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4022,Seljord,solar,1185.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4022,Seljord,hydro,128323.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4022,Seljord,hydro,11.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4024,Hjartdal,hydro,5.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4024,Hjartdal,hydro,136631.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4024,Hjartdal,solar,302.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4026,Tinn,other,76.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4026,Tinn,hydro,701967.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4026,Tinn,solar,270.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4028,Kviteseid,solar,1026.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
4028,Kviteseid,hydro,15303.0,2025-06-06,2025-06-23 14:28:25+02:00,2025,6
