Alle kommuner;Alle kommunenummer;Alle kommuner navn;KOmmuner 2020;Kommunenummer 2020;Kommunenavn 2020;Region;Region rekkefølge;Fylke
0729 Færder;0729;Færder;K-3811 Færder;3811;Færder;Tønsberg og Færder;3;Vestfold
0805 Porsgrunn;0805;Porsgrunn;K-3806 Porsgrunn;3806;Porsgrunn;Grenland;6;Telemark
0806 Skien;0806;Skien;K-3807 Skien;3807;Skien;Grenland;6;Telemark
0807 Notodden;0807;Notodden;K-3808 Notodden;3808;Notodden;Øst-Telemark;8;Telemark
0811 Siljan;0811;Siljan;K-3812 Siljan;3812;Siljan;Grenland;6;Telemark
0814 Bamble;0814;Bamble;K-3813 Bamble;3813;Bamble;Grenland;6;Telemark
0815 Kragerø;0815;Kragerø;K-3814 Kragerø;3814;Kragerø;Grenland;6;Telemark
0817 Drangedal;0817;Drangedal;K-3815 Drangedal;3815;Drangedal;Grenland;6;Telemark
0819 Nome;0819;Nome;K-3816 Nome;3816;Nome;Nome og Midt-Telemark;7;Telemark
0821 Bø (Telemark);0821;Bø (Telemark);K-3817 Midt-Telemark;3817;Midt-Telemark;Nome og Midt-Telemark;7;Telemark
0822 Sauherad;0822;Sauherad;K-3817 Midt-Telemark;3817;Midt-Telemark;Nome og Midt-Telemark;7;Telemark
0826 Tinn;0826;Tinn;K-3818 Tinn;3818;Tinn;Øst-Telemark;8;Telemark
0827 Hjartdal;0827;Hjartdal;K-3819 Hjartdal;3819;Hjartdal;Øst-Telemark;8;Telemark
0828 Seljord;0828;Seljord;K-3820 Seljord;3820;Seljord;Vest-Telemark;9;Telemark
0829 Kviteseid;0829;Kviteseid;K-3821 Kviteseid;3821;Kviteseid;Vest-Telemark;9;Telemark
0830 Nissedal;0830;Nissedal;K-3822 Nissedal;3822;Nissedal;Vest-Telemark;9;Telemark
0831 Fyresdal;0831;Fyresdal;K-3823 Fyresdal;3823;Fyresdal;Vest-Telemark;9;Telemark
0833 Tokke;0833;Tokke;K-3824 Tokke;3824;Tokke;Vest-Telemark;9;Telemark
0834 Vinje;0834;Vinje;K-3825 Vinje;3825;Vinje;Vest-Telemark;9;Telemark
3801 Horten;3801;Horten;K-3801 Horten;3801;Horten;Horten;2;Vestfold
3802 Holmestrand;3802;Holmestrand;K-3802 Holmestrand;3802;Holmestrand;Holmestrand;1;Vestfold
3803 Tønsberg;3803;Tønsberg;K-3803 Tønsberg;3803;Tønsberg;Tønsberg og Færder;3;Vestfold
3804 Sandefjord;3804;Sandefjord;K-3804 Sandefjord;3804;Sandefjord;Sandefjord;4;Vestfold
3805 Larvik;3805;Larvik;K-3805 Larvik;3805;Larvik;Larvik;5;Vestfold
3806 Porsgrunn;3806;Porsgrunn;K-3806 Porsgrunn;3806;Porsgrunn;Grenland;6;Telemark
3807 Skien;3807;Skien;K-3807 Skien;3807;Skien;Grenland;6;Telemark
3808 Notodden;3808;Notodden;K-3808 Notodden;3808;Notodden;Øst-Telemark;8;Telemark
3811 Færder;3811;Færder;K-3811 Færder;3811;Færder;Tønsberg og Færder;3;Vestfold
3812 Siljan;3812;Siljan;K-3812 Siljan;3812;Siljan;Grenland;6;Telemark
3813 Bamble;3813;Bamble;K-3813 Bamble;3813;Bamble;Grenland;6;Telemark
3814 Kragerø;3814;Kragerø;K-3814 Kragerø;3814;Kragerø;Grenland;6;Telemark
3815 Drangedal;3815;Drangedal;K-3815 Drangedal;3815;Drangedal;Grenland;6;Telemark
3816 Nome;3816;Nome;K-3816 Nome;3816;Nome;Nome og Midt-Telemark;7;Telemark
3817 Midt-Telemark;3817;Midt-Telemark;K-3817 Midt-Telemark;3817;Midt-Telemark;Nome og Midt-Telemark;7;Telemark
3818 Tinn;3818;Tinn;K-3818 Tinn;3818;Tinn;Øst-Telemark;8;Telemark
3819 Hjartdal;3819;Hjartdal;K-3819 Hjartdal;3819;Hjartdal;Øst-Telemark;8;Telemark
3820 Seljord;3820;Seljord;K-3820 Seljord;3820;Seljord;Vest-Telemark;9;Telemark
3821 Kviteseid;3821;Kviteseid;K-3821 Kviteseid;3821;Kviteseid;Vest-Telemark;9;Telemark
3822 Nissedal;3822;Nissedal;K-3822 Nissedal;3822;Nissedal;Vest-Telemark;9;Telemark
3823 Fyresdal;3823;Fyresdal;K-3823 Fyresdal;3823;Fyresdal;Vest-Telemark;9;Telemark
3824 Tokke;3824;Tokke;K-3824 Tokke;3824;Tokke;Vest-Telemark;9;Telemark
3825 Vinje;3825;Vinje;K-3825 Vinje;3825;Vinje;Vest-Telemark;9;Telemark
