Levekårssone;Levekårssone navn;Kommunenummer;Kommune;Kategori;Gruppe;Variabel;Spørsmål;Svartype;Verdi;Svar;Antall;Andel;Spørsmålskode;Årstall;Datatype
400102;Sentrum øst;4001;Porsgrunn;Helse;Helse;tannlege;Når var du sist hos tannlege/tannpleier?;Selectbox;999;Mer enn to år siden;52;0.101;FHUS_40_2025_Q1_fk3g4s3;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Helse;Langvarige helseproblemer og funksjonsnedsettelser;sykdom_a;Hvordan påvirker disse sykdommene eller helseproblemene din hverdag?;Selectbox;999;I stor grad;66;0.1241;FHUS_40_2025_Q1_fk3g8s1a;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Helse;Langvarige helseproblemer og funksjonsnedsettelser;funksjonsnedsettelse_a;Hvordan påvirker funksjonsnedsettelsen (plagene) din hverdag?;Selectbox;999;I stor grad;25;0.047;FHUS_40_2025_Q1_fk3g8s2a;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Helse;Nakke- og korsryggsmerter;korsryggsmerte;I løpet av de siste 28 dagene (4 ukene), har du hatt smerter i korsryggen?;Selectbox;999;Ja;221;0.4325;FHUS_40_2025_Q1_fk3g9s1;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Helse;Nakke- og korsryggsmerter;nakkesmerte;I løpet av de siste 28 dagene (4 ukene), har du hatt smerter i nakken?;Selectbox;999;Ja;179;0.3517;FHUS_40_2025_Q1_fk3g9s2;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Helserelatert atferd;Kosthold;sukkerdrikk;Hvor ofte drikker du vanligvis sukkerholdig brus/saft/leskedrikk (inkludert iste, energidrikk, sportsdrikk og nektar)?;Matrix;999;2-3 ganger i uka eller oftere;137;0.2724;FHUS_40_2025_Q1_fk5g13s1_1;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Helserelatert atferd;Kosthold;frukt;Hvor ofte spiser du vanligvis frukt eller bær (regn ikke med juice eller fruktsaft)?;Matrix;999;Daglig eller oftere;151;0.2996;FHUS_40_2025_Q1_fk5g13s1_2;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Helserelatert atferd;Kosthold;groennsaker;Hvor ofte spiser du vanligvis grønnsaker (inkludert salat)? Regn ikke med poteter.;Matrix;999;Daglig eller oftere;235;0.4672;FHUS_40_2025_Q1_fk5g13s1_3;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Helserelatert atferd;Kosthold;fisk;Hvor ofte spiser du vanligvis fisk (som pålegg, til lunsj eller middag)?;Matrix;999;2-3 ganger i uka eller oftere;230;0.4545;FHUS_40_2025_Q1_fk5g13s1_4;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Helserelatert atferd;Tobakk;roeyking_a;Hvor ofte røyker du?;Selectbox;999;Daglig;39;0.0734;FHUS_40_2025_Q1_fk5g14s1a;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Helserelatert atferd;Tobakk;snus_a;Hvor ofte bruker du snus?;Selectbox;999;Daglig;64;0.1203;FHUS_40_2025_Q1_fk5g14s2a;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Helserelatert atferd;Alkohol;alkohol_a;I løpet av de siste 12 måneder, hvor ofte har du drukket alkohol?;Selectbox;999;2-3 ganger i uka eller oftere;131;0.2462;FHUS_40_2025_Q1_fk5g15s1a;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Helserelatert atferd;Alkohol;alkohol_c;Hvor ofte drikker du seks alkoholenheter eller mer ved én og samme anledning?;Selectbox;999;Månedlig eller oftere;93;0.1745;FHUS_40_2025_Q1_fk5g15s1a2;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Skader og fysisk miljø;Skader;skade;Har du i løpet av de siste 12 måneder vært utsatt for en eller flere skader som førte til at du oppsøkte lege eller tannlege?;Selectbox;999;Ja minst én;116;0.232;FHUS_40_2025_Q1_fk6g17s1;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Bakgrunn;Famile og bolig situasjon;bolig;Eier eller leier du boligen din?;Selectbox;999;Eier;388;0.7776;FHUS_40_2025_Q1_fk8g30s4;2025;Real data
400102;Sentrum øst;4001;Porsgrunn;Skader og fysisk miljø;Bolig;boligbytte;Hvor sannsynlig er det at du bytter bolig de neste 10 årene?;Selectbox;999;svært sannsynlig eller litt sannsynlig;284;0.5669;FHUS_40_2025_Q1_fk6g18s2;2025;Real data
