Kommunenummer;Kommune;Kategori;Variabel;Antall;Andel
4020;Midt-Telemark;Utdanning;VGS/Høyere utdanning < 2 år;697;0.4284
4020;Midt-Telemark;Utdanning;Høgskole/universitet 2-4 år;465;0.2858
4020;Midt-Telemark;Utdanning;Høgskole/universitet > 4 år;344;0.2114
4020;Midt-Telemark;Svarprosent;Svarprosent;;0.456
4022;Seljord;Svar;Antall respondenter;573;
4022;Seljord;Kjønn;Mann;244;0.4258
4022;Seljord;Kjønn;Kvinne;329;0.5742
4022;Seljord;Alder;18-29;74;0.1291
4022;Seljord;Alder;30-44;103;0.1798
4022;Seljord;Alder;45-59;157;0.274
4022;Seljord;Alder;60+;239;0.4171
4022;Seljord;Landbakgrunn;Ja;53;0.1045
4022;Seljord;Landbakgrunn;Nei;454;0.8955
4022;Seljord;Utdanning;Grunnskole eller ikke fullført;44;0.0864
4022;Seljord;Utdanning;VGS/Høyere utdanning < 2 år;264;0.5187
4022;Seljord;Utdanning;Høgskole/universitet 2-4 år;115;0.2259
4022;Seljord;Utdanning;Høgskole/universitet > 4 år;86;0.169
4022;Seljord;Svarprosent;Svarprosent;;0.441
4024;Hjartdal;Svar;Antall respondenter;486;
4024;Hjartdal;Kjønn;Mann;212;0.4362
4024;Hjartdal;Kjønn;Kvinne;274;0.5638
4024;Hjartdal;Alder;18-29;63;0.1296
4024;Hjartdal;Alder;30-44;83;0.1708
4024;Hjartdal;Alder;45-59;141;0.2901
4024;Hjartdal;Alder;60+;199;0.4095
4024;Hjartdal;Landbakgrunn;Ja;40;0.093
4024;Hjartdal;Landbakgrunn;Nei;390;0.907
4024;Hjartdal;Utdanning;Grunnskole eller ikke fullført;35;0.0808
4024;Hjartdal;Utdanning;VGS/Høyere utdanning < 2 år;256;0.5912
4024;Hjartdal;Utdanning;Høgskole/universitet 2-4 år;73;0.1686
4024;Hjartdal;Utdanning;Høgskole/universitet > 4 år;69;0.1594
4024;Hjartdal;Svarprosent;Svarprosent;;0.412
4026;Tinn;Svar;Antall respondenter;1186;
4026;Tinn;Kjønn;Mann;528;0.4452
4026;Tinn;Kjønn;Kvinne;658;0.5548
4026;Tinn;Alder;18-29;122;0.1029
4026;Tinn;Alder;30-44;196;0.1653
4026;Tinn;Alder;45-59;364;0.3069
4026;Tinn;Alder;60+;504;0.425
4026;Tinn;Landbakgrunn;Ja;128;0.1181
4026;Tinn;Landbakgrunn;Nei;956;0.8819
4026;Tinn;Utdanning;Grunnskole eller ikke fullført;86;0.0793
4026;Tinn;Utdanning;VGS/Høyere utdanning < 2 år;632;0.583
4026;Tinn;Utdanning;Høgskole/universitet 2-4 år;229;0.2113
4026;Tinn;Utdanning;Høgskole/universitet > 4 år;137;0.1264
4026;Tinn;Svarprosent;Svarprosent;;0.456
4028;Kviteseid;Svar;Antall respondenter;608;
4028;Kviteseid;Kjønn;Mann;261;0.4293
4028;Kviteseid;Kjønn;Kvinne;347;0.5707
4028;Kviteseid;Alder;18-29;75;0.1234
4028;Kviteseid;Alder;30-44;112;0.1842
4028;Kviteseid;Alder;45-59;177;0.2911
4028;Kviteseid;Alder;60+;244;0.4013
4028;Kviteseid;Landbakgrunn;Ja;59;0.1067
4028;Kviteseid;Landbakgrunn;Nei;494;0.8933
4028;Kviteseid;Utdanning;Grunnskole eller ikke fullført;50;0.0904
4028;Kviteseid;Utdanning;VGS/Høyere utdanning < 2 år;261;0.472
4028;Kviteseid;Utdanning;Høgskole/universitet 2-4 år;143;0.2586
4028;Kviteseid;Utdanning;Høgskole/universitet > 4 år;99;0.179
4028;Kviteseid;Svarprosent;Svarprosent;;0.468
4030;Nissedal;Svar;Antall respondenter;491;
4030;Nissedal;Kjønn;Mann;212;0.4318
4030;Nissedal;Kjønn;Kvinne;279;0.5682
4030;Nissedal;Alder;18-29;51;0.1039
4030;Nissedal;Alder;30-44;94;0.1914
4030;Nissedal;Alder;45-59;140;0.2851
4030;Nissedal;Alder;60+;206;0.4196
4030;Nissedal;Landbakgrunn;Ja;63;0.1379
4030;Nissedal;Landbakgrunn;Nei;394;0.8621
4030;Nissedal;Utdanning;Grunnskole eller ikke fullført;45;0.0978
4030;Nissedal;Utdanning;VGS/Høyere utdanning < 2 år;245;0.5326
4030;Nissedal;Utdanning;Høgskole/universitet 2-4 år;119;0.2587
4030;Nissedal;Utdanning;Høgskole/universitet > 4 år;51;0.1109
4030;Nissedal;Svarprosent;Svarprosent;;0.453
4032;Fyresdal;Svar;Antall respondenter;516;
4032;Fyresdal;Kjønn;Mann;215;0.4167
4032;Fyresdal;Kjønn;Kvinne;301;0.5833
4032;Fyresdal;Alder;18-29;64;0.124
4032;Fyresdal;Alder;30-44;104;0.2016
4032;Fyresdal;Alder;45-59;146;0.2829
4032;Fyresdal;Alder;60+;202;0.3915
4032;Fyresdal;Landbakgrunn;Ja;67;0.1402
4032;Fyresdal;Landbakgrunn;Nei;411;0.8598
4032;Fyresdal;Utdanning;Grunnskole eller ikke fullført;48;0.1004
4032;Fyresdal;Utdanning;VGS/Høyere utdanning < 2 år;243;0.5084
4032;Fyresdal;Utdanning;Høgskole/universitet 2-4 år;124;0.2594
4032;Fyresdal;Utdanning;Høgskole/universitet > 4 år;63;0.1318
4032;Fyresdal;Svarprosent;Svarprosent;;0.543
4034;Tokke;Svar;Antall respondenter;620;
4034;Tokke;Kjønn;Mann;273;0.4403
4034;Tokke;Kjønn;Kvinne;347;0.5597
4034;Tokke;Alder;18-29;80;0.129
4034;Tokke;Alder;30-44;131;0.2113
4034;Tokke;Alder;45-59;177;0.2855
4034;Tokke;Alder;60+;232;0.3742
4034;Tokke;Landbakgrunn;Ja;62;0.1067
4034;Tokke;Landbakgrunn;Nei;519;0.8933
4034;Tokke;Utdanning;Grunnskole eller ikke fullført;53;0.0915
4034;Tokke;Utdanning;VGS/Høyere utdanning < 2 år;302;0.5216
4034;Tokke;Utdanning;Høgskole/universitet 2-4 år;137;0.2366
4034;Tokke;Utdanning;Høgskole/universitet > 4 år;87;0.1503
4034;Tokke;Svarprosent;Svarprosent;;0.477
4036;Vinje;Svar;Antall respondenter;1214;
4036;Vinje;Kjønn;Mann;489;0.4028
4036;Vinje;Kjønn;Kvinne;725;0.5972
4036;Vinje;Alder;18-29;148;0.1219
4036;Vinje;Alder;30-44;266;0.2191
4036;Vinje;Alder;45-59;323;0.2661
4036;Vinje;Alder;60+;477;0.3929
4036;Vinje;Landbakgrunn;Ja;130;0.116
4036;Vinje;Landbakgrunn;Nei;991;0.884
4036;Vinje;Utdanning;Grunnskole eller ikke fullført;103;0.0917
4036;Vinje;Utdanning;VGS/Høyere utdanning < 2 år;530;0.472
4036;Vinje;Utdanning;Høgskole/universitet 2-4 år;285;0.2538
4036;Vinje;Utdanning;Høgskole/universitet > 4 år;205;0.1825
4036;Vinje;Svarprosent;Svarprosent;;0.482
