Kommunenummer;Kommunenummer_2025;Kommune;Kategori;Gruppe;Variabel;Spørsmål;Svartype;Verdi;Svar;Antall_original;Andel_original;Antall_vektet;Andel_vektet;Spørsmålskode;Årstall
40;40;Telemark;Livskvalitet;Engasjement;engasjert;Tenk på hvordan du har følt deg de siste 7 dagene. I hvilken grad var du engasjert?;Selectbox;999;Andel som svarer 6 eller høyere;14633;0.6483;33042.64;0.6508;FHUS_40_2025_Q1_fk7g24s1;2025
40;40;Telemark;Livskvalitet;Sosiale relasjoner;givende;Mine sosiale relasjoner er støttende og givende;Matrix;999;Andel som svarer 6 eller høyere;17821;0.8006;40272.65;0.8036;FHUS_40_2025_Q1_fk7g25s1_1;2025
40;40;Telemark;Livskvalitet;Sosiale relasjoner;andreslykke;Jeg bidrar aktivt til andres lykke og livskvalitet;Matrix;999;Andel som svarer 6 eller høyere;17776;0.8011;40188.06;0.8046;FHUS_40_2025_Q1_fk7g25s1_2;2025
40;40;Telemark;Livskvalitet;Sosiale relasjoner;venner;Hvor ofte er du sammen med gode venner?;Selectbox;999;Ukentlig eller oftere;11937;0.5306;27023.54;0.5337;FHUS_40_2025_Q1_fk7g25s3;2025
40;40;Telemark;Livskvalitet;Lokalsamfunn / trygghet;tilhoerighet;I hvilken grad føler du at du hører til på stedet der du bor?;Selectbox;999;Andel som svarer 6 eller høyere;17679;0.7865;39707.48;0.7849;FHUS_40_2025_Q1_fk7g26s2;2025
40;40;Telemark;Livskvalitet;Lokalsamfunn / trygghet;trygg;Alt i alt, hvor trygg føler du deg når du er ute og går i nærmiljøet?;Selectbox;999;Andel som svarer 6 eller høyere;21081;0.9384;47159.41;0.9327;FHUS_40_2025_Q1_fk7g26s3;2025
40;40;Telemark;Bakgrunn;Økonomi;oekonomi;Dersom du bor alene, tenk på din samlede inntekt. Dersom du bor sammen med andre, tenk på den samlede inntekten til alle i husholdningen. Hvor lett eller vanskelig er det for deg/dere å få pengene til å strekke til i det daglige, med denne inntekten?;Selectbox;999;Andel med økonomiske vansker;5555;0.2492;12702.29;0.2532;FHUS_40_2025_Q1_fk8g28s1;2025
40;40;Telemark;Utledet variabel;Sosial støtte;oslo_sum_3kat;oslo_sum_3kat;;999;Høy sosial støtte;7726;0.3357;17096.7;0.3302;oslo_sum_3kat;2025
40;40;Telemark;Utledet variabel;Psykiske plager;HSCL_2kat;HSCL_2kat;;999;Symptomer på psykiske plager;3692;0.1578;8440.01;0.1603;HSCL_2kat;2025
40;40;Telemark;Utledet variabel;Ensomhet;ucla_2kat;ucla_2kat;;999;Høyt nivå;2906;0.1271;6502.13;0.1264;ucla_2kat;2025
40;40;Telemark;Utledet variabel;Søvn;INSOMNIA;INSOMNIA;;999;Søvnproblemer;3031;0.13;6880.6;0.1312;INSOMNIA;2025
40;40;Telemark;Utledet variabel;Kontroll i livet;kontroll_SUM_3kat;kontroll_SUM_3kat;;999;Høy grad av mestring;3989;0.1793;8977.41;0.1791;kontroll_SUM_3kat;2025
40;40;Telemark;Utledet variabel;Fysisk aktivitet;FYSAK_2kat;FYSAK_2kat;;999;Minst 30 min. moderat fysisk aktivitet minst fire dager i uka;4348;0.1894;9951.83;0.1926;FYSAK_2kat;2025
4001;4001;Porsgrunn;Nærmiljøet;Trivsel;trivsel;I hvilken grad trives du i nærmiljøet ditt?;Selectbox;999;I stor grad;2303;0.736;8306.09;0.7367;FHUS_40_2025_Q1_fk1g1s1;2025
4001;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;kultur;Hvordan opplever du tilgjengeligheten til kulturtilbud (eksempelvis kino, bibliotek, kulturhus, konserter og teater)?;Selectbox;999;God eller svært god;2621;0.8496;9470.27;0.8512;FHUS_40_2025_Q1_fk1g2s1;2025
4001;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;idrett;Hvordan opplever du tilgjengeligheten til idrettstilbud (eksempelvis idrettshall, svømmehall, treningssenter, ski/lys-løyper)?;Selectbox;999;God eller svært god;2563;0.8313;9333.09;0.8395;FHUS_40_2025_Q1_fk1g2s2;2025
4001;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;butikk;Hvordan opplever du tilgjengeligheten til butikker, spisesteder og andre servicetilbud?;Selectbox;999;God eller svært god;2713;0.88;9801.31;0.8815;FHUS_40_2025_Q1_fk1g2s3;2025
4001;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;transport;Hvordan opplever du tilgjengeligheten til offentlig transport?;Selectbox;999;God eller svært god;2048;0.6636;7596.83;0.6826;FHUS_40_2025_Q1_fk1g2s4;2025
4001;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;natur;Hvordan opplever du tilgjengeligheten til natur- og friluftsområder, inkludert parker og andre grøntarealer?;Selectbox;999;God eller svært god;2805;0.9092;10117.02;0.9095;FHUS_40_2025_Q1_fk1g2s5;2025
4001;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;sjoe;Hvordan opplever du tilgjengeligheten til kystlinje/strand eller sjø/innsjø der du bor?;Selectbox;999;God eller svært god;2619;0.8492;9530.6;0.8568;FHUS_40_2025_Q1_fk1g2s6;2025
4001;4001;Porsgrunn;Nærmiljøet;Tilgang på fasiliteter og servicetilbud lokalt;gang;Opplever du at gang- og sykkelveier er godt utbygde i ditt nærområde?;Selectbox;999;God eller svært god;2228;0.7222;8216.84;0.7386;FHUS_40_2025_Q1_fk1g2s7;2025
