Levekårssone;Kategori;Variabel;Andel
401601;Alder;60 år eller eldre;0.385
401602;Alder;18-29 år;0.136
401602;Alder;30-44 år;0.218
401602;Alder;45-59 år;0.305
401602;Alder;60 år eller eldre;0.341
401801;Alder;18-29 år;0.127
401801;Alder;30-44 år;0.175
401801;Alder;45-59 år;0.296
401801;Alder;60 år eller eldre;0.402
401802;Alder;18-29 år;0.103
401802;Alder;30-44 år;0.212
401802;Alder;45-59 år;0.284
401802;Alder;60 år eller eldre;0.4
402001;Alder;18-29 år;0.112
402001;Alder;30-44 år;0.194
402001;Alder;45-59 år;0.302
402001;Alder;60 år eller eldre;0.392
402002;Alder;18-29 år;0.137
402002;Alder;30-44 år;0.268
402002;Alder;45-59 år;0.27
402002;Alder;60 år eller eldre;0.325
402003;Alder;18-29 år;0.215
402003;Alder;30-44 år;0.219
402003;Alder;45-59 år;0.232
402003;Alder;60 år eller eldre;0.333
402299;Alder;18-29 år;0.129
402299;Alder;30-44 år;0.18
402299;Alder;45-59 år;0.274
402299;Alder;60 år eller eldre;0.417
402499;Alder;18-29 år;0.13
402499;Alder;30-44 år;0.171
402499;Alder;45-59 år;0.29
402499;Alder;60 år eller eldre;0.409
402601;Alder;18-29 år;0.112
402601;Alder;30-44 år;0.159
402601;Alder;45-59 år;0.314
402601;Alder;60 år eller eldre;0.416
402602;Alder;18-29 år;0.094
402602;Alder;30-44 år;0.172
402602;Alder;45-59 år;0.3
402602;Alder;60 år eller eldre;0.434
402899;Alder;18-29 år;0.123
402899;Alder;30-44 år;0.184
402899;Alder;45-59 år;0.291
402899;Alder;60 år eller eldre;0.401
403099;Alder;18-29 år;0.104
403099;Alder;30-44 år;0.191
403099;Alder;45-59 år;0.285
403099;Alder;60 år eller eldre;0.42
403299;Alder;18-29 år;0.124
403299;Alder;30-44 år;0.202
403299;Alder;45-59 år;0.283
403299;Alder;60 år eller eldre;0.391
403499;Alder;18-29 år;0.129
403499;Alder;30-44 år;0.211
403499;Alder;45-59 år;0.285
403499;Alder;60 år eller eldre;0.374
403601;Alder;18-29 år;0.121
403601;Alder;30-44 år;0.203
403601;Alder;45-59 år;0.269
403601;Alder;60 år eller eldre;0.407
403602;Alder;18-29 år;0.123
403602;Alder;30-44 år;0.236
403602;Alder;45-59 år;0.263
403602;Alder;60 år eller eldre;0.378
400101;Landbakgrunn;Ikke født i Norge;0.133
400101;Landbakgrunn;Født i Norge;0.867
400102;Landbakgrunn;Ikke født i Norge;0.118
400102;Landbakgrunn;Født i Norge;0.882
400103;Landbakgrunn;Ikke født i Norge;0.134
400103;Landbakgrunn;Født i Norge;0.866
400104;Landbakgrunn;Ikke født i Norge;0.175
400104;Landbakgrunn;Født i Norge;0.825
400105;Landbakgrunn;Ikke født i Norge;0.094
400105;Landbakgrunn;Født i Norge;0.906
400106;Landbakgrunn;Ikke født i Norge;0.102
400106;Landbakgrunn;Født i Norge;0.898
400301;Landbakgrunn;Ikke født i Norge;0.196
400301;Landbakgrunn;Født i Norge;0.804
400302;Landbakgrunn;Ikke født i Norge;0.107
400302;Landbakgrunn;Født i Norge;0.893
400303;Landbakgrunn;Ikke født i Norge;0.186
400303;Landbakgrunn;Født i Norge;0.814
400304;Landbakgrunn;Ikke født i Norge;0.156
400304;Landbakgrunn;Født i Norge;0.844
400305;Landbakgrunn;Ikke født i Norge;0.116
400305;Landbakgrunn;Født i Norge;0.884
400306;Landbakgrunn;Ikke født i Norge;0.151
400306;Landbakgrunn;Født i Norge;0.849
400307;Landbakgrunn;Ikke født i Norge;0.153
400307;Landbakgrunn;Født i Norge;0.847
400308;Landbakgrunn;Ikke født i Norge;0.109
400308;Landbakgrunn;Født i Norge;0.891
400309;Landbakgrunn;Ikke født i Norge;0.159
400309;Landbakgrunn;Født i Norge;0.841
400310;Landbakgrunn;Ikke født i Norge;0.127
400310;Landbakgrunn;Født i Norge;0.873
400311;Landbakgrunn;Ikke født i Norge;0.221
400311;Landbakgrunn;Født i Norge;0.779
400312;Landbakgrunn;Ikke født i Norge;0.064
400312;Landbakgrunn;Født i Norge;0.936
400313;Landbakgrunn;Ikke født i Norge;0.125
400313;Landbakgrunn;Født i Norge;0.875
400501;Landbakgrunn;Ikke født i Norge;0.088
400501;Landbakgrunn;Født i Norge;0.912
400502;Landbakgrunn;Ikke født i Norge;0.158
400502;Landbakgrunn;Født i Norge;0.842
400503;Landbakgrunn;Ikke født i Norge;0.111
400503;Landbakgrunn;Født i Norge;0.889
401099;Landbakgrunn;Ikke født i Norge;0.091
401099;Landbakgrunn;Født i Norge;0.909
401201;Landbakgrunn;Ikke født i Norge;0.08
401201;Landbakgrunn;Født i Norge;0.92
401202;Landbakgrunn;Ikke født i Norge;0.093
401202;Landbakgrunn;Født i Norge;0.907
401203;Landbakgrunn;Ikke født i Norge;0.086
401203;Landbakgrunn;Født i Norge;0.914
401401;Landbakgrunn;Ikke født i Norge;0.095
401401;Landbakgrunn;Født i Norge;0.905
401402;Landbakgrunn;Ikke født i Norge;0.094
401402;Landbakgrunn;Født i Norge;0.906
401601;Landbakgrunn;Ikke født i Norge;0.109
401601;Landbakgrunn;Født i Norge;0.891
401602;Landbakgrunn;Ikke født i Norge;0.115
401602;Landbakgrunn;Født i Norge;0.885
401801;Landbakgrunn;Ikke født i Norge;0.139
401801;Landbakgrunn;Født i Norge;0.861
401802;Landbakgrunn;Ikke født i Norge;0.13
401802;Landbakgrunn;Født i Norge;0.87
402001;Landbakgrunn;Ikke født i Norge;0.118
402001;Landbakgrunn;Født i Norge;0.882
402002;Landbakgrunn;Ikke født i Norge;0.121
402002;Landbakgrunn;Født i Norge;0.879
402003;Landbakgrunn;Ikke født i Norge;0.148
402003;Landbakgrunn;Født i Norge;0.852
402299;Landbakgrunn;Ikke født i Norge;0.105
402299;Landbakgrunn;Født i Norge;0.895
402499;Landbakgrunn;Ikke født i Norge;0.093
402499;Landbakgrunn;Født i Norge;0.907
402601;Landbakgrunn;Ikke født i Norge;0.158
402601;Landbakgrunn;Født i Norge;0.842
402602;Landbakgrunn;Ikke født i Norge;0.081
402602;Landbakgrunn;Født i Norge;0.919
402899;Landbakgrunn;Ikke født i Norge;0.107
402899;Landbakgrunn;Født i Norge;0.893
403099;Landbakgrunn;Ikke født i Norge;0.138
403099;Landbakgrunn;Født i Norge;0.862
403299;Landbakgrunn;Ikke født i Norge;0.14
403299;Landbakgrunn;Født i Norge;0.86
403499;Landbakgrunn;Ikke født i Norge;0.107
403499;Landbakgrunn;Født i Norge;0.893
403601;Landbakgrunn;Ikke født i Norge;0.107
403601;Landbakgrunn;Født i Norge;0.893
403602;Landbakgrunn;Ikke født i Norge;0.126
403602;Landbakgrunn;Født i Norge;0.874
400101;Utdanning;Grunnskole eller ikke fullført;0.105
400101;Utdanning;VGS og fagskole;0.493
400101;Utdanning;Høgskole/universitet 2-4 år;0.259
400101;Utdanning;Høgskole/universitet > 4 år;0.143
400102;Utdanning;Grunnskole eller ikke fullført;0.082
400102;Utdanning;VGS og fagskole;0.426
400102;Utdanning;Høgskole/universitet 2-4 år;0.268
400102;Utdanning;Høgskole/universitet > 4 år;0.224
400103;Utdanning;Grunnskole eller ikke fullført;0.067
400103;Utdanning;VGS og fagskole;0.422
400103;Utdanning;Høgskole/universitet 2-4 år;0.268
400103;Utdanning;Høgskole/universitet > 4 år;0.243
400104;Utdanning;Grunnskole eller ikke fullført;0.093
400104;Utdanning;VGS og fagskole;0.496
400104;Utdanning;Høgskole/universitet 2-4 år;0.248
400104;Utdanning;Høgskole/universitet > 4 år;0.164
400105;Utdanning;Grunnskole eller ikke fullført;0.081
400105;Utdanning;VGS og fagskole;0.47
400105;Utdanning;Høgskole/universitet 2-4 år;0.274
400105;Utdanning;Høgskole/universitet > 4 år;0.175
400106;Utdanning;Grunnskole eller ikke fullført;0.096
400106;Utdanning;VGS og fagskole;0.476
400106;Utdanning;Høgskole/universitet 2-4 år;0.245
400106;Utdanning;Høgskole/universitet > 4 år;0.183
400301;Utdanning;Grunnskole eller ikke fullført;0.128
400301;Utdanning;VGS og fagskole;0.544
400301;Utdanning;Høgskole/universitet 2-4 år;0.206
400301;Utdanning;Høgskole/universitet > 4 år;0.122
400302;Utdanning;Grunnskole eller ikke fullført;0.093
400302;Utdanning;VGS og fagskole;0.431
400302;Utdanning;Høgskole/universitet 2-4 år;0.269
400302;Utdanning;Høgskole/universitet > 4 år;0.206
400303;Utdanning;Grunnskole eller ikke fullført;0.13
400303;Utdanning;VGS og fagskole;0.494
400303;Utdanning;Høgskole/universitet 2-4 år;0.218
400303;Utdanning;Høgskole/universitet > 4 år;0.158
400304;Utdanning;Grunnskole eller ikke fullført;0.112
400304;Utdanning;VGS og fagskole;0.485
400304;Utdanning;Høgskole/universitet 2-4 år;0.231
400304;Utdanning;Høgskole/universitet > 4 år;0.172
400305;Utdanning;Grunnskole eller ikke fullført;0.077
400305;Utdanning;VGS og fagskole;0.397
400305;Utdanning;Høgskole/universitet 2-4 år;0.287
400305;Utdanning;Høgskole/universitet > 4 år;0.239
400306;Utdanning;Grunnskole eller ikke fullført;0.1
400306;Utdanning;VGS og fagskole;0.422
400306;Utdanning;Høgskole/universitet 2-4 år;0.259
400306;Utdanning;Høgskole/universitet > 4 år;0.219
400307;Utdanning;Grunnskole eller ikke fullført;0.11
400307;Utdanning;VGS og fagskole;0.482
400307;Utdanning;Høgskole/universitet 2-4 år;0.248
400307;Utdanning;Høgskole/universitet > 4 år;0.161
400308;Utdanning;Grunnskole eller ikke fullført;0.086
400308;Utdanning;VGS og fagskole;0.323
400308;Utdanning;Høgskole/universitet 2-4 år;0.31
400308;Utdanning;Høgskole/universitet > 4 år;0.28
400309;Utdanning;Grunnskole eller ikke fullført;0.092
400309;Utdanning;VGS og fagskole;0.437
400309;Utdanning;Høgskole/universitet 2-4 år;0.24
400309;Utdanning;Høgskole/universitet > 4 år;0.231
400310;Utdanning;Grunnskole eller ikke fullført;0.079
400310;Utdanning;VGS og fagskole;0.428
400310;Utdanning;Høgskole/universitet 2-4 år;0.276
400310;Utdanning;Høgskole/universitet > 4 år;0.218
400311;Utdanning;Grunnskole eller ikke fullført;0.148
400311;Utdanning;VGS og fagskole;0.514
400311;Utdanning;Høgskole/universitet 2-4 år;0.21
400311;Utdanning;Høgskole/universitet > 4 år;0.128
400312;Utdanning;Grunnskole eller ikke fullført;0.076
400312;Utdanning;VGS og fagskole;0.429
400312;Utdanning;Høgskole/universitet 2-4 år;0.272
400312;Utdanning;Høgskole/universitet > 4 år;0.223
400313;Utdanning;Grunnskole eller ikke fullført;0.103
400313;Utdanning;VGS og fagskole;0.54
400313;Utdanning;Høgskole/universitet 2-4 år;0.234
400313;Utdanning;Høgskole/universitet > 4 år;0.124
400501;Utdanning;Grunnskole eller ikke fullført;0.099
400501;Utdanning;VGS og fagskole;0.6
400501;Utdanning;Høgskole/universitet 2-4 år;0.204
400501;Utdanning;Høgskole/universitet > 4 år;0.097
400502;Utdanning;Grunnskole eller ikke fullført;0.098
400502;Utdanning;VGS og fagskole;0.49
400502;Utdanning;Høgskole/universitet 2-4 år;0.245
400502;Utdanning;Høgskole/universitet > 4 år;0.167
400503;Utdanning;Grunnskole eller ikke fullført;0.072
400503;Utdanning;VGS og fagskole;0.486
400503;Utdanning;Høgskole/universitet 2-4 år;0.248
400503;Utdanning;Høgskole/universitet > 4 år;0.194
401099;Utdanning;Grunnskole eller ikke fullført;0.116
401099;Utdanning;VGS og fagskole;0.518
401099;Utdanning;Høgskole/universitet 2-4 år;0.236
401099;Utdanning;Høgskole/universitet > 4 år;0.13
401201;Utdanning;Grunnskole eller ikke fullført;0.157
401201;Utdanning;VGS og fagskole;0.556
401201;Utdanning;Høgskole/universitet 2-4 år;0.185
401201;Utdanning;Høgskole/universitet > 4 år;0.103
401202;Utdanning;Grunnskole eller ikke fullført;0.091
401202;Utdanning;VGS og fagskole;0.522
401202;Utdanning;Høgskole/universitet 2-4 år;0.236
401202;Utdanning;Høgskole/universitet > 4 år;0.151
401203;Utdanning;Grunnskole eller ikke fullført;0.079
401203;Utdanning;VGS og fagskole;0.458
401203;Utdanning;Høgskole/universitet 2-4 år;0.264
401203;Utdanning;Høgskole/universitet > 4 år;0.2
401401;Utdanning;Grunnskole eller ikke fullført;0.106
401401;Utdanning;VGS og fagskole;0.492
401401;Utdanning;Høgskole/universitet 2-4 år;0.261
401401;Utdanning;Høgskole/universitet > 4 år;0.14
401402;Utdanning;Grunnskole eller ikke fullført;0.083
401402;Utdanning;VGS og fagskole;0.481
401402;Utdanning;Høgskole/universitet 2-4 år;0.258
401402;Utdanning;Høgskole/universitet > 4 år;0.179
401601;Utdanning;Grunnskole eller ikke fullført;0.128
401601;Utdanning;VGS og fagskole;0.563
401601;Utdanning;Høgskole/universitet 2-4 år;0.19
401601;Utdanning;Høgskole/universitet > 4 år;0.119
401602;Utdanning;Grunnskole eller ikke fullført;0.084
401602;Utdanning;VGS og fagskole;0.613
401602;Utdanning;Høgskole/universitet 2-4 år;0.2
401602;Utdanning;Høgskole/universitet > 4 år;0.103
401801;Utdanning;Grunnskole eller ikke fullført;0.062
401801;Utdanning;VGS og fagskole;0.527
401801;Utdanning;Høgskole/universitet 2-4 år;0.265
401801;Utdanning;Høgskole/universitet > 4 år;0.146
401802;Utdanning;Grunnskole eller ikke fullført;0.098
401802;Utdanning;VGS og fagskole;0.53
401802;Utdanning;Høgskole/universitet 2-4 år;0.243
401802;Utdanning;Høgskole/universitet > 4 år;0.129
402001;Utdanning;Grunnskole eller ikke fullført;0.092
402001;Utdanning;VGS og fagskole;0.477
402001;Utdanning;Høgskole/universitet 2-4 år;0.255
402001;Utdanning;Høgskole/universitet > 4 år;0.175
402002;Utdanning;Grunnskole eller ikke fullført;0.074
402002;Utdanning;VGS og fagskole;0.431
402002;Utdanning;Høgskole/universitet 2-4 år;0.281
402002;Utdanning;Høgskole/universitet > 4 år;0.214
402003;Utdanning;Grunnskole eller ikke fullført;0.058
402003;Utdanning;VGS og fagskole;0.379
402003;Utdanning;Høgskole/universitet 2-4 år;0.32
402003;Utdanning;Høgskole/universitet > 4 år;0.243
402299;Utdanning;Grunnskole eller ikke fullført;0.086
402299;Utdanning;VGS og fagskole;0.519
402299;Utdanning;Høgskole/universitet 2-4 år;0.226
402299;Utdanning;Høgskole/universitet > 4 år;0.169
402499;Utdanning;Grunnskole eller ikke fullført;0.081
402499;Utdanning;VGS og fagskole;0.591
402499;Utdanning;Høgskole/universitet 2-4 år;0.169
402499;Utdanning;Høgskole/universitet > 4 år;0.159
402601;Utdanning;Grunnskole eller ikke fullført;0.085
402601;Utdanning;VGS og fagskole;0.588
402601;Utdanning;Høgskole/universitet 2-4 år;0.212
402601;Utdanning;Høgskole/universitet > 4 år;0.116
402602;Utdanning;Grunnskole eller ikke fullført;0.074
402602;Utdanning;VGS og fagskole;0.579
402602;Utdanning;Høgskole/universitet 2-4 år;0.211
402602;Utdanning;Høgskole/universitet > 4 år;0.136
402899;Utdanning;Grunnskole eller ikke fullført;0.09
402899;Utdanning;VGS og fagskole;0.472
402899;Utdanning;Høgskole/universitet 2-4 år;0.259
402899;Utdanning;Høgskole/universitet > 4 år;0.179
403099;Utdanning;Grunnskole eller ikke fullført;0.098
403099;Utdanning;VGS og fagskole;0.533
403099;Utdanning;Høgskole/universitet 2-4 år;0.259
403099;Utdanning;Høgskole/universitet > 4 år;0.111
403299;Utdanning;Grunnskole eller ikke fullført;0.1
403299;Utdanning;VGS og fagskole;0.508
403299;Utdanning;Høgskole/universitet 2-4 år;0.259
403299;Utdanning;Høgskole/universitet > 4 år;0.132
403499;Utdanning;Grunnskole eller ikke fullført;0.092
403499;Utdanning;VGS og fagskole;0.522
403499;Utdanning;Høgskole/universitet 2-4 år;0.237
403499;Utdanning;Høgskole/universitet > 4 år;0.15
403601;Utdanning;Grunnskole eller ikke fullført;0.102
403601;Utdanning;VGS og fagskole;0.509
403601;Utdanning;Høgskole/universitet 2-4 år;0.241
403601;Utdanning;Høgskole/universitet > 4 år;0.148
403602;Utdanning;Grunnskole eller ikke fullført;0.081
403602;Utdanning;VGS og fagskole;0.433
403602;Utdanning;Høgskole/universitet 2-4 år;0.267
403602;Utdanning;Høgskole/universitet > 4 år;0.219
