Kommunenummer,Kommune,År,Bygningstype,Sort_Bygningstype,Bygningstype_4_gr,Sort_Bygningstype_4_gr,Antall
4003,Skien,01.01.2015,Boligblokk,2,Leilighet,2,4722
4003,Skien,01.01.2015,Bygning for bofellesskap,6,Annen boligbygging,4,115
4003,Skien,01.01.2015,Andre bygningstyper,5,Annen boligbygging,4,892
4003,Skien,01.01.2016,Enebolig,1,Enebolig,1,13935
4003,Skien,01.01.2016,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,2508
4003,Skien,01.01.2016,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,3021
4003,Skien,01.01.2016,Boligblokk,2,Leilighet,2,4798
4003,Skien,01.01.2016,Bygning for bofellesskap,6,Annen boligbygging,4,129
4003,Skien,01.01.2016,Andre bygningstyper,5,Annen boligbygging,4,858
4003,Skien,01.01.2017,Enebolig,1,Enebolig,1,13991
4003,Skien,01.01.2017,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,2575
4003,Skien,01.01.2017,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,3044
4003,Skien,01.01.2017,Boligblokk,2,Leilighet,2,4843
4003,Skien,01.01.2017,Bygning for bofellesskap,6,Annen boligbygging,4,133
4003,Skien,01.01.2017,Andre bygningstyper,5,Annen boligbygging,4,904
4003,Skien,01.01.2018,Enebolig,1,Enebolig,1,13996
4003,Skien,01.01.2018,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,2618
4003,Skien,01.01.2018,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,3146
4003,Skien,01.01.2018,Boligblokk,2,Leilighet,2,5014
4003,Skien,01.01.2018,Bygning for bofellesskap,6,Annen boligbygging,4,129
4003,Skien,01.01.2018,Andre bygningstyper,5,Annen boligbygging,4,913
4003,Skien,01.01.2019,Enebolig,1,Enebolig,1,14069
4003,Skien,01.01.2019,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,2653
4003,Skien,01.01.2019,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,3198
4003,Skien,01.01.2019,Boligblokk,2,Leilighet,2,5079
4003,Skien,01.01.2019,Bygning for bofellesskap,6,Annen boligbygging,4,129
4003,Skien,01.01.2019,Andre bygningstyper,5,Annen boligbygging,4,917
4003,Skien,01.01.2020,Enebolig,1,Enebolig,1,14120
4003,Skien,01.01.2020,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,2678
4003,Skien,01.01.2020,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,3263
4003,Skien,01.01.2020,Boligblokk,2,Leilighet,2,5159
4003,Skien,01.01.2020,Bygning for bofellesskap,6,Annen boligbygging,4,140
4003,Skien,01.01.2020,Andre bygningstyper,5,Annen boligbygging,4,909
4003,Skien,01.01.2021,Enebolig,1,Enebolig,1,14176
4003,Skien,01.01.2021,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,2718
4003,Skien,01.01.2021,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,3303
4003,Skien,01.01.2021,Boligblokk,2,Leilighet,2,5229
4003,Skien,01.01.2021,Bygning for bofellesskap,6,Annen boligbygging,4,140
4003,Skien,01.01.2021,Andre bygningstyper,5,Annen boligbygging,4,902
4003,Skien,01.01.2022,Enebolig,1,Enebolig,1,14216
4003,Skien,01.01.2022,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,2746
4003,Skien,01.01.2022,"Rekkehus, kjedehus og andre småhus",3,"Rekkehus, tomannsbolig og småhus",3,3326
4003,Skien,01.01.2022,Boligblokk,2,Leilighet,2,5366
4003,Skien,01.01.2022,Bygning for bofellesskap,6,Annen boligbygging,4,140
4003,Skien,01.01.2022,Andre bygningstyper,5,Annen boligbygging,4,873
4003,Skien,01.01.2023,Enebolig,1,Enebolig,1,14244
4003,Skien,01.01.2023,Tomannsbolig,4,"Rekkehus, tomannsbolig og småhus",3,2792
