Kommunenummer,Kommune,År,Bygningstype,Sort_Bygningstype,Bygningstype_6_gr,Sort_Bygningstype_6_gr,Bygningstype_5_gr,Sort_Bygningstype_5_gr,Antall
4018,Nome,01.01.2001,Enebolig,1,Enebolig,1,Enebolig,1,6
4018,Nome,01.01.2002,Enebolig,1,Enebolig,1,Enebolig,1,6
4018,Nome,01.01.2003,Enebolig,1,Enebolig,1,Enebolig,1,8
4018,Nome,01.01.2004,Enebolig,1,Enebolig,1,Enebolig,1,11
4018,Nome,01.01.2005,Enebolig,1,Enebolig,1,Enebolig,1,6
4018,Nome,01.01.2006,Enebolig,1,Enebolig,1,Enebolig,1,2
4018,Nome,01.01.2007,Enebolig,1,Enebolig,1,Enebolig,1,5
4018,Nome,01.01.2008,Enebolig,1,Enebolig,1,Enebolig,1,7
4018,Nome,01.01.2009,Enebolig,1,Enebolig,1,Enebolig,1,5
4018,Nome,01.01.2010,Enebolig,1,Enebolig,1,Enebolig,1,10
4018,Nome,01.01.2011,Enebolig,1,Enebolig,1,Enebolig,1,5
4018,Nome,01.01.2012,Enebolig,1,Enebolig,1,Enebolig,1,11
4018,Nome,01.01.2013,Enebolig,1,Enebolig,1,Enebolig,1,10
4018,Nome,01.01.2014,Enebolig,1,Enebolig,1,Enebolig,1,6
4018,Nome,01.01.2015,Enebolig,1,Enebolig,1,Enebolig,1,4
4018,Nome,01.01.2016,Enebolig,1,Enebolig,1,Enebolig,1,6
4018,Nome,01.01.2017,Enebolig,1,Enebolig,1,Enebolig,1,7
4018,Nome,01.01.2018,Enebolig,1,Enebolig,1,Enebolig,1,16
4018,Nome,01.01.2019,Enebolig,1,Enebolig,1,Enebolig,1,8
4018,Nome,01.01.2020,Enebolig,1,Enebolig,1,Enebolig,1,5
4018,Nome,01.01.2021,Enebolig,1,Enebolig,1,Enebolig,1,8
4018,Nome,01.01.2022,Enebolig,1,Enebolig,1,Enebolig,1,5
4018,Nome,01.01.2023,Enebolig,1,Enebolig,1,Enebolig,1,3
4018,Nome,01.01.2024,Enebolig,1,Enebolig,1,Enebolig,1,4
4018,Nome,01.01.2025,Enebolig,1,Enebolig,1,Enebolig,1,1
4020,Midt-Telemark,01.01.2000,Enebolig,1,Enebolig,1,Enebolig,1,40
4020,Midt-Telemark,01.01.2001,Enebolig,1,Enebolig,1,Enebolig,1,26
4020,Midt-Telemark,01.01.2002,Enebolig,1,Enebolig,1,Enebolig,1,13
4020,Midt-Telemark,01.01.2003,Enebolig,1,Enebolig,1,Enebolig,1,21
4020,Midt-Telemark,01.01.2004,Enebolig,1,Enebolig,1,Enebolig,1,26
4020,Midt-Telemark,01.01.2005,Enebolig,1,Enebolig,1,Enebolig,1,23
4020,Midt-Telemark,01.01.2006,Enebolig,1,Enebolig,1,Enebolig,1,23
4020,Midt-Telemark,01.01.2007,Enebolig,1,Enebolig,1,Enebolig,1,23
4020,Midt-Telemark,01.01.2008,Enebolig,1,Enebolig,1,Enebolig,1,30
4020,Midt-Telemark,01.01.2009,Enebolig,1,Enebolig,1,Enebolig,1,28
4020,Midt-Telemark,01.01.2010,Enebolig,1,Enebolig,1,Enebolig,1,18
4020,Midt-Telemark,01.01.2011,Enebolig,1,Enebolig,1,Enebolig,1,20
4020,Midt-Telemark,01.01.2012,Enebolig,1,Enebolig,1,Enebolig,1,45
4020,Midt-Telemark,01.01.2013,Enebolig,1,Enebolig,1,Enebolig,1,13
4020,Midt-Telemark,01.01.2014,Enebolig,1,Enebolig,1,Enebolig,1,29
4020,Midt-Telemark,01.01.2015,Enebolig,1,Enebolig,1,Enebolig,1,22
4020,Midt-Telemark,01.01.2016,Enebolig,1,Enebolig,1,Enebolig,1,26
4020,Midt-Telemark,01.01.2017,Enebolig,1,Enebolig,1,Enebolig,1,18
