Kommunenummer,Kommune,År,Bygningstype,SortBygningstype,Største bygningstyper,SortStorsteBygningstype,Antall
4001,Porsgrunn,01.01.2004,"Våningshus tomannsbolig, horisontaltdelt",20,Andre,10,0
4001,Porsgrunn,01.01.2004,Rekkehus,7,Rekkehus,7,22
4001,Porsgrunn,01.01.2004,Kjedehus inkl.atriumhus,14,Andre,10,3
4001,Porsgrunn,01.01.2004,Terrassehus,18,Andre,10,0
4001,Porsgrunn,01.01.2004,Andre småhus med 3 boliger eller flere,6,Andre småhus med 3 boliger eller flere,6,0
4001,Porsgrunn,01.01.2004,Store frittliggende boligbygg på 2 etasjer,12,Andre,10,6
4001,Porsgrunn,01.01.2004,Store frittliggende boligbygg på 3 og 4 etasjer,3,Store frittliggende boligbygg på 3 og 4 etasjer,3,28
4001,Porsgrunn,01.01.2004,Store frittliggende boligbygg på 5 etasjer eller over,2,Store frittliggende boligbygg på 5 etasjer eller over,2,0
4001,Porsgrunn,01.01.2004,Stort sammenbygd boligbygg på 2 etasjer,17,Andre,10,0
4001,Porsgrunn,01.01.2004,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,0
4001,Porsgrunn,01.01.2004,Stort sammenbygd boligbygg på 5 etasjer eller over,10,Andre,10,0
4001,Porsgrunn,01.01.2004,Bo- og servicesenter,16,Andre,10,0
4001,Porsgrunn,01.01.2004,Studenthjem/studentboliger,15,Andre,10,0
4001,Porsgrunn,01.01.2004,Annen bygning for bofellesskap,19,Andre,10,0
4001,Porsgrunn,01.01.2004,Andre bygg enn boligbygg,11,Andre,10,0
4001,Porsgrunn,01.01.2005,Enebolig,1,Enebolig,1,35
4001,Porsgrunn,01.01.2005,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,12
4001,Porsgrunn,01.01.2005,Våningshus,8,Våningshus,8,1
4001,Porsgrunn,01.01.2005,"Del av tomannsbolig, vertikaldelt",4,"Del av tomannsbolig, vertikaldelt",4,16
4001,Porsgrunn,01.01.2005,"Tomannsbolig, horisontaldelt",13,Andre,10,4
4001,Porsgrunn,01.01.2005,"Del av våninghus  tomannsbustad, vertikaltdelt",21,Andre,10,0
4001,Porsgrunn,01.01.2005,"Våningshus tomannsbolig, horisontaltdelt",20,Andre,10,0
4001,Porsgrunn,01.01.2005,Rekkehus,7,Rekkehus,7,56
4001,Porsgrunn,01.01.2005,Kjedehus inkl.atriumhus,14,Andre,10,16
4001,Porsgrunn,01.01.2005,Terrassehus,18,Andre,10,0
4001,Porsgrunn,01.01.2005,Andre småhus med 3 boliger eller flere,6,Andre småhus med 3 boliger eller flere,6,1
4001,Porsgrunn,01.01.2005,Store frittliggende boligbygg på 2 etasjer,12,Andre,10,12
4001,Porsgrunn,01.01.2005,Store frittliggende boligbygg på 3 og 4 etasjer,3,Store frittliggende boligbygg på 3 og 4 etasjer,3,16
4001,Porsgrunn,01.01.2005,Store frittliggende boligbygg på 5 etasjer eller over,2,Store frittliggende boligbygg på 5 etasjer eller over,2,0
4001,Porsgrunn,01.01.2005,Stort sammenbygd boligbygg på 2 etasjer,17,Andre,10,0
4001,Porsgrunn,01.01.2005,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,Stort sammenbygd boligbygg på 3 og 4 etasjer,9,39
4001,Porsgrunn,01.01.2005,Stort sammenbygd boligbygg på 5 etasjer eller over,10,Andre,10,60
4001,Porsgrunn,01.01.2005,Bo- og servicesenter,16,Andre,10,31
4001,Porsgrunn,01.01.2005,Studenthjem/studentboliger,15,Andre,10,0
4001,Porsgrunn,01.01.2005,Annen bygning for bofellesskap,19,Andre,10,0
4001,Porsgrunn,01.01.2005,Andre bygg enn boligbygg,11,Andre,10,40
4001,Porsgrunn,01.01.2006,Enebolig,1,Enebolig,1,34
4001,Porsgrunn,01.01.2006,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,"Enebolig med hybelleilighet, sokkelleilighet o.l.",5,13
4001,Porsgrunn,01.01.2006,Våningshus,8,Våningshus,8,1
4001,Porsgrunn,01.01.2006,"Del av tomannsbolig, vertikaldelt",4,"Del av tomannsbolig, vertikaldelt",4,12
4001,Porsgrunn,01.01.2006,"Tomannsbolig, horisontaldelt",13,Andre,10,6
4001,Porsgrunn,01.01.2006,"Del av våninghus  tomannsbustad, vertikaltdelt",21,Andre,10,0
4001,Porsgrunn,01.01.2006,"Våningshus tomannsbolig, horisontaltdelt",20,Andre,10,0
