Kommunenummer,Kommune,År,Husholdningstype,SortHusholdningstype,Antall
4016,Drangedal,01.01.2021,Flerfamiliehusholdninger,6,54
4016,Drangedal,01.01.2021,Par eller aleneforsørger med voksne barn (18+),3,171
4016,Drangedal,01.01.2021,Par med barn under 18 år,5,349
4016,Drangedal,01.01.2021,Par uten hjemmeboende barn,2,485
4016,Drangedal,01.01.2022,Aleneboende,1,759
4016,Drangedal,01.01.2022,Aleneforsørger med barn under 18 år,4,64
4016,Drangedal,01.01.2022,Andre husholdninger,0,0
4016,Drangedal,01.01.2022,Flerfamiliehusholdninger,6,51
4016,Drangedal,01.01.2022,Par eller aleneforsørger med voksne barn (18+),3,170
4016,Drangedal,01.01.2022,Par med barn under 18 år,5,353
4016,Drangedal,01.01.2022,Par uten hjemmeboende barn,2,495
4016,Drangedal,01.01.2023,Aleneboende,1,781
4016,Drangedal,01.01.2023,Aleneforsørger med barn under 18 år,4,57
4016,Drangedal,01.01.2023,Andre husholdninger,0,0
4016,Drangedal,01.01.2023,Flerfamiliehusholdninger,6,56
4016,Drangedal,01.01.2023,Par eller aleneforsørger med voksne barn (18+),3,183
4016,Drangedal,01.01.2023,Par med barn under 18 år,5,342
4016,Drangedal,01.01.2023,Par uten hjemmeboende barn,2,484
4016,Drangedal,01.01.2024,Aleneboende,1,775
4016,Drangedal,01.01.2024,Aleneforsørger med barn under 18 år,4,78
4016,Drangedal,01.01.2024,Andre husholdninger,0,0
4016,Drangedal,01.01.2024,Flerfamiliehusholdninger,6,75
4016,Drangedal,01.01.2024,Par eller aleneforsørger med voksne barn (18+),3,175
4016,Drangedal,01.01.2024,Par med barn under 18 år,5,337
4016,Drangedal,01.01.2024,Par uten hjemmeboende barn,2,471
4016,Drangedal,01.01.2025,Aleneboende,1,798
4016,Drangedal,01.01.2025,Aleneforsørger med barn under 18 år,4,82
4016,Drangedal,01.01.2025,Andre husholdninger,0,0
4016,Drangedal,01.01.2025,Flerfamiliehusholdninger,6,63
4016,Drangedal,01.01.2025,Par eller aleneforsørger med voksne barn (18+),3,172
4016,Drangedal,01.01.2025,Par med barn under 18 år,5,326
4016,Drangedal,01.01.2025,Par uten hjemmeboende barn,2,483
4032,Fyresdal,01.01.2014,Aleneboende,1,216
4032,Fyresdal,01.01.2014,Aleneforsørger med barn under 18 år,4,26
4032,Fyresdal,01.01.2014,Andre husholdninger,0,0
4032,Fyresdal,01.01.2014,Flerfamiliehusholdninger,6,19
4032,Fyresdal,01.01.2014,Par eller aleneforsørger med voksne barn (18+),3,40
4032,Fyresdal,01.01.2014,Par med barn under 18 år,5,119
4032,Fyresdal,01.01.2014,Par uten hjemmeboende barn,2,137
4032,Fyresdal,01.01.2015,Aleneboende,1,234
4032,Fyresdal,01.01.2015,Aleneforsørger med barn under 18 år,4,30
4032,Fyresdal,01.01.2015,Andre husholdninger,0,0
4032,Fyresdal,01.01.2015,Flerfamiliehusholdninger,6,17
4032,Fyresdal,01.01.2015,Par eller aleneforsørger med voksne barn (18+),3,37
4032,Fyresdal,01.01.2015,Par med barn under 18 år,5,112
4032,Fyresdal,01.01.2015,Par uten hjemmeboende barn,2,147
4032,Fyresdal,01.01.2016,Aleneboende,1,235
4032,Fyresdal,01.01.2016,Aleneforsørger med barn under 18 år,4,29
4032,Fyresdal,01.01.2016,Andre husholdninger,0,0
4032,Fyresdal,01.01.2016,Flerfamiliehusholdninger,6,19
4032,Fyresdal,01.01.2016,Par eller aleneforsørger med voksne barn (18+),3,37
4032,Fyresdal,01.01.2016,Par med barn under 18 år,5,116
4032,Fyresdal,01.01.2016,Par uten hjemmeboende barn,2,149
4032,Fyresdal,01.01.2017,Aleneboende,1,233
4032,Fyresdal,01.01.2017,Aleneforsørger med barn under 18 år,4,32
4032,Fyresdal,01.01.2017,Andre husholdninger,0,0
4032,Fyresdal,01.01.2017,Flerfamiliehusholdninger,6,15
4032,Fyresdal,01.01.2017,Par eller aleneforsørger med voksne barn (18+),3,48
4032,Fyresdal,01.01.2017,Par med barn under 18 år,5,112
4032,Fyresdal,01.01.2017,Par uten hjemmeboende barn,2,142
4032,Fyresdal,01.01.2018,Aleneboende,1,251
4032,Fyresdal,01.01.2018,Aleneforsørger med barn under 18 år,4,30
4032,Fyresdal,01.01.2018,Andre husholdninger,0,0
4032,Fyresdal,01.01.2018,Flerfamiliehusholdninger,6,13
4032,Fyresdal,01.01.2018,Par eller aleneforsørger med voksne barn (18+),3,52
4032,Fyresdal,01.01.2018,Par med barn under 18 år,5,108
4032,Fyresdal,01.01.2018,Par uten hjemmeboende barn,2,146
4032,Fyresdal,01.01.2019,Aleneboende,1,254
4032,Fyresdal,01.01.2019,Aleneforsørger med barn under 18 år,4,29
4032,Fyresdal,01.01.2019,Andre husholdninger,0,0
4032,Fyresdal,01.01.2019,Flerfamiliehusholdninger,6,14
4032,Fyresdal,01.01.2019,Par eller aleneforsørger med voksne barn (18+),3,46
4032,Fyresdal,01.01.2019,Par med barn under 18 år,5,109
4032,Fyresdal,01.01.2019,Par uten hjemmeboende barn,2,140
4032,Fyresdal,01.01.2020,Aleneboende,1,258
4032,Fyresdal,01.01.2020,Aleneforsørger med barn under 18 år,4,26
4032,Fyresdal,01.01.2020,Andre husholdninger,0,0
4032,Fyresdal,01.01.2020,Flerfamiliehusholdninger,6,11
4032,Fyresdal,01.01.2020,Par eller aleneforsørger med voksne barn (18+),3,47
4032,Fyresdal,01.01.2020,Par med barn under 18 år,5,106
4032,Fyresdal,01.01.2020,Par uten hjemmeboende barn,2,149
4032,Fyresdal,01.01.2021,Aleneboende,1,257
4032,Fyresdal,01.01.2021,Aleneforsørger med barn under 18 år,4,24
4032,Fyresdal,01.01.2021,Andre husholdninger,0,0
4032,Fyresdal,01.01.2021,Flerfamiliehusholdninger,6,14
4032,Fyresdal,01.01.2021,Par eller aleneforsørger med voksne barn (18+),3,47
4032,Fyresdal,01.01.2021,Par med barn under 18 år,5,97
4032,Fyresdal,01.01.2021,Par uten hjemmeboende barn,2,144
4032,Fyresdal,01.01.2022,Aleneboende,1,264
4032,Fyresdal,01.01.2022,Aleneforsørger med barn under 18 år,4,26
4032,Fyresdal,01.01.2022,Andre husholdninger,0,0
4032,Fyresdal,01.01.2022,Flerfamiliehusholdninger,6,11
4032,Fyresdal,01.01.2022,Par eller aleneforsørger med voksne barn (18+),3,37
4032,Fyresdal,01.01.2022,Par med barn under 18 år,5,99
4032,Fyresdal,01.01.2022,Par uten hjemmeboende barn,2,150
4032,Fyresdal,01.01.2023,Aleneboende,1,261
4032,Fyresdal,01.01.2023,Aleneforsørger med barn under 18 år,4,21
4032,Fyresdal,01.01.2023,Andre husholdninger,0,0
4032,Fyresdal,01.01.2023,Flerfamiliehusholdninger,6,14
4032,Fyresdal,01.01.2023,Par eller aleneforsørger med voksne barn (18+),3,48
4032,Fyresdal,01.01.2023,Par med barn under 18 år,5,100
4032,Fyresdal,01.01.2023,Par uten hjemmeboende barn,2,140
4032,Fyresdal,01.01.2024,Aleneboende,1,271
4032,Fyresdal,01.01.2024,Aleneforsørger med barn under 18 år,4,20
4032,Fyresdal,01.01.2024,Andre husholdninger,0,0
4032,Fyresdal,01.01.2024,Flerfamiliehusholdninger,6,21
4032,Fyresdal,01.01.2024,Par eller aleneforsørger med voksne barn (18+),3,51
4032,Fyresdal,01.01.2024,Par med barn under 18 år,5,98
4032,Fyresdal,01.01.2024,Par uten hjemmeboende barn,2,146
4032,Fyresdal,01.01.2025,Aleneboende,1,275
4032,Fyresdal,01.01.2025,Aleneforsørger med barn under 18 år,4,21
4032,Fyresdal,01.01.2025,Andre husholdninger,0,0
4032,Fyresdal,01.01.2025,Flerfamiliehusholdninger,6,13
4032,Fyresdal,01.01.2025,Par eller aleneforsørger med voksne barn (18+),3,53
4032,Fyresdal,01.01.2025,Par med barn under 18 år,5,104
4032,Fyresdal,01.01.2025,Par uten hjemmeboende barn,2,148
4024,Hjartdal,01.01.2014,Aleneboende,1,256
4024,Hjartdal,01.01.2014,Aleneforsørger med barn under 18 år,4,16
4024,Hjartdal,01.01.2014,Andre husholdninger,0,0
4024,Hjartdal,01.01.2014,Flerfamiliehusholdninger,6,29
4024,Hjartdal,01.01.2014,Par eller aleneforsørger med voksne barn (18+),3,67
4024,Hjartdal,01.01.2014,Par med barn under 18 år,5,150
4024,Hjartdal,01.01.2014,Par uten hjemmeboende barn,2,161
4024,Hjartdal,01.01.2015,Aleneboende,1,262
4024,Hjartdal,01.01.2015,Aleneforsørger med barn under 18 år,4,17
4024,Hjartdal,01.01.2015,Andre husholdninger,0,0
4024,Hjartdal,01.01.2015,Flerfamiliehusholdninger,6,26
4024,Hjartdal,01.01.2015,Par eller aleneforsørger med voksne barn (18+),3,68
4024,Hjartdal,01.01.2015,Par med barn under 18 år,5,142
4024,Hjartdal,01.01.2015,Par uten hjemmeboende barn,2,166
4024,Hjartdal,01.01.2016,Aleneboende,1,258
4024,Hjartdal,01.01.2016,Aleneforsørger med barn under 18 år,4,14
4024,Hjartdal,01.01.2016,Andre husholdninger,0,0
4024,Hjartdal,01.01.2016,Flerfamiliehusholdninger,6,30
4024,Hjartdal,01.01.2016,Par eller aleneforsørger med voksne barn (18+),3,67
4024,Hjartdal,01.01.2016,Par med barn under 18 år,5,148
4024,Hjartdal,01.01.2016,Par uten hjemmeboende barn,2,169
4024,Hjartdal,01.01.2017,Aleneboende,1,260
4024,Hjartdal,01.01.2017,Aleneforsørger med barn under 18 år,4,22
4024,Hjartdal,01.01.2017,Andre husholdninger,0,0
4024,Hjartdal,01.01.2017,Flerfamiliehusholdninger,6,32
4024,Hjartdal,01.01.2017,Par eller aleneforsørger med voksne barn (18+),3,67
4024,Hjartdal,01.01.2017,Par med barn under 18 år,5,135
4024,Hjartdal,01.01.2017,Par uten hjemmeboende barn,2,167
4024,Hjartdal,01.01.2018,Aleneboende,1,255
4024,Hjartdal,01.01.2018,Aleneforsørger med barn under 18 år,4,20
4024,Hjartdal,01.01.2018,Andre husholdninger,0,0
4024,Hjartdal,01.01.2018,Flerfamiliehusholdninger,6,33
4024,Hjartdal,01.01.2018,Par eller aleneforsørger med voksne barn (18+),3,66
4024,Hjartdal,01.01.2018,Par med barn under 18 år,5,133
4024,Hjartdal,01.01.2018,Par uten hjemmeboende barn,2,172
4024,Hjartdal,01.01.2019,Aleneboende,1,258
4024,Hjartdal,01.01.2019,Aleneforsørger med barn under 18 år,4,18
4024,Hjartdal,01.01.2019,Andre husholdninger,0,0
4024,Hjartdal,01.01.2019,Flerfamiliehusholdninger,6,31
4024,Hjartdal,01.01.2019,Par eller aleneforsørger med voksne barn (18+),3,63
4024,Hjartdal,01.01.2019,Par med barn under 18 år,5,133
4024,Hjartdal,01.01.2019,Par uten hjemmeboende barn,2,178
4024,Hjartdal,01.01.2020,Aleneboende,1,245
4024,Hjartdal,01.01.2020,Aleneforsørger med barn under 18 år,4,16
4024,Hjartdal,01.01.2020,Andre husholdninger,0,0
4024,Hjartdal,01.01.2020,Flerfamiliehusholdninger,6,32
4024,Hjartdal,01.01.2020,Par eller aleneforsørger med voksne barn (18+),3,58
4024,Hjartdal,01.01.2020,Par med barn under 18 år,5,137
4024,Hjartdal,01.01.2020,Par uten hjemmeboende barn,2,185
4024,Hjartdal,01.01.2021,Aleneboende,1,261
4024,Hjartdal,01.01.2021,Aleneforsørger med barn under 18 år,4,23
4024,Hjartdal,01.01.2021,Andre husholdninger,0,0
4024,Hjartdal,01.01.2021,Flerfamiliehusholdninger,6,31
4024,Hjartdal,01.01.2021,Par eller aleneforsørger med voksne barn (18+),3,63
4024,Hjartdal,01.01.2021,Par med barn under 18 år,5,123
4024,Hjartdal,01.01.2021,Par uten hjemmeboende barn,2,193
4024,Hjartdal,01.01.2022,Aleneboende,1,269
4024,Hjartdal,01.01.2022,Aleneforsørger med barn under 18 år,4,18
4024,Hjartdal,01.01.2022,Andre husholdninger,0,0
4024,Hjartdal,01.01.2022,Flerfamiliehusholdninger,6,35
4024,Hjartdal,01.01.2022,Par eller aleneforsørger med voksne barn (18+),3,66
4024,Hjartdal,01.01.2022,Par med barn under 18 år,5,120
4024,Hjartdal,01.01.2022,Par uten hjemmeboende barn,2,194
4024,Hjartdal,01.01.2023,Aleneboende,1,260
4024,Hjartdal,01.01.2023,Aleneforsørger med barn under 18 år,4,24
4024,Hjartdal,01.01.2023,Andre husholdninger,0,0
4024,Hjartdal,01.01.2023,Flerfamiliehusholdninger,6,42
4024,Hjartdal,01.01.2023,Par eller aleneforsørger med voksne barn (18+),3,74
4024,Hjartdal,01.01.2023,Par med barn under 18 år,5,113
4024,Hjartdal,01.01.2023,Par uten hjemmeboende barn,2,197
4024,Hjartdal,01.01.2024,Aleneboende,1,248
4024,Hjartdal,01.01.2024,Aleneforsørger med barn under 18 år,4,29
4024,Hjartdal,01.01.2024,Andre husholdninger,0,0
4024,Hjartdal,01.01.2024,Flerfamiliehusholdninger,6,46
4024,Hjartdal,01.01.2024,Par eller aleneforsørger med voksne barn (18+),3,74
4024,Hjartdal,01.01.2024,Par med barn under 18 år,5,124
4024,Hjartdal,01.01.2024,Par uten hjemmeboende barn,2,197
4024,Hjartdal,01.01.2025,Aleneboende,1,258
4024,Hjartdal,01.01.2025,Aleneforsørger med barn under 18 år,4,25
4024,Hjartdal,01.01.2025,Andre husholdninger,0,0
4024,Hjartdal,01.01.2025,Flerfamiliehusholdninger,6,49
4024,Hjartdal,01.01.2025,Par eller aleneforsørger med voksne barn (18+),3,81
4024,Hjartdal,01.01.2025,Par med barn under 18 år,5,118
4024,Hjartdal,01.01.2025,Par uten hjemmeboende barn,2,193
4014,Kragerø,01.01.2014,Aleneboende,1,1960
4014,Kragerø,01.01.2014,Aleneforsørger med barn under 18 år,4,257
4014,Kragerø,01.01.2014,Andre husholdninger,0,0
4014,Kragerø,01.01.2014,Flerfamiliehusholdninger,6,196
4014,Kragerø,01.01.2014,Par eller aleneforsørger med voksne barn (18+),3,364
4014,Kragerø,01.01.2014,Par med barn under 18 år,5,863
4014,Kragerø,01.01.2014,Par uten hjemmeboende barn,2,1304
4014,Kragerø,01.01.2015,Aleneboende,1,2004
4014,Kragerø,01.01.2015,Aleneforsørger med barn under 18 år,4,232
4014,Kragerø,01.01.2015,Andre husholdninger,0,0
4014,Kragerø,01.01.2015,Flerfamiliehusholdninger,6,199
4014,Kragerø,01.01.2015,Par eller aleneforsørger med voksne barn (18+),3,361
4014,Kragerø,01.01.2015,Par med barn under 18 år,5,869
4014,Kragerø,01.01.2015,Par uten hjemmeboende barn,2,1321
4014,Kragerø,01.01.2016,Aleneboende,1,1998
4014,Kragerø,01.01.2016,Aleneforsørger med barn under 18 år,4,243
4014,Kragerø,01.01.2016,Andre husholdninger,0,0
4014,Kragerø,01.01.2016,Flerfamiliehusholdninger,6,212
4014,Kragerø,01.01.2016,Par eller aleneforsørger med voksne barn (18+),3,388
4014,Kragerø,01.01.2016,Par med barn under 18 år,5,822
4014,Kragerø,01.01.2016,Par uten hjemmeboende barn,2,1329
4014,Kragerø,01.01.2017,Aleneboende,1,2052
4014,Kragerø,01.01.2017,Aleneforsørger med barn under 18 år,4,228
4014,Kragerø,01.01.2017,Andre husholdninger,0,0
4014,Kragerø,01.01.2017,Flerfamiliehusholdninger,6,209
4014,Kragerø,01.01.2017,Par eller aleneforsørger med voksne barn (18+),3,370
4014,Kragerø,01.01.2017,Par med barn under 18 år,5,812
4014,Kragerø,01.01.2017,Par uten hjemmeboende barn,2,1344
4014,Kragerø,01.01.2018,Aleneboende,1,2075
4014,Kragerø,01.01.2018,Aleneforsørger med barn under 18 år,4,220
4014,Kragerø,01.01.2018,Andre husholdninger,0,0
4014,Kragerø,01.01.2018,Flerfamiliehusholdninger,6,195
4014,Kragerø,01.01.2018,Par eller aleneforsørger med voksne barn (18+),3,373
4014,Kragerø,01.01.2018,Par med barn under 18 år,5,806
4014,Kragerø,01.01.2018,Par uten hjemmeboende barn,2,1363
4014,Kragerø,01.01.2019,Aleneboende,1,2063
4014,Kragerø,01.01.2019,Aleneforsørger med barn under 18 år,4,212
4014,Kragerø,01.01.2019,Andre husholdninger,0,0
4014,Kragerø,01.01.2019,Flerfamiliehusholdninger,6,194
4014,Kragerø,01.01.2019,Par eller aleneforsørger med voksne barn (18+),3,386
4014,Kragerø,01.01.2019,Par med barn under 18 år,5,778
4014,Kragerø,01.01.2019,Par uten hjemmeboende barn,2,1381
4014,Kragerø,01.01.2020,Aleneboende,1,2088
4014,Kragerø,01.01.2020,Aleneforsørger med barn under 18 år,4,213
4014,Kragerø,01.01.2020,Andre husholdninger,0,0
4014,Kragerø,01.01.2020,Flerfamiliehusholdninger,6,204
4014,Kragerø,01.01.2020,Par eller aleneforsørger med voksne barn (18+),3,379
4014,Kragerø,01.01.2020,Par med barn under 18 år,5,773
4014,Kragerø,01.01.2020,Par uten hjemmeboende barn,2,1381
4014,Kragerø,01.01.2021,Aleneboende,1,2124
4014,Kragerø,01.01.2021,Aleneforsørger med barn under 18 år,4,210
4014,Kragerø,01.01.2021,Andre husholdninger,0,0
4014,Kragerø,01.01.2021,Flerfamiliehusholdninger,6,188
4014,Kragerø,01.01.2021,Par eller aleneforsørger med voksne barn (18+),3,365
4014,Kragerø,01.01.2021,Par med barn under 18 år,5,787
4014,Kragerø,01.01.2021,Par uten hjemmeboende barn,2,1394
4014,Kragerø,01.01.2022,Aleneboende,1,2125
4014,Kragerø,01.01.2022,Aleneforsørger med barn under 18 år,4,214
4014,Kragerø,01.01.2022,Andre husholdninger,0,0
4014,Kragerø,01.01.2022,Flerfamiliehusholdninger,6,199
4014,Kragerø,01.01.2022,Par eller aleneforsørger med voksne barn (18+),3,337
4014,Kragerø,01.01.2022,Par med barn under 18 år,5,757
4014,Kragerø,01.01.2022,Par uten hjemmeboende barn,2,1430
4014,Kragerø,01.01.2023,Aleneboende,1,2154
4014,Kragerø,01.01.2023,Aleneforsørger med barn under 18 år,4,225
4014,Kragerø,01.01.2023,Andre husholdninger,0,0
4014,Kragerø,01.01.2023,Flerfamiliehusholdninger,6,203
4014,Kragerø,01.01.2023,Par eller aleneforsørger med voksne barn (18+),3,329
4014,Kragerø,01.01.2023,Par med barn under 18 år,5,771
4014,Kragerø,01.01.2023,Par uten hjemmeboende barn,2,1431
4014,Kragerø,01.01.2024,Aleneboende,1,2177
4014,Kragerø,01.01.2024,Aleneforsørger med barn under 18 år,4,228
4014,Kragerø,01.01.2024,Andre husholdninger,0,0
4014,Kragerø,01.01.2024,Flerfamiliehusholdninger,6,210
4014,Kragerø,01.01.2024,Par eller aleneforsørger med voksne barn (18+),3,329
4014,Kragerø,01.01.2024,Par med barn under 18 år,5,767
