Kommunenummer,Kommune,Alder,SortAlder,År,Bygningstype,SortBygningstype,Antall,Andel
4005,Notodden,40-66 år,3,01.01.2024,Tomannsbolig,5,337.0,0.17425025853154086
4005,Notodden,67-79 år,4,01.01.2024,Annen boligbygning,6,114.0,0.0708955223880597
4005,Notodden,67-79 år,4,01.01.2024,Boligblokk,3,121.0,0.11839530332681017
4005,Notodden,67-79 år,4,01.01.2024,Boliger i alt,1,1910.0,0.07288963517020303
4005,Notodden,67-79 år,4,01.01.2024,Enebolig,2,1395.0,0.07033377029343552
4005,Notodden,67-79 år,4,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,147.0,0.08139534883720931
4005,Notodden,67-79 år,4,01.01.2024,Tomannsbolig,5,133.0,0.0687693898655636
4005,Notodden,80+,5,01.01.2024,Annen boligbygning,6,66.0,0.041044776119402986
4005,Notodden,80+,5,01.01.2024,Boligblokk,3,107.0,0.10469667318982387
4005,Notodden,80+,5,01.01.2024,Boliger i alt,1,736.0,0.028087314913753627
4005,Notodden,80+,5,01.01.2024,Enebolig,2,461.0,0.023242916204497328
4005,Notodden,80+,5,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,53.0,0.029346622369878183
4005,Notodden,80+,5,01.01.2024,Tomannsbolig,5,49.0,0.025336091003102378
4005,Notodden,Alle aldre,6,01.01.2024,Annen boligbygning,6,804.0,0.5
4005,Notodden,Alle aldre,6,01.01.2024,Boligblokk,3,511.0,0.5
4005,Notodden,Alle aldre,6,01.01.2024,Boliger i alt,1,13102.0,0.5
4005,Notodden,Alle aldre,6,01.01.2024,Enebolig,2,9917.0,0.5
4005,Notodden,Alle aldre,6,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,903.0,0.5
4005,Notodden,Alle aldre,6,01.01.2024,Tomannsbolig,5,967.0,0.5
4012,Bamble,0-19 år,1,01.01.2024,Annen boligbygning,6,34.0,0.04941860465116279
4012,Bamble,0-19 år,1,01.01.2024,Boligblokk,3,35.0,0.04794520547945205
4012,Bamble,0-19 år,1,01.01.2024,Boliger i alt,1,3043.0,0.1086708092279123
4012,Bamble,0-19 år,1,01.01.2024,Enebolig,2,2520.0,0.11419249592169657
4012,Bamble,0-19 år,1,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,221.0,0.09072249589490969
4012,Bamble,0-19 år,1,01.01.2024,Tomannsbolig,5,233.0,0.11201923076923077
4012,Bamble,20-39 år,2,01.01.2024,Annen boligbygning,6,90.0,0.1308139534883721
4012,Bamble,20-39 år,2,01.01.2024,Boligblokk,3,63.0,0.0863013698630137
4012,Bamble,20-39 år,2,01.01.2024,Boliger i alt,1,2997.0,0.10702806942361259
4012,Bamble,20-39 år,2,01.01.2024,Enebolig,2,2331.0,0.10562805872756934
4012,Bamble,20-39 år,2,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,286.0,0.1174055829228243
4012,Bamble,20-39 år,2,01.01.2024,Tomannsbolig,5,227.0,0.10913461538461539
4012,Bamble,40-66 år,3,01.01.2024,Annen boligbygning,6,98.0,0.14244186046511628
4012,Bamble,40-66 år,3,01.01.2024,Boligblokk,3,116.0,0.1589041095890411
4012,Bamble,40-66 år,3,01.01.2024,Boliger i alt,1,5001.0,0.17859438611527748
4012,Bamble,40-66 år,3,01.01.2024,Enebolig,2,4011.0,0.18175638934203373
4012,Bamble,40-66 år,3,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,381.0,0.1564039408866995
4012,Bamble,40-66 år,3,01.01.2024,Tomannsbolig,5,395.0,0.18990384615384615
4012,Bamble,67-79 år,4,01.01.2024,Annen boligbygning,6,65.0,0.09447674418604651
4012,Bamble,67-79 år,4,01.01.2024,Boligblokk,3,105.0,0.14383561643835616
4012,Bamble,67-79 år,4,01.01.2024,Boliger i alt,1,2241.0,0.0800299978572959
4012,Bamble,67-79 år,4,01.01.2024,Enebolig,2,1701.0,0.07707993474714518
4012,Bamble,67-79 år,4,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,233.0,0.09564860426929392
4012,Bamble,67-79 år,4,01.01.2024,Tomannsbolig,5,137.0,0.06586538461538462
4012,Bamble,80+,5,01.01.2024,Annen boligbygning,6,57.0,0.08284883720930232
4012,Bamble,80+,5,01.01.2024,Boligblokk,3,46.0,0.06301369863013699
4012,Bamble,80+,5,01.01.2024,Boliger i alt,1,719.0,0.02567673737590172
4012,Bamble,80+,5,01.01.2024,Enebolig,2,471.0,0.021343121261555194
4012,Bamble,80+,5,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,97.0,0.03981937602627258
4012,Bamble,80+,5,01.01.2024,Tomannsbolig,5,48.0,0.023076923076923078
4012,Bamble,Alle aldre,6,01.01.2024,Annen boligbygning,6,344.0,0.5
4012,Bamble,Alle aldre,6,01.01.2024,Boligblokk,3,365.0,0.5
4012,Bamble,Alle aldre,6,01.01.2024,Boliger i alt,1,14001.0,0.5
4012,Bamble,Alle aldre,6,01.01.2024,Enebolig,2,11034.0,0.5
4012,Bamble,Alle aldre,6,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,1218.0,0.5
4012,Bamble,Alle aldre,6,01.01.2024,Tomannsbolig,5,1040.0,0.5
4014,Kragerø,0-19 år,1,01.01.2024,Annen boligbygning,6,53.0,0.06760204081632654
4014,Kragerø,0-19 år,1,01.01.2024,Boligblokk,3,50.0,0.04970178926441352
4014,Kragerø,0-19 år,1,01.01.2024,Boliger i alt,1,2020.0,0.09874853343762222
4014,Kragerø,0-19 år,1,01.01.2024,Enebolig,2,1600.0,0.10822510822510822
4014,Kragerø,0-19 år,1,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,170.0,0.08133971291866028
4014,Kragerø,0-19 år,1,01.01.2024,Tomannsbolig,5,147.0,0.08203125
4014,Kragerø,20-39 år,2,01.01.2024,Annen boligbygning,6,95.0,0.1211734693877551
4014,Kragerø,20-39 år,2,01.01.2024,Boligblokk,3,84.0,0.08349900596421471
4014,Kragerø,20-39 år,2,01.01.2024,Boliger i alt,1,1918.0,0.09376222135314823
4014,Kragerø,20-39 år,2,01.01.2024,Enebolig,2,1320.0,0.08928571428571429
4014,Kragerø,20-39 år,2,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,224.0,0.10717703349282297
4014,Kragerø,20-39 år,2,01.01.2024,Tomannsbolig,5,195.0,0.10881696428571429
4014,Kragerø,40-66 år,3,01.01.2024,Annen boligbygning,6,117.0,0.14923469387755103
4014,Kragerø,40-66 år,3,01.01.2024,Boligblokk,3,156.0,0.1550695825049702
4014,Kragerø,40-66 år,3,01.01.2024,Boliger i alt,1,3825.0,0.18698670316777474
4014,Kragerø,40-66 år,3,01.01.2024,Enebolig,2,2871.0,0.19419642857142858
4014,Kragerø,40-66 år,3,01.01.2024,"Rekkehus, kjedehus, andre småhus",4,353.0,0.16889952153110047
