Kommune,År,Kjønn,Alder,Sykdomsgruppe,Måltall,Antall,SortKjonn,SortAlder,SortKommune
Hele landet,2016-01-01,Kjønn samlet,25-44 år,Forgiftninger (T36-T65),"per 1000, standardisert",1.0,1,7,2
Hele landet,2016-01-01,Kjønn samlet,45-74 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",26.6,1,8,2
Hele landet,2016-01-01,Kjønn samlet,45-74 år,KOLS (J44),"per 1000, standardisert",2.3,1,8,2
Hele landet,2016-01-01,Kjønn samlet,45-74 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",29.0,1,8,2
Hele landet,2016-01-01,Kjønn samlet,45-74 år,Personskader (S00-T78),"per 1000, standardisert",13.2,1,8,2
Hele landet,2016-01-01,Kjønn samlet,45-74 år,Hodeskader (S00-S09),"per 1000, standardisert",1.9,1,8,2
Hele landet,2016-01-01,Kjønn samlet,45-74 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",1.2,1,8,2
Hele landet,2016-01-01,Kjønn samlet,45-74 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.7,1,8,2
Hele landet,2016-01-01,Kjønn samlet,45-64 år,Hjerte og karsykdom (I00-I99),"per 1000, standardisert",18.6,1,9,2
Hele landet,2016-01-01,Kjønn samlet,45-64 år,KOLS (J44),"per 1000, standardisert",1.1,1,9,2
Hele landet,2016-01-01,Kjønn samlet,45-64 år,Sykdom i muskel-skjelettsystemet og bindevev (M00-M99),"per 1000, standardisert",26.3,1,9,2
Hele landet,2016-01-01,Kjønn samlet,45-64 år,Personskader (S00-T78),"per 1000, standardisert",11.5,1,9,2
Hele landet,2016-01-01,Kjønn samlet,45-64 år,Hodeskader (S00-S09),"per 1000, standardisert",1.7,1,9,2
Hele landet,2016-01-01,Kjønn samlet,45-64 år,Hoftebrudd (S72.0-72.2),"per 1000, standardisert",0.6,1,9,2
Hele landet,2016-01-01,Kjønn samlet,45-64 år,Forgiftninger (T36-T65),"per 1000, standardisert",0.8,1,9,2
