ssbid_250,År,Populasjon
21915006580250,2001-01-01,47
21915006580500,2001-01-01,7
21915006580750,2001-01-01,1
21915006581500,2001-01-01,10
21915006582250,2001-01-01,3
21915006582500,2001-01-01,22
21915006582750,2001-01-01,42
21915006583000,2001-01-01,30
21915006583250,2001-01-01,1
21915006583500,2001-01-01,1
21915006583750,2001-01-01,27
21915006584000,2001-01-01,5
21915006584250,2001-01-01,2
21915006584750,2001-01-01,4
21915006585000,2001-01-01,28
21915006585500,2001-01-01,1
21915006596250,2001-01-01,2
21917506566250,2001-01-01,9
21917506566500,2001-01-01,8
21917506567000,2001-01-01,10
21917506567250,2001-01-01,6
21917506568500,2001-01-01,1
21917506572750,2001-01-01,16
21917506573000,2001-01-01,70
21917506573250,2001-01-01,87
21917506573500,2001-01-01,109
21917506573750,2001-01-01,126
21917506574000,2001-01-01,16
21917506574250,2001-01-01,15
21917506575000,2001-01-01,32
21917506575250,2001-01-01,149
21917506575500,2001-01-01,96
21917506575750,2001-01-01,68
21917506576000,2001-01-01,34
21917506576250,2001-01-01,79
21917506576500,2001-01-01,150
21917506576750,2001-01-01,165
21917506577000,2001-01-01,13
21917506578250,2001-01-01,5
21917506578500,2001-01-01,24
21917506578750,2001-01-01,33
21917506579000,2001-01-01,6
21917506579250,2001-01-01,12
21917506579500,2001-01-01,5
21917506580250,2001-01-01,6
21917506580750,2001-01-01,4
21917506581000,2001-01-01,6
21917506581250,2001-01-01,4
21917506581500,2001-01-01,6
21917506581750,2001-01-01,3
21917506582000,2001-01-01,7
21917506582250,2001-01-01,3
21917506583000,2001-01-01,5
21917506583750,2001-01-01,9
21917506584000,2001-01-01,2
21917506584250,2001-01-01,16
21917506584500,2001-01-01,3
21917506584750,2001-01-01,9
21917506585000,2001-01-01,16
21917506585250,2001-01-01,6
21920006567000,2001-01-01,4
21920006567750,2001-01-01,1
21920006568000,2001-01-01,7
21920006568250,2001-01-01,16
21920006571000,2001-01-01,3
21920006571250,2001-01-01,2
21920006571750,2001-01-01,5
21920006573250,2001-01-01,19
21920006573500,2001-01-01,173
21920006573750,2001-01-01,107
21920006574000,2001-01-01,3
21920006574250,2001-01-01,5
21920006574750,2001-01-01,4
21920006575000,2001-01-01,16
21920006575250,2001-01-01,54
21920006575500,2001-01-01,104
21920006575750,2001-01-01,134
21920006576000,2001-01-01,72
21920006576250,2001-01-01,163
21920006576500,2001-01-01,329
21920006576750,2001-01-01,197
21920006577000,2001-01-01,7
21920006577750,2001-01-01,1
21920006578000,2001-01-01,45
21920006578250,2001-01-01,23
21920006578500,2001-01-01,37
21920006578750,2001-01-01,11
21920006579750,2001-01-01,12
21920006580000,2001-01-01,2
21920006580250,2001-01-01,7
21920006580500,2001-01-01,16
21920006580750,2001-01-01,7
21920006581000,2001-01-01,1
21920006581250,2001-01-01,5
21920006581750,2001-01-01,1
21920006584500,2001-01-01,1
