Kommune,År,Kategori,Antall
Drangedal,2023-01-01,Faktisk bosetting,52.0
Drangedal,2024-01-01,Anmodning om bosetting,55.0
Drangedal,2024-01-01,Faktisk bosetting,31.0
Drangedal,2024-01-01,Vedtak om bosetting,30.0
Drangedal,2025-01-01,Anmodning om bosetting,15.0
Drangedal,2025-01-01,Faktisk bosetting,16.0
Drangedal,2025-01-01,Opprinnelig anmodning,20.0
Drangedal,2025-01-01,Vedtak om bosetting,20.0
Drangedal,2026-01-01,Anmodning om bosetting,26.0
Fyresdal,1995-01-01,Anmodning om bosetting,0.0
Fyresdal,1995-01-01,Faktisk bosetting,0.0
Fyresdal,1995-01-01,Vedtak om bosetting,0.0
Fyresdal,1996-01-01,Anmodning om bosetting,0.0
Fyresdal,1996-01-01,Faktisk bosetting,0.0
Fyresdal,1996-01-01,Vedtak om bosetting,0.0
Fyresdal,1997-01-01,Anmodning om bosetting,0.0
Fyresdal,1997-01-01,Faktisk bosetting,0.0
Fyresdal,1997-01-01,Vedtak om bosetting,0.0
Fyresdal,1998-01-01,Anmodning om bosetting,0.0
Fyresdal,1998-01-01,Faktisk bosetting,0.0
Fyresdal,1998-01-01,Vedtak om bosetting,0.0
Fyresdal,1999-01-01,Anmodning om bosetting,0.0
Fyresdal,1999-01-01,Faktisk bosetting,0.0
Fyresdal,1999-01-01,Vedtak om bosetting,0.0
Fyresdal,2000-01-01,Anmodning om bosetting,10.0
Fyresdal,2000-01-01,Faktisk bosetting,0.0
Fyresdal,2000-01-01,Vedtak om bosetting,0.0
Fyresdal,2001-01-01,Anmodning om bosetting,15.0
Fyresdal,2001-01-01,Faktisk bosetting,0.0
Fyresdal,2001-01-01,Vedtak om bosetting,0.0
Fyresdal,2002-01-01,Anmodning om bosetting,10.0
Fyresdal,2002-01-01,Faktisk bosetting,0.0
Fyresdal,2002-01-01,Vedtak om bosetting,10.0
Fyresdal,2003-01-01,Anmodning om bosetting,5.0
Fyresdal,2003-01-01,Faktisk bosetting,0.0
Fyresdal,2003-01-01,Vedtak om bosetting,0.0
Fyresdal,2004-01-01,Anmodning om bosetting,10.0
Fyresdal,2004-01-01,Faktisk bosetting,0.0
Fyresdal,2004-01-01,Vedtak om bosetting,0.0
Fyresdal,2005-01-01,Anmodning om bosetting,5.0
Fyresdal,2005-01-01,Faktisk bosetting,0.0
Fyresdal,2005-01-01,Vedtak om bosetting,10.0
Fyresdal,2006-01-01,Anmodning om bosetting,10.0
Fyresdal,2006-01-01,Faktisk bosetting,0.0
Fyresdal,2006-01-01,Vedtak om bosetting,0.0
Fyresdal,2007-01-01,Anmodning om bosetting,10.0
Fyresdal,2007-01-01,Faktisk bosetting,0.0
Fyresdal,2007-01-01,Vedtak om bosetting,10.0
Fyresdal,2008-01-01,Anmodning om bosetting,10.0
Fyresdal,2008-01-01,Faktisk bosetting,0.0
Fyresdal,2008-01-01,Vedtak om bosetting,0.0
Fyresdal,2009-01-01,Anmodning om bosetting,10.0
Fyresdal,2009-01-01,Faktisk bosetting,0.0
Fyresdal,2009-01-01,Vedtak om bosetting,10.0
Fyresdal,2010-01-01,Anmodning om bosetting,10.0
Fyresdal,2010-01-01,Faktisk bosetting,0.0
Fyresdal,2010-01-01,Vedtak om bosetting,10.0
Fyresdal,2011-01-01,Anmodning om bosetting,5.0
Fyresdal,2011-01-01,Faktisk bosetting,0.0
Fyresdal,2011-01-01,Vedtak om bosetting,5.0
Fyresdal,2012-01-01,Anmodning om bosetting,10.0
Fyresdal,2012-01-01,Faktisk bosetting,5.0
Fyresdal,2012-01-01,Vedtak om bosetting,10.0
Fyresdal,2013-01-01,Anmodning om bosetting,10.0
Fyresdal,2013-01-01,Faktisk bosetting,5.0
Fyresdal,2013-01-01,Vedtak om bosetting,10.0
Fyresdal,2014-01-01,Anmodning om bosetting,10.0
Fyresdal,2014-01-01,Faktisk bosetting,7.0
Fyresdal,2014-01-01,Vedtak om bosetting,10.0
Fyresdal,2015-01-01,Anmodning om bosetting,10.0
Fyresdal,2015-01-01,Faktisk bosetting,19.0
Fyresdal,2015-01-01,Vedtak om bosetting,10.0
Fyresdal,2016-01-01,Anmodning om bosetting,15.0
Fyresdal,2016-01-01,Faktisk bosetting,10.0
Fyresdal,2016-01-01,Vedtak om bosetting,10.0
Fyresdal,2017-01-01,Anmodning om bosetting,10.0
Fyresdal,2017-01-01,Faktisk bosetting,12.0
Fyresdal,2017-01-01,Vedtak om bosetting,10.0
Fyresdal,2018-01-01,Anmodning om bosetting,0.0
Fyresdal,2018-01-01,Faktisk bosetting,0.0
Fyresdal,2018-01-01,Vedtak om bosetting,0.0
Fyresdal,2019-01-01,Anmodning om bosetting,0.0
Fyresdal,2019-01-01,Faktisk bosetting,0.0
Fyresdal,2019-01-01,Vedtak om bosetting,0.0
Fyresdal,2020-01-01,Anmodning om bosetting,0.0
Fyresdal,2020-01-01,Faktisk bosetting,0.0
Fyresdal,2020-01-01,Opprinnelig anmodning,0.0
Fyresdal,2020-01-01,Vedtak om bosetting,0.0
Fyresdal,2021-01-01,Anmodning om bosetting,0.0
Fyresdal,2021-01-01,Faktisk bosetting,0.0
Fyresdal,2021-01-01,Vedtak om bosetting,0.0
Fyresdal,2022-01-01,Anmodning om bosetting,25.0
Fyresdal,2022-01-01,Faktisk bosetting,26.0
Fyresdal,2022-01-01,Vedtak om bosetting,25.0
Fyresdal,2023-01-01,Faktisk bosetting,32.0
Fyresdal,2024-01-01,Anmodning om bosetting,30.0
Fyresdal,2024-01-01,Faktisk bosetting,28.0
Fyresdal,2024-01-01,Vedtak om bosetting,30.0
Fyresdal,2025-01-01,Anmodning om bosetting,15.0
Fyresdal,2025-01-01,Faktisk bosetting,12.0
Fyresdal,2025-01-01,Opprinnelig anmodning,25.0
Fyresdal,2025-01-01,Vedtak om bosetting,20.0
Fyresdal,2026-01-01,Anmodning om bosetting,26.0
Hjartdal,1995-01-01,Anmodning om bosetting,0.0
Hjartdal,1995-01-01,Faktisk bosetting,0.0
Hjartdal,1995-01-01,Vedtak om bosetting,0.0
Hjartdal,1996-01-01,Anmodning om bosetting,0.0
Hjartdal,1996-01-01,Faktisk bosetting,0.0
Hjartdal,1996-01-01,Vedtak om bosetting,0.0
Hjartdal,1997-01-01,Anmodning om bosetting,0.0
Hjartdal,1997-01-01,Faktisk bosetting,0.0
Hjartdal,1997-01-01,Vedtak om bosetting,0.0
Hjartdal,1998-01-01,Anmodning om bosetting,0.0
Hjartdal,1998-01-01,Faktisk bosetting,0.0
Hjartdal,1998-01-01,Vedtak om bosetting,0.0
Hjartdal,1999-01-01,Anmodning om bosetting,25.0
