Geografi,År,Kjønn,Alder vises ikke,Fornøydhet med helsa,SOES,Måltall,value
Porsgrunn,2022,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Porsgrunn,2023,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Porsgrunn,2023,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Porsgrunn,2023,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Porsgrunn,2024,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",64.8512083651178
Porsgrunn,2024,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",74.6085884779282
Porsgrunn,2024,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",55.2447418350009
Porsgrunn,2025,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Porsgrunn,2025,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Porsgrunn,2025,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2016,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2016,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2016,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2017,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2017,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2017,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2018,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",68.4117531669224
Skien,2018,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",75.1802204705853
Skien,2018,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",61.6941140027702
Skien,2019,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2019,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2019,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2020,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2020,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2020,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2021,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",67.0808279338022
Skien,2021,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",77.3388007581225
Skien,2021,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",57.2005683296468
Skien,2022,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2022,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2022,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2023,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2023,gutter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2023,jenter,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",.
Skien,2024,kjønn samlet,8-10.trinn,Litt eller svært fornøyd,SOES 0,"andel (prosent, standardisert)",67.2997895142704
