Geografi,År,Kjønn,Alder,Plagegrad,Sosioøkonomiske ressurser (SØR),Måltall,value
Notodden,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",7.73150183612735
Notodden,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",19.0034906175137
Notodden,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2020,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2021,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",14.080336468479
Notodden,2021,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",7.59831355637124
Notodden,2021,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",20.458262426144
Notodden,2022,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2022,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2022,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2023,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2023,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2023,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Notodden,2024,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",17.7743058254391
Notodden,2024,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",9.88031964899353
Notodden,2024,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",25.6085421185045
Siljan,2018,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",22.570156258671
Siljan,2018,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Siljan,2018,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",:
Siljan,2019,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2019,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2019,jenter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2020,kjønn samlet,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
Siljan,2020,gutter,8-10.trinn,plaget,Total SØR,"andel (prosent, standardisert)",.
