Geografi,År,Kjønn,Alder,Utdanningsnivå,Måltall,value
Midt-Telemark,2016-2022,kvinner,65 år,universitet/ høgskole,leveår,91.930336
Midt-Telemark,2017-2023,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,82.639771
Midt-Telemark,2017-2023,kjønn samlet,ved fødsel,grunnskole,leveår,-
Midt-Telemark,2017-2023,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Midt-Telemark,2017-2023,kjønn samlet,ved fødsel,videregående,leveår,-
Midt-Telemark,2017-2023,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Midt-Telemark,2017-2023,kjønn samlet,30 år,alle utdanningsnivåer,leveår,83.251152
Midt-Telemark,2017-2023,kjønn samlet,30 år,grunnskole,leveår,:
Midt-Telemark,2017-2023,kjønn samlet,30 år,videregående eller høyere,leveår,85.229156
Midt-Telemark,2017-2023,kjønn samlet,30 år,videregående,leveår,83.42704
Midt-Telemark,2017-2023,kjønn samlet,30 år,universitet/ høgskole,leveår,87.031265
Midt-Telemark,2017-2023,kjønn samlet,65 år,alle utdanningsnivåer,leveår,86.005234
Midt-Telemark,2017-2023,kjønn samlet,65 år,grunnskole,leveår,:
Midt-Telemark,2017-2023,kjønn samlet,65 år,videregående eller høyere,leveår,87.532562
Midt-Telemark,2017-2023,kjønn samlet,65 år,videregående,leveår,85.790024
Midt-Telemark,2017-2023,kjønn samlet,65 år,universitet/ høgskole,leveår,89.275108
Midt-Telemark,2017-2023,menn,ved fødsel,alle utdanningsnivåer,leveår,80.777092
Midt-Telemark,2017-2023,menn,ved fødsel,grunnskole,leveår,-
Midt-Telemark,2017-2023,menn,ved fødsel,videregående eller høyere,leveår,-
Midt-Telemark,2017-2023,menn,ved fødsel,videregående,leveår,-
Midt-Telemark,2017-2023,menn,ved fødsel,universitet/ høgskole,leveår,-
Midt-Telemark,2017-2023,menn,30 år,alle utdanningsnivåer,leveår,81.375198
Midt-Telemark,2017-2023,menn,30 år,grunnskole,leveår,:
Midt-Telemark,2017-2023,menn,30 år,videregående eller høyere,leveår,83.194664
Midt-Telemark,2017-2023,menn,30 år,videregående,leveår,81.111923
Midt-Telemark,2017-2023,menn,30 år,universitet/ høgskole,leveår,85.277405
Midt-Telemark,2017-2023,menn,65 år,alle utdanningsnivåer,leveår,84.707962
Midt-Telemark,2017-2023,menn,65 år,grunnskole,leveår,:
Midt-Telemark,2017-2023,menn,65 år,videregående eller høyere,leveår,85.690498
Midt-Telemark,2017-2023,menn,65 år,videregående,leveår,83.866341
Midt-Telemark,2017-2023,menn,65 år,universitet/ høgskole,leveår,87.514656
Midt-Telemark,2017-2023,kvinner,ved fødsel,alle utdanningsnivåer,leveår,84.502457
Midt-Telemark,2017-2023,kvinner,ved fødsel,grunnskole,leveår,-
Midt-Telemark,2017-2023,kvinner,ved fødsel,videregående eller høyere,leveår,-
Midt-Telemark,2017-2023,kvinner,ved fødsel,videregående,leveår,-
Midt-Telemark,2017-2023,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Midt-Telemark,2017-2023,kvinner,30 år,alle utdanningsnivåer,leveår,85.127106
Midt-Telemark,2017-2023,kvinner,30 år,grunnskole,leveår,:
Midt-Telemark,2017-2023,kvinner,30 år,videregående eller høyere,leveår,87.263641
Midt-Telemark,2017-2023,kvinner,30 år,videregående,leveår,85.742157
Midt-Telemark,2017-2023,kvinner,30 år,universitet/ høgskole,leveår,88.785133
Midt-Telemark,2017-2023,kvinner,65 år,alle utdanningsnivåer,leveår,87.302498
Midt-Telemark,2017-2023,kvinner,65 år,grunnskole,leveår,:
Midt-Telemark,2017-2023,kvinner,65 år,videregående eller høyere,leveår,89.374634
Midt-Telemark,2017-2023,kvinner,65 år,videregående,leveår,87.713699
Midt-Telemark,2017-2023,kvinner,65 år,universitet/ høgskole,leveår,91.035561
Midt-Telemark,2018-2024,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,82.817688
Midt-Telemark,2018-2024,kjønn samlet,ved fødsel,grunnskole,leveår,-
Midt-Telemark,2018-2024,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Midt-Telemark,2018-2024,kjønn samlet,ved fødsel,videregående,leveår,-
Midt-Telemark,2018-2024,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Midt-Telemark,2018-2024,kjønn samlet,30 år,alle utdanningsnivåer,leveår,83.287544
Midt-Telemark,2018-2024,kjønn samlet,30 år,grunnskole,leveår,:
Midt-Telemark,2018-2024,kjønn samlet,30 år,videregående eller høyere,leveår,85.051613
Midt-Telemark,2018-2024,kjønn samlet,30 år,videregående,leveår,83.52169
Midt-Telemark,2018-2024,kjønn samlet,30 år,universitet/ høgskole,leveår,86.581535
Midt-Telemark,2018-2024,kjønn samlet,65 år,alle utdanningsnivåer,leveår,86.080093
Midt-Telemark,2018-2024,kjønn samlet,65 år,grunnskole,leveår,:
Midt-Telemark,2018-2024,kjønn samlet,65 år,videregående eller høyere,leveår,87.325409
Midt-Telemark,2018-2024,kjønn samlet,65 år,videregående,leveår,85.820137
Midt-Telemark,2018-2024,kjønn samlet,65 år,universitet/ høgskole,leveår,88.830688
Midt-Telemark,2018-2024,menn,ved fødsel,alle utdanningsnivåer,leveår,81.090706
Midt-Telemark,2018-2024,menn,ved fødsel,grunnskole,leveår,-
Midt-Telemark,2018-2024,menn,ved fødsel,videregående eller høyere,leveår,-
Midt-Telemark,2018-2024,menn,ved fødsel,videregående,leveår,-
Midt-Telemark,2018-2024,menn,ved fødsel,universitet/ høgskole,leveår,-
Midt-Telemark,2018-2024,menn,30 år,alle utdanningsnivåer,leveår,81.278259
Midt-Telemark,2018-2024,menn,30 år,grunnskole,leveår,:
Midt-Telemark,2018-2024,menn,30 år,videregående eller høyere,leveår,83.089233
Midt-Telemark,2018-2024,menn,30 år,videregående,leveår,81.024696
Midt-Telemark,2018-2024,menn,30 år,universitet/ høgskole,leveår,85.153778
Midt-Telemark,2018-2024,menn,65 år,alle utdanningsnivåer,leveår,84.707787
Midt-Telemark,2018-2024,menn,65 år,grunnskole,leveår,:
Midt-Telemark,2018-2024,menn,65 år,videregående eller høyere,leveår,85.603622
Midt-Telemark,2018-2024,menn,65 år,videregående,leveår,83.90107
Midt-Telemark,2018-2024,menn,65 år,universitet/ høgskole,leveår,87.306183
Midt-Telemark,2018-2024,kvinner,ved fødsel,alle utdanningsnivåer,leveår,84.54467
Midt-Telemark,2018-2024,kvinner,ved fødsel,grunnskole,leveår,-
Midt-Telemark,2018-2024,kvinner,ved fødsel,videregående eller høyere,leveår,-
Midt-Telemark,2018-2024,kvinner,ved fødsel,videregående,leveår,-
Midt-Telemark,2018-2024,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Midt-Telemark,2018-2024,kvinner,30 år,alle utdanningsnivåer,leveår,85.296829
Midt-Telemark,2018-2024,kvinner,30 år,grunnskole,leveår,:
Midt-Telemark,2018-2024,kvinner,30 år,videregående eller høyere,leveår,87.013992
Midt-Telemark,2018-2024,kvinner,30 år,videregående,leveår,86.018684
Midt-Telemark,2018-2024,kvinner,30 år,universitet/ høgskole,leveår,88.009293
Midt-Telemark,2018-2024,kvinner,65 år,alle utdanningsnivåer,leveår,87.452393
Midt-Telemark,2018-2024,kvinner,65 år,grunnskole,leveår,:
Midt-Telemark,2018-2024,kvinner,65 år,videregående eller høyere,leveår,89.047203
Midt-Telemark,2018-2024,kvinner,65 år,videregående,leveår,87.739204
Midt-Telemark,2018-2024,kvinner,65 år,universitet/ høgskole,leveår,90.355202
Seljord,2009-2015,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,80.499077
Seljord,2009-2015,kjønn samlet,ved fødsel,grunnskole,leveår,-
Seljord,2009-2015,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Seljord,2009-2015,kjønn samlet,ved fødsel,videregående,leveår,-
Seljord,2009-2015,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2009-2015,kjønn samlet,30 år,alle utdanningsnivåer,leveår,80.748802
Seljord,2009-2015,kjønn samlet,30 år,grunnskole,leveår,:
Seljord,2009-2015,kjønn samlet,30 år,videregående eller høyere,leveår,:
Seljord,2009-2015,kjønn samlet,30 år,videregående,leveår,:
Seljord,2009-2015,kjønn samlet,30 år,universitet/ høgskole,leveår,:
Seljord,2009-2015,kjønn samlet,65 år,alle utdanningsnivåer,leveår,83.552567
Seljord,2009-2015,kjønn samlet,65 år,grunnskole,leveår,:
Seljord,2009-2015,kjønn samlet,65 år,videregående eller høyere,leveår,:
Seljord,2009-2015,kjønn samlet,65 år,videregående,leveår,:
Seljord,2009-2015,kjønn samlet,65 år,universitet/ høgskole,leveår,:
Seljord,2009-2015,menn,ved fødsel,alle utdanningsnivåer,leveår,78.100937
Seljord,2009-2015,menn,ved fødsel,grunnskole,leveår,-
Seljord,2009-2015,menn,ved fødsel,videregående eller høyere,leveår,-
Seljord,2009-2015,menn,ved fødsel,videregående,leveår,-
Seljord,2009-2015,menn,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2009-2015,menn,30 år,alle utdanningsnivåer,leveår,78.600388
Seljord,2009-2015,menn,30 år,grunnskole,leveår,:
Seljord,2009-2015,menn,30 år,videregående eller høyere,leveår,:
Seljord,2009-2015,menn,30 år,videregående,leveår,:
Seljord,2009-2015,menn,30 år,universitet/ høgskole,leveår,:
Seljord,2009-2015,menn,65 år,alle utdanningsnivåer,leveår,82.352074
Seljord,2009-2015,menn,65 år,grunnskole,leveår,:
Seljord,2009-2015,menn,65 år,videregående eller høyere,leveår,:
Seljord,2009-2015,menn,65 år,videregående,leveår,:
Seljord,2009-2015,menn,65 år,universitet/ høgskole,leveår,:
Seljord,2009-2015,kvinner,ved fødsel,alle utdanningsnivåer,leveår,82.897217
Seljord,2009-2015,kvinner,ved fødsel,grunnskole,leveår,-
Seljord,2009-2015,kvinner,ved fødsel,videregående eller høyere,leveår,-
Seljord,2009-2015,kvinner,ved fødsel,videregående,leveår,-
Seljord,2009-2015,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2009-2015,kvinner,30 år,alle utdanningsnivåer,leveår,82.897217
Seljord,2009-2015,kvinner,30 år,grunnskole,leveår,:
Seljord,2009-2015,kvinner,30 år,videregående eller høyere,leveår,:
Seljord,2009-2015,kvinner,30 år,videregående,leveår,:
Seljord,2009-2015,kvinner,30 år,universitet/ høgskole,leveår,:
Seljord,2009-2015,kvinner,65 år,alle utdanningsnivåer,leveår,84.753052
Seljord,2009-2015,kvinner,65 år,grunnskole,leveår,:
Seljord,2009-2015,kvinner,65 år,videregående eller høyere,leveår,:
Seljord,2009-2015,kvinner,65 år,videregående,leveår,:
Seljord,2009-2015,kvinner,65 år,universitet/ høgskole,leveår,:
Seljord,2010-2016,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,80.975067
Seljord,2010-2016,kjønn samlet,ved fødsel,grunnskole,leveår,-
Seljord,2010-2016,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Seljord,2010-2016,kjønn samlet,ved fødsel,videregående,leveår,-
Seljord,2010-2016,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2010-2016,kjønn samlet,30 år,alle utdanningsnivåer,leveår,80.975067
Seljord,2010-2016,kjønn samlet,30 år,grunnskole,leveår,:
Seljord,2010-2016,kjønn samlet,30 år,videregående eller høyere,leveår,:
Seljord,2010-2016,kjønn samlet,30 år,videregående,leveår,:
Seljord,2010-2016,kjønn samlet,30 år,universitet/ høgskole,leveår,:
Seljord,2010-2016,kjønn samlet,65 år,alle utdanningsnivåer,leveår,83.477394
Seljord,2010-2016,kjønn samlet,65 år,grunnskole,leveår,:
Seljord,2010-2016,kjønn samlet,65 år,videregående eller høyere,leveår,:
Seljord,2010-2016,kjønn samlet,65 år,videregående,leveår,:
Seljord,2010-2016,kjønn samlet,65 år,universitet/ høgskole,leveår,:
Seljord,2010-2016,menn,ved fødsel,alle utdanningsnivåer,leveår,79.175354
Seljord,2010-2016,menn,ved fødsel,grunnskole,leveår,-
Seljord,2010-2016,menn,ved fødsel,videregående eller høyere,leveår,-
Seljord,2010-2016,menn,ved fødsel,videregående,leveår,-
Seljord,2010-2016,menn,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2010-2016,menn,30 år,alle utdanningsnivåer,leveår,79.175354
Seljord,2010-2016,menn,30 år,grunnskole,leveår,:
Seljord,2010-2016,menn,30 år,videregående eller høyere,leveår,:
Seljord,2010-2016,menn,30 år,videregående,leveår,:
Seljord,2010-2016,menn,30 år,universitet/ høgskole,leveår,:
Seljord,2010-2016,menn,65 år,alle utdanningsnivåer,leveår,82.399429
Seljord,2010-2016,menn,65 år,grunnskole,leveår,:
Seljord,2010-2016,menn,65 år,videregående eller høyere,leveår,:
Seljord,2010-2016,menn,65 år,videregående,leveår,:
Seljord,2010-2016,menn,65 år,universitet/ høgskole,leveår,:
Seljord,2010-2016,kvinner,ved fødsel,alle utdanningsnivåer,leveår,82.774773
Seljord,2010-2016,kvinner,ved fødsel,grunnskole,leveår,-
Seljord,2010-2016,kvinner,ved fødsel,videregående eller høyere,leveår,-
Seljord,2010-2016,kvinner,ved fødsel,videregående,leveår,-
Seljord,2010-2016,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2010-2016,kvinner,30 år,alle utdanningsnivåer,leveår,82.77478
Seljord,2010-2016,kvinner,30 år,grunnskole,leveår,:
Seljord,2010-2016,kvinner,30 år,videregående eller høyere,leveår,:
Seljord,2010-2016,kvinner,30 år,videregående,leveår,:
Seljord,2010-2016,kvinner,30 år,universitet/ høgskole,leveår,:
Seljord,2010-2016,kvinner,65 år,alle utdanningsnivåer,leveår,84.555359
Seljord,2010-2016,kvinner,65 år,grunnskole,leveår,:
Seljord,2010-2016,kvinner,65 år,videregående eller høyere,leveår,:
Seljord,2010-2016,kvinner,65 år,videregående,leveår,:
Seljord,2010-2016,kvinner,65 år,universitet/ høgskole,leveår,:
Seljord,2011-2017,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,80.771172
Seljord,2011-2017,kjønn samlet,ved fødsel,grunnskole,leveår,-
Seljord,2011-2017,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Seljord,2011-2017,kjønn samlet,ved fødsel,videregående,leveår,-
Seljord,2011-2017,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2011-2017,kjønn samlet,30 år,alle utdanningsnivåer,leveår,80.771179
Seljord,2011-2017,kjønn samlet,30 år,grunnskole,leveår,:
Seljord,2011-2017,kjønn samlet,30 år,videregående eller høyere,leveår,:
Seljord,2011-2017,kjønn samlet,30 år,videregående,leveår,:
Seljord,2011-2017,kjønn samlet,30 år,universitet/ høgskole,leveår,:
Seljord,2011-2017,kjønn samlet,65 år,alle utdanningsnivåer,leveår,83.618958
Seljord,2011-2017,kjønn samlet,65 år,grunnskole,leveår,:
Seljord,2011-2017,kjønn samlet,65 år,videregående eller høyere,leveår,:
Seljord,2011-2017,kjønn samlet,65 år,videregående,leveår,:
Seljord,2011-2017,kjønn samlet,65 år,universitet/ høgskole,leveår,:
Seljord,2011-2017,menn,ved fødsel,alle utdanningsnivåer,leveår,78.913261
Seljord,2011-2017,menn,ved fødsel,grunnskole,leveår,-
Seljord,2011-2017,menn,ved fødsel,videregående eller høyere,leveår,-
Seljord,2011-2017,menn,ved fødsel,videregående,leveår,-
Seljord,2011-2017,menn,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2011-2017,menn,30 år,alle utdanningsnivåer,leveår,78.913261
Seljord,2011-2017,menn,30 år,grunnskole,leveår,:
Seljord,2011-2017,menn,30 år,videregående eller høyere,leveår,:
Seljord,2011-2017,menn,30 år,videregående,leveår,:
Seljord,2011-2017,menn,30 år,universitet/ høgskole,leveår,:
Seljord,2011-2017,menn,65 år,alle utdanningsnivåer,leveår,82.475159
Seljord,2011-2017,menn,65 år,grunnskole,leveår,:
Seljord,2011-2017,menn,65 år,videregående eller høyere,leveår,:
Seljord,2011-2017,menn,65 år,videregående,leveår,:
Seljord,2011-2017,menn,65 år,universitet/ høgskole,leveår,:
Seljord,2011-2017,kvinner,ved fødsel,alle utdanningsnivåer,leveår,82.629082
Seljord,2011-2017,kvinner,ved fødsel,grunnskole,leveår,-
Seljord,2011-2017,kvinner,ved fødsel,videregående eller høyere,leveår,-
Seljord,2011-2017,kvinner,ved fødsel,videregående,leveår,-
Seljord,2011-2017,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2011-2017,kvinner,30 år,alle utdanningsnivåer,leveår,82.629089
Seljord,2011-2017,kvinner,30 år,grunnskole,leveår,:
Seljord,2011-2017,kvinner,30 år,videregående eller høyere,leveår,:
Seljord,2011-2017,kvinner,30 år,videregående,leveår,:
Seljord,2011-2017,kvinner,30 år,universitet/ høgskole,leveår,:
Seljord,2011-2017,kvinner,65 år,alle utdanningsnivåer,leveår,84.762764
Seljord,2011-2017,kvinner,65 år,grunnskole,leveår,:
Seljord,2011-2017,kvinner,65 år,videregående eller høyere,leveår,:
Seljord,2011-2017,kvinner,65 år,videregående,leveår,:
Seljord,2011-2017,kvinner,65 år,universitet/ høgskole,leveår,:
Seljord,2012-2018,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,81.331497
Seljord,2012-2018,kjønn samlet,ved fødsel,grunnskole,leveår,-
Seljord,2012-2018,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Seljord,2012-2018,kjønn samlet,ved fødsel,videregående,leveår,-
Seljord,2012-2018,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2012-2018,kjønn samlet,30 år,alle utdanningsnivåer,leveår,81.331497
Seljord,2012-2018,kjønn samlet,30 år,grunnskole,leveår,:
Seljord,2012-2018,kjønn samlet,30 år,videregående eller høyere,leveår,:
Seljord,2012-2018,kjønn samlet,30 år,videregående,leveår,:
Seljord,2012-2018,kjønn samlet,30 år,universitet/ høgskole,leveår,:
Seljord,2012-2018,kjønn samlet,65 år,alle utdanningsnivåer,leveår,83.906067
Seljord,2012-2018,kjønn samlet,65 år,grunnskole,leveår,:
Seljord,2012-2018,kjønn samlet,65 år,videregående eller høyere,leveår,:
Seljord,2012-2018,kjønn samlet,65 år,videregående,leveår,:
Seljord,2012-2018,kjønn samlet,65 år,universitet/ høgskole,leveår,:
Seljord,2012-2018,menn,ved fødsel,alle utdanningsnivåer,leveår,79.578941
Seljord,2012-2018,menn,ved fødsel,grunnskole,leveår,-
Seljord,2012-2018,menn,ved fødsel,videregående eller høyere,leveår,-
Seljord,2012-2018,menn,ved fødsel,videregående,leveår,-
Seljord,2012-2018,menn,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2012-2018,menn,30 år,alle utdanningsnivåer,leveår,79.578949
Seljord,2012-2018,menn,30 år,grunnskole,leveår,:
Seljord,2012-2018,menn,30 år,videregående eller høyere,leveår,:
Seljord,2012-2018,menn,30 år,videregående,leveår,:
Seljord,2012-2018,menn,30 år,universitet/ høgskole,leveår,:
Seljord,2012-2018,menn,65 år,alle utdanningsnivåer,leveår,82.973419
Seljord,2012-2018,menn,65 år,grunnskole,leveår,:
Seljord,2012-2018,menn,65 år,videregående eller høyere,leveår,:
Seljord,2012-2018,menn,65 år,videregående,leveår,:
Seljord,2012-2018,menn,65 år,universitet/ høgskole,leveår,:
Seljord,2012-2018,kvinner,ved fødsel,alle utdanningsnivåer,leveår,83.084053
Seljord,2012-2018,kvinner,ved fødsel,grunnskole,leveår,-
Seljord,2012-2018,kvinner,ved fødsel,videregående eller høyere,leveår,-
Seljord,2012-2018,kvinner,ved fødsel,videregående,leveår,-
Seljord,2012-2018,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2012-2018,kvinner,30 år,alle utdanningsnivåer,leveår,83.084045
Seljord,2012-2018,kvinner,30 år,grunnskole,leveår,:
Seljord,2012-2018,kvinner,30 år,videregående eller høyere,leveår,:
Seljord,2012-2018,kvinner,30 år,videregående,leveår,:
Seljord,2012-2018,kvinner,30 år,universitet/ høgskole,leveår,:
Seljord,2012-2018,kvinner,65 år,alle utdanningsnivåer,leveår,84.838707
Seljord,2012-2018,kvinner,65 år,grunnskole,leveår,:
Seljord,2012-2018,kvinner,65 år,videregående eller høyere,leveår,:
Seljord,2012-2018,kvinner,65 år,videregående,leveår,:
Seljord,2012-2018,kvinner,65 år,universitet/ høgskole,leveår,:
Seljord,2013-2019,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,81.880257
Seljord,2013-2019,kjønn samlet,ved fødsel,grunnskole,leveår,-
Seljord,2013-2019,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Seljord,2013-2019,kjønn samlet,ved fødsel,videregående,leveår,-
Seljord,2013-2019,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2013-2019,kjønn samlet,30 år,alle utdanningsnivåer,leveår,81.880249
Seljord,2013-2019,kjønn samlet,30 år,grunnskole,leveår,:
Seljord,2013-2019,kjønn samlet,30 år,videregående eller høyere,leveår,:
Seljord,2013-2019,kjønn samlet,30 år,videregående,leveår,:
Seljord,2013-2019,kjønn samlet,30 år,universitet/ høgskole,leveår,:
Seljord,2013-2019,kjønn samlet,65 år,alle utdanningsnivåer,leveår,84.7239
Seljord,2013-2019,kjønn samlet,65 år,grunnskole,leveår,:
Seljord,2013-2019,kjønn samlet,65 år,videregående eller høyere,leveår,:
Seljord,2013-2019,kjønn samlet,65 år,videregående,leveår,:
Seljord,2013-2019,kjønn samlet,65 år,universitet/ høgskole,leveår,:
Seljord,2013-2019,menn,ved fødsel,alle utdanningsnivåer,leveår,79.967552
Seljord,2013-2019,menn,ved fødsel,grunnskole,leveår,-
Seljord,2013-2019,menn,ved fødsel,videregående eller høyere,leveår,-
Seljord,2013-2019,menn,ved fødsel,videregående,leveår,-
Seljord,2013-2019,menn,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2013-2019,menn,30 år,alle utdanningsnivåer,leveår,79.967545
Seljord,2013-2019,menn,30 år,grunnskole,leveår,:
Seljord,2013-2019,menn,30 år,videregående eller høyere,leveår,:
Seljord,2013-2019,menn,30 år,videregående,leveår,:
Seljord,2013-2019,menn,30 år,universitet/ høgskole,leveår,:
Seljord,2013-2019,menn,65 år,alle utdanningsnivåer,leveår,83.653748
Seljord,2013-2019,menn,65 år,grunnskole,leveår,:
Seljord,2013-2019,menn,65 år,videregående eller høyere,leveår,:
Seljord,2013-2019,menn,65 år,videregående,leveår,:
Seljord,2013-2019,menn,65 år,universitet/ høgskole,leveår,:
Seljord,2013-2019,kvinner,ved fødsel,alle utdanningsnivåer,leveår,83.792961
Seljord,2013-2019,kvinner,ved fødsel,grunnskole,leveår,-
Seljord,2013-2019,kvinner,ved fødsel,videregående eller høyere,leveår,-
Seljord,2013-2019,kvinner,ved fødsel,videregående,leveår,-
Seljord,2013-2019,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2013-2019,kvinner,30 år,alle utdanningsnivåer,leveår,83.792961
Seljord,2013-2019,kvinner,30 år,grunnskole,leveår,:
Seljord,2013-2019,kvinner,30 år,videregående eller høyere,leveår,:
Seljord,2013-2019,kvinner,30 år,videregående,leveår,:
Seljord,2013-2019,kvinner,30 år,universitet/ høgskole,leveår,:
Seljord,2013-2019,kvinner,65 år,alle utdanningsnivåer,leveår,85.794052
Seljord,2013-2019,kvinner,65 år,grunnskole,leveår,:
Seljord,2013-2019,kvinner,65 år,videregående eller høyere,leveår,:
Seljord,2013-2019,kvinner,65 år,videregående,leveår,:
Seljord,2013-2019,kvinner,65 år,universitet/ høgskole,leveår,:
Seljord,2014-2020,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,82.024498
Seljord,2014-2020,kjønn samlet,ved fødsel,grunnskole,leveår,-
Seljord,2014-2020,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Seljord,2014-2020,kjønn samlet,ved fødsel,videregående,leveår,-
Seljord,2014-2020,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2014-2020,kjønn samlet,30 år,alle utdanningsnivåer,leveår,82.024498
Seljord,2014-2020,kjønn samlet,30 år,grunnskole,leveår,:
Seljord,2014-2020,kjønn samlet,30 år,videregående eller høyere,leveår,:
Seljord,2014-2020,kjønn samlet,30 år,videregående,leveår,:
Seljord,2014-2020,kjønn samlet,30 år,universitet/ høgskole,leveår,:
Seljord,2014-2020,kjønn samlet,65 år,alle utdanningsnivåer,leveår,84.998489
Seljord,2014-2020,kjønn samlet,65 år,grunnskole,leveår,:
Seljord,2014-2020,kjønn samlet,65 år,videregående eller høyere,leveår,:
Seljord,2014-2020,kjønn samlet,65 år,videregående,leveår,:
Seljord,2014-2020,kjønn samlet,65 år,universitet/ høgskole,leveår,:
Seljord,2014-2020,menn,ved fødsel,alle utdanningsnivåer,leveår,80.526672
Seljord,2014-2020,menn,ved fødsel,grunnskole,leveår,-
Seljord,2014-2020,menn,ved fødsel,videregående eller høyere,leveår,-
Seljord,2014-2020,menn,ved fødsel,videregående,leveår,-
Seljord,2014-2020,menn,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2014-2020,menn,30 år,alle utdanningsnivåer,leveår,80.526672
Seljord,2014-2020,menn,30 år,grunnskole,leveår,:
Seljord,2014-2020,menn,30 år,videregående eller høyere,leveår,:
Seljord,2014-2020,menn,30 år,videregående,leveår,:
Seljord,2014-2020,menn,30 år,universitet/ høgskole,leveår,:
Seljord,2014-2020,menn,65 år,alle utdanningsnivåer,leveår,84.424271
Seljord,2014-2020,menn,65 år,grunnskole,leveår,:
Seljord,2014-2020,menn,65 år,videregående eller høyere,leveår,:
Seljord,2014-2020,menn,65 år,videregående,leveår,:
Seljord,2014-2020,menn,65 år,universitet/ høgskole,leveår,:
Seljord,2014-2020,kvinner,ved fødsel,alle utdanningsnivåer,leveår,83.522324
Seljord,2014-2020,kvinner,ved fødsel,grunnskole,leveår,-
Seljord,2014-2020,kvinner,ved fødsel,videregående eller høyere,leveår,-
Seljord,2014-2020,kvinner,ved fødsel,videregående,leveår,-
Seljord,2014-2020,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2014-2020,kvinner,30 år,alle utdanningsnivåer,leveår,83.522324
Seljord,2014-2020,kvinner,30 år,grunnskole,leveår,:
Seljord,2014-2020,kvinner,30 år,videregående eller høyere,leveår,:
Seljord,2014-2020,kvinner,30 år,videregående,leveår,:
Seljord,2014-2020,kvinner,30 år,universitet/ høgskole,leveår,:
Seljord,2014-2020,kvinner,65 år,alle utdanningsnivåer,leveår,85.572701
Seljord,2014-2020,kvinner,65 år,grunnskole,leveår,:
Seljord,2014-2020,kvinner,65 år,videregående eller høyere,leveår,:
Seljord,2014-2020,kvinner,65 år,videregående,leveår,:
Seljord,2014-2020,kvinner,65 år,universitet/ høgskole,leveår,:
Seljord,2015-2021,kjønn samlet,ved fødsel,alle utdanningsnivåer,leveår,81.866188
Seljord,2015-2021,kjønn samlet,ved fødsel,grunnskole,leveår,-
Seljord,2015-2021,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Seljord,2015-2021,kjønn samlet,ved fødsel,videregående,leveår,-
Seljord,2015-2021,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Seljord,2015-2021,kjønn samlet,30 år,alle utdanningsnivåer,leveår,82.407379
Seljord,2015-2021,kjønn samlet,30 år,grunnskole,leveår,:
Seljord,2015-2021,kjønn samlet,30 år,videregående eller høyere,leveår,:
Seljord,2015-2021,kjønn samlet,30 år,videregående,leveår,:
Seljord,2015-2021,kjønn samlet,30 år,universitet/ høgskole,leveår,:
Seljord,2015-2021,kjønn samlet,65 år,alle utdanningsnivåer,leveår,85.128845
