Geografi,År,Kjønn,Alder,Utdanningsnivå,Måltall,value
Hele landet,2011-2017,kjønn samlet,ved fødsel,grunnskole,leveår,-
Hele landet,2011-2017,kjønn samlet,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2011-2017,kjønn samlet,ved fødsel,videregående,leveår,-
Hele landet,2011-2017,kjønn samlet,ved fødsel,universitet/ høgskole,leveår,-
Hele landet,2011-2017,kjønn samlet,30 år,alle utdanningsnivåer,leveår,82.62326
Hele landet,2011-2017,kjønn samlet,30 år,grunnskole,leveår,79.596298
Hele landet,2011-2017,kjønn samlet,30 år,videregående eller høyere,leveår,84.659386
Hele landet,2011-2017,kjønn samlet,30 år,videregående,leveår,83.25251
Hele landet,2011-2017,kjønn samlet,30 år,universitet/ høgskole,leveår,86.066261
Hele landet,2011-2017,kjønn samlet,65 år,alle utdanningsnivåer,leveår,85.08812
Hele landet,2011-2017,kjønn samlet,65 år,grunnskole,leveår,83.497345
Hele landet,2011-2017,kjønn samlet,65 år,videregående eller høyere,leveår,86.642357
Hele landet,2011-2017,kjønn samlet,65 år,videregående,leveår,85.57547
Hele landet,2011-2017,kjønn samlet,65 år,universitet/ høgskole,leveår,87.709244
Hele landet,2011-2017,menn,ved fødsel,alle utdanningsnivåer,leveår,80.10125
Hele landet,2011-2017,menn,ved fødsel,grunnskole,leveår,-
Hele landet,2011-2017,menn,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2011-2017,menn,ved fødsel,videregående,leveår,-
Hele landet,2011-2017,menn,ved fødsel,universitet/ høgskole,leveår,-
Hele landet,2011-2017,menn,30 år,alle utdanningsnivåer,leveår,80.860168
Hele landet,2011-2017,menn,30 år,grunnskole,leveår,77.395294
Hele landet,2011-2017,menn,30 år,videregående eller høyere,leveår,82.826523
Hele landet,2011-2017,menn,30 år,videregående,leveår,81.303986
Hele landet,2011-2017,menn,30 år,universitet/ høgskole,leveår,84.34906
Hele landet,2011-2017,menn,65 år,alle utdanningsnivåer,leveår,83.753731
Hele landet,2011-2017,menn,65 år,grunnskole,leveår,82.056541
Hele landet,2011-2017,menn,65 år,videregående eller høyere,leveår,85.08873
Hele landet,2011-2017,menn,65 år,videregående,leveår,83.975052
Hele landet,2011-2017,menn,65 år,universitet/ høgskole,leveår,86.202415
Hele landet,2011-2017,kvinner,ved fødsel,alle utdanningsnivåer,leveår,83.91629
Hele landet,2011-2017,kvinner,ved fødsel,grunnskole,leveår,-
Hele landet,2011-2017,kvinner,ved fødsel,videregående eller høyere,leveår,-
Hele landet,2011-2017,kvinner,ved fødsel,videregående,leveår,-
Hele landet,2011-2017,kvinner,ved fødsel,universitet/ høgskole,leveår,-
Hele landet,2011-2017,kvinner,30 år,alle utdanningsnivåer,leveår,84.386353
Hele landet,2011-2017,kvinner,30 år,grunnskole,leveår,81.797302
Hele landet,2011-2017,kvinner,30 år,videregående eller høyere,leveår,86.492249
Hele landet,2011-2017,kvinner,30 år,videregående,leveår,85.201035
Hele landet,2011-2017,kvinner,30 år,universitet/ høgskole,leveår,87.783463
