Geografi,År,Kjønn,Alder,"Skala 0-10, tilfredshet",Sosial status,Måltall,value
Tinn,2021,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",52.7375728602982
Tinn,2021,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",54.6020275286659
Tinn,2021,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",50.4022872066019
Tinn,2024,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",52.8028269116029
Tinn,2024,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",57.9573812303236
Tinn,2024,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",47.0251320869572
Kviteseid,2021,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Kviteseid,2021,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Kviteseid,2021,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Kviteseid,2024,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Kviteseid,2024,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Kviteseid,2024,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Nissedal,2021,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Nissedal,2021,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Nissedal,2021,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Nissedal,2024,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Nissedal,2024,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Nissedal,2024,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Fyresdal,2021,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Fyresdal,2021,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Fyresdal,2021,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Fyresdal,2024,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Fyresdal,2024,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Fyresdal,2024,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Tokke,2021,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Tokke,2021,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Tokke,2021,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",.
Tokke,2024,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",65.1985676986431
Tokke,2024,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",60.7849793348709
Tokke,2024,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",71.1704901351431
Vinje,2021,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",58.8327537112927
Vinje,2021,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",71.4594887118473
Vinje,2021,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",45.9156580647396
Vinje,2024,kjønn samlet,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",52.1825895351134
Vinje,2024,gutter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",65.0226010301737
Vinje,2024,jenter,8-10.trinn,8_10,samlet,"andel (prosent, standardisert)",39.0771849742943
