region,statistikkvariabel,år,value
Tinn,Personer,2023,5546
Tinn,Personer,2024,5533
Tinn,Personer,2025,5529
Kviteseid,Personer,2006,2575
Kviteseid,Personer,2007,2542
Kviteseid,Personer,2008,2563
Kviteseid,Personer,2009,2546
Kviteseid,Personer,2010,2522
Kviteseid,Personer,2011,2501
Kviteseid,Personer,2012,2498
Kviteseid,Personer,2013,2507
Kviteseid,Personer,2014,2468
Kviteseid,Personer,2015,2466
Kviteseid,Personer,2016,2448
Kviteseid,Personer,2017,2442
Kviteseid,Personer,2018,2397
Kviteseid,Personer,2019,2403
Kviteseid,Personer,2020,2403
Kviteseid,Personer,2021,2430
Kviteseid,Personer,2022,2452
Kviteseid,Personer,2023,2427
Kviteseid,Personer,2024,2458
Kviteseid,Personer,2025,2473
Nissedal,Personer,2006,1407
Nissedal,Personer,2007,1375
Nissedal,Personer,2008,1378
Nissedal,Personer,2009,1393
Nissedal,Personer,2010,1404
Nissedal,Personer,2011,1405
Nissedal,Personer,2012,1430
Nissedal,Personer,2013,1430
Nissedal,Personer,2014,1451
Nissedal,Personer,2015,1439
Nissedal,Personer,2016,1443
Nissedal,Personer,2017,1476
Nissedal,Personer,2018,1489
Nissedal,Personer,2019,1476
Nissedal,Personer,2020,1448
Nissedal,Personer,2021,1430
Nissedal,Personer,2022,1414
Nissedal,Personer,2023,1442
Nissedal,Personer,2024,1471
Nissedal,Personer,2025,1486
Fyresdal,Personer,2006,1369
Fyresdal,Personer,2007,1363
Fyresdal,Personer,2008,1375
Fyresdal,Personer,2009,1379
Fyresdal,Personer,2010,1381
Fyresdal,Personer,2011,1351
Fyresdal,Personer,2012,1335
Fyresdal,Personer,2013,1350
Fyresdal,Personer,2014,1303
Fyresdal,Personer,2015,1298
Fyresdal,Personer,2016,1323
Fyresdal,Personer,2017,1319
Fyresdal,Personer,2018,1320
Fyresdal,Personer,2019,1286
Fyresdal,Personer,2020,1287
Fyresdal,Personer,2021,1228
Fyresdal,Personer,2022,1198
Fyresdal,Personer,2023,1224
Fyresdal,Personer,2024,1256
Fyresdal,Personer,2025,1256
Tokke,Personer,2006,2417
Tokke,Personer,2007,2414
Tokke,Personer,2008,2366
Tokke,Personer,2009,2363
Tokke,Personer,2010,2337
Tokke,Personer,2011,2316
Tokke,Personer,2012,2287
Tokke,Personer,2013,2284
Tokke,Personer,2014,2257
Tokke,Personer,2015,2252
Tokke,Personer,2016,2246
Tokke,Personer,2017,2228
Tokke,Personer,2018,2236
Tokke,Personer,2019,2228
Tokke,Personer,2020,2201
Tokke,Personer,2021,2164
Tokke,Personer,2022,2140
Tokke,Personer,2023,2198
Tokke,Personer,2024,2212
Tokke,Personer,2025,2238
Vinje,Personer,2006,3694
Vinje,Personer,2007,3684
Vinje,Personer,2008,3635
Vinje,Personer,2009,3662
Vinje,Personer,2010,3641
Vinje,Personer,2011,3661
Vinje,Personer,2012,3700
Vinje,Personer,2013,3721
Vinje,Personer,2014,3723
Vinje,Personer,2015,3689
Vinje,Personer,2016,3727
Vinje,Personer,2017,3726
Vinje,Personer,2018,3709
Vinje,Personer,2019,3723
Vinje,Personer,2020,3676
Vinje,Personer,2021,3756
Vinje,Personer,2022,3755
Vinje,Personer,2023,3832
Vinje,Personer,2024,3851
Vinje,Personer,2025,3861
