ogc_fid;SSBID0250M;pop_tot
433;19432506609750;4
434;19432506610250;5
435;19432506610500;110
436;19432506610750;3
437;19432506611000;40
438;19432506611250;44
439;19432506611500;10
440;19432506611750;26
441;19432506612000;24
442;19432506612250;5
443;19432506614000;8
444;19432506614250;57
445;19432506614500;16
446;19432506757750;7
447;19432506758000;3
448;19432506760000;5
449;19432506760250;3
450;19432506761500;16
451;19432506761750;14
452;19432506764250;20
453;19432506764500;20
454;19432506765000;1
455;19432506765500;11
456;19432506765750;4
457;19432506766000;7
458;19432506766250;3
459;19432506767750;10
460;19432506768000;2
461;19432506768250;13
462;19432506768500;16
463;19432506808250;2
464;19432506811500;7
465;19432506811750;12
466;19435006596750;54
467;19435006597000;122
468;19435006597250;122
469;19435006597500;145
470;19435006597750;78
471;19435006598000;2
472;19435006610500;4
473;19435006610750;3
474;19435006611250;4
475;19435006611500;17
476;19435006611750;6
477;19435006612000;2
478;19435006613000;5
479;19435006613250;12
480;19435006613500;55
481;19435006614000;10
482;19435006614250;7
483;19435006614500;4
484;19435006616750;4
485;19435006618250;2
486;19435006757250;3
487;19435006757500;2
488;19435006757750;2
489;19435006760250;1
490;19435006761500;6
491;19435006761750;9
492;19435006763750;10
493;19435006764000;15
494;19435006764250;31
495;19435006764500;8
496;19435006764750;3
497;19435006765750;8
498;19435006766000;6
499;19435006766250;1
500;19435006767250;4
501;19435006767500;11
502;19435006767750;9
503;19435006768000;6
504;19435006768250;36
505;19435006768500;33
506;19437506597000;69
507;19437506597250;143
508;19437506597500;139
509;19437506597750;35
510;19437506609250;6
511;19437506609500;6
512;19437506611500;37
513;19437506612750;17
514;19437506613000;22
515;19437506613250;67
516;19437506613500;131
517;19437506613750;29
518;19437506614000;61
519;19437506614250;20
520;19437506616750;53
521;19437506617000;52
522;19437506617250;49
523;19437506617500;6
524;19437506617750;4
525;19437506618000;29
526;19437506619000;3
527;19437506757500;10
528;19437506759750;5
529;19437506760000;10
530;19437506760250;3
531;19437506763750;4
532;19437506764500;7
533;19437506766000;32
534;19437506766250;8
535;19437506767500;3
536;19437506767750;2
537;19437506768000;29
538;19437506768250;6
539;19437506768500;9
540;19437506839750;3
541;19440006597000;28
542;19440006597250;130
543;19440006597500;85
544;19440006597750;98
545;19440006598000;96
546;19440006611500;17
547;19440006612250;5
548;19440006612500;2
549;19440006612750;18
550;19440006613000;40
551;19440006613250;50
552;19440006613500;83
553;19440006613750;77
554;19440006614000;127
555;19440006614250;77
556;19440006614500;1
557;19440006616500;7
558;19440006616750;40
559;19440006618000;2
560;19440006757250;2
561;19440006757500;3
562;19440006757750;6
563;19440006759500;2
564;19440006759750;9
565;19440006760000;8
566;19440006763750;1
567;19440006764750;14
568;19440006765000;1
569;19440006765250;6
570;19440006765500;1
571;19440006768000;6
572;19440006768250;2
573;19440006768500;1
574;19442506597000;36
575;19442506597250;135
