"KOSTRA","Ar","Kommune","Fylke","Innbyggere pr. 1.1","Bes&#248;k","Aktive personlige l&#229;nere","Aktive l&#229;nere, institusjoner","Nye lokaler","Areal i m2","Regnskap, kj&#248;p av medier"
"","2017","Tjøme ","Vestfold","4 928","12 000","870","49","Nei","330","256 553"
"8","2017","Re","Vestfold","9 486","27 451","1 013","144","Nei","","260 000"
"13","2017","Larvik ","Vestfold","44 082","183 828","8 779","505","Nei","2 456","1 084 872"
"","2017","Hof ","Vestfold","3 176","6 178","392","38","Nei","219","142 903"
"","2017","Lardal ","Vestfold","2 475","4 950","328","39","Nei","155","53 620"
"13","2017","Horten","Vestfold","27 202","194 536","5 752","320","Nei","1 420","695 727"
"7","2017","Holmestrand ","Vestfold","10 861","49 898","2 143","69","Ja","940","398 772"
"10","2017","Sande (Vest)","Vestfold","9 496","41 002","2 336","77","Nei","438","397 854"
"13","2017","Skien","Telemark","54 316","140 000","7 625","452","Nei","1 600","910 000"
"13","2017","Porsgrunn","Telemark","36 198","145 883","3 373","270","Nei","2 650","758 626"
"7","2016","Svelvik","Vestfold","6 604","6 535","766","85","Nei","150","16 161"
"0","2016","Tønsberg og Færder","Vestfold","63 897","283 982","6 184","450","Nei","5 020","1 341 961"
"8","2016","Bamble","Telemark","14 088","63 768","2 514","115","Nei","1 050","337 000"
"11","2016","Notodden","Telemark","12 717","147 769","2 911","173","Nei","1 170","402 152"
"11","2016","Kragerø","Telemark","10 607","66 107","2 961","50","Nei","823","310 000"
"11","2016","Nome","Telemark","6 534","22 763","1 395","183","Nei","","136 836"
"11","2016","Midt-Telemark","Telemark","6 101","29 200","1 635","81","Nei","537","280 000"
"12","2016","Tinn","Telemark","5 940","16 315","1 437","161","Nei","717","322 000"
"2","2016","Drangedal","Telemark","4 136","29 008","553","45","Nei","170","205 498"
"3","2016","Vinje","Telemark","3 727","8 088","943","112","Nei","624","194 600"
"2","2016","Seljord","Telemark","2 991","11 105","842","28","Nei","385","172 242"
"2","2016","Kviteseid","Telemark","2 448","6 665","476","25","Nei","265","173 827"
"13","2016","Sandefjord","Vestfold","45 820","213 793","9 178","579","Ja","2 000","932 327"
"1","2016","Siljan","Telemark","2 335","","210","21","Nei","135","140 000"
"3","2016","Tokke","Telemark","2 246","16 584","722","14","Nei","300","169 745"
"5","2016","Hjartdal","Telemark","1 613","2 050","139","18","Nei","130","90 611"
"5","2016","Nissedal","Telemark","1 443","7 115","205","12","Nei","200","126 500"
"6","2016","Fyresdal","Telemark","1 323","6 477","467","16","Nei","326","152 197"
"1","2016","Sauherad","Telemark","4 338","13 167","572","17","Nei","270","128 005"
"","2016","Tjøme","Vestfold","4 971","12 000","948","60","Nei","330","214 009"
"8","2016","Re","Vestfold","9 361","26 493","1 067","159","Nei","","299 000"
"","2016","Andebu","Vestfold","5 937","18 517","930","40","Nei","","234 176"
"","2016","Stokke","Vestfold","11 657","38 292","1 751","114","Nei","556","328 231"
"13","2016","Larvik","Vestfold","43 867","200 028","8 634","532","Nei","2 156","1 048 716"
"","2016","Hof","Vestfold","3 163","6 041","403","52","Nei","219","150 459"
"","2016","Lardal","Vestfold","2 474","5 200","309","38","Nei","155","94 684"
"13","2016","Horten","Vestfold","27 178","173 482","6 021","328","Nei","1 420","689 390"
"7","2016","Holmestrand","Vestfold","10 741","21 682","1 228","57","Nei","540","237 535"
"10","2016","Sande (Vest)","Vestfold","9 297","42 756","2 441","56","Nei","438","391 280"
"13","2016","Skien","Telemark","53 952","145 926","7 668","447","Nei","1 600","982 000"
"13","2016","Porsgrunn","Telemark","35 955","155 669","6 608","333","Nei","2 650","780 402"
"7","2015","Svelvik","Vestfold","6 601","6 535","744","90","Nei","200","95 600"
"0","2015","Tønsberg og Færder","Vestfold","63 403","285 003","14 923","473","Nei","5 020","1 451 693"
"8","2015","Bamble","Telemark","14 140","44 000","2 540","93","Nei","1 050","399 626"
"11","2015","Notodden","Telemark","12 599","150 973","3 068","163","Nei","1 170","374 365"
"11","2015","Kragerø","Telemark","10 636","63 997","3 027","40","Nei","823","326 022"
"11","2015","Nome","Telemark","6 630","26 396","1 685","152","Nei","","158 239"
"11","2015","Midt-Telemark","Telemark","5 977","23 700","0","","Nei","537","275 575"
"12","2015","Tinn","Telemark","5 913","17 172","1 515","138","Nei","717","310 000"
"2","2015","Drangedal","Telemark","4 111","29 912","559","32","Nei","170","170 192"
"3","2015","Vinje","Telemark","3 689","7 938","884","96","Nei","624","244 000"
"2","2015","Seljord","Telemark","3 002","10 050","761","26","Nei","385","208 615"
"2","2015","Kviteseid","Telemark","2 466","4 415","446","","Nei","265","159 809"
"13","2015","Sandefjord","Vestfold","45 281","202 032","9 277","550","Nei","2 000","1 305 000"
"1","2015","Siljan","Telemark","2 361","","247","12","Nei","135","153 000"
"3","2015","Tokke","Telemark","2 252","14 709","695","12","Nei","300","180 000"
"5","2015","Hjartdal","Telemark","1 594","1 316","100","19","Nei","130","90 862"
"5","2015","Nissedal","Telemark","1 439","6 918","295","11","Nei","200","105 000"
"6","2015","Fyresdal","Telemark","1 298","7 103","438","16","Nei","326","176 119"
"1","2015","Sauherad","Telemark","4 346","14 315","625","17","Nei","290","124 649"
"","2015","Tjøme","Vestfold","4 962","12 000","986","52","Nei","330","248 267"
"8","2015","Re","Vestfold","9 253","25 426","1 077","136","Nei","","257 000"
"","2015","Andebu","Vestfold","5 860","20 142","952","43","Nei","","239 000"
"","2015","Stokke","Vestfold","11 506","38 168","1 672","147","Nei","556","260 040"
"13","2015","Larvik","Vestfold","43 506","188 832","9 047","3","Nei","2 156","1 266 700"
"","2015","Hof","Vestfold","3 114","5 270","380","31","Nei","219","159 016"
"","2015","Lardal","Vestfold","2 463","5 300","319","45","Nei","155","121 328"
"13","2015","Horten","Vestfold","26 903","159 469","5 940","343","Nei","1 420","733 333"
"7","2015","Holmestrand","Vestfold","10 661","15 934","1 172","67","Nei","540","228 985"
"10","2015","Sande (Vest)","Vestfold","9 149","41 678","2 355","62","Nei","438","399 753"
"13","2015","Skien","Telemark","53 745","153 726","8 012","398","Nei","1 600","770 449"
"13","2015","Porsgrunn","Telemark","35 755","154 026","5 926","312","Nei","2 650","815 921"
"","","","","0,00 %","3,03 %","0,00 %","5,45 %","0,00 %","6,67 %","0,00 %"
"","","","","165","160","165","156","165","154","165"
"","","","","15 133","62 966","2 628","174","","1 013","422 599"
"","","","","2 496 924","10 074 532","433 598","27 129","","156 049","69 728 857"
