År;Fylke;shite;Utdanningsnivå;Antall
2020;54 Troms og Finnmark - Romsa ja Finnmárku;Personer 16 år og over;Grunnskolenivå;56641
2020;54 Troms og Finnmark - Romsa ja Finnmárku;Personer 16 år og over;Videregående skolenivå;72501
2020;54 Troms og Finnmark - Romsa ja Finnmárku;Personer 16 år og over;Fagskolenivå;6474
2020;54 Troms og Finnmark - Romsa ja Finnmárku;Personer 16 år og over;Universitets- og høgskolenivå, kort;46511
2020;54 Troms og Finnmark - Romsa ja Finnmárku;Personer 16 år og over;Universitets- og høgskolenivå, lang;18497
2020;54 Troms og Finnmark - Romsa ja Finnmárku;Personer 16 år og over;Uoppgitt eller ingen fullført utdanning;986
2020;21 Svalbard;Personer 16 år og over;Grunnskolenivå;0
2020;21 Svalbard;Personer 16 år og over;Videregående skolenivå;0
2020;21 Svalbard;Personer 16 år og over;Fagskolenivå;0
2020;21 Svalbard;Personer 16 år og over;Universitets- og høgskolenivå, kort;0
2020;21 Svalbard;Personer 16 år og over;Universitets- og høgskolenivå, lang;0
2020;21 Svalbard;Personer 16 år og over;Uoppgitt eller ingen fullført utdanning;0
