Dato,Nivå,Geografisk enhet,Yrke,Antall søkere,Antall utlyste stillinger
2025-06-01,Fylker,Nordland,Meglere og konsulenter,42.0,8.0
2025-06-01,Fylker,Nordland,Reiseliv og transport,227.0,140.0
2025-06-01,Fylker,Nordland,Serviceyrker og annet arbeid,317.0,130.0
2025-06-01,Fylker,Nordland,Undervisning,85.0,206.0
2025-06-01,Fylker,Oslo,Akademiske yrker,637.0,228.0
2025-06-01,Fylker,Oslo,Barne- og ungdomsarbeid,708.0,261.0
2025-06-01,Fylker,Oslo,Butikk- og salgsarbeid,1458.0,667.0
2025-06-01,Fylker,Oslo,Bygg og anlegg,1162.0,440.0
2025-06-01,Fylker,Oslo,"Helse, pleie og omsorg",1062.0,820.0
2025-06-01,Fylker,Oslo,Industriarbeid,541.0,169.0
2025-06-01,Fylker,Oslo,Ingen yrkesbakgrunn eller uoppgitt,2086.0,1.0
2025-06-01,Fylker,Oslo,Ingeniør- og ikt-fag,1465.0,410.0
2025-06-01,Fylker,Oslo,"Jordbruk, skogbruk og fiske",65.0,6.0
2025-06-01,Fylker,Oslo,Kontorarbeid,1369.0,492.0
2025-06-01,Fylker,Oslo,Ledere,1106.0,206.0
2025-06-01,Fylker,Oslo,Meglere og konsulenter,708.0,187.0
2025-06-01,Fylker,Oslo,Reiseliv og transport,1607.0,528.0
2025-06-01,Fylker,Oslo,Serviceyrker og annet arbeid,2199.0,608.0
2025-06-01,Fylker,Oslo,Undervisning,674.0,347.0
2025-06-01,Fylker,Rogaland,Akademiske yrker,120.0,47.0
2025-06-01,Fylker,Rogaland,Barne- og ungdomsarbeid,339.0,149.0
2025-06-01,Fylker,Rogaland,Butikk- og salgsarbeid,714.0,335.0
2025-06-01,Fylker,Rogaland,Bygg og anlegg,557.0,408.0
2025-06-01,Fylker,Rogaland,"Helse, pleie og omsorg",483.0,713.0
2025-06-01,Fylker,Rogaland,Industriarbeid,645.0,280.0
2025-06-01,Fylker,Rogaland,Ingen yrkesbakgrunn eller uoppgitt,1344.0,
2025-06-01,Fylker,Rogaland,Ingeniør- og ikt-fag,495.0,196.0
2025-06-01,Fylker,Rogaland,"Jordbruk, skogbruk og fiske",112.0,14.0
2025-06-01,Fylker,Rogaland,Kontorarbeid,450.0,131.0
2025-06-01,Fylker,Rogaland,Ledere,303.0,58.0
2025-06-01,Fylker,Rogaland,Meglere og konsulenter,212.0,62.0
2025-06-01,Fylker,Rogaland,Reiseliv og transport,694.0,213.0
2025-06-01,Fylker,Rogaland,Serviceyrker og annet arbeid,781.0,309.0
2025-06-01,Fylker,Rogaland,Undervisning,239.0,176.0
2025-06-01,Fylker,Sogn og Fjordane,Bygg og anlegg,,3.0
2025-06-01,Fylker,Sogn og Fjordane,Industriarbeid,,2.0
2025-06-01,Fylker,Svalbard og øvrige områder,Akademiske yrker,1.0,
2025-06-01,Fylker,Svalbard og øvrige områder,Barne- og ungdomsarbeid,3.0,
2025-06-01,Fylker,Svalbard og øvrige områder,Butikk- og salgsarbeid,2.0,
2025-06-01,Fylker,Svalbard og øvrige områder,Bygg og anlegg,2.0,
2025-06-01,Fylker,Svalbard og øvrige områder,Ingen yrkesbakgrunn eller uoppgitt,1.0,
2025-06-01,Fylker,Svalbard og øvrige områder,Ingeniør- og ikt-fag,1.0,
