region,næring (SN2007),antall ansatte,statistikkvariabel,år,value
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2015,0
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2016,1
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2017,1
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2018,1
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2019,1
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2020,1
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2021,0
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2022,0
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2023,1
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2024,0
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2025,0
Porsgrunn,"Jordbruk, skogbruk og fiske",5-9 ansatte,Bedrifter,2026,1
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2009,2
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2010,3
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2011,2
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2012,3
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2013,1
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2014,1
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2015,1
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2016,1
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2017,1
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2018,1
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2019,1
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2020,1
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2021,1
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2022,1
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2023,1
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2024,1
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2025,1
Porsgrunn,"Jordbruk, skogbruk og fiske",10-19 ansatte,Bedrifter,2026,1
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2009,0
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2010,1
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2011,1
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2012,0
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2013,0
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2014,0
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2015,0
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2016,0
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2017,0
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2018,0
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2019,0
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2020,0
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2021,0
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2022,0
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2023,0
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2024,0
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2025,0
Porsgrunn,"Jordbruk, skogbruk og fiske",20-49 ansatte,Bedrifter,2026,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2009,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2010,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2011,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2012,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2013,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2014,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2015,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2016,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2017,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2018,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2019,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2020,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2021,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2022,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2023,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2024,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2025,0
Porsgrunn,"Jordbruk, skogbruk og fiske",50-99 ansatte,Bedrifter,2026,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2009,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2010,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2011,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2012,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2013,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2014,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2015,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2016,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2017,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2018,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2019,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2020,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2021,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2022,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2023,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2024,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2025,0
Porsgrunn,"Jordbruk, skogbruk og fiske",100 - 249 ansatte,Bedrifter,2026,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2009,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2010,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2011,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2012,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2013,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2014,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2015,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2016,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2017,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2018,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2019,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2020,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2021,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2022,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2023,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2024,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2025,0
Porsgrunn,"Jordbruk, skogbruk og fiske",250 ansatte og over,Bedrifter,2026,0
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2009,2
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2010,2
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2011,1
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2012,2
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2013,3
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2014,2
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2015,2
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2016,2
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2017,3
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2018,5
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2019,7
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2020,7
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2021,3
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2022,3
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2023,5
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2024,7
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2025,6
Porsgrunn,Bergverksdrift og utvinning,Ingen ansatte,Bedrifter,2026,8
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2009,1
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2010,2
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2011,2
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2012,2
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2013,1
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2014,1
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2015,1
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2016,0
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2017,0
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2018,1
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2019,1
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2020,0
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2021,1
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2022,2
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2023,2
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2024,2
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2025,3
Porsgrunn,Bergverksdrift og utvinning,1-4 ansatte,Bedrifter,2026,1
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2009,0
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2010,1
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2011,0
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2012,0
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2013,1
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2014,1
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2015,1
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2016,1
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2017,1
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2018,1
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2019,1
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2020,1
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2021,1
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2022,0
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2023,0
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2024,0
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2025,1
Porsgrunn,Bergverksdrift og utvinning,5-9 ansatte,Bedrifter,2026,1
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2009,2
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2010,2
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2011,1
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2012,0
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2013,0
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2014,0
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2015,0
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2016,0
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2017,0
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2018,0
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2019,0
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2020,1
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2021,2
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2022,2
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2023,1
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2024,0
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2025,2
Porsgrunn,Bergverksdrift og utvinning,10-19 ansatte,Bedrifter,2026,0
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2009,1
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2010,1
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2011,1
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2012,1
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2013,1
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2014,1
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2015,1
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2016,1
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2017,1
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2018,1
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2019,1
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2020,1
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2021,1
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2022,1
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2023,2
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2024,3
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2025,2
Porsgrunn,Bergverksdrift og utvinning,20-49 ansatte,Bedrifter,2026,2
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2009,1
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2010,0
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2011,0
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2012,0
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2013,0
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2014,0
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2015,0
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2016,0
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2017,0
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2018,0
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2019,0
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2020,0
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2021,0
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2022,0
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2023,0
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2024,0
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2025,0
Porsgrunn,Bergverksdrift og utvinning,50-99 ansatte,Bedrifter,2026,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2009,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2010,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2011,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2012,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2013,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2014,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2015,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2016,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2017,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2018,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2019,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2020,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2021,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2022,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2023,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2024,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2025,0
Porsgrunn,Bergverksdrift og utvinning,100 - 249 ansatte,Bedrifter,2026,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2009,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2010,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2011,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2012,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2013,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2014,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2015,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2016,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2017,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2018,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2019,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2020,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2021,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2022,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2023,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2024,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2025,0
Porsgrunn,Bergverksdrift og utvinning,250 ansatte og over,Bedrifter,2026,0
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2009,60
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2010,63
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2011,65
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2012,62
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2013,78
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2014,77
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2015,78
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2016,88
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2017,90
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2018,89
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2019,83
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2020,76
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2021,84
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2022,87
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2023,81
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2024,79
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2025,85
Porsgrunn,Industri,Ingen ansatte,Bedrifter,2026,81
Porsgrunn,Industri,1-4 ansatte,Bedrifter,2009,35
Porsgrunn,Industri,1-4 ansatte,Bedrifter,2010,33
Porsgrunn,Industri,1-4 ansatte,Bedrifter,2011,29
Porsgrunn,Industri,1-4 ansatte,Bedrifter,2012,30
Porsgrunn,Industri,1-4 ansatte,Bedrifter,2013,32
Porsgrunn,Industri,1-4 ansatte,Bedrifter,2014,31
Porsgrunn,Industri,1-4 ansatte,Bedrifter,2015,33
Porsgrunn,Industri,1-4 ansatte,Bedrifter,2016,21
Porsgrunn,Industri,1-4 ansatte,Bedrifter,2017,21
