Navn,Org. nr.,Overordnet enhet,Antall ansatte,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje
Tommy johansen AS,931704680,,13,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Mæland autosenter AS,950032340,,13,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Vinje servicenter AS,967604542,,13,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Skien møbler AS,988623601,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.591,Butikkhandel med møbler,,,,
Intersport herkules AS,928000419,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.641,Butikkhandel med sportsutstyr,,,,
Falkum apotek AS,925183733,,13,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.730,Butikkhandel med apotekvarer,,,,
Erland hansen AS,942497792,,13,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.782,Butikkhandel med optiske artikler,,,,
Skien optikk AS,989828266,,13,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,47.782,Butikkhandel med optiske artikler,,,,
Magnus reiser AS,984064772,,13,2100,Private aksjeselskaper mv.,,Bamble,Bamble,Aksjeselskap,49.392,Turbiltransport,,,,
Container transport larvik AS,884078202,,13,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,49.410,Godstransport på vei,,,,
F c transportservice AS,944157336,,13,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,49.410,Godstransport på vei,,,,
Tele-frakt AS,981986059,,13,2100,Private aksjeselskaper mv.,,Fyresdal,,Aksjeselskap,49.410,Godstransport på vei,,,,
Utbøen transport AS,923198520,,13,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,49.410,Godstransport på vei,,,,
Telemark hotelldrift AS,931961888,,13,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
