Kommune,Skoleår,År,Skoleår_slutt,Kjønn,Spm.id,Klassetrinn,Måltall,Andel,SortKommune
Bamble,2018/19-2020/21,2020-01-01,2020/21,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.055999999999999994,3
Bamble,2019/20-2021/22,2021-01-01,2021/22,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.064,3
Bamble,2020/21-2022/23,2022-01-01,2022/23,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.109,3
Bamble,2021/22-2023/24,2023-01-01,2023/24,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.1,3
Bamble,2022/23-2024/25,2024-01-01,2024/25,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.105,3
Bamble,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.1,3
Kragerø,2016/17-2018/19,2018-01-01,2018/19,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.049,7
Kragerø,2017/18-2019/20,2019-01-01,2019/20,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.048,7
Kragerø,2018/19-2020/21,2020-01-01,2020/21,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.040999999999999995,7
Kragerø,2019/20-2021/22,2021-01-01,2021/22,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.042,7
Kragerø,2020/21-2022/23,2022-01-01,2022/23,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.035,7
Kragerø,2021/22-2023/24,2023-01-01,2023/24,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.033,7
Kragerø,2022/23-2024/25,2024-01-01,2024/25,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.031,7
Kragerø,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.039,7
Drangedal,2016/17-2018/19,2018-01-01,2018/19,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,4
Drangedal,2017/18-2019/20,2019-01-01,2019/20,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,4
Drangedal,2018/19-2020/21,2020-01-01,2020/21,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,4
Drangedal,2019/20-2021/22,2021-01-01,2021/22,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,4
Drangedal,2020/21-2022/23,2022-01-01,2022/23,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,4
Drangedal,2021/22-2023/24,2023-01-01,2023/24,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,4
Drangedal,2022/23-2024/25,2024-01-01,2024/25,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,4
Drangedal,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,4
Nome,2016/17-2018/19,2018-01-01,2018/19,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.084,11
Nome,2017/18-2019/20,2019-01-01,2019/20,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.055,11
Nome,2018/19-2020/21,2020-01-01,2020/21,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.07200000000000001,11
Nome,2019/20-2021/22,2021-01-01,2021/22,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.062,11
Nome,2020/21-2022/23,2022-01-01,2022/23,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.077,11
Nome,2021/22-2023/24,2023-01-01,2023/24,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.06,11
Nome,2022/23-2024/25,2024-01-01,2024/25,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.08900000000000001,11
Nome,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.086,11
Midt-Telemark,2016/17-2018/19,2018-01-01,2018/19,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.065,9
Midt-Telemark,2017/18-2019/20,2019-01-01,2019/20,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.069,9
Midt-Telemark,2018/19-2020/21,2020-01-01,2020/21,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.065,9
Midt-Telemark,2019/20-2021/22,2021-01-01,2021/22,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.048,9
Midt-Telemark,2020/21-2022/23,2022-01-01,2022/23,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.051,9
Midt-Telemark,2021/22-2023/24,2023-01-01,2023/24,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.068,9
Midt-Telemark,2022/23-2024/25,2024-01-01,2024/25,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.083,9
Midt-Telemark,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.098,9
Seljord,2016/17-2018/19,2018-01-01,2018/19,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.146,14
Seljord,2017/18-2019/20,2019-01-01,2019/20,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.134,14
Seljord,2018/19-2020/21,2020-01-01,2020/21,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.149,14
Seljord,2019/20-2021/22,2021-01-01,2021/22,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.11599999999999999,14
Seljord,2020/21-2022/23,2022-01-01,2022/23,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.10400000000000001,14
Seljord,2021/22-2023/24,2023-01-01,2023/24,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.07400000000000001,14
Seljord,2022/23-2024/25,2024-01-01,2024/25,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.067,14
Seljord,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.078,14
Hjartdal,2016/17-2018/19,2018-01-01,2018/19,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,6
Hjartdal,2017/18-2019/20,2019-01-01,2019/20,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,6
Hjartdal,2018/19-2020/21,2020-01-01,2020/21,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,6
Hjartdal,2019/20-2021/22,2021-01-01,2021/22,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,6
Hjartdal,2020/21-2022/23,2022-01-01,2022/23,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,6
Hjartdal,2021/22-2023/24,2023-01-01,2023/24,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,6
Hjartdal,2022/23-2024/25,2024-01-01,2024/25,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,6
Hjartdal,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,6
Tinn,2016/17-2018/19,2018-01-01,2018/19,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.111,17
Tinn,2017/18-2019/20,2019-01-01,2019/20,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.07200000000000001,17
Tinn,2018/19-2020/21,2020-01-01,2020/21,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.038,17
Tinn,2019/20-2021/22,2021-01-01,2021/22,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,17
Tinn,2020/21-2022/23,2022-01-01,2022/23,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.044000000000000004,17
Tinn,2021/22-2023/24,2023-01-01,2023/24,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.075,17
Tinn,2022/23-2024/25,2024-01-01,2024/25,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.09300000000000001,17
Tinn,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",0.115,17
Kviteseid,2016/17-2018/19,2018-01-01,2018/19,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,8
Kviteseid,2017/18-2019/20,2019-01-01,2019/20,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,8
Kviteseid,2018/19-2020/21,2020-01-01,2020/21,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,8
Kviteseid,2019/20-2021/22,2021-01-01,2021/22,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,8
Kviteseid,2020/21-2022/23,2022-01-01,2022/23,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,8
Kviteseid,2021/22-2023/24,2023-01-01,2023/24,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,8
Kviteseid,2022/23-2024/25,2024-01-01,2024/25,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,8
Kviteseid,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,8
Nissedal,2016/17-2018/19,2018-01-01,2018/19,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,10
Nissedal,2017/18-2019/20,2019-01-01,2019/20,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,10
Nissedal,2018/19-2020/21,2020-01-01,2020/21,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,10
Nissedal,2019/20-2021/22,2021-01-01,2021/22,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,10
Nissedal,2020/21-2022/23,2022-01-01,2022/23,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,10
Nissedal,2021/22-2023/24,2023-01-01,2023/24,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,10
Nissedal,2022/23-2024/25,2024-01-01,2024/25,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,10
Nissedal,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,10
Fyresdal,2016/17-2018/19,2018-01-01,2018/19,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,5
Fyresdal,2017/18-2019/20,2019-01-01,2019/20,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,5
Fyresdal,2018/19-2020/21,2020-01-01,2020/21,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,5
Fyresdal,2019/20-2021/22,2021-01-01,2021/22,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,5
Fyresdal,2020/21-2022/23,2022-01-01,2022/23,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,5
Fyresdal,2021/22-2023/24,2023-01-01,2023/24,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,5
Fyresdal,2022/23-2024/25,2024-01-01,2024/25,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,5
Fyresdal,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,5
Tokke,2016/17-2018/19,2018-01-01,2018/19,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,18
Tokke,2017/18-2019/20,2019-01-01,2019/20,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,18
Tokke,2018/19-2020/21,2020-01-01,2020/21,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,18
Tokke,2019/20-2021/22,2021-01-01,2021/22,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,18
Tokke,2020/21-2022/23,2022-01-01,2022/23,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,18
Tokke,2021/22-2023/24,2023-01-01,2023/24,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,18
Tokke,2022/23-2024/25,2024-01-01,2024/25,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,18
Tokke,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,18
Vinje,2016/17-2018/19,2018-01-01,2018/19,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,19
Vinje,2017/18-2019/20,2019-01-01,2019/20,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,19
Vinje,2018/19-2020/21,2020-01-01,2020/21,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,19
Vinje,2019/20-2021/22,2021-01-01,2021/22,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,19
Vinje,2020/21-2022/23,2022-01-01,2022/23,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,19
Vinje,2021/22-2023/24,2023-01-01,2023/24,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,19
Vinje,2022/23-2024/25,2024-01-01,2024/25,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,19
Vinje,2023/24-2025/26,2025-01-01,2025/26,Kjønn samlet,spm. om mobbing,7. trinn,"andel (prosent, standardisert)",,19
