Kommune,Skoleår,Kjønn,Utdanningsnivå,Innvandringsbakgrunn,Mestringsnivå,Klassetrinn,Måltall,Andel,SortKommune
Seljord,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.389,14
Seljord,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.15,14
Seljord,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.46399999999999997,14
Seljord,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.128,14
Hjartdal,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.456,6
Hjartdal,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.225,6
Hjartdal,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.384,6
Hjartdal,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.27699999999999997,6
Tinn,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.392,17
Tinn,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.14,17
Tinn,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.479,17
Tinn,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.17800000000000002,17
Kviteseid,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.255,8
Kviteseid,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",,8
Kviteseid,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.32899999999999996,8
Kviteseid,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",,8
Nissedal,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.153,10
Nissedal,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",,10
Nissedal,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.185,10
Nissedal,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",,10
Fyresdal,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.494,5
Fyresdal,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",,5
Fyresdal,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.565,5
Fyresdal,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.185,5
Tokke,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.297,18
Tokke,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.113,18
Tokke,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.363,18
Tokke,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.083,18
Vinje,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.263,19
Vinje,2022/23-2024/25,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.11,19
Vinje,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),5. trinn,"andel (prosent), standardisert",0.301,19
Vinje,2023/24-2025/26,Kjønn samlet,alle utdanningsnivåer,hele befolkningen,mestringsnivå 1 (laveste),8. trinn,"andel (prosent), standardisert",0.13699999999999998,19
