Kommune,År (intervall),År,Kjønn,Foreldrenes utdanningsnivå,Innvandringsbakgrunn,Måltall,Antall,SortKommune
Telemark,2023-2025,2025-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.8,1
Porsgrunn,2014-2016,2016-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.6,13
Porsgrunn,2014-2016,2016-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),32.5,13
Porsgrunn,2014-2016,2016-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),,13
Porsgrunn,2014-2016,2016-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),42.4,13
Porsgrunn,2015-2017,2017-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.8,13
Porsgrunn,2015-2017,2017-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),33.8,13
Porsgrunn,2015-2017,2017-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),37.2,13
Porsgrunn,2015-2017,2017-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),42.7,13
Porsgrunn,2016-2018,2018-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.4,13
Porsgrunn,2016-2018,2018-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),34.8,13
Porsgrunn,2016-2018,2018-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),37.9,13
Porsgrunn,2016-2018,2018-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.3,13
Porsgrunn,2017-2019,2019-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.6,13
Porsgrunn,2017-2019,2019-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),34.8,13
Porsgrunn,2017-2019,2019-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),38.1,13
Porsgrunn,2017-2019,2019-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.2,13
Porsgrunn,2018-2020,2020-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),41.3,13
Porsgrunn,2018-2020,2020-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),35.3,13
Porsgrunn,2018-2020,2020-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.0,13
Porsgrunn,2018-2020,2020-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.6,13
Porsgrunn,2019-2021,2021-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),41.6,13
Porsgrunn,2019-2021,2021-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),35.8,13
Porsgrunn,2019-2021,2021-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.2,13
Porsgrunn,2019-2021,2021-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.8,13
Porsgrunn,2020-2022,2022-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),42.1,13
Porsgrunn,2020-2022,2022-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),36.1,13
Porsgrunn,2020-2022,2022-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.7,13
Porsgrunn,2020-2022,2022-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),44.2,13
Porsgrunn,2021-2023,2023-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),41.8,13
Porsgrunn,2021-2023,2023-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),35.2,13
Porsgrunn,2021-2023,2023-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.4,13
Porsgrunn,2021-2023,2023-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),44.1,13
Porsgrunn,2022-2024,2024-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),41.5,13
Porsgrunn,2022-2024,2024-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),34.5,13
Porsgrunn,2022-2024,2024-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.2,13
Porsgrunn,2022-2024,2024-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.6,13
Porsgrunn,2023-2025,2025-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.8,13
Porsgrunn,2023-2025,2025-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),33.8,13
Porsgrunn,2023-2025,2025-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),38.5,13
Porsgrunn,2023-2025,2025-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.0,13
Skien,2014-2016,2016-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.1,16
Skien,2014-2016,2016-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),33.2,16
Skien,2014-2016,2016-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),36.9,16
Skien,2014-2016,2016-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),42.3,16
Skien,2015-2017,2017-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),39.9,16
Skien,2015-2017,2017-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),34.3,16
Skien,2015-2017,2017-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),37.7,16
Skien,2015-2017,2017-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),42.9,16
Skien,2016-2018,2018-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.4,16
Skien,2016-2018,2018-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),35.3,16
Skien,2016-2018,2018-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),,16
Skien,2016-2018,2018-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.0,16
Skien,2017-2019,2019-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.3,16
Skien,2017-2019,2019-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),34.5,16
Skien,2017-2019,2019-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),38.2,16
Skien,2017-2019,2019-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.1,16
Skien,2018-2020,2020-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),40.7,16
Skien,2018-2020,2020-01-01,Kjønn samlet,grunnskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),34.9,16
Skien,2018-2020,2020-01-01,Kjønn samlet,videregående,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),38.6,16
Skien,2018-2020,2020-01-01,Kjønn samlet,universitet/ høgskole,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),43.3,16
Skien,2019-2021,2021-01-01,Kjønn samlet,totalt,totalt,Gjennomsnittlig grunnskolepoeng (standardisert),41.2,16
