Geografi,År,Kjønn,Alder,Dødsårsak,Måltall,Antall,SortKjonn,SortAlder
Nome,2007-2016,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",887.9,1,1
Nome,2007-2016,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",15.7,1,1
Nome,2007-2016,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",239.3,1,1
Nome,2007-2016,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",50.8,1,1
Nome,2007-2016,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",246.6,1,1
Nome,2007-2016,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",95.3,1,1
Nome,2007-2016,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",47.4,1,1
Nome,2008-2017,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",881.8,1,1
Nome,2008-2017,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",20.4,1,1
Nome,2008-2017,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",236.6,1,1
Nome,2008-2017,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",39.6,1,1
Nome,2008-2017,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",245.1,1,1
Nome,2008-2017,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",82.0,1,1
Nome,2008-2017,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",49.8,1,1
Nome,2009-2018,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",868.4,1,1
Nome,2009-2018,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",21.5,1,1
Nome,2009-2018,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",222.3,1,1
Nome,2009-2018,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",35.7,1,1
Nome,2009-2018,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",251.3,1,1
Nome,2009-2018,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",76.4,1,1
Nome,2009-2018,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",51.0,1,1
Nome,2010-2019,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",846.1,1,1
Nome,2010-2019,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",20.2,1,1
Nome,2010-2019,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",208.0,1,1
Nome,2010-2019,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",38.0,1,1
Nome,2010-2019,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",246.8,1,1
Nome,2010-2019,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",80.8,1,1
Nome,2010-2019,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",44.5,1,1
Nome,2011-2020,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",862.7,1,1
Nome,2011-2020,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",23.7,1,1
Nome,2011-2020,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",201.7,1,1
Nome,2011-2020,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",41.4,1,1
Nome,2011-2020,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",242.2,1,1
Nome,2011-2020,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",87.5,1,1
Nome,2011-2020,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",50.8,1,1
Nome,2012-2021,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",842.2,1,1
Nome,2012-2021,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",21.2,1,1
Nome,2012-2021,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",198.0,1,1
Nome,2012-2021,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",44.7,1,1
Nome,2012-2021,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",232.4,1,1
Nome,2012-2021,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",87.8,1,1
Nome,2012-2021,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",52.1,1,1
Nome,2013-2022,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",855.7,1,1
Nome,2013-2022,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",21.1,1,1
Nome,2013-2022,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",199.3,1,1
Nome,2013-2022,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",46.8,1,1
Nome,2013-2022,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",235.1,1,1
Nome,2013-2022,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",90.5,1,1
Nome,2013-2022,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",49.7,1,1
Nome,2014-2023,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",873.5,1,1
Nome,2014-2023,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",21.1,1,1
Nome,2014-2023,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",196.7,1,1
Nome,2014-2023,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",50.0,1,1
Nome,2014-2023,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",229.2,1,1
Nome,2014-2023,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",94.3,1,1
Nome,2014-2023,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",49.9,1,1
Nome,2015-2024,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",889.8,1,1
Nome,2015-2024,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",21.1,1,1
Nome,2015-2024,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",201.5,1,1
Nome,2015-2024,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",53.1,1,1
Nome,2015-2024,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",224.8,1,1
Nome,2015-2024,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",99.3,1,1
Nome,2015-2024,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",47.6,1,1
Midt-Telemark,2001-2010,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",957.9,1,1
Midt-Telemark,2001-2010,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",18.7,1,1
Midt-Telemark,2001-2010,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",329.1,1,1
Midt-Telemark,2001-2010,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",57.0,1,1
Midt-Telemark,2001-2010,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",256.5,1,1
Midt-Telemark,2001-2010,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",107.5,1,1
Midt-Telemark,2001-2010,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",77.2,1,1
Midt-Telemark,2002-2011,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",940.7,1,1
Midt-Telemark,2002-2011,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",17.5,1,1
Midt-Telemark,2002-2011,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",308.3,1,1
Midt-Telemark,2002-2011,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",57.6,1,1
Midt-Telemark,2002-2011,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",246.5,1,1
Midt-Telemark,2002-2011,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",111.9,1,1
Midt-Telemark,2002-2011,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",72.1,1,1
Midt-Telemark,2003-2012,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",931.3,1,1
Midt-Telemark,2003-2012,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",18.2,1,1
Midt-Telemark,2003-2012,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",294.5,1,1
Midt-Telemark,2003-2012,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",60.1,1,1
Midt-Telemark,2003-2012,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",235.3,1,1
Midt-Telemark,2003-2012,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",117.2,1,1
Midt-Telemark,2003-2012,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",77.3,1,1
Midt-Telemark,2004-2013,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",910.7,1,1
Midt-Telemark,2004-2013,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",19.0,1,1
Midt-Telemark,2004-2013,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",276.6,1,1
Midt-Telemark,2004-2013,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",60.4,1,1
Midt-Telemark,2004-2013,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",229.2,1,1
Midt-Telemark,2004-2013,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",112.7,1,1
Midt-Telemark,2004-2013,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",78.2,1,1
Midt-Telemark,2005-2014,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",868.3,1,1
Midt-Telemark,2005-2014,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",18.6,1,1
Midt-Telemark,2005-2014,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",254.1,1,1
Midt-Telemark,2005-2014,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",58.6,1,1
Midt-Telemark,2005-2014,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",218.6,1,1
Midt-Telemark,2005-2014,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",108.0,1,1
Midt-Telemark,2005-2014,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",74.0,1,1
Midt-Telemark,2006-2015,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",844.8,1,1
Midt-Telemark,2006-2015,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",20.2,1,1
Midt-Telemark,2006-2015,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",242.6,1,1
Midt-Telemark,2006-2015,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",55.7,1,1
Midt-Telemark,2006-2015,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",209.9,1,1
Midt-Telemark,2006-2015,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",107.3,1,1
Midt-Telemark,2006-2015,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",67.9,1,1
Midt-Telemark,2007-2016,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",844.1,1,1
Midt-Telemark,2007-2016,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",18.0,1,1
Midt-Telemark,2007-2016,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",231.1,1,1
Midt-Telemark,2007-2016,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",56.8,1,1
Midt-Telemark,2007-2016,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",202.4,1,1
Midt-Telemark,2007-2016,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",107.5,1,1
Midt-Telemark,2007-2016,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",66.9,1,1
Midt-Telemark,2008-2017,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",851.1,1,1
Midt-Telemark,2008-2017,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",16.8,1,1
Midt-Telemark,2008-2017,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",244.2,1,1
Midt-Telemark,2008-2017,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",54.1,1,1
Midt-Telemark,2008-2017,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",197.3,1,1
Midt-Telemark,2008-2017,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",101.9,1,1
Midt-Telemark,2008-2017,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",62.3,1,1
Midt-Telemark,2009-2018,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",866.5,1,1
Midt-Telemark,2009-2018,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",14.8,1,1
Midt-Telemark,2009-2018,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",245.4,1,1
Midt-Telemark,2009-2018,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",57.2,1,1
Midt-Telemark,2009-2018,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",199.3,1,1
Midt-Telemark,2009-2018,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",102.3,1,1
Midt-Telemark,2009-2018,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",61.6,1,1
Midt-Telemark,2010-2019,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",848.7,1,1
Midt-Telemark,2010-2019,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",11.9,1,1
Midt-Telemark,2010-2019,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",240.0,1,1
Midt-Telemark,2010-2019,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",54.7,1,1
Midt-Telemark,2010-2019,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",199.4,1,1
Midt-Telemark,2010-2019,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",102.8,1,1
Midt-Telemark,2010-2019,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",57.2,1,1
Midt-Telemark,2011-2020,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",826.3,1,1
Midt-Telemark,2011-2020,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",12.6,1,1
Midt-Telemark,2011-2020,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",228.2,1,1
Midt-Telemark,2011-2020,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",52.1,1,1
Midt-Telemark,2011-2020,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",201.0,1,1
Midt-Telemark,2011-2020,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",97.3,1,1
Midt-Telemark,2011-2020,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",56.7,1,1
Midt-Telemark,2012-2021,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",809.5,1,1
Midt-Telemark,2012-2021,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",15.1,1,1
Midt-Telemark,2012-2021,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",227.4,1,1
Midt-Telemark,2012-2021,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",47.6,1,1
Midt-Telemark,2012-2021,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",197.4,1,1
Midt-Telemark,2012-2021,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",88.1,1,1
Midt-Telemark,2012-2021,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",56.1,1,1
Midt-Telemark,2013-2022,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",807.8,1,1
Midt-Telemark,2013-2022,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",14.9,1,1
Midt-Telemark,2013-2022,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",220.7,1,1
Midt-Telemark,2013-2022,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",46.8,1,1
Midt-Telemark,2013-2022,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",190.9,1,1
Midt-Telemark,2013-2022,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",83.6,1,1
Midt-Telemark,2013-2022,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",53.7,1,1
Midt-Telemark,2014-2023,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",795.4,1,1
Midt-Telemark,2014-2023,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",13.9,1,1
Midt-Telemark,2014-2023,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",211.9,1,1
Midt-Telemark,2014-2023,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",45.9,1,1
Midt-Telemark,2014-2023,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",181.0,1,1
Midt-Telemark,2014-2023,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",80.1,1,1
Midt-Telemark,2014-2023,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",51.4,1,1
Midt-Telemark,2015-2024,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",815.9,1,1
Midt-Telemark,2015-2024,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",13.7,1,1
Midt-Telemark,2015-2024,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",218.5,1,1
Midt-Telemark,2015-2024,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",45.0,1,1
Midt-Telemark,2015-2024,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",183.6,1,1
Midt-Telemark,2015-2024,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",81.0,1,1
Midt-Telemark,2015-2024,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",51.8,1,1
Seljord,2001-2010,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",964.9,1,1
Seljord,2001-2010,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Seljord,2001-2010,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",396.6,1,1
Seljord,2001-2010,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",48.3,1,1
Seljord,2001-2010,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",210.2,1,1
Seljord,2001-2010,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",82.0,1,1
Seljord,2001-2010,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",64.0,1,1
Seljord,2002-2011,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",984.1,1,1
Seljord,2002-2011,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Seljord,2002-2011,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",388.1,1,1
Seljord,2002-2011,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",56.3,1,1
Seljord,2002-2011,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",222.9,1,1
Seljord,2002-2011,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",87.1,1,1
Seljord,2002-2011,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",60.4,1,1
Seljord,2003-2012,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",940.0,1,1
Seljord,2003-2012,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Seljord,2003-2012,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",360.0,1,1
Seljord,2003-2012,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",55.8,1,1
Seljord,2003-2012,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",215.0,1,1
Seljord,2003-2012,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",86.4,1,1
Seljord,2003-2012,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",56.8,1,1
Seljord,2004-2013,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",920.0,1,1
Seljord,2004-2013,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Seljord,2004-2013,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",338.8,1,1
Seljord,2004-2013,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",55.1,1,1
Seljord,2004-2013,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",223.9,1,1
Seljord,2004-2013,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",91.1,1,1
Seljord,2004-2013,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",58.9,1,1
Seljord,2005-2014,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",929.5,1,1
Seljord,2005-2014,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Seljord,2005-2014,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",323.4,1,1
Seljord,2005-2014,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",57.1,1,1
Seljord,2005-2014,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",226.6,1,1
Seljord,2005-2014,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",95.6,1,1
Seljord,2005-2014,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",63.8,1,1
Seljord,2006-2015,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",916.9,1,1
Seljord,2006-2015,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Seljord,2006-2015,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",314.6,1,1
Seljord,2006-2015,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",,1,1
Seljord,2006-2015,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",226.8,1,1
Seljord,2006-2015,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",102.9,1,1
Seljord,2006-2015,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",68.7,1,1
Seljord,2007-2016,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",946.7,1,1
Seljord,2007-2016,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Seljord,2007-2016,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",311.0,1,1
Seljord,2007-2016,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",,1,1
Seljord,2007-2016,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",244.2,1,1
Seljord,2007-2016,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",110.2,1,1
Seljord,2007-2016,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",76.8,1,1
Seljord,2008-2017,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",962.8,1,1
Seljord,2008-2017,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Seljord,2008-2017,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",330.6,1,1
Seljord,2008-2017,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",77.2,1,1
Seljord,2008-2017,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",229.2,1,1
Seljord,2008-2017,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",115.1,1,1
Seljord,2008-2017,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",93.8,1,1
Seljord,2009-2018,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",970.8,1,1
Seljord,2009-2018,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Seljord,2009-2018,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",321.1,1,1
Seljord,2009-2018,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",79.7,1,1
Seljord,2009-2018,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",244.6,1,1
Seljord,2009-2018,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",119.9,1,1
Seljord,2009-2018,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",88.2,1,1
Seljord,2010-2019,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",963.8,1,1
Seljord,2010-2019,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Seljord,2010-2019,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",309.3,1,1
Seljord,2010-2019,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",,1,1
Seljord,2010-2019,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",235.1,1,1
Seljord,2010-2019,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",113.8,1,1
Seljord,2010-2019,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",85.7,1,1
Seljord,2011-2020,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",964.5,1,1
Seljord,2011-2020,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",,1,1
Seljord,2011-2020,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",302.6,1,1
Seljord,2011-2020,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",,1,1
Seljord,2011-2020,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",206.4,1,1
