Geografi,År,Kjønn,Alder,Vaksine mot,Måltall,Andel,SortKjonn,SortAlder
Kragerø,2017-2021,Kjønn samlet,9 år,Meslinger,andel (prosent),97.1,1,1
Kragerø,2017-2021,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.0,1,1
Kragerø,2018-2022,Kjønn samlet,9 år,Difteri,andel (prosent),93.7,1,1
Kragerø,2018-2022,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.0,1,1
Kragerø,2018-2022,Kjønn samlet,9 år,Meslinger,andel (prosent),96.5,1,1
Kragerø,2018-2022,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),93.5,1,1
Kragerø,2019-2023,Kjønn samlet,9 år,Difteri,andel (prosent),93.8,1,1
Kragerø,2019-2023,Kjønn samlet,9 år,Kikhoste,andel (prosent),93.2,1,1
Kragerø,2019-2023,Kjønn samlet,9 år,Meslinger,andel (prosent),96.5,1,1
Kragerø,2019-2023,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),94.0,1,1
Kragerø,2020-2024,Kjønn samlet,9 år,Difteri,andel (prosent),92.9,1,1
Kragerø,2020-2024,Kjønn samlet,9 år,Kikhoste,andel (prosent),92.3,1,1
Kragerø,2020-2024,Kjønn samlet,9 år,Meslinger,andel (prosent),96.0,1,1
Kragerø,2020-2024,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),92.9,1,1
Drangedal,2011-2015,Kjønn samlet,9 år,Difteri,andel (prosent),86.4,1,1
Drangedal,2011-2015,Kjønn samlet,9 år,Kikhoste,andel (prosent),86.0,1,1
Drangedal,2011-2015,Kjønn samlet,9 år,Meslinger,andel (prosent),83.6,1,1
Drangedal,2011-2015,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),86.4,1,1
Drangedal,2012-2016,Kjønn samlet,9 år,Difteri,andel (prosent),85.5,1,1
Drangedal,2012-2016,Kjønn samlet,9 år,Kikhoste,andel (prosent),85.2,1,1
Drangedal,2012-2016,Kjønn samlet,9 år,Meslinger,andel (prosent),84.0,1,1
Drangedal,2012-2016,Kjønn samlet,9 år,Poliomyelitt,andel (prosent),85.9,1,1
