Kommune,År (intervall),År,Måltall,Andel,SortKommune
Notodden,2023/2024,2024-01-01,andel (prosent),0.636,12
Notodden,2024/2025,2025-01-01,andel (prosent),0.643,12
Siljan,2015/2016,2016-01-01,andel (prosent),0.27699999999999997,15
Siljan,2016/2017,2017-01-01,andel (prosent),0.293,15
Siljan,2017/2018,2018-01-01,andel (prosent),0.336,15
Siljan,2018/2019,2019-01-01,andel (prosent),0.419,15
Siljan,2019/2020,2020-01-01,andel (prosent),0.44799999999999995,15
Siljan,2020/2021,2021-01-01,andel (prosent),0.643,15
Siljan,2021/2022,2022-01-01,andel (prosent),0.645,15
Siljan,2022/2023,2023-01-01,andel (prosent),0.644,15
Siljan,2023/2024,2024-01-01,andel (prosent),0.6920000000000001,15
Siljan,2024/2025,2025-01-01,andel (prosent),0.703,15
Bamble,2015/2016,2016-01-01,andel (prosent),0.302,3
Bamble,2016/2017,2017-01-01,andel (prosent),0.271,3
Bamble,2017/2018,2018-01-01,andel (prosent),0.306,3
Bamble,2018/2019,2019-01-01,andel (prosent),0.382,3
Bamble,2019/2020,2020-01-01,andel (prosent),0.44,3
Bamble,2020/2021,2021-01-01,andel (prosent),0.69,3
Bamble,2021/2022,2022-01-01,andel (prosent),0.7240000000000001,3
Bamble,2022/2023,2023-01-01,andel (prosent),0.7140000000000001,3
Bamble,2023/2024,2024-01-01,andel (prosent),0.722,3
Bamble,2024/2025,2025-01-01,andel (prosent),0.733,3
Kragerø,2015/2016,2016-01-01,andel (prosent),0.22899999999999998,7
Kragerø,2016/2017,2017-01-01,andel (prosent),0.233,7
Kragerø,2017/2018,2018-01-01,andel (prosent),0.29600000000000004,7
Kragerø,2018/2019,2019-01-01,andel (prosent),0.34700000000000003,7
Kragerø,2019/2020,2020-01-01,andel (prosent),0.40399999999999997,7
Kragerø,2020/2021,2021-01-01,andel (prosent),0.585,7
Kragerø,2021/2022,2022-01-01,andel (prosent),0.654,7
Kragerø,2022/2023,2023-01-01,andel (prosent),0.6509999999999999,7
Kragerø,2023/2024,2024-01-01,andel (prosent),0.672,7
Kragerø,2024/2025,2025-01-01,andel (prosent),0.6970000000000001,7
Drangedal,2015/2016,2016-01-01,andel (prosent),0.327,4
Drangedal,2016/2017,2017-01-01,andel (prosent),0.312,4
Drangedal,2017/2018,2018-01-01,andel (prosent),0.33799999999999997,4
Drangedal,2018/2019,2019-01-01,andel (prosent),0.369,4
Drangedal,2019/2020,2020-01-01,andel (prosent),0.449,4
Drangedal,2020/2021,2021-01-01,andel (prosent),0.608,4
Drangedal,2021/2022,2022-01-01,andel (prosent),0.619,4
Drangedal,2022/2023,2023-01-01,andel (prosent),0.612,4
Drangedal,2023/2024,2024-01-01,andel (prosent),0.624,4
Drangedal,2024/2025,2025-01-01,andel (prosent),0.64,4
Nome,2015/2016,2016-01-01,andel (prosent),0.261,11
Nome,2016/2017,2017-01-01,andel (prosent),0.289,11
Nome,2017/2018,2018-01-01,andel (prosent),0.292,11
Nome,2018/2019,2019-01-01,andel (prosent),0.39399999999999996,11
Nome,2019/2020,2020-01-01,andel (prosent),0.446,11
Nome,2020/2021,2021-01-01,andel (prosent),0.5870000000000001,11
Nome,2021/2022,2022-01-01,andel (prosent),0.65,11
Nome,2022/2023,2023-01-01,andel (prosent),0.598,11
Nome,2023/2024,2024-01-01,andel (prosent),0.6,11
Nome,2024/2025,2025-01-01,andel (prosent),0.619,11
Midt-Telemark,2015/2016,2016-01-01,andel (prosent),0.266,9
Midt-Telemark,2016/2017,2017-01-01,andel (prosent),0.253,9
Midt-Telemark,2017/2018,2018-01-01,andel (prosent),0.295,9
Midt-Telemark,2018/2019,2019-01-01,andel (prosent),0.379,9
Midt-Telemark,2019/2020,2020-01-01,andel (prosent),0.384,9
Midt-Telemark,2020/2021,2021-01-01,andel (prosent),0.551,9
Midt-Telemark,2021/2022,2022-01-01,andel (prosent),0.659,9
Midt-Telemark,2022/2023,2023-01-01,andel (prosent),0.6509999999999999,9
Midt-Telemark,2023/2024,2024-01-01,andel (prosent),0.648,9
Midt-Telemark,2024/2025,2025-01-01,andel (prosent),0.65,9
Seljord,2015/2016,2016-01-01,andel (prosent),0.021,14
Seljord,2016/2017,2017-01-01,andel (prosent),0.018000000000000002,14
Seljord,2017/2018,2018-01-01,andel (prosent),0.396,14
Seljord,2018/2019,2019-01-01,andel (prosent),0.523,14
Seljord,2019/2020,2020-01-01,andel (prosent),0.47,14
Seljord,2020/2021,2021-01-01,andel (prosent),0.61,14
Seljord,2021/2022,2022-01-01,andel (prosent),0.637,14
Seljord,2022/2023,2023-01-01,andel (prosent),0.5820000000000001,14
Seljord,2023/2024,2024-01-01,andel (prosent),0.6729999999999999,14
Seljord,2024/2025,2025-01-01,andel (prosent),0.701,14
Hjartdal,2015/2016,2016-01-01,andel (prosent),0.017,6
Hjartdal,2016/2017,2017-01-01,andel (prosent),0.017,6
Hjartdal,2017/2018,2018-01-01,andel (prosent),0.049,6
Hjartdal,2018/2019,2019-01-01,andel (prosent),0.298,6
Hjartdal,2019/2020,2020-01-01,andel (prosent),0.17300000000000001,6
Hjartdal,2020/2021,2021-01-01,andel (prosent),0.49200000000000005,6
Hjartdal,2021/2022,2022-01-01,andel (prosent),0.494,6
Hjartdal,2022/2023,2023-01-01,andel (prosent),0.5660000000000001,6
Hjartdal,2023/2024,2024-01-01,andel (prosent),0.485,6
Hjartdal,2024/2025,2025-01-01,andel (prosent),0.512,6
Tinn,2015/2016,2016-01-01,andel (prosent),0.017,17
Tinn,2016/2017,2017-01-01,andel (prosent),0.257,17
Tinn,2017/2018,2018-01-01,andel (prosent),0.268,17
Tinn,2018/2019,2019-01-01,andel (prosent),0.419,17
Tinn,2019/2020,2020-01-01,andel (prosent),0.465,17
Tinn,2020/2021,2021-01-01,andel (prosent),0.693,17
Tinn,2021/2022,2022-01-01,andel (prosent),0.639,17
Tinn,2022/2023,2023-01-01,andel (prosent),0.638,17
Tinn,2023/2024,2024-01-01,andel (prosent),0.631,17
Tinn,2024/2025,2025-01-01,andel (prosent),0.654,17
Kviteseid,2015/2016,2016-01-01,andel (prosent),0.309,8
Kviteseid,2016/2017,2017-01-01,andel (prosent),0.313,8
Kviteseid,2017/2018,2018-01-01,andel (prosent),0.326,8
Kviteseid,2018/2019,2019-01-01,andel (prosent),0.402,8
Kviteseid,2019/2020,2020-01-01,andel (prosent),0.418,8
Kviteseid,2020/2021,2021-01-01,andel (prosent),0.599,8
Kviteseid,2021/2022,2022-01-01,andel (prosent),0.62,8
Kviteseid,2022/2023,2023-01-01,andel (prosent),0.606,8
Kviteseid,2023/2024,2024-01-01,andel (prosent),0.597,8
Kviteseid,2024/2025,2025-01-01,andel (prosent),0.596,8
Nissedal,2015/2016,2016-01-01,andel (prosent),0.308,10
Nissedal,2016/2017,2017-01-01,andel (prosent),0.321,10
Nissedal,2017/2018,2018-01-01,andel (prosent),0.304,10
Nissedal,2018/2019,2019-01-01,andel (prosent),0.40299999999999997,10
Nissedal,2019/2020,2020-01-01,andel (prosent),0.38299999999999995,10
Nissedal,2020/2021,2021-01-01,andel (prosent),0.579,10
Nissedal,2021/2022,2022-01-01,andel (prosent),0.631,10
Nissedal,2022/2023,2023-01-01,andel (prosent),0.602,10
Nissedal,2023/2024,2024-01-01,andel (prosent),0.575,10
Nissedal,2024/2025,2025-01-01,andel (prosent),0.599,10
Fyresdal,2015/2016,2016-01-01,andel (prosent),0.364,5
Fyresdal,2016/2017,2017-01-01,andel (prosent),0.37,5
Fyresdal,2017/2018,2018-01-01,andel (prosent),0.395,5
Fyresdal,2018/2019,2019-01-01,andel (prosent),0.382,5
Fyresdal,2019/2020,2020-01-01,andel (prosent),0.52,5
Fyresdal,2020/2021,2021-01-01,andel (prosent),0.675,5
Fyresdal,2021/2022,2022-01-01,andel (prosent),0.6729999999999999,5
Fyresdal,2022/2023,2023-01-01,andel (prosent),0.66,5
Fyresdal,2023/2024,2024-01-01,andel (prosent),0.626,5
Fyresdal,2024/2025,2025-01-01,andel (prosent),0.621,5
Tokke,2015/2016,2016-01-01,andel (prosent),0.37799999999999995,18
Tokke,2016/2017,2017-01-01,andel (prosent),0.34600000000000003,18
Tokke,2017/2018,2018-01-01,andel (prosent),0.39399999999999996,18
Tokke,2018/2019,2019-01-01,andel (prosent),0.402,18
Tokke,2019/2020,2020-01-01,andel (prosent),0.42700000000000005,18
Tokke,2020/2021,2021-01-01,andel (prosent),0.591,18
Tokke,2021/2022,2022-01-01,andel (prosent),0.621,18
Tokke,2022/2023,2023-01-01,andel (prosent),0.653,18
Tokke,2023/2024,2024-01-01,andel (prosent),0.66,18
Tokke,2024/2025,2025-01-01,andel (prosent),0.6559999999999999,18
Vinje,2015/2016,2016-01-01,andel (prosent),0.32299999999999995,19
Vinje,2016/2017,2017-01-01,andel (prosent),0.364,19
Vinje,2017/2018,2018-01-01,andel (prosent),0.386,19
Vinje,2018/2019,2019-01-01,andel (prosent),0.441,19
Vinje,2019/2020,2020-01-01,andel (prosent),0.493,19
Vinje,2020/2021,2021-01-01,andel (prosent),0.6629999999999999,19
Vinje,2021/2022,2022-01-01,andel (prosent),0.6759999999999999,19
Vinje,2022/2023,2023-01-01,andel (prosent),0.687,19
Vinje,2023/2024,2024-01-01,andel (prosent),0.679,19
Vinje,2024/2025,2025-01-01,andel (prosent),0.696,19
