ogc_fid;SSBID250M;est_tot;emp_tot
459;19457506625000;2;0
460;19457506752250;4;48
461;19457506753000;1;0
462;19457506753250;1;0
463;19457506753750;2;0
464;19457506754000;1;0
465;19457506754250;1;0
466;19457506756250;2;0
467;19457506756750;1;1
468;19457506757250;2;82
469;19457506757500;2;0
470;19457506806750;1;0
471;19457506815250;1;0
472;19457506816250;2;0
473;19457506838500;1;0
474;19457506839500;1;0
475;19460006600500;1;0
476;19460006611250;1;0
477;19460006611500;1;0
478;19460006611750;2;0
479;19460006612000;3;0
480;19460006612500;1;0
481;19460006613250;1;0
482;19460006620250;3;0
483;19460006620500;2;0
484;19460006622000;1;0
485;19460006622250;3;0
486;19460006623250;4;0
487;19460006623750;1;0
488;19460006624000;1;1
489;19460006624750;1;0
490;19460006753750;2;22
491;19460006754000;1;5
492;19460006757750;1;0
493;19460006758000;1;0
494;19460006838750;1;0
495;19462506598750;1;0
496;19462506600250;3;0
497;19462506600750;1;0
498;19462506611250;2;1
499;19462506611500;1;0
500;19462506612000;8;0
501;19462506612250;2;0
502;19462506612500;2;0
503;19462506620250;2;1
504;19462506622500;3;1
505;19462506623000;2;1
506;19462506623500;1;0
507;19462506662750;1;1
508;19462506666750;1;0
509;19462506668750;1;0
510;19462506743500;2;0
511;19462506743750;1;0
512;19462506753250;3;0
513;19462506753500;1;0
514;19465006598750;2;0
515;19465006599500;1;10
516;19465006599750;1;0
517;19465006611500;3;2
518;19465006611750;1;0
519;19465006612250;4;0
520;19465006612500;1;0
521;19465006619750;2;2
522;19465006620000;2;0
523;19465006620500;2;4
524;19465006620750;1;0
525;19465006621000;2;0
526;19465006622250;1;0
527;19465006622500;2;0
528;19465006624250;1;0
529;19465006625250;3;0
530;19465006625500;1;0
531;19465006662750;1;0
532;19465006667000;1;5
533;19465006722000;1;0
534;19465006722250;1;0
535;19465006751000;1;0
536;19465006753500;2;1
537;19465006755750;1;29
538;19467506599500;1;0
539;19467506611500;2;0
540;19467506611750;10;15
541;19467506612250;5;2
542;19467506612500;1;0
543;19467506618750;2;0
544;19467506620000;2;0
545;19467506620250;2;1
546;19467506622750;2;0
547;19467506624500;2;0
548;19467506625000;1;0
549;19467506625250;1;0
550;19467506625500;1;0
551;19467506626000;1;5
552;19467506626500;1;0
553;19467506662750;1;0
554;19467506666500;1;0
555;19467506666750;1;0
556;19467506667000;1;0
557;19467506668000;3;0
558;19467506668250;7;0
559;19467506668750;4;5
560;19467506669000;1;0
561;19467506681000;1;0
562;19467506681250;3;0
563;19467506722000;2;1
564;19467506722500;2;0
565;19467506722750;2;0
566;19467506733250;1;0
567;19467506733500;1;0
568;19467506733750;1;0
569;19467506744000;1;0
570;19467506750250;2;0
571;19467506750750;3;41
572;19467506751000;2;0
573;19467506753000;2;5
574;19467506753250;1;0
575;19467506753750;1;0
576;19470006611500;1;3
577;19470006611750;4;19
578;19470006612000;2;0
579;19470006612250;1;0
580;19470006618750;1;0
581;19470006619250;3;0
582;19470006620000;1;9
583;19470006622000;2;0
584;19470006622250;1;0
585;19470006622500;1;3
586;19470006622750;3;10
587;19470006624000;2;8
588;19470006624500;3;4
589;19470006625500;2;0
590;19470006625750;2;0
591;19470006626000;1;0
592;19470006626250;2;12
593;19470006667750;4;1
594;19470006668000;1;1
595;19470006668250;1;0
596;19470006669250;1;0
597;19470006678000;1;0
598;19470006681000;2;0
599;19470006722250;3;0
600;19470006722750;2;17
601;19470006723000;2;0
602;19470006729250;1;0
603;19470006729500;1;0
604;19470006733250;1;0
605;19470006733500;2;0
606;19470006744000;1;1
607;19470006750500;1;0
608;19470006751000;2;1
609;19470006751500;3;5
610;19470006752750;1;0
611;19470006808250;1;0
612;19472506611750;1;0
613;19472506612000;1;0
614;19472506618500;1;0
615;19472506619500;1;0
616;19472506619750;3;3
617;19472506620000;1;0
618;19472506620250;4;9
619;19472506620750;1;2
620;19472506622250;1;0
621;19472506624000;1;0
622;19472506624500;1;0
623;19472506624750;3;3
624;19472506625000;1;0
625;19472506625250;4;1
626;19472506625750;3;3
627;19472506626000;4;5
628;19472506646500;1;0
629;19472506668000;1;0
630;19472506668250;1;2
631;19472506669750;1;0
632;19472506679250;4;0
633;19472506681000;2;0
634;19472506681250;1;0
635;19472506721000;1;0
636;19472506721750;3;2
637;19472506722000;1;0
638;19472506722250;1;0
639;19472506722500;1;0
640;19472506722750;1;3
641;19472506729250;1;0
642;19472506749500;2;0
643;19472506750250;2;1
644;19472506750500;2;0
645;19472506751000;5;28
646;19472506751250;1;10
647;19472506826000;2;0
648;19472506826250;1;0
649;19475006611250;4;1
650;19475006611500;5;63
651;19475006611750;4;113
652;19475006612000;8;8
653;19475006618750;1;0
654;19475006619000;1;0
655;19475006619500;2;0
656;19475006620000;1;0
657;19475006621000;1;0
658;19475006621500;1;0
659;19475006621750;2;0
660;19475006622000;1;0
661;19475006622500;2;0
662;19475006624000;1;49
663;19475006624500;1;0
664;19475006625000;1;0
665;19475006625500;2;2
666;19475006626000;1;0
667;19475006646500;1;0
668;19475006646750;1;0
669;19475006647500;3;13
670;19475006651250;1;0
671;19475006654750;1;0
672;19475006669250;1;0
673;19475006669500;2;19
674;19475006669750;1;18
675;19475006670000;1;0
676;19475006670250;3;255
677;19475006670500;1;0
678;19475006681000;1;78
679;19475006681250;1;0
680;19475006691250;1;0
681;19475006717000;2;0
682;19475006721250;3;0
683;19475006721500;1;0
684;19475006722250;1;1
685;19475006722500;3;0
686;19475006728000;1;0
687;19475006732500;1;0
688;19475006733000;2;0
689;19475006749750;2;2
690;19475006750000;1;0
691;19475006750250;2;0
692;19475006751000;25;232
693;19475006751250;3;258
694;19475006751500;1;42
695;19475006785750;1;0
696;19477506611250;7;60
697;19477506611500;5;24
698;19477506611750;7;10
699;19477506612000;1;12
700;19477506612250;2;0
701;19477506612500;8;57
702;19477506612750;6;11
703;19477506614500;1;0
704;19477506614750;1;0
705;19477506616750;2;0
706;19477506618250;7;21
707;19477506618500;12;80
708;19477506619250;1;0
709;19477506619500;2;0
710;19477506620000;1;0
711;19477506621250;4;4
712;19477506621500;1;0
713;19477506621750;1;0
714;19477506622250;7;2
715;19477506622750;2;0
716;19477506624500;1;1
717;19477506624750;1;0
718;19477506625250;4;40
719;19477506625500;4;4
720;19477506625750;2;0
721;19477506627250;2;15
722;19477506629250;4;1
723;19477506629500;3;3
724;19477506647500;1;0
725;19477506650750;4;0
726;19477506651000;1;0
727;19477506667000;1;0
728;19477506667250;4;0
729;19477506669250;1;26
730;19477506669500;2;0
731;19477506670250;1;0
732;19477506672250;1;0
733;19477506691250;1;0
734;19477506691500;2;0
735;19477506691750;2;0
736;19477506717000;1;0
737;19477506717500;1;0
738;19477506727750;1;0
739;19477506728250;1;0
740;19477506732250;2;0
741;19477506732500;1;0
742;19477506732750;2;0
743;19477506733000;2;1
744;19477506749250;5;48
745;19477506749500;1;2
746;19477506749750;3;0
747;19477506818000;1;0
748;19480006611500;10;55
749;19480006611750;3;2
750;19480006612000;5;0
751;19480006612250;5;0
752;19480006612500;26;250
753;19480006612750;11;383
754;19480006613000;8;27
755;19480006613250;23;134
756;19480006614750;1;0
757;19480006615750;1;0
758;19480006616000;1;0
759;19480006616250;4;0
760;19480006616500;3;0
761;19480006617000;1;0
762;19480006617250;1;0
763;19480006617500;2;0
764;19480006617750;4;0
765;19480006618000;6;0
766;19480006618250;3;0
767;19480006618500;5;25
768;19480006618750;2;1
769;19480006619000;5;1
770;19480006619500;1;0
771;19480006619750;1;0
772;19480006620000;1;0
773;19480006620250;3;0
774;19480006621250;1;0
775;19480006621750;1;0
776;19480006622500;2;2
777;19480006624000;2;18
778;19480006624250;1;0
779;19480006625000;1;0
780;19480006625250;2;0
781;19480006626500;6;74
782;19480006626750;17;9
783;19480006627000;18;146
784;19480006628750;5;2
785;19480006629000;8;0
786;19480006629250;1;0
787;19480006630250;2;51
788;19480006633250;4;49
789;19480006647500;1;1
790;19480006658250;1;0
791;19480006659250;1;0
792;19480006666750;2;0
793;19480006667000;1;0
794;19480006667250;1;3
795;19480006667500;1;4
796;19480006669750;1;3
797;19480006672500;1;0
798;19480006680500;2;4
799;19480006691750;1;0
800;19480006727750;2;0
801;19480006728250;2;0
802;19480006728500;1;0
803;19480006728750;1;0
804;19480006733000;1;0
805;19480006749250;1;0
806;19480006749500;3;0
807;19480006749750;1;0
808;19480006820000;1;0
809;19480006839750;1;0
810;19482506611000;4;86
811;19482506611250;5;0
812;19482506611500;7;9
813;19482506612000;1;0
814;19482506612250;8;51
815;19482506612500;2;31
816;19482506612750;5;115
817;19482506613000;6;22
818;19482506613250;13;44
819;19482506614000;1;0
820;19482506614500;1;0
821;19482506615000;2;9
822;19482506615250;1;0
823;19482506615500;2;0
824;19482506615750;9;31
825;19482506616250;6;0
826;19482506616500;2;2
827;19482506617000;3;0
828;19482506617250;1;0
829;19482506618000;3;0
830;19482506618500;1;4
831;19482506618750;2;44
832;19482506619000;6;28
833;19482506619250;1;1
834;19482506619500;2;0
835;19482506619750;2;18
836;19482506620000;23;34
837;19482506620250;3;4
838;19482506620750;2;9
839;19482506621750;1;0
840;19482506622000;3;1
841;19482506623500;2;0
842;19482506623750;6;0
843;19482506624000;8;40
844;19482506624250;9;15
845;19482506624500;1;0
846;19482506624750;1;0
847;19482506625000;2;19
848;19482506626250;10;132
849;19482506626500;5;3
850;19482506626750;23;19
851;19482506627000;18;19
852;19482506627250;10;5
853;19482506627500;6;29
854;19482506628500;2;2
855;19482506628750;3;0
856;19482506629000;13;56
857;19482506630000;1;14
858;19482506630250;1;23
859;19482506647250;1;3
860;19482506647500;1;0
861;19482506658250;1;0
862;19482506659500;1;0
863;19482506667500;1;0
864;19482506669500;2;0
865;19482506670250;1;0
866;19482506670500;1;0
867;19482506673500;1;0
868;19482506728750;1;0
869;19482506730750;2;1
870;19482506731000;1;1
871;19482506732000;1;0
872;19482506747000;1;0
873;19482506748250;4;4
874;19482506784250;1;0
875;19482506814000;1;0
876;19482506816250;1;0
877;19482506838500;1;0
878;19485006604500;1;0
879;19485006610500;1;0
880;19485006610750;7;0
881;19485006611000;4;0
882;19485006611250;4;0
883;19485006611500;13;326
884;19485006611750;9;19
885;19485006612000;2;0
886;19485006612250;2;0
887;19485006612500;4;1
888;19485006612750;1;0
889;19485006613000;5;3
890;19485006613750;1;51
891;19485006614750;8;5
892;19485006615000;1;0
893;19485006615500;1;0
894;19485006615750;1;34
895;19485006616750;1;0
896;19485006618500;4;84
897;19485006618750;2;0
898;19485006619000;2;0
899;19485006619250;4;0
900;19485006619500;2;5
901;19485006619750;5;77
902;19485006620000;4;14
903;19485006620250;4;7
904;19485006620500;2;51
905;19485006620750;10;67
906;19485006621000;3;45
907;19485006621750;2;0
908;19485006622250;1;2
909;19485006623500;10;153
910;19485006623750;10;2
911;19485006624000;2;1
912;19485006624250;3;27
913;19485006624500;7;54
914;19485006624750;3;0
915;19485006626000;11;1665
916;19485006626250;23;10
917;19485006626500;40;232
918;19485006626750;43;91
919;19485006627000;4;6
920;19485006627250;8;21
921;19485006627500;11;42
922;19485006627750;5;3
923;19485006628000;3;1
924;19485006628250;4;0
925;19485006628500;10;45
926;19485006628750;4;0
927;19485006629000;17;233
928;19485006629250;2;22
929;19485006629500;1;0
930;19485006630000;3;15
931;19485006633750;1;0
932;19485006647500;1;32
933;19485006647750;33;515
934;19485006648000;1;22
935;19485006652250;1;0
936;19485006652500;1;0
937;19485006658250;1;0
938;19485006666000;1;0
939;19485006669500;1;0
940;19485006669750;3;0
941;19485006670250;1;0
942;19485006692000;1;0
943;19485006692500;1;0
944;19485006716750;1;0
945;19485006732750;1;1
946;19485006733000;2;1
947;19485006740500;3;0
948;19485006740750;2;0
949;19485006746250;1;2
950;19485006747000;2;0
951;19485006747750;3;19
952;19485006748000;1;0
953;19485006748250;3;1
954;19485006748500;1;0
955;19487506610500;3;1
956;19487506610750;6;1
957;19487506611000;4;1
958;19487506611250;6;0
959;19487506611500;31;784
960;19487506611750;75;225
961;19487506612000;12;6
962;19487506612250;4;1
963;19487506612500;13;33
964;19487506613750;2;7
965;19487506614500;4;1
966;19487506616250;4;0
967;19487506616500;1;0
968;19487506617750;1;12
969;19487506618000;15;51
970;19487506618250;3;7
971;19487506618750;7;5
972;19487506619000;3;21
973;19487506619500;1;0
974;19487506619750;6;61
975;19487506621000;1;0
976;19487506623250;1;1
977;19487506623500;7;1
978;19487506624000;2;21
979;19487506624250;1;35
980;19487506625750;3;2
981;19487506626000;10;45
982;19487506626250;190;665
983;19487506626500;216;1253
984;19487506626750;85;172
985;19487506627000;17;2
986;19487506627250;12;76
987;19487506627500;13;30
988;19487506627750;18;24
989;19487506628000;22;71
990;19487506628250;6;5
991;19487506628500;5;4
992;19487506628750;10;26
993;19487506629000;37;311
994;19487506629250;22;148
995;19487506629500;1;0
996;19487506634250;1;0
997;19487506647500;3;0
998;19487506647750;1;8
999;19487506648000;2;18
1000;19487506648250;1;2
1001;19487506665750;2;12
1002;19487506666000;1;3
1003;19487506666250;4;0
1004;19487506669000;1;0
1005;19487506670000;1;0
1006;19487506676750;2;0
1007;19487506677000;1;0
1008;19487506692250;1;0
1009;19487506716000;1;0
1010;19487506716250;2;0
1011;19487506731500;3;0
1012;19487506731750;4;0
1013;19487506732000;1;0
1014;19487506732500;3;24
1015;19487506732750;1;0
1016;19487506733000;2;5
1017;19487506733250;1;0
1018;19487506733500;3;0
1019;19487506734000;1;0
