Region;Navn;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 0-4 år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 10+ år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: 5-9 år;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: Alle;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined;Botid i Norge: undefined
K3814;Kragerø;173;173;160;137;126;100;94;90;223;220;254;254;254;238;229;179;396;393;414;391;380;338;323;269;189;203;217;237;256;268;280;303;121;130;157;168;187;203;213;219;310;333;374;405;443;471;493;522;114;130;155;161;149;127;129;116;113;112;88;109;124;144;161;184;227;242;243;270;273;271;290;300;476;506;532;535;531;495;503;509;457;462;499;531;565;585;603;582;933;968;1031;1066;1096;1080;1106;1091;0;506;;;;;;;0;462;;;;;;;0;968;;;;;;
K3815;Drangedal;71;66;64;48;32;33;23;24;66;58;77;93;95;91;89;78;137;124;141;141;127;124;112;102;52;52;52;60;93;103;117;126;18;24;22;23;30;38;41;48;70;76;74;83;123;141;158;174;81;84;89;90;73;60;52;49;26;25;33;37;44;49;41;56;107;109;122;127;117;109;93;105;204;202;205;198;198;196;192;199;110;107;132;153;169;178;171;182;314;309;337;351;367;374;363;381;0;202;;;;;;;0;107;;;;;;;0;309;;;;;;
K3816;Nome;160;157;128;98;86;52;39;49;132;140;132;172;187;158;163;133;292;297;260;270;273;210;202;182;79;85;90;99;129;167;176;210;122;128;138;146;151;153;166;174;201;213;228;245;280;320;342;384;77;97;128;148;165;162;159;122;77;71;58;57;77;72;73;78;154;168;186;205;242;234;232;200;316;339;346;345;380;381;374;381;331;339;328;375;415;383;402;385;647;678;674;720;795;764;776;766;0;339;;;;;;;0;339;;;;;;;0;678;;;;;;
K3818;Tinn;94;90;82;71;63;51;48;46;166;152;206;205;208;167;148;112;260;242;288;276;271;218;196;158;132;137;147;148;159;164;166;167;119;120;120;120;124;124;134;149;251;257;267;268;283;288;300;316;55;55;57;65;66;61;61;64;26;36;46;49;64;86;86;99;81;91;103;114;130;147;147;163;281;282;286;284;288;276;275;277;311;308;372;374;396;377;368;360;592;590;658;658;684;653;643;637;0;282;;;;;;;0;308;;;;;;;0;590;;;;;;
K3819;Hjartdal;35;42;39;37;22;19;9;6;10;19;35;41;48;53;47;32;45;61;74;78;70;72;56;38;14;12;11;13;18;18;15;18;5;5;4;5;4;5;6;7;19;17;15;18;22;23;21;25;7;9;15;15;20;23;31;28;0;.;0;0;3;7;7;24;7;9;15;15;23;30;38;52;56;63;65;65;60;60;55;52;15;.;39;46;55;65;60;63;71;87;104;111;115;125;115;115;0;63;;;;;;;0;.;;;;;;;0;87;;;;;;
K3820;Seljord;76;73;57;43;40;36;29;31;36;44;46;55;76;75;64;60;112;117;103;98;116;111;93;91;36;35;38;38;48;54;63;76;12;18;24;22;25;29;29;37;48;53;62;60;73;83;92;113;35;44;49;68;53;57;52;38;22;25;22;23;20;19;19;25;57;69;71;91;73;76;71;63;147;152;144;149;141;147;144;145;70;87;92;100;121;123;112;122;217;239;236;249;262;270;256;267;0;152;;;;;;;0;87;;;;;;;0;239;;;;;;
K3821;Kviteseid;67;46;39;29;23;19;11;11;6;8;6;19;29;28;27;28;73;54;45;48;52;47;38;39;41;49;50;52;63;75;85;86;13;13;20;23;23;20;23;25;54;62;70;75;86;95;108;111;38;49;51;47;46;40;33;27;19;18;11;9;5;9;9;10;57;67;62;56;51;49;42;37;146;144;140;128;132;134;129;124;38;39;37;51;57;57;59;63;184;183;177;179;189;191;188;187;0;144;;;;;;;0;39;;;;;;;0;183;;;;;;
K3822;Nissedal;33;42;41;38;33;29;19;17;4;4;20;40;48;50;50;37;37;46;61;78;81;79;69;54;18;19;38;45;47;48;43;42;6;6;6;7;7;11;9;8;24;25;44;52;54;59;52;50;43;43;26;23;30;29;41;33;4;4;3;4;4;4;4;13;47;47;29;27;34;33;45;46;94;104;105;106;110;106;103;92;14;14;29;51;59;65;63;58;108;118;134;157;169;171;166;150;0;104;;;;;;;0;14;;;;;;;0;118;;;;;;
K3823;Fyresdal;21;18;28;26;22;17;13;3;24;28;42;49;57;47;37;14;45;46;70;75;79;64;50;17;34;47;53;50;62;59;59;61;3;3;3;4;3;3;4;4;37;50;56;54;65;62;63;65;44;29;19;18;8;9;12;21;0;.;6;6;8;10;16;23;44;29;25;24;16;19;28;44;99;94;100;94;92;85;84;85;27;.;51;59;68;60;57;41;126;125;151;153;160;145;141;126;0;94;;;;;;;0;.;;;;;;;0;125;;;;;;
K3824;Tokke;24;24;15;14;11;9;17;21;4;6;19;38;50;49;48;31;28;30;34;52;61;58;65;52;29;31;35;46;46;67;72;78;23;28;27;25;25;27;26;28;52;59;62;71;71;94;98;106;36;37;44;41;42;20;21;15;14;3;5;6;6;7;8;19;50;40;49;47;48;27;29;34;89;92;94;101;99;96;110;114;41;37;51;69;81;83;82;78;130;129;145;170;180;179;192;192;0;92;;;;;;;0;37;;;;;;;0;129;;;;;;
K3825;Vinje;110;101;88;63;58;56;37;31;29;38;54;68;72;77;76;79;139;139;142;131;130;133;113;110;56;51;50;52;60;66;72;93;48;46;45;46;46;47;54;57;104;97;95;98;106;113;126;150;30;39;57;75;74;73;68;53;7;11;14;17;20;29;30;39;37;50;71;92;94;102;98;92;196;191;195;190;192;195;177;177;84;95;113;131;138;153;160;175;280;286;308;321;330;348;337;352;0;191;;;;;;;0;95;;;;;;;0;286;;;;;;
K3805;Larvik (f.o.m. 2018);;;;;750;685;545;471;;;;;732;755;705;604;;;;;1482;1440;1250;1075;;;;;1086;1252;1408;1552;;;;;1458;1527;1608;1712;;;;;2544;2779;3016;3264;;;;;843;753;771;757;;;;;508;512;528;589;;;;;1351;1265;1299;1346;;;;;2679;2690;2724;2780;;;;;2698;2794;2841;2905;;;;;5377;5484;5565;5685;;;;;;;;;;;;;;;;;;;;;;;;
K3811;Færder;;;;;297;261;220;189;;;;;467;476;444;416;;;;;764;737;664;605;;;;;693;766;781;867;;;;;733;753;808;879;;;;;1426;1519;1589;1746;;;;;404;393;388;364;;;;;260;284;335;377;;;;;664;677;723;741;;;;;1394;1420;1389;1420;;;;;1460;1513;1587;1672;;;;;2854;2933;2976;3092;;;;;;;;;;;;;;;;;;;;;;;;
K3802;Holmestrand (f.o.m. 2020);;;;;;;356;338;;;;;;;330;291;;;;;;;686;629;;;;;;;814;959;;;;;;;555;588;;;;;;;1369;1547;;;;;;;645;602;;;;;;;225;267;;;;;;;870;869;;;;;;;1815;1899;;;;;;;1110;1146;;;;;;;2925;3045;;;;;;;;;;;;;;;;;;;;;;;;
K3803;Tønsberg (f.o.m. 2020);;;;;;;728;720;;;;;;;967;897;;;;;;;1695;1617;;;;;;;1665;1881;;;;;;;1842;1978;;;;;;;3507;3859;;;;;;;993;890;;;;;;;659;747;;;;;;;1652;1637;;;;;;;3386;3491;;;;;;;3468;3622;;;;;;;6854;7113;;;;;;;;;;;;;;;;;;;;;;;;
K3817;Midt-Telemark;;;;;;;262;255;;;;;;;264;217;;;;;;;526;472;;;;;;;189;231;;;;;;;269;284;;;;;;;458;515;;;;;;;182;200;;;;;;;157;192;;;;;;;339;392;;;;;;;633;686;;;;;;;690;693;;;;;;;1323;1379;;;;;;;;;;;;;;;;;;;;;;;;
