Geografi,År,Kjønn,Alder,Andel
Kragerø,2024-01-01,Kjønn samlet,0-17,4.2
Drangedal,2015-01-01,Kjønn samlet,0-17,4.9
Drangedal,2016-01-01,Kjønn samlet,0-17,6.1
Drangedal,2017-01-01,Kjønn samlet,0-17,5.5
Drangedal,2018-01-01,Kjønn samlet,0-17,4.7
Drangedal,2019-01-01,Kjønn samlet,0-17,4.0
Drangedal,2020-01-01,Kjønn samlet,0-17,4.6
Drangedal,2021-01-01,Kjønn samlet,0-17,3.4
Drangedal,2022-01-01,Kjønn samlet,0-17,3.3
Drangedal,2023-01-01,Kjønn samlet,0-17,3.4
Drangedal,2024-01-01,Kjønn samlet,0-17,5.2
Nome,2015-01-01,Kjønn samlet,0-17,4.8
Nome,2016-01-01,Kjønn samlet,0-17,5.4
Nome,2017-01-01,Kjønn samlet,0-17,4.9
Nome,2018-01-01,Kjønn samlet,0-17,4.0
Nome,2019-01-01,Kjønn samlet,0-17,4.2
Nome,2020-01-01,Kjønn samlet,0-17,5.5
Nome,2021-01-01,Kjønn samlet,0-17,5.8
Nome,2022-01-01,Kjønn samlet,0-17,4.4
Nome,2023-01-01,Kjønn samlet,0-17,5.0
Nome,2024-01-01,Kjønn samlet,0-17,4.8
Midt-Telemark,2015-01-01,Kjønn samlet,0-17,4.4
Midt-Telemark,2016-01-01,Kjønn samlet,0-17,4.2
Midt-Telemark,2017-01-01,Kjønn samlet,0-17,4.8
Midt-Telemark,2018-01-01,Kjønn samlet,0-17,4.8
Midt-Telemark,2019-01-01,Kjønn samlet,0-17,5.6
Midt-Telemark,2020-01-01,Kjønn samlet,0-17,4.2
Midt-Telemark,2021-01-01,Kjønn samlet,0-17,4.2
Midt-Telemark,2022-01-01,Kjønn samlet,0-17,4.1
Midt-Telemark,2023-01-01,Kjønn samlet,0-17,4.0
Midt-Telemark,2024-01-01,Kjønn samlet,0-17,3.4
Seljord,2015-01-01,Kjønn samlet,0-17,5.2
Seljord,2016-01-01,Kjønn samlet,0-17,6.1
Seljord,2017-01-01,Kjønn samlet,0-17,5.2
Seljord,2018-01-01,Kjønn samlet,0-17,7.4
Seljord,2019-01-01,Kjønn samlet,0-17,6.3
Seljord,2020-01-01,Kjønn samlet,0-17,5.1
Seljord,2021-01-01,Kjønn samlet,0-17,4.8
Seljord,2022-01-01,Kjønn samlet,0-17,6.0
Seljord,2023-01-01,Kjønn samlet,0-17,5.7
Seljord,2024-01-01,Kjønn samlet,0-17,5.2
Hjartdal,2015-01-01,Kjønn samlet,0-17,2.9
Hjartdal,2016-01-01,Kjønn samlet,0-17,3.5
Hjartdal,2017-01-01,Kjønn samlet,0-17,4.2
Hjartdal,2018-01-01,Kjønn samlet,0-17,2.9
Hjartdal,2019-01-01,Kjønn samlet,0-17,2.3
Hjartdal,2020-01-01,Kjønn samlet,0-17,4.0
Hjartdal,2021-01-01,Kjønn samlet,0-17,7.8
Hjartdal,2022-01-01,Kjønn samlet,0-17,6.5
Hjartdal,2023-01-01,Kjønn samlet,0-17,7.0
Hjartdal,2024-01-01,Kjønn samlet,0-17,3.9
Tinn,2015-01-01,Kjønn samlet,0-17,6.1
Tinn,2016-01-01,Kjønn samlet,0-17,4.7
Tinn,2017-01-01,Kjønn samlet,0-17,5.2
Tinn,2018-01-01,Kjønn samlet,0-17,6.1
Tinn,2019-01-01,Kjønn samlet,0-17,4.2
Tinn,2020-01-01,Kjønn samlet,0-17,5.4
Tinn,2021-01-01,Kjønn samlet,0-17,4.7
Tinn,2022-01-01,Kjønn samlet,0-17,5.5
Tinn,2023-01-01,Kjønn samlet,0-17,5.6
Tinn,2024-01-01,Kjønn samlet,0-17,5.6
Kviteseid,2015-01-01,Kjønn samlet,0-17,6.7
Kviteseid,2016-01-01,Kjønn samlet,0-17,5.8
Kviteseid,2017-01-01,Kjønn samlet,0-17,5.9
Kviteseid,2018-01-01,Kjønn samlet,0-17,7.6
Kviteseid,2019-01-01,Kjønn samlet,0-17,6.0
Kviteseid,2020-01-01,Kjønn samlet,0-17,6.9
Kviteseid,2021-01-01,Kjønn samlet,0-17,5.1
Kviteseid,2022-01-01,Kjønn samlet,0-17,5.6
Kviteseid,2023-01-01,Kjønn samlet,0-17,4.6
Kviteseid,2024-01-01,Kjønn samlet,0-17,4.2
Nissedal,2015-01-01,Kjønn samlet,0-17,5.0
Nissedal,2016-01-01,Kjønn samlet,0-17,5.2
Nissedal,2017-01-01,Kjønn samlet,0-17,4.4
Nissedal,2018-01-01,Kjønn samlet,0-17,4.0
Nissedal,2019-01-01,Kjønn samlet,0-17,3.3
Nissedal,2020-01-01,Kjønn samlet,0-17,4.7
Nissedal,2021-01-01,Kjønn samlet,0-17,5.3
Nissedal,2022-01-01,Kjønn samlet,0-17,5.8
Nissedal,2023-01-01,Kjønn samlet,0-17,5.1
Nissedal,2024-01-01,Kjønn samlet,0-17,3.5
Fyresdal,2015-01-01,Kjønn samlet,0-17,5.1
Fyresdal,2016-01-01,Kjønn samlet,0-17,6.1
Fyresdal,2017-01-01,Kjønn samlet,0-17,6.0
Fyresdal,2018-01-01,Kjønn samlet,0-17,5.7
Fyresdal,2019-01-01,Kjønn samlet,0-17,6.4
Fyresdal,2020-01-01,Kjønn samlet,0-17,6.0
Fyresdal,2021-01-01,Kjønn samlet,0-17,5.9
Fyresdal,2022-01-01,Kjønn samlet,0-17,4.0
Fyresdal,2023-01-01,Kjønn samlet,0-17,7.5
Fyresdal,2024-01-01,Kjønn samlet,0-17,7.2
Tokke,2015-01-01,Kjønn samlet,0-17,4.1
Tokke,2016-01-01,Kjønn samlet,0-17,3.7
Tokke,2017-01-01,Kjønn samlet,0-17,2.1
Tokke,2018-01-01,Kjønn samlet,0-17,2.5
Tokke,2019-01-01,Kjønn samlet,0-17,3.1
Tokke,2020-01-01,Kjønn samlet,0-17,3.4
Tokke,2021-01-01,Kjønn samlet,0-17,4.6
Tokke,2022-01-01,Kjønn samlet,0-17,5.0
Tokke,2023-01-01,Kjønn samlet,0-17,3.5
Tokke,2024-01-01,Kjønn samlet,0-17,4.8
Vinje,2015-01-01,Kjønn samlet,0-17,5.5
Vinje,2016-01-01,Kjønn samlet,0-17,5.8
Vinje,2017-01-01,Kjønn samlet,0-17,5.7
Vinje,2018-01-01,Kjønn samlet,0-17,5.3
Vinje,2019-01-01,Kjønn samlet,0-17,5.9
Vinje,2020-01-01,Kjønn samlet,0-17,5.2
Vinje,2021-01-01,Kjønn samlet,0-17,5.8
Vinje,2022-01-01,Kjønn samlet,0-17,4.0
Vinje,2023-01-01,Kjønn samlet,0-17,4.2
Vinje,2024-01-01,Kjønn samlet,0-17,4.4
