År;Region;Alder;Utflytting;Innflytting;Nettoflytting
2016;3812 Siljan;17 år;2;1;-1
2016;3812 Siljan;18 år;7;2;-5
2016;3812 Siljan;19 år;6;4;-2
2016;3812 Siljan;2 år;1;2;1
2016;3812 Siljan;20 år;5;3;-2
2016;3812 Siljan;21 år;3;2;-1
2016;3812 Siljan;22 år;4;6;2
2016;3812 Siljan;23 år;9;6;-3
2016;3812 Siljan;24 år;7;4;-3
2016;3812 Siljan;25 år;2;3;1
2016;3812 Siljan;26 år;5;6;1
2016;3812 Siljan;27 år;3;6;3
2016;3812 Siljan;28 år;3;6;3
2016;3812 Siljan;29 år;2;4;2
2016;3812 Siljan;3 år;2;2;0
2016;3812 Siljan;30 år;5;6;1
2016;3812 Siljan;31 år;3;3;0
2016;3812 Siljan;32 år;;2;2
2016;3812 Siljan;33 år;2;3;1
2016;3812 Siljan;34 år;2;2;0
2016;3812 Siljan;35 år;;1;1
2016;3812 Siljan;36 år;1;4;3
2016;3812 Siljan;37 år;1;;-1
2016;3812 Siljan;38 år;;1;1
2016;3812 Siljan;39 år;1;3;2
2016;3812 Siljan;4 år;2;2;0
2016;3812 Siljan;40 år;1;1;0
2016;3812 Siljan;41 år;1;1;0
2016;3812 Siljan;42 år;2;4;2
2016;3812 Siljan;43 år;4;1;-3
2016;3812 Siljan;44 år;1;1;0
2016;3812 Siljan;45 år;2;1;-1
2016;3812 Siljan;46 år;1;2;1
2016;3812 Siljan;47 år;2;;-2
2016;3812 Siljan;48 år;3;1;-2
2016;3812 Siljan;49 år;;3;3
2016;3812 Siljan;5 år;;2;2
2016;3812 Siljan;50 år;2;;-2
2016;3812 Siljan;51 år;1;1;0
2016;3812 Siljan;52 år;;;
2016;3812 Siljan;53 år;2;2;0
2016;3812 Siljan;54 år;2;3;1
2016;3812 Siljan;55 år;2;2;0
2016;3812 Siljan;56 år;;1;1
2016;3812 Siljan;57 år;1;2;1
2016;3812 Siljan;58 år;1;2;1
2016;3812 Siljan;59 år;1;3;2
2016;3812 Siljan;6 år;1;2;1
2016;3812 Siljan;60 år;;;
2016;3812 Siljan;61 år;1;1;0
2016;3812 Siljan;62 år;;1;1
2016;3812 Siljan;63 år;1;1;0
2016;3812 Siljan;64 år;;;
2016;3812 Siljan;65 år;;;
2016;3812 Siljan;66 år;2;;-2
2016;3812 Siljan;67 år;;;
2016;3812 Siljan;68 år;;;
2016;3812 Siljan;69 år;;;
2016;3812 Siljan;7 år;1;1;0
2016;3812 Siljan;70 år;1;2;1
2016;3812 Siljan;8 år;2;4;2
2016;3812 Siljan;9 år;1;2;1
2016;3813 Bamble;0 år;3;8;5
2016;3813 Bamble;1 år;4;11;7
2016;3813 Bamble;10 år;4;9;5
2016;3813 Bamble;11 år;2;5;3
2016;3813 Bamble;12 år;2;6;4
2016;3813 Bamble;13 år;3;7;4
2016;3813 Bamble;14 år;2;6;4
2016;3813 Bamble;15 år;5;9;4
2016;3813 Bamble;16 år;9;8;-1
2016;3813 Bamble;17 år;10;8;-2
2016;3813 Bamble;18 år;8;10;2
2016;3813 Bamble;19 år;21;18;-3
2016;3813 Bamble;2 år;6;10;4
2016;3813 Bamble;20 år;18;17;-1
2016;3813 Bamble;21 år;37;28;-9
2016;3813 Bamble;22 år;33;23;-10
2016;3813 Bamble;23 år;26;14;-12
2016;3813 Bamble;24 år;30;21;-9
2016;3813 Bamble;25 år;36;29;-7
2016;3813 Bamble;26 år;31;23;-8
2016;3813 Bamble;27 år;30;31;1
2016;3813 Bamble;28 år;24;23;-1
2016;3813 Bamble;29 år;20;13;-7
2016;3813 Bamble;3 år;8;13;5
2016;3813 Bamble;30 år;12;9;-3
2016;3813 Bamble;31 år;13;12;-1
2016;3813 Bamble;32 år;5;17;12
2016;3813 Bamble;33 år;9;10;1
2016;3813 Bamble;34 år;9;15;6
2016;3813 Bamble;35 år;8;6;-2
2016;3813 Bamble;36 år;8;17;9
2016;3813 Bamble;37 år;9;17;8
2016;3813 Bamble;38 år;11;12;1
2016;3813 Bamble;39 år;3;10;7
2016;3813 Bamble;4 år;6;12;6
2016;3813 Bamble;40 år;4;9;5
2016;3813 Bamble;41 år;6;4;-2
2016;3813 Bamble;42 år;6;10;4
2016;3813 Bamble;43 år;8;10;2
2016;3813 Bamble;44 år;6;7;1
2016;3813 Bamble;45 år;3;3;0
2016;3813 Bamble;46 år;6;4;-2
2016;3813 Bamble;47 år;11;6;-5
2016;3813 Bamble;48 år;11;6;-5
2016;3813 Bamble;49 år;4;1;-3
2016;3813 Bamble;5 år;8;9;1
2016;3813 Bamble;50 år;5;5;0
2016;3813 Bamble;51 år;10;3;-7
2016;3813 Bamble;52 år;3;11;8
2016;3813 Bamble;53 år;9;5;-4
2016;3813 Bamble;54 år;7;2;-5
2016;3813 Bamble;55 år;7;5;-2
2016;3813 Bamble;56 år;5;5;0
2016;3813 Bamble;57 år;2;6;4
2016;3813 Bamble;58 år;7;4;-3
2016;3813 Bamble;59 år;2;2;0
2016;3813 Bamble;6 år;4;8;4
2016;3813 Bamble;60 år;6;4;-2
2016;3813 Bamble;61 år;2;5;3
2016;3813 Bamble;62 år;2;2;0
2016;3813 Bamble;63 år;2;2;0
2016;3813 Bamble;64 år;3;1;-2
2016;3813 Bamble;65 år;;2;2
2016;3813 Bamble;66 år;3;3;0
2016;3813 Bamble;67 år;3;1;-2
2016;3813 Bamble;68 år;4;3;-1
2016;3813 Bamble;69 år;1;5;4
2016;3813 Bamble;7 år;2;7;5
2016;3813 Bamble;70 år;;3;3
2016;3813 Bamble;8 år;6;12;6
2016;3813 Bamble;9 år;2;7;5
