Kommunenummer;Kommune;Svaralternativ;Andel;Antall (uvektet);Antall som svarte (uvektet)
4036;Vinje;Jeg/vi er fornøyde med hagen/uteområdet;41.3;628;260
4036;Vinje;Jeg/vi trives i nabolaget der boligen ligger;43.7;628;276
4036;Vinje;Jeg/vi finner ikke passende bolig i ønsket område;3.9;628;24
4036;Vinje;Jeg/vi har ikke råd til å bytte bolig;9.6;628;61
4036;Vinje;Jeg/vi har ikke kapasitet til å bytte bolig;4.0;628;25
4036;Vinje;Annen årsak;9.0;628;56
40;Telemark;Jeg/vi er fornøyde med boligen;86.3;11369;9795
40;Telemark;Jeg/vi trenger plassen i boligen til familie og besøk;22.5;11369;2585
40;Telemark;Jeg/vi er fornøyde med hagen/uteområdet;44.6;11369;5088
40;Telemark;Jeg/vi trives i nabolaget der boligen ligger;49.3;11369;5464
40;Telemark;Jeg/vi finner ikke passende bolig i ønsket område;2.6;11369;313
40;Telemark;Jeg/vi har ikke råd til å bytte bolig;9.2;11369;1038
40;Telemark;Jeg/vi har ikke kapasitet til å bytte bolig;3.8;11369;419
40;Telemark;Annen årsak;6.2;11369;743
