ULYKKESDATO;ULYKKESKLOKKESLETT;UKEDAG;ULYKKESKODE;ANTALL ENHETER;VEGTYPE;STEDSFORHOLD;TETTSTED;FARTSGRENSE;HISTORISK VEGKATEGORI;HISTORISK VEGNUMMER;UID;UKEDAGSTYPE;ULYKKESTYPE;ULYKKESTYPE UNDERKATEGORI;ÅR;ANTALL ANDRE ENHETER;ANTALL BUSS;ANTALL FOTGJENGERE;ANTALL LASTEBIL;ANTALL LETT MC;ANTALL MC;ANTALL MOPED;ANTALL PERSONBIL;ANTALL SKINNEGÅENDE MATERIELL;ANTALL LITEN ELEKTRISK MOTORVOGN;ANTALL SYKKEL;ANTALL TRAKTOR;ANTALL UKJENTE ENHETER;ANTALL VAREBIL;VEGBELYSNING;FYLKENAVN;FYLKENUMMER;KOMMUNENAVN;KOMMUNENUMMER;VEGSYSTEMREFERANSE;VEGKATEGORI;VEGNUMMER;VEGOBJEKT_ID;Latitude;Longitude;VEGKATEGORI (grupper);ALVORLIGHETSGRAD;MÅNED;ANTALL DREPTE;ANTALL MEGET ALVORLIG SKADET;ANTALL ALVORLIG SKADET;ANTALL LETTERE SKADET;DEKKETYPE;FØREFORHOLD;VÆRFORHOLD;LYSFORHOLD;KJØREFELTTYPE;ANTALL KJØREFELT;ÅRSDØGNTRAFIKK
fredag 10. juli 2015;02:35:00;Fredag;Enslig kjøretøy kjørte utfor ved avsvinging i kryss o.l.;1;Motortrafikkveg;Annet kryss;Ikke tettsted;80;Europaveg;18;UID1000273475;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Nei;Telemark;40;Porsgrunn;4001;;;0;621371824;59,07469179;9,662608528;Fylkesveg;;7;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Mørkt med vegbelysning;Retardasjonsfelt;2;19600
fredag 10. september 2021;16:50:00;Fredag;Venstresving foran kjørende i motsatt retning;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Tettsted;60;Fylkesveg;32;UID0589662469;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;2021;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Ja;Telemark;40;Porsgrunn;4001;;;0;1015562897;59,12262988;9,707557219;Fylkesveg;;9;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;16000
fredag 11. desember 1992;16:27:00;Fredag;Fotgjenger krysset kjørebanen på bortsiden av krysset;2;Ukjent;3-armet kryss (T-kryss, Y-kryss);Tettsted;50;Riksveg;36;UID1000206267;Yrkesdøgn;Fotgjenger/akende;Fotgjenger krysset kjørebanen;1992;0;0;1;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Skien;4003;;;0;107156901;59,19613118;9,605154425;Fylkesveg;;12;;;;;Ukjent;Våt, bar veg;God sikt, opphold;Mørkt med vegbelysning;Ukjent;;
fredag 11. januar 1991;09:20:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side i venstrekurve;1;Ukjent;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Europaveg;18;UID1000207141;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;1991;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Bamble;4012;;;0;107161963;58,97364791;9,518634815;Fylkesveg;;1;;;;;Ukjent;Våt, bar veg;God sikt, opphold;Dagslys;Ukjent;;
fredag 11. november 1994;13:30:00;Fredag;Venstresving foran kjørende i motsatt retning;2;Ukjent;3-armet kryss (T-kryss, Y-kryss);Tettsted;50;Riksveg;36;UID1000205500;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;1994;0;0;0;0;0;0;1;1;0;0;0;0;0;0;Ukjent;Telemark;40;Porsgrunn;4001;;;0;107152434;59,1403459;9,660578608;Fylkesveg;;11;;;;;Ukjent;Våt, bar veg;God sikt, opphold;Dagslys;Ukjent;;
fredag 11. oktober 2002;15:00:00;Fredag;Møting på rett vegstrekning;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Europaveg;18;UID1000202308;Yrkesdøgn;Motsatt kjøreretning;Ulykke ved møting;2002;0;0;0;1;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Bamble;4012;;;0;107133475;59,0417639;9,676128054;Fylkesveg;;10;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 12. januar 2007;22:27:00;Fredag;Enslig kjøretøy kjørte utfor på venstre side på rett vegstrekning;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Riksveg;353;UID1000218485;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2007;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Skien;4003;;;0;121824063;59,17519841;9,569383135;Fylkesveg;;1;;;;;Asfalt, oljegrus;Snø / isbelagt veg;God sikt, opphold;Mørkt uten vegbelysning;Vanlig kjørefelt;;
fredag 12. november 1999;13:00:00;Fredag;Venstresving foran kjørende i motsatt retning;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Tettsted;60;Riksveg;36;UID1000203439;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;1999;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Ukjent;Telemark;40;Skien;4003;;;0;107140146;59,19544336;9,601386359;Fylkesveg;;11;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 13. april 2007;13:25:00;Fredag;Fotgjenger krysset kjørebanen på bortsiden av krysset;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Tettsted;;Kommunal veg;1920;UID1000220247;Yrkesdøgn;Fotgjenger/akende;Fotgjenger krysset kjørebanen;2007;0;0;1;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Porsgrunn;4001;;;0;132212331;59,13890765;9,647318602;Fylkesveg;;4;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 13. september 1996;14:00:00;Fredag;Ulykke med uklart forløp / ulykke som ikke faller inn under noen bestemt ul.kode;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Tettsted;50;Riksveg;354;UID1000204772;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);1996;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Ukjent;Telemark;40;Porsgrunn;4001;;;0;107148000;59,13640975;9,642841405;Fylkesveg;;9;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Svingefelt venstre / høyre;3;
fredag 14. august 2009;19:33:00;Fredag;Ulykke med uklart forløp / ulykke som ikke faller inn under noen bestemt ul.kode;1;Annet (plass m.m.);Annet (P-plass, torv, o. l.);Ikke tettsted;;Privat veg;99593;UID1000238427;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);2009;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Vinje;4036;;;0;230285444;59,77118389;7,71847828;Fylkesveg;;8;;;;;Betong, betongstein;Tørr, bar veg;God sikt, opphold;Dagslys;Annet;;
fredag 14. januar 2000;15:57:00;Fredag;Fotgjenger krysset kjørebanen forøvrig;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Tettsted;50;Riksveg;36;UID1000203350;Yrkesdøgn;Fotgjenger/akende;Fotgjenger krysset kjørebanen;2000;0;0;1;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Porsgrunn;4001;;;0;107139634;59,15070711;9,660659555;Fylkesveg;;1;;;;;Asfalt, oljegrus;Ukjent;God sikt, opphold;Tussmørke, skumring;Vanlig kjørefelt;2;
fredag 14. juli 1995;20:13:00;Fredag;Enslig kjøretøy veltet i kjørebanen;1;Ukjent;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Riksveg;36;UID1000205077;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);1995;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Ukjent;Telemark;40;Seljord;4022;;;0;107149837;59,46081269;8,711036137;Fylkesveg;;7;;;;;Ukjent;Tørr, bar veg;God sikt, opphold;Dagslys;Ukjent;;
fredag 14. juli 2000;18:45:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side på rett vegstrekning;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;60;Riksveg;38;UID1000202840;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2000;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Kragerø;4014;;;0;107136497;58,87978847;9,367783149;Fylkesveg;;7;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 14. juli 2000;15:10:00;Fredag;Avsvinging til venstre foran kjørende i motsatt retning;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Ikke tettsted;80;Riksveg;36;UID1000203197;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved avsvinging fra motsatte kjøreretning;2000;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Ukjent;Telemark;40;Skien;4003;;;0;107138704;59,1803988;9,569993784;Fylkesveg;;7;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, nedbør;Dagslys;Vanlig kjørefelt;3;
fredag 14. juli 2017;13:13:00;Fredag;Enslig kjøretøy veltet i kjørebanen;1;Motortrafikkveg;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;90;Europaveg;18;UID1000282990;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);2017;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Nei;Telemark;40;Porsgrunn;4001;;;0;812273555;59,09799981;9,775534652;Fylkesveg;;7;;;;;Asfalt, oljegrus;Ukjent;Ukjent;Ukjent;Vanlig kjørefelt;2;18000
fredag 14. mai 1993;18:00:00;Fredag;Kryssende kjøreretninger (uten avsvinging);2;Ukjent;Annet (P-plass, torv, o. l.);Tettsted;;Privat veg;97240;UID1000206126;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning uten avsvingning;1993;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Ukjent;Telemark;40;Skien;4003;;;0;107156159;59,19690392;9,604260351;Fylkesveg;;5;;;;;Ukjent;Våt, bar veg;God sikt, opphold;Dagslys;Ukjent;;
fredag 14. mai 1999;09:30:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side på rett vegstrekning;1;Motortrafikkveg;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;90;Europaveg;18;UID1000203666;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;1999;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Porsgrunn;4001;;;0;107141395;59,09607977;9,781248965;Fylkesveg;;5;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, nedbør;Dagslys;Vanlig kjørefelt;2;
fredag 15. januar 1993;20:15:00;Fredag;Møting i kurve;2;Ukjent;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Riksveg;36;UID1000206272;Yrkesdøgn;Motsatt kjøreretning;Ulykke ved møting;1993;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Ukjent;Telemark;40;Nome;4018;;;0;107156929;59,31856497;9,239246801;Fylkesveg;;1;;;;;Ukjent;Snø / isbelagt veg;God sikt, opphold;Mørkt uten vegbelysning;Ukjent;;
fredag 15. januar 2010;14:11:00;Fredag;Enslig kjøretøy kjørte utfor ved avsvinging i kryss o.l.;1;Motortrafikkveg;3-armet kryss (T-kryss, Y-kryss);Tettsted;80;Europaveg;18;UID1000241104;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2010;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Bamble;4012;;;0;237412204;59,03734596;9,675922571;Fylkesveg;;1;;;;;Asfalt, oljegrus;Delvis snø / isbelagt veg;God sikt, opphold;Tussmørke, skumring;Svingefelt venstre / høyre;2;
fredag 15. juli 2005;23:45:00;Fredag;Møting i kurve;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;60;Europaveg;134;UID1000201047;Yrkesdøgn;Motsatt kjøreretning;Ulykke ved møting;2005;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Ja;Telemark;40;Seljord;4022;;;0;107125935;59,50086659;8,638380849;Fylkesveg;;7;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Mørkt med vegbelysning;Vanlig kjørefelt;2;2922
fredag 15. juni 2007;03:50:00;Fredag;Enslig kjøretøy kjørte utfor på venstre side i høyrekurve;1;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Tettsted;;Kommunal veg;4640;UID1000221735;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2007;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Ukjent;Telemark;40;Porsgrunn;4001;;;0;140852310;59,13854992;9,645413212;Fylkesveg;;6;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Mørkt med vegbelysning;Vanlig kjørefelt;;
fredag 15. mars 2002;16:50:00;Fredag;Venstresving foran kjørende i motsatt retning;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Ikke tettsted;60;Riksveg;354;UID1000202539;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;2002;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Ukjent;Telemark;40;Bamble;4012;;;0;107134807;59,04024597;9,675542729;Fylkesveg;;3;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;3;
fredag 15. november 1991;02:25:00;Fredag;Enslig kjøretøy kjørte utfor på venstre side i venstrekurve;1;Ukjent;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;70;Riksveg;36;UID1000206785;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;1991;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Skien;4003;;;0;107159727;59,18461942;9,520165021;Fylkesveg;;11;;;;;Ukjent;Våt, bar veg;Dårlig sikt, tåke eller dis;Mørkt med vegbelysning;Ukjent;;
fredag 15. november 2002;18:21:00;Fredag;Påkjøring av parkert kjøretøy på venstre side;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;70;Riksveg;36;UID1000202277;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);2002;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Ukjent;Telemark;40;Midt-Telemark;4020;;;0;107133278;59,34760326;9,206586436;Fylkesveg;;11;;;;;Asfalt, oljegrus;Delvis snø / isbelagt veg;God sikt, opphold;Mørkt uten vegbelysning;Vanlig kjørefelt;2;
fredag 15. oktober 2004;07:00:00;Fredag;Påkjøring av gjenstand i kjørebanen;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Ikke tettsted;60;Riksveg;36;UID1000201372;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);2004;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Ukjent;Telemark;40;Skien;4003;;;0;107127954;59,19602992;9,604451195;Fylkesveg;;10;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, opphold;Tussmørke, skumring;Vanlig kjørefelt;2;
fredag 15. september 1995;17:50:00;Fredag;Møting i kurve;2;Ukjent;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;90;Europaveg;18;UID1000205112;Yrkesdøgn;Motsatt kjøreretning;Ulykke ved møting;1995;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Ukjent;Telemark;40;Porsgrunn;4001;;;0;107150043;59,0977829;9,77617987;Fylkesveg;;9;;;;;Ukjent;Våt, bar veg;God sikt, nedbør;Dagslys;Ukjent;;
fredag 16. april 1999;14:10:00;Fredag;Enslig kjøretøy kjørte utfor på høyre side i venstrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Fylkesveg;30;UID1000203696;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;1999;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Ukjent;Telemark;40;Porsgrunn;4001;;;0;107141597;59,10521944;9,764252115;Fylkesveg;;4;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 16. april 2021;16:30:00;Fredag;Øvrige parkeringsuhell;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Fylkesveg;3260;UID0068401196;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);2021;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Ja;Telemark;40;Porsgrunn;4001;;;0;1015553612;59,11724919;9,71902947;Fylkesveg;;4;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Skulder;2;897
fredag 16. august 2013;19:22:00;Fredag;Enslig kjøretøy kjørte utfor på venstre side i høyrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Tettsted;70;Riksveg;36;UID1000262613;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2013;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Midt-Telemark;4020;;;0;434016849;59,33590745;9,214628333;Fylkesveg;;8;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, nedbør;Dagslys;Vanlig kjørefelt;2;
fredag 16. august 2013;09:00:00;Fredag;Enslig kjøretøy kjørte utfor på venstre side i høyrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;70;Europaveg;134;UID1000262959;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2013;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Ukjent;Telemark;40;Notodden;4005;;;0;449329197;59,58228241;9,317746804;Fylkesveg;;8;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
fredag 16. juli 1999;15:15:00;Fredag;Fotgjenger krysset kjørebanen forøvrig;2;Motortrafikkveg;Bomstasjon;Ikke tettsted;50;Europaveg;18;UID1000203506;Yrkesdøgn;Fotgjenger/akende;Fotgjenger krysset kjørebanen;1999;0;0;1;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Porsgrunn;4001;;;0;107140483;59,10211812;9,768556935;Fylkesveg;;7;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Annet;4;
fredag 16. september 1994;11:30:00;Fredag;Venstresving foran kjørende i motsatt retning;2;Ukjent;3-armet kryss (T-kryss, Y-kryss);Ikke tettsted;80;Riksveg;11;UID1000205553;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved kryssende kjøreretning hvor kjøretøy foretar avsvingning;1994;0;0;0;0;0;0;0;1;0;0;0;0;0;1;Ukjent;Telemark;40;Notodden;4005;;;0;107152757;59,56527363;9,223709179;Fylkesveg;;9;;;;;Ukjent;Våt, bar veg;God sikt, opphold;Dagslys;Ukjent;;
fredag 16. september 2016;15:39:00;Fredag;Enslig kjøretøy veltet i kjørebanen;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;70;Europaveg;134;UID1000279517;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);2016;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Nei;Telemark;40;Notodden;4005;;;0;745235917;59,58420908;9,300612106;Fylkesveg;;9;;;;;Asfalt, oljegrus;Glatt ellers;God sikt, nedbør;Dagslys;Vanlig kjørefelt;2;5150
