ULYKKESDATO;ULYKKESKLOKKESLETT;UKEDAG;ULYKKESKODE;ANTALL ENHETER;VEGTYPE;STEDSFORHOLD;TETTSTED;FARTSGRENSE;HISTORISK VEGKATEGORI;HISTORISK VEGNUMMER;UID;UKEDAGSTYPE;ULYKKESTYPE;ULYKKESTYPE UNDERKATEGORI;ÅR;ANTALL ANDRE ENHETER;ANTALL BUSS;ANTALL FOTGJENGERE;ANTALL LASTEBIL;ANTALL LETT MC;ANTALL MC;ANTALL MOPED;ANTALL PERSONBIL;ANTALL SKINNEGÅENDE MATERIELL;ANTALL LITEN ELEKTRISK MOTORVOGN;ANTALL SYKKEL;ANTALL TRAKTOR;ANTALL UKJENTE ENHETER;ANTALL VAREBIL;VEGBELYSNING;FYLKENAVN;FYLKENUMMER;KOMMUNENAVN;KOMMUNENUMMER;VEGSYSTEMREFERANSE;VEGKATEGORI;VEGNUMMER;VEGOBJEKT_ID;Latitude;Longitude;VEGKATEGORI (grupper);ALVORLIGHETSGRAD;MÅNED;ANTALL DREPTE;ANTALL MEGET ALVORLIG SKADET;ANTALL ALVORLIG SKADET;ANTALL LETTERE SKADET;DEKKETYPE;FØREFORHOLD;VÆRFORHOLD;LYSFORHOLD;KJØREFELTTYPE;ANTALL KJØREFELT;ÅRSDØGNTRAFIKK
tirsdag 16. november 1999;16:50:00;Tirsdag;Fotgjenger krysset kjørebanen utenfor kryss bak parkert eller stanset kjøretøy;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Tettsted;;Kommunal veg;6280;UID1000203436;Yrkesdøgn;Fotgjenger/akende;Fotgjenger krysset kjørebanen;1999;0;0;1;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Bamble;4012;KV6280 S1D1 m284;Kommunal veg;6280;107140132;59,04592617;9,660096129;Kommunal veg;;11;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, opphold;Mørkt uten vegbelysning;Vanlig kjørefelt;1;
tirsdag 16. november 1999;16:05:00;Tirsdag;Påkjøring bakfra ved høyresving;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Ikke tettsted;50;Riksveg;356;UID1000203437;Yrkesdøgn;Kryssende kjøreretning;Ulykke ved avsvinging fra samme kjøreretning;1999;0;0;0;0;0;0;0;2;0;0;0;0;0;0;Ukjent;Telemark;40;Porsgrunn;4001;FV356 S1D1 m1380 KD3 m26;Fylkesveg;356;107140137;59,13502039;9,644932645;Fylkesveg;;11;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, opphold;Dagslys;Svingefelt venstre / høyre;;
tirsdag 16. november 2010;10:53:00;Tirsdag;Enslig kjøretøy kjørte utfor på høyre side i venstrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Europaveg;134;UID1000246501;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2010;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Kviteseid;4028;EV134 S30D1 m6217;Europaveg;134;271546054;59,44524756;8,447434236;Europa- og riksveg;;11;;;;;Asfalt, oljegrus;Delvis snø / isbelagt veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;2600
tirsdag 16. november 2010;11:13:00;Tirsdag;Enslig kjøretøy kjørte utfor på høyre side i venstrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Tettsted;80;Fylkesveg;356;UID1000246514;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2010;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Skien;4003;FV356 S2D1 m6293;Fylkesveg;356;271732350;59,13171308;9,538169206;Fylkesveg;;11;;;;;Asfalt, oljegrus;Delvis snø / isbelagt veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;3400
tirsdag 16. november 2010;06:47:00;Tirsdag;Påkjøring av gjenstand i kjørebanen;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Tettsted;80;Fylkesveg;109;UID1000246515;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);2010;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Drangedal;4016;FV3310 S5D1 m7368;Fylkesveg;3310;271736771;59,10181268;9,078955212;Fylkesveg;;11;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Mørkt uten vegbelysning;Vanlig kjørefelt;2;200
tirsdag 16. oktober 2001;16:18:00;Tirsdag;Fotgjenger krysset kjørebanen foran venstresvingende kjøretøy i kryss;2;Vanlig veg/gate;3-armet kryss (T-kryss, Y-kryss);Ikke tettsted;50;Kommunal veg;4100;UID1000202692;Yrkesdøgn;Fotgjenger/akende;Fotgjenger krysset kjørebanen;2001;0;0;1;0;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Porsgrunn;4001;KV5678 S2D1 m185;Kommunal veg;5678;107135691;59,14083552;9,657612459;Kommunal veg;;10;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
tirsdag 16. oktober 2012;07:31:00;Tirsdag;Enslig kjøretøy kjørte utfor på venstre side i høyrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Fylkesveg;38;UID1000257972;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2012;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Ukjent;Telemark;40;Drangedal;4016;;;0;366483897;58,98107322;9,243607326;Fylkesveg;;10;;;;;Asfalt, oljegrus;Våt, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
tirsdag 16. september 1997;11:35:00;Tirsdag;Møting i kurve;2;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Tettsted;;Kommunal veg;4700;UID1000204335;Yrkesdøgn;Motsatt kjøreretning;Ulykke ved møting;1997;0;0;0;0;0;0;1;1;0;0;0;0;0;0;Ukjent;Telemark;40;Porsgrunn;4001;KV4700 S1D1 m167;Kommunal veg;4700;107145369;59,05228746;9,691980756;Kommunal veg;;9;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;1;
tirsdag 16. september 2008;07:10:00;Tirsdag;Ulykke med uklart forløp / ulykke som ikke faller inn under noen bestemt ul.kode;2;Boliggate, boligveg;Vegstrekning utenfor kryss/avkjørsel;Tettsted;30;Kommunal veg;78600;UID1000231713;Yrkesdøgn;Andre ulykker;Andre ulykker(parkering o.l);2008;0;0;0;0;0;0;0;1;0;0;1;0;0;0;Nei;Telemark;40;Skien;4003;KV78600 S1D1 m98;Kommunal veg;78600;191648057;59,16874641;9,654457249;Kommunal veg;;9;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;
tirsdag 17. april 2001;17:30:00;Tirsdag;Enslig kjøretøy kjørte utfor på venstre side i venstrekurve;1;Vanlig veg/gate;Vegstrekning utenfor kryss/avkjørsel;Ikke tettsted;80;Europaveg;18;UID1000202877;Yrkesdøgn;Utforkjøring;Enslig kjøretøy kjørte utfor vegen;2001;0;0;0;0;0;0;0;1;0;0;0;0;0;0;Nei;Telemark;40;Bamble;4012;FV363 S1D1 m3578;Fylkesveg;363;107136732;59,00719359;9,661385955;Fylkesveg;;4;;;;;Asfalt, oljegrus;Tørr, bar veg;God sikt, opphold;Dagslys;Vanlig kjørefelt;2;9700
