ogc_fid;SSBID250M;est_tot;emp_tot
754;19480006622500;1;2
755;19480006624000;4;18
756;19480006624250;4;0
757;19480006625250;1;0
758;19480006626500;5;71
759;19480006626750;19;6
760;19480006627000;16;166
761;19480006627250;5;1
762;19480006628750;5;0
763;19480006629000;4;0
764;19480006629250;2;0
765;19480006633250;6;45
766;19480006646750;1;0
767;19480006659250;1;0
768;19480006667000;1;0
769;19480006667250;1;6
770;19480006667500;1;0
771;19480006669750;1;4
772;19480006670250;1;0
773;19480006680500;2;4
774;19480006691750;1;0
775;19480006721250;1;0
776;19480006727750;2;0
777;19480006728250;3;1
778;19480006728500;1;0
779;19480006728750;1;0
780;19480006733000;2;0
781;19480006749250;2;0
782;19480006749500;7;0
783;19480006749750;2;1
784;19482506603250;1;0
785;19482506611000;3;45
786;19482506611250;4;0
787;19482506611500;9;10
788;19482506612250;5;63
789;19482506612500;1;32
790;19482506612750;6;196
791;19482506613000;16;89
792;19482506613250;12;41
793;19482506614500;1;0
794;19482506615000;5;16
795;19482506615250;1;0
796;19482506615500;1;1
797;19482506615750;4;36
798;19482506616250;9;5
799;19482506616500;1;1
800;19482506617000;3;0
801;19482506617250;2;0
802;19482506618000;2;0
803;19482506618500;1;11
804;19482506618750;4;53
805;19482506619000;5;28
806;19482506619250;1;1
807;19482506619500;2;0
808;19482506619750;2;16
809;19482506620000;25;30
810;19482506620250;4;12
811;19482506620500;1;0
812;19482506620750;4;24
813;19482506621000;1;0
814;19482506621750;1;0
815;19482506622000;2;1
816;19482506623500;2;0
817;19482506623750;1;0
818;19482506624000;7;40
819;19482506624250;11;17
820;19482506624500;5;0
821;19482506624750;2;0
822;19482506625000;1;15
823;19482506626250;11;238
824;19482506626500;6;5
825;19482506626750;14;0
826;19482506627000;10;22
827;19482506627250;10;10
828;19482506627500;6;34
829;19482506628500;4;1
830;19482506628750;3;0
831;19482506629000;15;61
832;19482506630000;1;15
833;19482506630250;5;123
834;19482506647250;1;3
835;19482506647750;1;0
836;19482506658000;1;0
837;19482506667500;1;0
838;19482506669500;1;0
839;19482506670500;3;0
840;19482506692000;1;0
841;19482506694250;1;4
842;19482506717500;1;0
843;19482506730500;1;2
844;19482506730750;5;1
845;19482506731000;1;0
846;19482506746750;1;0
847;19482506748250;4;1
848;19482506749500;1;0
849;19482506784500;1;0
850;19482506814000;1;0
851;19485006604500;1;0
852;19485006610500;1;20
853;19485006610750;3;0
854;19485006611000;5;0
855;19485006611250;5;0
856;19485006611500;14;258
857;19485006611750;8;27
858;19485006612000;4;1
859;19485006612250;1;0
860;19485006612500;5;0
861;19485006612750;3;10
862;19485006613000;5;0
863;19485006613750;4;49
864;19485006614500;1;0
865;19485006614750;6;6
866;19485006615000;1;0
867;19485006615750;1;33
868;19485006616750;2;0
869;19485006618500;6;113
870;19485006618750;1;0
871;19485006619000;2;0
872;19485006619250;2;0
873;19485006619500;4;58
874;19485006619750;4;71
875;19485006620000;4;33
876;19485006620250;4;5
877;19485006620500;1;55
878;19485006620750;10;60
879;19485006621000;1;43
880;19485006621750;2;0
881;19485006622000;1;1
882;19485006622250;1;3
883;19485006623500;8;99
884;19485006623750;3;2
885;19485006624000;4;1
886;19485006624250;5;34
887;19485006624500;5;116
888;19485006624750;1;0
889;19485006626000;13;1747
890;19485006626250;23;9
891;19485006626500;40;135
892;19485006626750;39;60
893;19485006627000;6;0
894;19485006627250;12;31
895;19485006627500;8;37
896;19485006627750;6;5
897;19485006628000;3;8
898;19485006628250;1;0
899;19485006628500;9;52
900;19485006628750;6;3
901;19485006629000;21;198
902;19485006629250;2;44
903;19485006629500;1;0
904;19485006630000;4;16
905;19485006633500;1;0
906;19485006633750;1;0
907;19485006647500;2;34
908;19485006647750;33;471
909;19485006648000;1;0
910;19485006658250;2;0
911;19485006666000;1;0
912;19485006669500;1;0
913;19485006669750;2;0
914;19485006671750;1;0
915;19485006692000;3;1
916;19485006692500;2;0
917;19485006711500;1;0
918;19485006716750;1;0
919;19485006730750;1;0
920;19485006732750;2;0
921;19485006733000;4;0
922;19485006736500;1;0
923;19485006740750;1;0
924;19485006746250;2;2
925;19485006747000;1;0
926;19485006747500;2;2
927;19485006747750;1;19
928;19485006748000;1;0
929;19485006748250;5;3
930;19485006748500;1;0
931;19485006784000;1;0
932;19487506609250;1;0
933;19487506610500;3;0
934;19487506610750;4;1
935;19487506611000;6;35
936;19487506611250;6;2
937;19487506611500;28;817
938;19487506611750;71;233
939;19487506612000;3;1
940;19487506612250;2;0
941;19487506612500;12;34
942;19487506613750;2;8
943;19487506614500;5;2
944;19487506614750;2;2
945;19487506616250;1;0
946;19487506616500;1;0
947;19487506617750;4;36
948;19487506618000;12;103
