ssbid_250,År,ant_virksomheter,ant_ansatte
21915006573500,2013-01-01,3,16
21915006573750,2013-01-01,3,139
21915006574250,2013-01-01,21,171
21915006574750,2013-01-01,4,10
21915006575000,2013-01-01,12,38
21915006575250,2013-01-01,7,0
21915006575500,2013-01-01,6,0
21915006575750,2013-01-01,11,191
21915006576000,2013-01-01,10,67
21915006576250,2013-01-01,3,130
21915006576500,2013-01-01,3,6
21915006576750,2013-01-01,10,40
21915006577000,2013-01-01,8,25
21915006577250,2013-01-01,6,10
21915006578000,2013-01-01,1,0
21915006578250,2013-01-01,7,4
21915006578500,2013-01-01,7,12
21915006578750,2013-01-01,3,7
21915006579000,2013-01-01,3,1
21915006579250,2013-01-01,4,9
21915006579500,2013-01-01,2,4
21915006580000,2013-01-01,1,0
21915006580750,2013-01-01,1,1
21915006581500,2013-01-01,2,1
21915006582000,2013-01-01,1,0
21917506566750,2013-01-01,1,0
21917506568500,2013-01-01,1,0
21917506568750,2013-01-01,6,6
21917506569000,2013-01-01,3,0
21917506569250,2013-01-01,5,0
21917506569500,2013-01-01,4,0
21917506570000,2013-01-01,1,0
21917506571250,2013-01-01,3,124
21917506571750,2013-01-01,4,51
21917506572250,2013-01-01,22,143
21917506572500,2013-01-01,12,31
21917506572750,2013-01-01,23,103
21917506573000,2013-01-01,12,11
21917506573250,2013-01-01,8,71
21917506573500,2013-01-01,7,10
21917506573750,2013-01-01,5,20
21917506574000,2013-01-01,4,0
21917506574250,2013-01-01,77,577
21917506574750,2013-01-01,3,7
21917506575000,2013-01-01,11,50
21917506575250,2013-01-01,12,2
21917506575500,2013-01-01,4,17
21917506575750,2013-01-01,13,173
21917506576000,2013-01-01,28,25
21917506576250,2013-01-01,12,25
21917506576500,2013-01-01,8,43
21917506576750,2013-01-01,19,693
21917506577000,2013-01-01,4,65
21917506577250,2013-01-01,4,333
21917506577500,2013-01-01,6,0
21917506577750,2013-01-01,8,3
21917506578000,2013-01-01,15,37
21917506578250,2013-01-01,3,6
21917506578500,2013-01-01,4,0
21917506580250,2013-01-01,1,0
21917506580500,2013-01-01,1,0
21920006566750,2013-01-01,2,15
21920006567000,2013-01-01,2,0
21920006567500,2013-01-01,1,0
21920006568250,2013-01-01,1,0
21920006568500,2013-01-01,3,26
21920006568750,2013-01-01,3,2
21920006569000,2013-01-01,3,0
21920006569250,2013-01-01,1,0
21920006569500,2013-01-01,1,0
21920006570000,2013-01-01,2,0
21920006570250,2013-01-01,2,0
21920006571750,2013-01-01,5,6
21920006572000,2013-01-01,10,144
21920006572250,2013-01-01,23,136
21920006572500,2013-01-01,19,308
21920006572750,2013-01-01,8,135
21920006573000,2013-01-01,16,26
21920006573250,2013-01-01,4,0
21920006573500,2013-01-01,4,0
21920006573750,2013-01-01,4,0
21920006574000,2013-01-01,5,56
21920006574250,2013-01-01,30,147
21920006574500,2013-01-01,4,17
21920006575000,2013-01-01,3,25
21920006575250,2013-01-01,55,293
21920006575500,2013-01-01,64,666
21920006575750,2013-01-01,133,503
21920006576000,2013-01-01,34,206
21920006576250,2013-01-01,39,69
21920006576500,2013-01-01,20,34
21920006576750,2013-01-01,13,202
21920006577000,2013-01-01,9,25
21920006577250,2013-01-01,4,0
21920006577500,2013-01-01,7,32
21920006577750,2013-01-01,1,0
21920006580000,2013-01-01,2,0
21920006580500,2013-01-01,1,0
21920006581500,2013-01-01,3,1
21922506566500,2013-01-01,5,267
21922506567000,2013-01-01,5,2
21922506567250,2013-01-01,3,0
21922506567500,2013-01-01,3,2
21922506568500,2013-01-01,2,0
21922506568750,2013-01-01,5,175
21922506569250,2013-01-01,7,8
21922506569500,2013-01-01,1,0
21922506569750,2013-01-01,1,0
21922506570250,2013-01-01,2,0
21922506570500,2013-01-01,2,0
21922506570750,2013-01-01,4,15
21922506571000,2013-01-01,10,26
21922506571750,2013-01-01,29,233
21922506572000,2013-01-01,22,72
21922506572250,2013-01-01,4,57
21922506572500,2013-01-01,2,17
21922506572750,2013-01-01,12,104
21922506573000,2013-01-01,31,187
21922506573250,2013-01-01,3,18
21922506573500,2013-01-01,13,5
21922506573750,2013-01-01,4,17
21922506574000,2013-01-01,7,4
21922506574250,2013-01-01,15,51
21922506574500,2013-01-01,24,63
21922506574750,2013-01-01,13,73
21922506575250,2013-01-01,2,32
21922506575500,2013-01-01,192,1450
21922506575750,2013-01-01,81,799
21922506576000,2013-01-01,38,237
21922506576250,2013-01-01,11,15
21922506576500,2013-01-01,7,7
21922506576750,2013-01-01,9,62
21922506577250,2013-01-01,1,3
21922506577500,2013-01-01,4,117
21922506577750,2013-01-01,6,3
21922506578000,2013-01-01,9,5
21922506578250,2013-01-01,2,0
21922506578750,2013-01-01,1,0
21922506579250,2013-01-01,1,1
21922506579750,2013-01-01,1,0
21922506582750,2013-01-01,1,0
21925006565750,2013-01-01,15,1354
21925006566000,2013-01-01,4,224
21925006567000,2013-01-01,3,13
21925006567250,2013-01-01,2,69
21925006567500,2013-01-01,6,84
21925006568000,2013-01-01,1,1
21925006568500,2013-01-01,3,0
21925006568750,2013-01-01,6,50
21925006569000,2013-01-01,5,5
21925006569250,2013-01-01,12,77
21925006569500,2013-01-01,3,1
21925006569750,2013-01-01,1,0
21925006570000,2013-01-01,1,1
21925006571500,2013-01-01,4,76
21925006571750,2013-01-01,17,214
21925006572000,2013-01-01,10,5
21925006572250,2013-01-01,8,12
21925006572500,2013-01-01,11,8
21925006572750,2013-01-01,6,5
21925006573000,2013-01-01,9,177
21925006573250,2013-01-01,5,0
21925006573500,2013-01-01,5,0
21925006573750,2013-01-01,8,5
21925006574000,2013-01-01,4,1
21925006574500,2013-01-01,36,163
21925006574750,2013-01-01,3,1
21925006575000,2013-01-01,7,4
21925006575250,2013-01-01,30,126
21925006575500,2013-01-01,16,54
21925006575750,2013-01-01,11,8
21925006576000,2013-01-01,14,2
21925006576250,2013-01-01,3,0
21925006576500,2013-01-01,15,266
21925006576750,2013-01-01,7,0
21925006577000,2013-01-01,4,172
21925006579000,2013-01-01,1,0
21925006579250,2013-01-01,1,0
21925006580250,2013-01-01,2,0
21925006580500,2013-01-01,1,0
21925006580750,2013-01-01,1,0
21925006581250,2013-01-01,1,0
21925006581500,2013-01-01,1,0
21925006582250,2013-01-01,1,0
21927506565750,2013-01-01,2,248
21927506566750,2013-01-01,5,227
21927506567000,2013-01-01,7,27
21927506567250,2013-01-01,2,15
21927506567500,2013-01-01,4,82
21927506568000,2013-01-01,1,0
21927506568250,2013-01-01,1,2
21927506568500,2013-01-01,4,2
21927506568750,2013-01-01,12,83
21927506569000,2013-01-01,5,43
21927506569250,2013-01-01,3,72
21927506569500,2013-01-01,3,3
21927506569750,2013-01-01,1,0
21927506570500,2013-01-01,3,1
21927506570750,2013-01-01,1,0
21927506571500,2013-01-01,4,22
21927506571750,2013-01-01,35,467
21927506572000,2013-01-01,7,17
21927506572250,2013-01-01,14,29
21927506572500,2013-01-01,2,8
21927506572750,2013-01-01,9,86
21927506573000,2013-01-01,5,2
21927506573250,2013-01-01,5,3
21927506573500,2013-01-01,16,49
21927506573750,2013-01-01,8,2
21927506574000,2013-01-01,4,147
21927506574250,2013-01-01,5,15
21927506574500,2013-01-01,11,6
21927506574750,2013-01-01,7,0
21927506575000,2013-01-01,14,21
21927506575250,2013-01-01,10,50
21927506575500,2013-01-01,6,1
21927506575750,2013-01-01,2,1
21927506576000,2013-01-01,6,13
21927506576250,2013-01-01,7,1
21927506576500,2013-01-01,1,1
21927506578750,2013-01-01,1,0
21927506579250,2013-01-01,1,0
21927506580500,2013-01-01,1,0
21927506581000,2013-01-01,1,0
21927506581750,2013-01-01,2,6
21927506582000,2013-01-01,1,0
21930006565250,2013-01-01,17,354
21930006565500,2013-01-01,2,168
21930006566750,2013-01-01,1,1
21930006567000,2013-01-01,14,13
21930006567250,2013-01-01,12,103
21930006567500,2013-01-01,6,313
21930006567750,2013-01-01,10,6
21930006568000,2013-01-01,6,1
21930006568250,2013-01-01,2,0
21930006568500,2013-01-01,5,1
21930006568750,2013-01-01,10,62
21930006569000,2013-01-01,6,15
21930006569250,2013-01-01,10,27
21930006569750,2013-01-01,4,5
21930006570000,2013-01-01,2,2
21930006570250,2013-01-01,1,0
21930006570500,2013-01-01,6,3
21930006570750,2013-01-01,3,3
21930006571000,2013-01-01,1,3
21930006571500,2013-01-01,4,53
21930006571750,2013-01-01,4,3
21930006572000,2013-01-01,5,35
