Kommune,År,Utslippskilde,Utslipp
Porsgrunn,2016,Busser,19.29
Porsgrunn,2016,Personbiler,133.86
Porsgrunn,2016,Personbiler,40670.74
Porsgrunn,2016,Personbiler,320.51
Porsgrunn,2016,Tunge kjøretøy,1.97
Porsgrunn,2016,Tunge kjøretøy,18999.04
Porsgrunn,2016,Tunge kjøretøy,163.24
Porsgrunn,2016,Varebiler,17.67
Porsgrunn,2016,Varebiler,9554.33
Porsgrunn,2016,Varebiler,77.99
Porsgrunn,2017,Busser,0.26
Porsgrunn,2017,Busser,2335.79
Porsgrunn,2017,Busser,24.61
Porsgrunn,2017,Personbiler,134.12
Porsgrunn,2017,Personbiler,37520.58
Porsgrunn,2017,Personbiler,322.34
Porsgrunn,2017,Tunge kjøretøy,1.73
Porsgrunn,2017,Tunge kjøretøy,17882.43
Porsgrunn,2017,Tunge kjøretøy,184.72
Porsgrunn,2017,Varebiler,19.74
Porsgrunn,2017,Varebiler,8588.81
Porsgrunn,2017,Varebiler,82.94
Porsgrunn,2018,Busser,0.28
Porsgrunn,2018,Busser,2498.88
Porsgrunn,2018,Busser,25.41
Porsgrunn,2018,Personbiler,132.29
Porsgrunn,2018,Personbiler,37368.34
Porsgrunn,2018,Personbiler,320.63
Porsgrunn,2018,Tunge kjøretøy,1.52
Porsgrunn,2018,Tunge kjøretøy,19337.18
Porsgrunn,2018,Tunge kjøretøy,201.42
Porsgrunn,2018,Varebiler,21.78
Porsgrunn,2018,Varebiler,8962.73
Porsgrunn,2018,Varebiler,88.05
Porsgrunn,2019,Busser,0.21
Porsgrunn,2019,Busser,2336.43
Porsgrunn,2019,Busser,30.28
Porsgrunn,2019,Personbiler,134.51
Porsgrunn,2019,Personbiler,35674.05
Porsgrunn,2019,Personbiler,322.91
Porsgrunn,2019,Tunge kjøretøy,1.36
Porsgrunn,2019,Tunge kjøretøy,18503.22
Porsgrunn,2019,Tunge kjøretøy,209.07
Porsgrunn,2019,Varebiler,25.35
Porsgrunn,2019,Varebiler,8760.71
Porsgrunn,2019,Varebiler,98.27
Porsgrunn,2020,Busser,0.21
Porsgrunn,2020,Busser,2230.74
Porsgrunn,2020,Busser,29.9
Porsgrunn,2020,Personbiler,121.92
Porsgrunn,2020,Personbiler,32817.08
Porsgrunn,2020,Personbiler,294.9
Porsgrunn,2020,Tunge kjøretøy,1.41
Porsgrunn,2020,Tunge kjøretøy,19325.52
Porsgrunn,2020,Tunge kjøretøy,219.37
Porsgrunn,2020,Varebiler,26.13
Porsgrunn,2020,Varebiler,8553.45
Porsgrunn,2020,Varebiler,99.15
Porsgrunn,2021,Busser,0.18
Porsgrunn,2021,Busser,2054.77
Porsgrunn,2021,Busser,28.22
Porsgrunn,2021,Personbiler,118.89
Porsgrunn,2021,Personbiler,30225.62
Porsgrunn,2021,Personbiler,282.73
Porsgrunn,2021,Tunge kjøretøy,1.51
Porsgrunn,2021,Tunge kjøretøy,20012.6
Porsgrunn,2021,Tunge kjøretøy,233.39
Porsgrunn,2021,Varebiler,27.59
Porsgrunn,2021,Varebiler,8874.17
Porsgrunn,2021,Varebiler,105.68
Porsgrunn,2022,Busser,0.19
Porsgrunn,2022,Busser,2260.19
Porsgrunn,2022,Busser,30.2
Porsgrunn,2022,Personbiler,115.23
Porsgrunn,2022,Personbiler,29415.16
Porsgrunn,2022,Personbiler,272.15
Porsgrunn,2022,Tunge kjøretøy,1.68
Porsgrunn,2022,Tunge kjøretøy,19945.22
Porsgrunn,2022,Tunge kjøretøy,234.81
Porsgrunn,2022,Varebiler,29.51
Porsgrunn,2022,Varebiler,9042.93
Porsgrunn,2022,Varebiler,112.05
Porsgrunn,2023,Busser,0.22
Porsgrunn,2023,Busser,2351.97
Porsgrunn,2023,Busser,30.82
Porsgrunn,2023,Personbiler,108.45
Porsgrunn,2023,Personbiler,26043.53
Porsgrunn,2023,Personbiler,254.23
Porsgrunn,2023,Tunge kjøretøy,2.06
Porsgrunn,2023,Tunge kjøretøy,19351.27
Porsgrunn,2023,Tunge kjøretøy,228.67
Porsgrunn,2023,Varebiler,30.32
Porsgrunn,2023,Varebiler,8892.64
