Kommune,Årstall,Bygningstype,Antall
Porsgrunn,01.01.2010,Store frittliggende boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2010,Store frittliggende boligbygg på 5 etasjer eller over,22
Porsgrunn,01.01.2010,Stort sammenbygd boligbygg på 2 etasjer,0
Porsgrunn,01.01.2010,Stort sammenbygd boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2010,Stort sammenbygd boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2010,Bo- og servicesenter,8
Porsgrunn,01.01.2010,Studenthjem/studentboliger,0
Porsgrunn,01.01.2010,Annen bygning for bofellesskap,0
Porsgrunn,01.01.2010,Andre bygg enn boligbygg,1
Porsgrunn,01.01.2011,Enebolig,43
Porsgrunn,01.01.2011,"Enebolig med hybelleilighet, sokkelleilighet o.l.",6
Porsgrunn,01.01.2011,Våningshus,1
Porsgrunn,01.01.2011,"Del av tomannsbolig, vertikaldelt",29
Porsgrunn,01.01.2011,"Tomannsbolig, horisontaldelt",0
Porsgrunn,01.01.2011,"Del av våninghus  tomannsbustad, vertikaltdelt",0
Porsgrunn,01.01.2011,"Våningshus tomannsbolig, horisontaltdelt",0
Porsgrunn,01.01.2011,Rekkehus,0
Porsgrunn,01.01.2011,Kjedehus inkl.atriumhus,0
Porsgrunn,01.01.2011,Terrassehus,0
Porsgrunn,01.01.2011,Andre småhus med 3 boliger eller flere,4
Porsgrunn,01.01.2011,Store frittliggende boligbygg på 2 etasjer,6
Porsgrunn,01.01.2011,Store frittliggende boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2011,Store frittliggende boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2011,Stort sammenbygd boligbygg på 2 etasjer,0
Porsgrunn,01.01.2011,Stort sammenbygd boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2011,Stort sammenbygd boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2011,Bo- og servicesenter,0
Porsgrunn,01.01.2011,Studenthjem/studentboliger,0
Porsgrunn,01.01.2011,Annen bygning for bofellesskap,0
Porsgrunn,01.01.2011,Andre bygg enn boligbygg,6
Porsgrunn,01.01.2012,Enebolig,40
Porsgrunn,01.01.2012,"Enebolig med hybelleilighet, sokkelleilighet o.l.",2
Porsgrunn,01.01.2012,Våningshus,0
Porsgrunn,01.01.2012,"Del av tomannsbolig, vertikaldelt",10
Porsgrunn,01.01.2012,"Tomannsbolig, horisontaldelt",2
Porsgrunn,01.01.2012,"Del av våninghus  tomannsbustad, vertikaltdelt",0
Porsgrunn,01.01.2012,"Våningshus tomannsbolig, horisontaltdelt",0
Porsgrunn,01.01.2012,Rekkehus,0
Porsgrunn,01.01.2012,Kjedehus inkl.atriumhus,4
Porsgrunn,01.01.2012,Terrassehus,0
Porsgrunn,01.01.2012,Andre småhus med 3 boliger eller flere,12
Porsgrunn,01.01.2012,Store frittliggende boligbygg på 2 etasjer,6
Porsgrunn,01.01.2012,Store frittliggende boligbygg på 3 og 4 etasjer,55
Porsgrunn,01.01.2012,Store frittliggende boligbygg på 5 etasjer eller over,12
Porsgrunn,01.01.2012,Stort sammenbygd boligbygg på 2 etasjer,0
Porsgrunn,01.01.2012,Stort sammenbygd boligbygg på 3 og 4 etasjer,0
Porsgrunn,01.01.2012,Stort sammenbygd boligbygg på 5 etasjer eller over,0
Porsgrunn,01.01.2012,Bo- og servicesenter,0
Porsgrunn,01.01.2012,Studenthjem/studentboliger,0
Porsgrunn,01.01.2012,Annen bygning for bofellesskap,0
Porsgrunn,01.01.2012,Andre bygg enn boligbygg,0
Porsgrunn,01.01.2013,Enebolig,25
Porsgrunn,01.01.2013,"Enebolig med hybelleilighet, sokkelleilighet o.l.",6
Porsgrunn,01.01.2013,Våningshus,3
Porsgrunn,01.01.2013,"Del av tomannsbolig, vertikaldelt",14
Porsgrunn,01.01.2013,"Tomannsbolig, horisontaldelt",3
Porsgrunn,01.01.2013,"Del av våninghus  tomannsbustad, vertikaltdelt",0
Porsgrunn,01.01.2013,"Våningshus tomannsbolig, horisontaltdelt",0
Porsgrunn,01.01.2013,Rekkehus,4
Porsgrunn,01.01.2013,Kjedehus inkl.atriumhus,2
Porsgrunn,01.01.2013,Terrassehus,0
