Kommunenummer,Kommune,År,Husholdningstype,Antall
4016,Drangedal,01.01.2019,Aleneforsørger med store barn,68
4016,Drangedal,01.01.2019,Andre husholdninger,0
4016,Drangedal,01.01.2019,Flerfamiliehusholdninger,57
4016,Drangedal,01.01.2019,Par eller aleneforsørger med voksne barn,154
4016,Drangedal,01.01.2019,Par med små barn,136
4016,Drangedal,01.01.2019,Par med store barn,216
4016,Drangedal,01.01.2019,Par uten hjemmeboende barn,477
4016,Drangedal,01.01.2020,Aleneboende,731
4016,Drangedal,01.01.2020,Aleneforsørger med små barn,16
4016,Drangedal,01.01.2020,Aleneforsørger med store barn,61
4016,Drangedal,01.01.2020,Andre husholdninger,0
4016,Drangedal,01.01.2020,Flerfamiliehusholdninger,62
4016,Drangedal,01.01.2020,Par eller aleneforsørger med voksne barn,160
4016,Drangedal,01.01.2020,Par med små barn,129
4016,Drangedal,01.01.2020,Par med store barn,217
4016,Drangedal,01.01.2020,Par uten hjemmeboende barn,486
4016,Drangedal,01.01.2021,Aleneboende,753
4016,Drangedal,01.01.2021,Aleneforsørger med små barn,13
4016,Drangedal,01.01.2021,Aleneforsørger med store barn,55
4016,Drangedal,01.01.2021,Andre husholdninger,0
4016,Drangedal,01.01.2021,Flerfamiliehusholdninger,54
4016,Drangedal,01.01.2021,Par eller aleneforsørger med voksne barn,171
4016,Drangedal,01.01.2021,Par med små barn,131
4016,Drangedal,01.01.2021,Par med store barn,218
4016,Drangedal,01.01.2021,Par uten hjemmeboende barn,485
4016,Drangedal,01.01.2022,Aleneboende,759
4016,Drangedal,01.01.2022,Aleneforsørger med små barn,19
4016,Drangedal,01.01.2022,Aleneforsørger med store barn,45
4016,Drangedal,01.01.2022,Andre husholdninger,0
4016,Drangedal,01.01.2022,Flerfamiliehusholdninger,51
4016,Drangedal,01.01.2022,Par eller aleneforsørger med voksne barn,170
4016,Drangedal,01.01.2022,Par med små barn,138
4016,Drangedal,01.01.2022,Par med store barn,215
4016,Drangedal,01.01.2022,Par uten hjemmeboende barn,495
4016,Drangedal,01.01.2023,Aleneboende,781
4016,Drangedal,01.01.2023,Aleneforsørger med små barn,15
4016,Drangedal,01.01.2023,Aleneforsørger med store barn,42
4016,Drangedal,01.01.2023,Andre husholdninger,0
4016,Drangedal,01.01.2023,Flerfamiliehusholdninger,56
4016,Drangedal,01.01.2023,Par eller aleneforsørger med voksne barn,183
4016,Drangedal,01.01.2023,Par med små barn,139
4016,Drangedal,01.01.2023,Par med store barn,203
4016,Drangedal,01.01.2023,Par uten hjemmeboende barn,484
4016,Drangedal,01.01.2024,Aleneboende,775
4016,Drangedal,01.01.2024,Aleneforsørger med små barn,23
4016,Drangedal,01.01.2024,Aleneforsørger med store barn,55
4016,Drangedal,01.01.2024,Andre husholdninger,0
4016,Drangedal,01.01.2024,Flerfamiliehusholdninger,75
4016,Drangedal,01.01.2024,Par eller aleneforsørger med voksne barn,175
4016,Drangedal,01.01.2024,Par med små barn,140
4016,Drangedal,01.01.2024,Par med store barn,197
4016,Drangedal,01.01.2024,Par uten hjemmeboende barn,471
4016,Drangedal,01.01.2025,Aleneboende,798
4016,Drangedal,01.01.2025,Aleneforsørger med små barn,19
4016,Drangedal,01.01.2025,Aleneforsørger med store barn,63
4016,Drangedal,01.01.2025,Andre husholdninger,0
4016,Drangedal,01.01.2025,Flerfamiliehusholdninger,63
4016,Drangedal,01.01.2025,Par eller aleneforsørger med voksne barn,172
4016,Drangedal,01.01.2025,Par med små barn,137
4016,Drangedal,01.01.2025,Par med store barn,189
4016,Drangedal,01.01.2025,Par uten hjemmeboende barn,483
4032,Fyresdal,01.01.2014,Aleneboende,216
4032,Fyresdal,01.01.2014,Aleneforsørger med små barn,3
4032,Fyresdal,01.01.2014,Aleneforsørger med store barn,23
4032,Fyresdal,01.01.2014,Andre husholdninger,0
4032,Fyresdal,01.01.2014,Flerfamiliehusholdninger,19
4032,Fyresdal,01.01.2014,Par eller aleneforsørger med voksne barn,40
4032,Fyresdal,01.01.2014,Par med små barn,48
4032,Fyresdal,01.01.2014,Par med store barn,71
4032,Fyresdal,01.01.2014,Par uten hjemmeboende barn,137
4032,Fyresdal,01.01.2015,Aleneboende,234
4032,Fyresdal,01.01.2015,Aleneforsørger med små barn,6
4032,Fyresdal,01.01.2015,Aleneforsørger med store barn,24
4032,Fyresdal,01.01.2015,Andre husholdninger,0
4032,Fyresdal,01.01.2015,Flerfamiliehusholdninger,17
4032,Fyresdal,01.01.2015,Par eller aleneforsørger med voksne barn,37
4032,Fyresdal,01.01.2015,Par med små barn,47
4032,Fyresdal,01.01.2015,Par med store barn,65
4032,Fyresdal,01.01.2015,Par uten hjemmeboende barn,147
4032,Fyresdal,01.01.2016,Aleneboende,235
4032,Fyresdal,01.01.2016,Aleneforsørger med små barn,4
4032,Fyresdal,01.01.2016,Aleneforsørger med store barn,25
4032,Fyresdal,01.01.2016,Andre husholdninger,0
4032,Fyresdal,01.01.2016,Flerfamiliehusholdninger,19
4032,Fyresdal,01.01.2016,Par eller aleneforsørger med voksne barn,37
4032,Fyresdal,01.01.2016,Par med små barn,48
4032,Fyresdal,01.01.2016,Par med store barn,68
4032,Fyresdal,01.01.2016,Par uten hjemmeboende barn,149
4032,Fyresdal,01.01.2017,Aleneboende,233
4032,Fyresdal,01.01.2017,Aleneforsørger med små barn,9
4032,Fyresdal,01.01.2017,Aleneforsørger med store barn,23
4032,Fyresdal,01.01.2017,Andre husholdninger,0
4032,Fyresdal,01.01.2017,Flerfamiliehusholdninger,15
4032,Fyresdal,01.01.2017,Par eller aleneforsørger med voksne barn,48
4032,Fyresdal,01.01.2017,Par med små barn,44
4032,Fyresdal,01.01.2017,Par med store barn,68
4032,Fyresdal,01.01.2017,Par uten hjemmeboende barn,142
4032,Fyresdal,01.01.2018,Aleneboende,251
4032,Fyresdal,01.01.2018,Aleneforsørger med små barn,8
4032,Fyresdal,01.01.2018,Aleneforsørger med store barn,22
4032,Fyresdal,01.01.2018,Andre husholdninger,0
4032,Fyresdal,01.01.2018,Flerfamiliehusholdninger,13
4032,Fyresdal,01.01.2018,Par eller aleneforsørger med voksne barn,52
4032,Fyresdal,01.01.2018,Par med små barn,40
4032,Fyresdal,01.01.2018,Par med store barn,68
4032,Fyresdal,01.01.2018,Par uten hjemmeboende barn,146
4032,Fyresdal,01.01.2019,Aleneboende,254
4032,Fyresdal,01.01.2019,Aleneforsørger med små barn,7
4032,Fyresdal,01.01.2019,Aleneforsørger med store barn,22
4032,Fyresdal,01.01.2019,Andre husholdninger,0
4032,Fyresdal,01.01.2019,Flerfamiliehusholdninger,14
4032,Fyresdal,01.01.2019,Par eller aleneforsørger med voksne barn,46
4032,Fyresdal,01.01.2019,Par med små barn,37
4032,Fyresdal,01.01.2019,Par med store barn,72
4032,Fyresdal,01.01.2019,Par uten hjemmeboende barn,140
4032,Fyresdal,01.01.2020,Aleneboende,258
4032,Fyresdal,01.01.2020,Aleneforsørger med små barn,8
4032,Fyresdal,01.01.2020,Aleneforsørger med store barn,18
4032,Fyresdal,01.01.2020,Andre husholdninger,0
4032,Fyresdal,01.01.2020,Flerfamiliehusholdninger,11
4032,Fyresdal,01.01.2020,Par eller aleneforsørger med voksne barn,47
4032,Fyresdal,01.01.2020,Par med små barn,35
4032,Fyresdal,01.01.2020,Par med store barn,71
4032,Fyresdal,01.01.2020,Par uten hjemmeboende barn,149
4032,Fyresdal,01.01.2021,Aleneboende,257
4032,Fyresdal,01.01.2021,Aleneforsørger med små barn,4
4032,Fyresdal,01.01.2021,Aleneforsørger med store barn,20
4032,Fyresdal,01.01.2021,Andre husholdninger,0
4032,Fyresdal,01.01.2021,Flerfamiliehusholdninger,14
4032,Fyresdal,01.01.2021,Par eller aleneforsørger med voksne barn,47
4032,Fyresdal,01.01.2021,Par med små barn,33
4032,Fyresdal,01.01.2021,Par med store barn,64
4032,Fyresdal,01.01.2021,Par uten hjemmeboende barn,144
