region,alder,statistikkvariabel,år,bygningstype,value
Notodden,0-19 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",5.6
Notodden,0-19 år,Personer (prosent),2024,Boligblokk,1.6
Notodden,0-19 år,Personer (prosent),2024,Annen boligbygning,3.2
Notodden,20-29 år,Antall personer,2024,Boliger i alt,1417.0
Notodden,20-29 år,Antall personer,2024,Enebolig,937.0
Notodden,20-29 år,Antall personer,2024,Tomannsbolig,97.0
Notodden,20-29 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",96.0
Notodden,20-29 år,Antall personer,2024,Boligblokk,54.0
Notodden,20-29 år,Antall personer,2024,Annen boligbygning,233.0
Notodden,20-29 år,Personer (prosent),2024,Boliger i alt,100.0
Notodden,20-29 år,Personer (prosent),2024,Enebolig,66.1
Notodden,20-29 år,Personer (prosent),2024,Tomannsbolig,6.8
Notodden,20-29 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",6.8
Notodden,20-29 år,Personer (prosent),2024,Boligblokk,3.8
Notodden,20-29 år,Personer (prosent),2024,Annen boligbygning,16.4
Notodden,30-39 år,Antall personer,2024,Boliger i alt,1666.0
Notodden,30-39 år,Antall personer,2024,Enebolig,1257.0
Notodden,30-39 år,Antall personer,2024,Tomannsbolig,144.0
Notodden,30-39 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",121.0
Notodden,30-39 år,Antall personer,2024,Boligblokk,53.0
Notodden,30-39 år,Antall personer,2024,Annen boligbygning,91.0
Notodden,30-39 år,Personer (prosent),2024,Boliger i alt,100.0
Notodden,30-39 år,Personer (prosent),2024,Enebolig,75.5
Notodden,30-39 år,Personer (prosent),2024,Tomannsbolig,8.6
Notodden,30-39 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",7.3
Notodden,30-39 år,Personer (prosent),2024,Boligblokk,3.2
Notodden,30-39 år,Personer (prosent),2024,Annen boligbygning,5.5
Notodden,40-49 år,Antall personer,2024,Boliger i alt,1579.0
Notodden,40-49 år,Antall personer,2024,Enebolig,1209.0
Notodden,40-49 år,Antall personer,2024,Tomannsbolig,127.0
Notodden,40-49 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",114.0
Notodden,40-49 år,Antall personer,2024,Boligblokk,47.0
Notodden,40-49 år,Antall personer,2024,Annen boligbygning,82.0
Notodden,40-49 år,Personer (prosent),2024,Boliger i alt,100.0
Notodden,40-49 år,Personer (prosent),2024,Enebolig,76.6
Notodden,40-49 år,Personer (prosent),2024,Tomannsbolig,8.0
Notodden,40-49 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",7.2
Notodden,40-49 år,Personer (prosent),2024,Boligblokk,3.0
Notodden,40-49 år,Personer (prosent),2024,Annen boligbygning,5.2
Notodden,50-66 år,Antall personer,2024,Boliger i alt,3025.0
Notodden,50-66 år,Antall personer,2024,Enebolig,2385.0
Notodden,50-66 år,Antall personer,2024,Tomannsbolig,210.0
Notodden,50-66 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",216.0
Notodden,50-66 år,Antall personer,2024,Boligblokk,85.0
Notodden,50-66 år,Antall personer,2024,Annen boligbygning,129.0
Notodden,50-66 år,Personer (prosent),2024,Boliger i alt,100.0
Notodden,50-66 år,Personer (prosent),2024,Enebolig,78.8
Notodden,50-66 år,Personer (prosent),2024,Tomannsbolig,6.9
Notodden,50-66 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",7.1
Notodden,50-66 år,Personer (prosent),2024,Boligblokk,2.8
Notodden,50-66 år,Personer (prosent),2024,Annen boligbygning,4.3
Notodden,67-79 år,Antall personer,2024,Boliger i alt,1910.0
Notodden,67-79 år,Antall personer,2024,Enebolig,1395.0
Notodden,67-79 år,Antall personer,2024,Tomannsbolig,133.0
Notodden,67-79 år,Antall personer,2024,"Rekkehus, kjedehus, andre småhus",147.0
Notodden,67-79 år,Antall personer,2024,Boligblokk,121.0
Notodden,67-79 år,Antall personer,2024,Annen boligbygning,114.0
Notodden,67-79 år,Personer (prosent),2024,Boliger i alt,100.0
Notodden,67-79 år,Personer (prosent),2024,Enebolig,73.0
Notodden,67-79 år,Personer (prosent),2024,Tomannsbolig,7.0
Notodden,67-79 år,Personer (prosent),2024,"Rekkehus, kjedehus, andre småhus",7.7
Notodden,67-79 år,Personer (prosent),2024,Boligblokk,6.3
Notodden,67-79 år,Personer (prosent),2024,Annen boligbygning,6.0
Notodden,80 år eller eldre,Antall personer,2024,Boliger i alt,736.0
Notodden,80 år eller eldre,Antall personer,2024,Enebolig,461.0
