region,statistikkvariabel,år,bygningstype,value
Skien,Boliger (bebodde og ubebodde),2010,Bygning for bofellesskap,120
Skien,Boliger (bebodde og ubebodde),2010,Andre bygningstyper,858
Skien,Boliger (bebodde og ubebodde),2011,Enebolig,13646
Skien,Boliger (bebodde og ubebodde),2011,Tomannsbolig,2190
Skien,Boliger (bebodde og ubebodde),2011,"Rekkehus, kjedehus og andre småhus",2922
Skien,Boliger (bebodde og ubebodde),2011,Boligblokk,4299
Skien,Boliger (bebodde og ubebodde),2011,Bygning for bofellesskap,120
Skien,Boliger (bebodde og ubebodde),2011,Andre bygningstyper,884
Skien,Boliger (bebodde og ubebodde),2012,Enebolig,13747
Skien,Boliger (bebodde og ubebodde),2012,Tomannsbolig,2252
Skien,Boliger (bebodde og ubebodde),2012,"Rekkehus, kjedehus og andre småhus",2956
Skien,Boliger (bebodde og ubebodde),2012,Boligblokk,4328
Skien,Boliger (bebodde og ubebodde),2012,Bygning for bofellesskap,121
Skien,Boliger (bebodde og ubebodde),2012,Andre bygningstyper,889
Skien,Boliger (bebodde og ubebodde),2013,Enebolig,13799
Skien,Boliger (bebodde og ubebodde),2013,Tomannsbolig,2323
Skien,Boliger (bebodde og ubebodde),2013,"Rekkehus, kjedehus og andre småhus",2969
Skien,Boliger (bebodde og ubebodde),2013,Boligblokk,4430
Skien,Boliger (bebodde og ubebodde),2013,Bygning for bofellesskap,121
Skien,Boliger (bebodde og ubebodde),2013,Andre bygningstyper,901
Skien,Boliger (bebodde og ubebodde),2014,Enebolig,13848
Skien,Boliger (bebodde og ubebodde),2014,Tomannsbolig,2381
Skien,Boliger (bebodde og ubebodde),2014,"Rekkehus, kjedehus og andre småhus",2996
Skien,Boliger (bebodde og ubebodde),2014,Boligblokk,4491
Skien,Boliger (bebodde og ubebodde),2014,Bygning for bofellesskap,121
Skien,Boliger (bebodde og ubebodde),2014,Andre bygningstyper,911
Skien,Boliger (bebodde og ubebodde),2015,Enebolig,13902
Skien,Boliger (bebodde og ubebodde),2015,Tomannsbolig,2445
Skien,Boliger (bebodde og ubebodde),2015,"Rekkehus, kjedehus og andre småhus",3017
Skien,Boliger (bebodde og ubebodde),2015,Boligblokk,4722
Skien,Boliger (bebodde og ubebodde),2015,Bygning for bofellesskap,115
Skien,Boliger (bebodde og ubebodde),2015,Andre bygningstyper,892
Skien,Boliger (bebodde og ubebodde),2016,Enebolig,13935
